,Category,Subject,Link
0,American studies,American Studies,https://libguides.lib.hku.hk/americanstudies
1,Arbitration & Dispute resolution,Arbitration and Dispute Resolution,https://libguides.lib.hku.hk/arbitration
2,Architecture,"Architecture, General Subject Guides",https://libguides.lib.hku.hk/archi
3,Architecture,Library Guide for ARCH7291,https://libguides.lib.hku.hk/c.php?g=873489
4,Architecture,Library Guide for ARCH8074,https://libguides.lib.hku.hk/c.php?g=872464
5,Architecture,Real Estate & Construction Subject Guides,https://libguides.lib.hku.hk/reco
6,Architecture,Urban Planning,https://libguides.lib.hku.hk/urbanplanning
7,Arts and humanities,African Studies,https://libguides.lib.hku.hk/africanstudies
8,Arts and humanities,American Studies,https://libguides.lib.hku.hk/americanstudies
9,Arts and humanities,Chinese,https://libguides.lib.hku.hk/chinese
10,Arts and humanities,Comparative literature,https://libguides.lib.hku.hk/comparativeliterature
11,Arts and humanities,English,https://libguides.lib.hku.hk/english
12,Arts and humanities,European Studies,https://libguides.lib.hku.hk/europeanstudies
13,Arts and humanities,Fine Arts,https://libguides.lib.hku.hk/finearts
14,Arts and humanities,History,https://libguides.lib.hku.hk/history
15,Arts and humanities,Japanese Studies,https://libguides.lib.hku.hk/japanesestudies
16,Arts and humanities,Linguistics,https://libguides.lib.hku.hk/linguistics
17,Arts and humanities,Philosophy,https://libguides.lib.hku.hk/philosophy
18,Business & Commerce,Business & Economics LibGuides,https://libguides.lib.hku.hk/fbe
19,Business & Commerce,Library Guide for MBA Students,https://libguides.lib.hku.hk/mbaguide
20,China studies,Chinese,https://libguides.lib.hku.hk/chinese
21,Chinese language & Literature,Chinese,https://libguides.lib.hku.hk/chinese
22,Comparative literature,Comparative literature,https://libguides.lib.hku.hk/comparativeliterature
23,Dentistry,Dentistry,https://libguides.lib.hku.hk/dentistry
24,Economics & Finance,Business & Economics LibGuides,https://libguides.lib.hku.hk/fbe
25,Economics & Finance,Library Guide for MBA Students,https://libguides.lib.hku.hk/mbaguide
26,Education,Audiology,https://libguides.lib.hku.hk/audiology
27,Education,Chinese Language Education,https://libguides.lib.hku.hk/chinese_lang_edu
28,Education,Comparative and International Education,https://libguides.lib.hku.hk/comparative_international_edu
29,Education,Early Childhood Education,https://libguides.lib.hku.hk/earlychildhood
30,Education,Education Studies,https://libguides.lib.hku.hk/education-general
31,Education,"Education: Policy, Administration and Leadership",https://libguides.lib.hku.hk/edu_admin
32,Education,Educational and Psychological Testing,https://libguides.lib.hku.hk/edu_psy_test
33,Education,Educational Psychology,https://libguides.lib.hku.hk/edu_psy
34,Education,English Language Education,https://libguides.lib.hku.hk/eng_lang_edu
