,Category,Subject,Link
0,Arts,Anthropology,http://canterbury.libguides.com/anth
1,Arts,Art,http://canterbury.libguides.com/art
2,Arts,Chinese,http://canterbury.libguides.com/chin
3,Arts,Cinema Studies,http://canterbury.libguides.com/cine
4,Arts,Classics,http://canterbury.libguides.com/clas
5,Arts,Cultural Studies,http://canterbury.libguides.com/cult
6,Arts,Digital Humanities,http://canterbury.libguides.com/digi
7,Arts,Diplomacy and International Relations,http://canterbury.libguides.com/dipl
8,Arts,English as a Second Language (ESOL),http://canterbury.libguides.com/esol
9,Arts,English Literature,http://canterbury.libguides.com/engl
10,Arts,European Union Studies,http://canterbury.libguides.com/euro
11,Arts,French,http://canterbury.libguides.com/fren
12,Arts,Geography,http://canterbury.libguides.com/geog
13,Arts,German,http://canterbury.libguides.com/grmn
14,Arts,History,http://canterbury.libguides.com/hist
15,Arts,Human Services & Social Work,http://canterbury.libguides.com/SOWK
16,Arts,Japanese Studies,http://canterbury.libguides.com/japa
17,Arts,Linguistics,http://canterbury.libguides.com/ling
18,Arts,Māori and Indigenous Studies,http://canterbury.libguides.com/maor
19,Arts,Mathematics,http://canterbury.libguides.com/math
20,Arts,Media Communication Journalism,http://canterbury.libguides.com/coms
21,Arts,Music,http://canterbury.libguides.com/musa
22,Arts,New Zealand History,http://canterbury.libguides.com/nzhist
23,Arts,Pacific Studies,http://canterbury.libguides.com/pacs
24,Arts,Philosophy,http://canterbury.libguides.com/phil
25,Arts,Political Science and International Relations,http://canterbury.libguides.com/pols
26,Arts,Psychology,http://canterbury.libguides.com/psyc
27,Arts,Russian,http://canterbury.libguides.com/russ
28,Arts,Social Work,http://canterbury.libguides.com/c.php?g=846090
29,Arts,Sociology,http://canterbury.libguides.com/soci
30,Arts,Spanish,http://canterbury.libguides.com/span
31,Arts,Statistics,http://canterbury.libguides.com/stat
32,Business and Economics,Business & Economics,http://canterbury.libguides.com/bsec
33,Business and Economics,Statistical Resources,http://canterbury.libguides.com/stat_res
34,Education,Education,http://canterbury.libguides.com/educ
35,Education,English as a Second Language (ESOL),http://canterbury.libguides.com/esol
36,Education,Mātauranga Māori | Māori Education,http://canterbury.libguides.com/maori_ed
37,Education,Sport Coaching,http://canterbury.libguides.com/spco
38,Engineering,Chemical Engineering,http://canterbury.libguides.com/ench
39,Engineering,Civil and Natural Resources Engineering,http://canterbury.libguides.com/encn
40,Engineering,Computer Science & Software Engineering,http://canterbury.libguides.com/cosc
41,Engineering,Construction,http://canterbury.libguides.com/construction
42,Engineering,Earthquake Engineering,http://canterbury.libguides.com/earthquakeengineering
43,Engineering,Electrical Engineering,http://canterbury.libguides.com/enel
44,Engineering,Engineering Geology,http://canterbury.libguides.com/engineering_geology
45,Engineering,Engineering Intermediate,http://canterbury.libguides.com/engr
46,Engineering,Engineering Management,http://canterbury.libguides.com/enmg
47,Engineering,Fire Engineering,http://canterbury.libguides.com/enfe
48,Engineering,Forestry,http://canterbury.libguides.com/fore
49,Engineering,Mathematics,http://canterbury.libguides.com/math
50,Engineering,Mechanical Engineering,http://canterbury.libguides.com/enme
51,Engineering,Product Design,http://canterbury.libguides.com/Product-Design
52,Engineering,Standards,http://canterbury.libguides.com/standards
53,Engineering,Statistics,http://canterbury.libguides.com/stat
54,Engineering,Transportation Engineering,http://canterbury.libguides.com/entr
55,General,Community Engagement,http://canterbury.libguides.com/chch101
56,General,EndNote Guide,http://canterbury.libguides.com/endnote
57,General,For New UC Students,http://canterbury.libguides.com/newstudents
58,General,Statistical Resources,http://canterbury.libguides.com/stat_res
59,Law,Criminal Justice,http://canterbury.libguides.com/crju
60,Law,Government and Official Information,http://canterbury.libguides.com/offpubs
61,Law,Law,http://canterbury.libguides.com/laws
62,New Zealand and Pacific,Māori and Indigenous Studies,http://canterbury.libguides.com/maor
63,New Zealand and Pacific,Mātauranga Māori | Māori Education,http://canterbury.libguides.com/maori_ed
64,New Zealand and Pacific,New Zealand History,http://canterbury.libguides.com/nzhist
65,New Zealand and Pacific,Pacific Studies,http://canterbury.libguides.com/pacs
66,Research,1. Plan your Research,http://canterbury.libguides.com/startingresearch
67,Research,2. Find & Manage Research Literature,http://canterbury.libguides.com/research/findandmanageyourlit
68,Research,3. Doing the Research,http://canterbury.libguides.com/resmethods
69,Research,4. Writing up your Research,http://canterbury.libguides.com/writingup
70,Research,5. Publish & Share,http://canterbury.libguides.com/sharepublish
71,Research,6. Measure Impact,http://canterbury.libguides.com/impactmeasure
72,Research,EndNote Guide,http://canterbury.libguides.com/endnote
73,Science,Antarctic Studies,http://canterbury.libguides.com/anst
74,Science,Astronomy and Astrophysics,http://canterbury.libguides.com/astr
75,Science,Biochemistry,http://canterbury.libguides.com/bchm
76,Science,Biological Sciences,http://canterbury.libguides.com/biol
77,Science,Chemistry,http://canterbury.libguides.com/chem
78,Science,Communication Disorders,http://canterbury.libguides.com/cmds
79,Science,Computer Science & Software Engineering,http://canterbury.libguides.com/cosc
80,Science,Disaster Risk and Resilience,http://canterbury.libguides.com/drr
81,Science,Geography,http://canterbury.libguides.com/geog
82,Science,Geological Sciences,http://canterbury.libguides.com/geol
83,Science,Health Sciences,http://canterbury.libguides.com/hlth
84,Science,Linguistics,http://canterbury.libguides.com/ling
85,Science,Mathematics,http://canterbury.libguides.com/math
86,Science,Medical Physics,http://canterbury.libguides.com/mdph
87,Science,Philosophy,http://canterbury.libguides.com/phil
88,Science,Physics,http://canterbury.libguides.com/phys
89,Science,Psychology,http://canterbury.libguides.com/psyc
90,Science,Statistics,http://canterbury.libguides.com/stat
91,Science,Waterways,http://canterbury.libguides.com/waterways
92,Social Science,Anthropology,http://canterbury.libguides.com/anth
93,Social Science,Criminal Justice,http://canterbury.libguides.com/crju
94,Social Science,Diplomacy and International Relations,http://canterbury.libguides.com/dipl
95,Social Science,European Union Studies,http://canterbury.libguides.com/euro
96,Social Science,Geography,http://canterbury.libguides.com/geog
97,Social Science,History,http://canterbury.libguides.com/hist
98,Social Science,Human Services & Social Work,http://canterbury.libguides.com/SOWK
99,Social Science,Political Science and International Relations,http://canterbury.libguides.com/pols
100,Social Science,Psychology,http://canterbury.libguides.com/psyc
101,Social Science,Social Work,http://canterbury.libguides.com/c.php?g=846090
102,Social Science,Sociology,http://canterbury.libguides.com/soci
