,Category,Subject,Link
0,African Studies,African Studies,http://guides.lib.uw.edu/research/African_Studies
1,African Studies,Country Information,http://guides.lib.uw.edu/research/countries
2,African Studies,History : Africa,http://guides.lib.uw.edu/research/history-africa
3,American & Canadian Studies,American Ethnic Studies,http://guides.lib.uw.edu/research/american_ethnic_studies
4,American & Canadian Studies,American Indian Studies,http://guides.lib.uw.edu/research/american_indian_studies
5,American & Canadian Studies,Arctic & Northern Studies,http://guides.lib.uw.edu/research/arctic
6,American & Canadian Studies,Canadian Studies,http://guides.lib.uw.edu/research/canada
7,American & Canadian Studies,Canadian Studies - Indigenous peoples,http://guides.lib.uw.edu/research/canada-indigenous
8,American & Canadian Studies,Canadian Studies - Music Collections,http://guides.lib.uw.edu/research/canada-music
9,American & Canadian Studies,Country Information,http://guides.lib.uw.edu/research/countries
10,American & Canadian Studies,History : American,http://guides.lib.uw.edu/research/us
11,American & Canadian Studies,History : Canada,http://guides.lib.uw.edu/research/history-canada
12,American & Canadian Studies,History : Pacific Northwest,http://guides.lib.uw.edu/research/history-pnw
13,American & Canadian Studies,Pacific Northwest Collection,http://guides.lib.uw.edu/research/pnw
14,Animal Studies,Animal Studies,http://guides.lib.uw.edu/research/animalstudies
15,Anthropology & Archaeology,Anthropology and Archaeology,http://guides.lib.uw.edu/research/anthropology
16,Anthropology & Archaeology,Classics,http://guides.lib.uw.edu/research/classics
17,Anthropology & Archaeology,Ethnomusicology,http://guides.lib.uw.edu/research/ethnomusicology
18,Anthropology & Archaeology,Folklore & Mythology,http://guides.lib.uw.edu/research/folklore
19,Anthropology & Archaeology,Museology,http://guides.lib.uw.edu/research/museology
20,Aquatic & Fishery Sciences,Aquatic and Fishery Sciences,http://guides.lib.uw.edu/research/fisheries
21,Aquatic & Fishery Sciences,Environment,http://guides.lib.uw.edu/research/environment
22,Aquatic & Fishery Sciences,Friday Harbor -- Starting Points for Research,http://guides.lib.uw.edu/research/fhl
23,Arts,Art,http://guides.lib.uw.edu/research/art
24,Arts,Book Arts & Rare Book Collections,http://guides.lib.uw.edu/research/bookarts
25,Arts,Dance,http://guides.lib.uw.edu/research/dance
26,Arts,Drama,http://guides.lib.uw.edu/research/drama
27,Arts,DXArts Guide,http://guides.lib.uw.edu/research/dxarts
28,Arts,Music Guide,http://guides.lib.uw.edu/research/music
29,Asian Studies,Chinese Studies,http://guides.lib.uw.edu/research/chinesestudies
30,Asian Studies,Country Information,http://guides.lib.uw.edu/research/countries
31,Asian Studies,East Asia Studies,http://guides.lib.uw.edu/research/eastasia
32,Asian Studies,History : Asia,http://guides.lib.uw.edu/research/history-asia
33,Asian Studies,Japan Studies,http://guides.lib.uw.edu/research/japanstudies
34,Asian Studies,Korean Studies,http://guides.lib.uw.edu/research/korea
35,Asian Studies,Near East,http://guides.lib.uw.edu/research/neareast
36,Asian Studies,South Asian Studies,http://guides.lib.uw.edu/research/SouthAsia
37,Asian Studies,Southeast Asian Studies,http://guides.lib.uw.edu/research/southeastasia
38,Asian Studies,Taiwan Studies,http://guides.lib.uw.edu/research/taiwanstudies
39,Biology,Aquatic and Fishery Sciences,http://guides.lib.uw.edu/research/fisheries
40,Biology,Bioengineering,http://guides.lib.uw.edu/research/bioengineering
41,Biology,Biology,http://guides.lib.uw.edu/research/biology
42,Biology,Forest Sciences,http://guides.lib.uw.edu/research/forest
43,Biology,Friday Harbor -- Starting Points for Research,http://guides.lib.uw.edu/research/fhl
44,Built Environments,Architecture,http://guides.lib.uw.edu/research/architecture
45,Built Environments,Construction Management,http://guides.lib.uw.edu/research/cm
46,Built Environments,Landscape Architecture,http://guides.lib.uw.edu/research/larch
47,Built Environments,Real Estate,http://guides.lib.uw.edu/research/realestate
48,Built Environments,Urban Design and Planning (UrDP),http://guides.lib.uw.edu/research/urbanDesign
49,Business,Business,http://guides.lib.uw.edu/research/business
50,Business,Commercialization,http://guides.lib.uw.edu/research/commercialization
51,Business,Historic Business,http://guides.lib.uw.edu/research/historic-business
52,Business,Nonprofits,http://guides.lib.uw.edu/research/nonprofit
53,Chemistry,Bioresource Science and Engineering,http://guides.lib.uw.edu/research/bioresources
54,Chemistry,Chemistry-Chemical Information,http://guides.lib.uw.edu/research/chemistry
55,Cinema Studies,Cinema Studies,http://guides.lib.uw.edu/research/cinemaStudies
56,Cinema Studies,Communication Studies,http://guides.lib.uw.edu/research/commstudies
57,Cinema Studies,Video & Streaming Video,http://guides.lib.uw.edu/videostream
58,Classics,Classics,http://guides.lib.uw.edu/research/classics
59,Classics,Hellenic Studies,http://guides.lib.uw.edu/research/HellenicStudies
60,Classics,History : Ancient,http://guides.lib.uw.edu/research/ancient
61,Communication,Cinema Studies,http://guides.lib.uw.edu/research/cinemaStudies
62,Communication,Communication Studies,http://guides.lib.uw.edu/research/commstudies
63,Communication,Government Publications,http://guides.lib.uw.edu/research/govlaw
