,Category,Subject,Link
0,Aboriginal,Aboriginal Students,http://guides.library.mun.ca/aboriginalstudents
1,Aboriginal,Aboriginal Studies,http://guides.library.mun.ca/c.php?g=501644
2,Anthropology,Anthropology,http://guides.library.mun.ca/c.php?g=501627
3,Anthropology,NL Sociology/Anthropology,http://guides.library.mun.ca/c.php?g=501697
4,Archaeology,Archaeology,http://guides.library.mun.ca/archaeology
5,Archaeology,Biological Anthropology,http://guides.library.mun.ca/c.php?g=501631
6,Archaeology,NL Archaeology,http://guides.library.mun.ca/c.php?g=501499
7,Art,Art,http://guides.library.mun.ca/art
8,Art,Graphic Novels,http://guides.library.mun.ca/c.php?g=501482
9,Biochemistry,Biochemistry,http://guides.library.mun.ca/biochemistry
10,Biology,Biology,http://guides.library.mun.ca/biology
11,Business,Business,http://guides.library.mun.ca/business
12,Canadian Government Documents,Canadian Parliamentary Publications Online,http://guides.library.mun.ca/cdnparliamentarypubs
13,Canadian Government Documents,Canadian Statistics,http://guides.library.mun.ca/canadianstatistics
14,Canadian Studies,Canadian History,http://guides.library.mun.ca/c.php?g=501474
15,Canadian Studies,Canadian Literature,http://guides.library.mun.ca/c.php?g=501619
16,Canadian Studies,Canadian Parliamentary Publications Online,http://guides.library.mun.ca/cdnparliamentarypubs
17,Canadian Studies,Canadian Statistics,http://guides.library.mun.ca/canadianstatistics
18,Chemistry,Chemistry,http://guides.library.mun.ca/chemistry
19,Classics,Classics,http://guides.library.mun.ca/classics
20,Computer Science,Computer Science,http://guides.library.mun.ca/computerscience
21,Course guides,ENGI 3101 The Engineering Workplace,http://guides.library.mun.ca/engi3101-2017
22,Course guides,NL History since 1815,http://guides.library.mun.ca/c.php?g=501708
23,Course guides,NL History to 1815,http://guides.library.mun.ca/c.php?g=501704
24,Criminology,Criminology,http://guides.library.mun.ca/c.php?g=501665
25,Criminology,Law and Society,http://guides.library.mun.ca/LawandSociety
26,Criminology,Police Studies,http://guides.library.mun.ca/policestudies
27,Data,Research Data Management,http://guides.library.mun.ca/datamanagement
28,Digital Humanities,Digital Humanities,http://guides.library.mun.ca/c.php?g=703555
29,Earth Sciences,Earth Sciences,http://guides.library.mun.ca/earthsciences
30,Earth Sciences,Finding Geological Publications,http://guides.library.mun.ca/geolpubs
31,Economics,Economics,http://guides.library.mun.ca/economics
32,Economics,NL Economics,http://guides.library.mun.ca/c.php?g=501991
33,Education,Aboriginal Peoples Resources in Education,http://guides.library.mun.ca/aboriginal_resources_education
34,Education,French Immersion Library Resources - Primary/Elementary Teachers,http://guides.library.mun.ca/FrenchImmersionKto6
35,Education,Intermediate/Secondary Education,http://guides.library.mun.ca/intermediate_secondary_education
36,Education,K-12 Classroom Technologies,http://guides.library.mun.ca/classroomtech
37,Education,Literature for Children and Teens,http://guides.library.mun.ca/literature_education
38,Education,NL Education,http://guides.library.mun.ca/c.php?g=501676
39,Education,Physical Education,http://guides.library.mun.ca/c.php?g=501735
40,Education,Primary/Elementary Education,http://guides.library.mun.ca/primary_elementary_education
41,Engineering,Civil Engineering,http://guides.library.mun.ca/civil
42,Engineering,Computer Engineering,http://guides.library.mun.ca/computer
43,Engineering,Electrical Engineering,http://guides.library.mun.ca/electrical
44,Engineering,ENGI 3101 The Engineering Workplace,http://guides.library.mun.ca/engi3101-2017
45,Engineering,ENGI 9100: Engineering Graduate Seminar,http://guides.library.mun.ca/ENGI9100
46,Engineering,Environmental Engineering,http://guides.library.mun.ca/ENGI9601-2017
47,Engineering,Mechanical Engineering,http://guides.library.mun.ca/engg-mech
48,Engineering,Naval Architecture & Marine Engineering Systems Design,http://guides.library.mun.ca/namsdr
49,Engineering,Offshore Oil & Gas Engineering,http://guides.library.mun.ca/c.php?g=501712
50,Engineering,Process Engineering,http://guides.library.mun.ca/process
51,Engineering,Standards at the Memorial University Libraries,http://guides.library.mun.ca/standards
52,English,American Literature,http://guides.library.mun.ca/c.php?g=501602
53,English,British Literature,http://guides.library.mun.ca/c.php?g=501615
54,English,Canadian Literature,http://guides.library.mun.ca/c.php?g=501619
55,English,Graphic Novels,http://guides.library.mun.ca/c.php?g=501482
56,English,NL Literature,http://guides.library.mun.ca/c.php?g=501684
57,English,Shakespeare,http://guides.library.mun.ca/c.php?g=501623
58,Environment,Environmental Engineering,http://guides.library.mun.ca/ENGI9601-2017
59,Environment,Environmental Studies,http://guides.library.mun.ca/c.php?g=501722
60,Film Studies,Film Studies,http://guides.library.mun.ca/c.php?g=501766
61,Folklore,Folklore,http://guides.library.mun.ca/c.php?g=501648
62,Folklore,NL Folklore,http://guides.library.mun.ca/c.php?g=501710
63,French,French -- Literary Translation,http://guides.library.mun.ca/frenchliterarytranslation
64,French,French Language and Literature,http://guides.library.mun.ca/c.php?g=501718
65,Gender Studies,Gender Studies,http://guides.library.mun.ca/c.php?g=501661
66,Geography,Canadian Statistics,http://guides.library.mun.ca/canadianstatistics
67,Geography,Geography,http://guides.library.mun.ca/c.php?g=501610
68,German,German Language and Literature,http://guides.library.mun.ca/german
69,History,American History,http://guides.library.mun.ca/c.php?g=501520
70,History,Ancient History,http://guides.library.mun.ca/c.php?g=501820
71,History,British History,http://guides.library.mun.ca/c.php?g=501532
72,History,Canadian History,http://guides.library.mun.ca/c.php?g=501474
73,History,Canadian Statistics,http://guides.library.mun.ca/canadianstatistics
74,History,Making Bibliographic Sense of Primary Sources,http://guides.library.mun.ca/primary_electronic_sources
75,History,Medieval History,http://guides.library.mun.ca/c.php?g=501528
