,Category,Subject,Link
0,Anthropology,Anthropology,http://guides.library.unlv.edu/anthropology
1,Anthropology,Qualtrics,http://guides.library.unlv.edu/Qualtrics
2,Architecture,Architecture,http://guides.library.unlv.edu/architecture
3,Art,Art,http://guides.library.unlv.edu/art
4,Art,"Graphic Design, Hill: Images and Inspiration",http://guides.library.unlv.edu/GDCimages
5,Art,Mesoamerican Codices,http://guides.library.unlv.edu/codex
6,Biological Sciences,Biological Sciences,http://guides.library.unlv.edu/Life_Sciences
7,Business,BUS 498,http://guides.library.unlv.edu/c.php?g=448567
8,Business,Nonprofit Resources,http://guides.library.unlv.edu/nonprofit_resources
9,Business,Patents,http://guides.library.unlv.edu/patents
10,Business,Qualtrics,http://guides.library.unlv.edu/Qualtrics
11,Business & Economics,Business / Economics,http://guides.library.unlv.edu/business
12,Business & Economics,Business by the Book Workshop Series,http://guides.library.unlv.edu/businessbythebook
13,Business & Economics,Career Resources,http://guides.library.unlv.edu/careers
14,Business & Economics,Qualtrics,http://guides.library.unlv.edu/Qualtrics
15,Career Resources,Addiction Careers Resource Guide,http://guides.library.unlv.edu/addiction_careers
16,Career Resources,Career Resources,http://guides.library.unlv.edu/careers
17,Career Resources,Employer Research & Interview Preparation,http://guides.library.unlv.edu/gethired
18,Chemistry & Biochemistry,Chemistry and Biochemistry,http://guides.library.unlv.edu/chemistry
19,Children's & Young Adult Literature,Children's and Young Adult Literature,http://guides.library.unlv.edu/cyalit
20,Children's & Young Adult Literature,EDRL 402: Literature for Young Adults (Bickmore),http://guides.library.unlv.edu/edrl402
21,Children's & Young Adult Literature,LGBTQIA Resources,http://guides.library.unlv.edu/LGBTQIA
22,Civil and Environmental Engineering,ArcGIS,http://guides.library.unlv.edu/ArcGIS
23,Civil and Environmental Engineering,CEE 450 Unit Operations and Processes in Environmental Engineering (Batista),http://guides.library.unlv.edu/CEE450
24,Civil and Environmental Engineering,CEE 498 Senior Project Design (James),http://guides.library.unlv.edu/CEE498
25,Civil and Environmental Engineering,CEE 700 Research Methods (James),http://guides.library.unlv.edu/CEE700
26,Civil and Environmental Engineering,Civil and Environmental Engineering and Construction,http://guides.library.unlv.edu/civil
27,Civil and Environmental Engineering,EGG 101 Introduction to Engineering Experience (all instructors),http://guides.library.unlv.edu/EGG101
28,Civil and Environmental Engineering,Geographic Information Systems (GIS),http://guides.library.unlv.edu/GIS
29,Civil and Environmental Engineering,Standards Documents,http://guides.library.unlv.edu/standards
30,Communication Studies,2016 Presidential Debate Lecture Series,http://guides.library.unlv.edu/UNLV_Debate_Lectures
31,Communication Studies,COM 101- Oral Communication (Schiffman),http://guides.library.unlv.edu/COM101
32,Communication Studies,COM 408,http://guides.library.unlv.edu/COM408_Spring18
33,Communication Studies,COM 414,http://guides.library.unlv.edu/COM_414
34,Communication Studies,COM 418 Rhetoric of Science (Bloomfield),http://guides.library.unlv.edu/COM418
35,Communication Studies,COM 725: Introduction to Graduate Studies (Bruner),http://guides.library.unlv.edu/com725-fall
36,Communication Studies,Communication Studies,http://guides.library.unlv.edu/communicationstudies
37,Communication Studies,HON 440: Arguing for Women’s Rights (VanderHaagen),http://guides.library.unlv.edu/HON440
38,Computer Science,Computer Science,http://guides.library.unlv.edu/ComputerScience
39,Computer Science,EGG 101 Introduction to Engineering Experience (all instructors),http://guides.library.unlv.edu/EGG101
40,Computer Science,Standards Documents,http://guides.library.unlv.edu/standards
41,Counseling,Couple & Family Therapy,http://guides.library.unlv.edu/CFT
42,Couple & Family Therapy,CFT 763,http://guides.library.unlv.edu/MFT763
43,Couple & Family Therapy,Couple & Family Therapy,http://guides.library.unlv.edu/CFT
44,Creative Commons,Creative Commons,http://guides.library.unlv.edu/creativecommons
45,Criminal Justice,Criminal Justice,http://guides.library.unlv.edu/criminaljustice
46,Criminal Justice,CRJ 301,http://guides.library.unlv.edu/crj301
47,Criminal Justice,CRJ 428,http://guides.library.unlv.edu/CRJ428
48,Criminal Justice,CRJ 494X,http://guides.library.unlv.edu/CRJ494X
49,Criminal Justice,CRJ 733,http://guides.library.unlv.edu/CRJ733
50,Criminal Justice,Human Trafficking,http://guides.library.unlv.edu/humantrafficking
51,Crisis & Emergency Management,Executive MS in Crisis and Emergency Management (ECEM),http://guides.library.unlv.edu/ECEM
52,Current Events,Fake News,http://guides.library.unlv.edu/fakenews
53,Dance,Dance,http://guides.library.unlv.edu/dance
54,Data,ArcGIS,http://guides.library.unlv.edu/ArcGIS
55,Data,Data and Statistics,http://guides.library.unlv.edu/data
56,Data,Data Management Resources for UNLV,http://guides.library.unlv.edu/datamanagement
57,Data,ESRI Story Maps,http://guides.library.unlv.edu/ESRI_StoryMaps
58,Data,Geographic Information Systems (GIS),http://guides.library.unlv.edu/GIS
59,Data,Infographics,http://guides.library.unlv.edu/Infographics_Workshop
60,Data,Qualtrics,http://guides.library.unlv.edu/Qualtrics
61,Dental Medicine,Dental Medicine,http://guides.library.unlv.edu/dentistry
62,Education,COE 103/202: First Year Seminar/Second Year Seminar,http://guides.library.unlv.edu/coe
63,Education,CSIEME Program,http://guides.library.unlv.edu/csieme
64,Education,EDRL 402: Literature for Young Adults (Bickmore),http://guides.library.unlv.edu/edrl402
65,Education,Education,http://guides.library.unlv.edu/education
66,Education,Qualtrics,http://guides.library.unlv.edu/Qualtrics
67,Education P-12,Qualtrics,http://guides.library.unlv.edu/Qualtrics
68,Electrical and Computer Engineering,EGG 101 Introduction to Engineering Experience (all instructors),http://guides.library.unlv.edu/EGG101
69,Electrical and Computer Engineering,Electrical and Computer Engineering,http://guides.library.unlv.edu/ElectricalAndComputer
70,Electrical and Computer Engineering,Standards Documents,http://guides.library.unlv.edu/standards
71,Engineering,ArcGIS,http://guides.library.unlv.edu/ArcGIS
72,Engineering,CEE 450 Unit Operations and Processes in Environmental Engineering (Batista),http://guides.library.unlv.edu/CEE450
73,Engineering,Civil and Environmental Engineering and Construction,http://guides.library.unlv.edu/civil
74,Engineering,Computer Science,http://guides.library.unlv.edu/ComputerScience
75,Engineering,EGG 101 Introduction to Engineering Experience (all instructors),http://guides.library.unlv.edu/EGG101
76,Engineering,Electrical and Computer Engineering,http://guides.library.unlv.edu/ElectricalAndComputer
77,Engineering,Engineering / Computer Science,http://guides.library.unlv.edu/engineering
78,Engineering,ME 497/498 Senior Design Project I and II (Wang),http://guides.library.unlv.edu/ME497
79,Engineering,Mechanical Engineering,http://guides.library.unlv.edu/mechanical
80,Engineering,Military Science / Army ROTC,http://guides.library.unlv.edu/military
81,Engineering,Standards Documents,http://guides.library.unlv.edu/standards
82,English,"ENGL 231, World Literature",http://guides.library.unlv.edu/eng231
83,English,"ENGL 232, World Literature",http://guides.library.unlv.edu/eng232
84,English,"ENGL 453B, Poetry since 2000 (Setina)",http://guides.library.unlv.edu/c.php?g=861652
85,English,"ENGL 484A, The Bible as Literature (Sabbath)",http://guides.library.unlv.edu/eng484a
86,English,English 102,http://guides.library.unlv.edu/english102
87,English,English Literature,http://guides.library.unlv.edu/c.php?g=491068
88,English,Graduate Study in the Humanities,http://guides.library.unlv.edu/humangrad
89,English,MLA International Bibliography,http://guides.library.unlv.edu/mlaib
90,English,Research - Archives and Special Collections,http://guides.library.unlv.edu/archives
91,English,Tracking Scholarship in the Humanities,http://guides.library.unlv.edu/citetrackers
