,Category,Subject,Link
0,Business; Economics,Accounting,http://guides.library.uq.edu.au/accounting
1,Business; Economics,Economics,http://guides.library.uq.edu.au/economics
2,Business; Economics,Event Management,http://guides.library.uq.edu.au/eventmanagement
3,Business; Economics,Finance,http://guides.library.uq.edu.au/finance
4,Business; Economics,International Business,http://guides.library.uq.edu.au/internationalbusiness
5,Business; Economics,Management,http://guides.library.uq.edu.au/management
6,Business; Economics,Marketing,http://guides.library.uq.edu.au/marketing
7,Business; Economics,Tourism & Hospitality,http://guides.library.uq.edu.au/tourism
8,Business; Economics,UQ College Resources,http://guides.library.uq.edu.au/uqcollege
9,Engineering; Architecture; Information Technology,Architecture,http://guides.library.uq.edu.au/arch
10,Engineering; Architecture; Information Technology,Chemical Engineering,http://guides.library.uq.edu.au/chemeng
11,Engineering; Architecture; Information Technology,Civil Engineering,http://guides.library.uq.edu.au/civleng
12,Engineering; Architecture; Information Technology,Computer Science,http://guides.library.uq.edu.au/computerscience
13,Engineering; Architecture; Information Technology,Electrical Engineering,http://guides.library.uq.edu.au/elec
14,Engineering; Architecture; Information Technology,Environmental Science,http://guides.library.uq.edu.au/environmental-science
15,Engineering; Architecture; Information Technology,Materials Science and Engineering,http://guides.library.uq.edu.au/materialseng
16,Engineering; Architecture; Information Technology,Mechanical and Aerospace Engineering,http://guides.library.uq.edu.au/mecheng
17,Engineering; Architecture; Information Technology,Mining and Metallurgical Engineering,http://guides.library.uq.edu.au/mining
18,Health; Behavioural Sciences,Bioinformatics,http://guides.library.uq.edu.au/bioinformatics
19,Health; Behavioural Sciences,Counselling,http://guides.library.uq.edu.au/counselling
20,Health; Behavioural Sciences,Dentistry and Oral Health,http://guides.library.uq.edu.au/dentistry
21,Health; Behavioural Sciences,Food Science and Nutrition,http://guides.library.uq.edu.au/food-science
22,Health; Behavioural Sciences,Human Movement,http://guides.library.uq.edu.au/human-movement
23,Health; Behavioural Sciences,Nursing and Midwifery,http://guides.library.uq.edu.au/nursing-midwifery
24,Health; Behavioural Sciences,Occupational Therapy,http://guides.library.uq.edu.au/octy
25,Health; Behavioural Sciences,Parasitology,http://guides.library.uq.edu.au/parasitology
26,Health; Behavioural Sciences,Pharmacy and Pharmacology,http://guides.library.uq.edu.au/pharmacy-and-pharmacology
27,Health; Behavioural Sciences,Physiotherapy,http://guides.library.uq.edu.au/physio
28,Health; Behavioural Sciences,Psychology,http://guides.library.uq.edu.au/psychology
29,Health; Behavioural Sciences,Social & Public Policy,http://guides.library.uq.edu.au/social_policy
30,Health; Behavioural Sciences,Social Work and Human Services,http://guides.library.uq.edu.au/social_work
31,Health; Behavioural Sciences,Social Work and the Law,http://guides.library.uq.edu.au/social-work-law
32,Health; Behavioural Sciences,Speech Pathology and Audiology,http://guides.library.uq.edu.au/speech-audio
33,Humanities,Art History,http://guides.library.uq.edu.au/arthistory
34,Humanities,Australian Art History,http://guides.library.uq.edu.au/australian_art_history
35,Humanities,Chinese Studies,http://guides.library.uq.edu.au/chinese
36,Humanities,Classics & Ancient History,http://guides.library.uq.edu.au/classics
37,Humanities,Drama,http://guides.library.uq.edu.au/drama
38,Humanities,Ethnomusicology,http://guides.library.uq.edu.au/ethnomusicology
39,Humanities,French Studies,http://guides.library.uq.edu.au/french
40,Humanities,German Studies,http://guides.library.uq.edu.au/german
41,Humanities,History,http://guides.library.uq.edu.au/history
42,Humanities,History: Asia,http://guides.library.uq.edu.au/history-asia
43,Humanities,History: Australia,http://guides.library.uq.edu.au/history-australia
44,Humanities,History: Europe,http://guides.library.uq.edu.au/history-europe
45,Humanities,History: United States,http://guides.library.uq.edu.au/history-america
46,Humanities,Indonesian Studies,http://guides.library.uq.edu.au/indonesian
47,Humanities,Japanese Studies,http://guides.library.uq.edu.au/japanese
48,Humanities,Journalism & Communication,http://guides.library.uq.edu.au/journalism-communication
49,Humanities,Korean Studies,http://guides.library.uq.edu.au/korean
50,Humanities,Linguistics,http://guides.library.uq.edu.au/linguistics
51,Humanities,"Literature, Australian",http://guides.library.uq.edu.au/literature_australian
52,Humanities,"Literature, English",http://guides.library.uq.edu.au/literature_english
53,Humanities,Museum Studies,http://guides.library.uq.edu.au/museum-studies
54,Humanities,Music Performance,http://guides.library.uq.edu.au/music_performance
55,Humanities,Musicology,http://guides.library.uq.edu.au/musicology
56,Humanities,Philosophy,http://guides.library.uq.edu.au/philosophy
57,Humanities,Photography,http://guides.library.uq.edu.au/photography
58,Humanities,Popular Music,http://guides.library.uq.edu.au/popular-music
59,Humanities,Religion,http://guides.library.uq.edu.au/religion
60,Humanities,Russian Studies,http://guides.library.uq.edu.au/russian
61,Humanities,Sound Production,http://guides.library.uq.edu.au/sound-production
62,Humanities,Spanish and Latin American Studies,http://guides.library.uq.edu.au/spanish
63,Law,Administrative Law,http://guides.library.uq.edu.au/administrative-law
