,Category,Subject,Link
0,Academic Enhancement,Documentaries,http://guides.libs.uga.edu/documentaries
1,Academic Enhancement,Intro to Literature Reviews,http://guides.libs.uga.edu/litreviewintro
2,Academic Enhancement,Research Basics,http://guides.libs.uga.edu/startresearch
3,Academic Enhancement,Social Science,http://guides.libs.uga.edu/socialscience
4,Agricultural and Environmental Sciences,Agricultural and Applied Economics,http://guides.libs.uga.edu/agricultural-and-applied-economics
5,Agricultural and Environmental Sciences,"Agricultural Leadership, Education, and Communication (ALEC)",http://guides.libs.uga.edu/agricultural-leadership
6,Agricultural and Environmental Sciences,Animal and Dairy Science,http://guides.libs.uga.edu/animaldairysci
7,Agricultural and Environmental Sciences,Crop and Soil Sciences,http://guides.libs.uga.edu/cropsoilsciences
8,Agricultural and Environmental Sciences,Entomology,http://guides.libs.uga.edu/ent
9,Agricultural and Environmental Sciences,Food Science and Technology,http://guides.libs.uga.edu/foodscitech
10,Agricultural and Environmental Sciences,Horticulture,http://guides.libs.uga.edu/horticulture
11,Agricultural and Environmental Sciences,Plant Pathology,http://guides.libs.uga.edu/plantpathology
12,Agricultural and Environmental Sciences,Poultry Science,http://guides.libs.uga.edu/poultryscience
13,Anthropology,Anthropology,http://guides.libs.uga.edu/anthropology-databases
14,Area & Ethnic Studies,African Studies,http://guides.libs.uga.edu/african
15,Area & Ethnic Studies,African-American Studies,http://guides.libs.uga.edu/african-american-studies-databases
16,Area & Ethnic Studies,Integration @ UGA: A Guide to Resources in UGA Special Collections,http://guides.libs.uga.edu/uga_integration
17,Area & Ethnic Studies,"Latin America, Spain & Portugal: New Works in the Libraries",http://guides.libs.uga.edu/LatinAmericanNewWorks
18,Area & Ethnic Studies,Latin American National Resource Center Library Support (2014-2018),http://guides.libs.uga.edu/LACSI_NRC_LibrarySupport_2014-2018
19,Area & Ethnic Studies,Latin American Studies,http://guides.libs.uga.edu/latin-american
20,Art & Architecture,Art & Architecture,http://guides.libs.uga.edu/art-and-architecture-databases
21,Art & Architecture,Art & Art History,http://guides.libs.uga.edu/art
22,Art & Architecture,Art Education,http://guides.libs.uga.edu/arted
23,Art & Architecture,Artists' Books: Collections & Supporting Resources,http://guides.libs.uga.edu/artists_books
24,Art & Architecture,Image Resources,http://guides.libs.uga.edu/images
25,Art & Architecture,Interior Design,http://guides.libs.uga.edu/ARID
26,Art & Architecture,Performance Art,http://guides.libs.uga.edu/performanceart
27,Biological Sciences,Biochemistry,http://guides.libs.uga.edu/biochem
28,Biological Sciences,Biology,http://guides.libs.uga.edu/biology
29,Biological Sciences,Cellular Biology,http://guides.libs.uga.edu/cellular-biology-databases
30,Biological Sciences,Genetics,http://guides.libs.uga.edu/genetic
31,Biological Sciences,Marine Sciences,http://guides.libs.uga.edu/marinesci
32,Biological Sciences,Microbiology,http://guides.libs.uga.edu/micro
33,Biological Sciences,Plant Biology,http://guides.libs.uga.edu/plantbiology
34,Business & Economics,Accounting,http://guides.libs.uga.edu/accounting-guide
35,Business & Economics,Banking & Finance,http://guides.libs.uga.edu/banking-guide
36,Business & Economics,Business,http://guides.libs.uga.edu/business-guide
37,Business & Economics,Business & Economic Data Finder,http://guides.libs.uga.edu/businessdatafinder
38,Business & Economics,Business and Economics Research Databases at the UGA Libraries,http://guides.libs.uga.edu/businessdatabases
39,Business & Economics,Company Information,http://guides.libs.uga.edu/company-information-guide
40,Business & Economics,Datastream,http://guides.libs.uga.edu/datastream
41,Business & Economics,Economics,http://guides.libs.uga.edu/economics-databases
42,Business & Economics,Insurance,http://guides.libs.uga.edu/insurance-guide
43,Business & Economics,International Trade Statistics,http://guides.libs.uga.edu/tradestats
44,Business & Economics,Management,http://guides.libs.uga.edu/management-guide
45,Business & Economics,Management Information Systems,http://guides.libs.uga.edu/mis-guide
46,Business & Economics,Marketing & Distribution,http://guides.libs.uga.edu/marketing
47,Business & Economics,Real Estate,http://guides.libs.uga.edu/real-estate-guide
48,Business & Economics,Small Businesses,http://guides.libs.uga.edu/smallbusiness
49,Business & Economics,Terry MBA Buckhead: Library Services,http://guides.libs.uga.edu/terrybuckhead
50,Business & Economics,Tests and Measurements for the Social Sciences,http://guides.libs.uga.edu/tests_measures
51,Chemistry,Biochemistry,http://guides.libs.uga.edu/biochem
52,Chemistry,Chemistry,http://guides.libs.uga.edu/chem
53,Classics,Classics,http://guides.libs.uga.edu/classical-studies
54,Communication Studies,Communication Studies,http://guides.libs.uga.edu/commstudies
55,Computer Science,Artificial Intelligence,http://guides.libs.uga.edu/artificial-intelligence-databases
56,Computer Science,Computer Science,http://guides.libs.uga.edu/computerscience
57,Ecology,Ecology,http://guides.libs.uga.edu/ecology-databases
58,Education,Art Education,http://guides.libs.uga.edu/arted
59,Education,Communication Sciences,http://guides.libs.uga.edu/communication-sciences-databases
60,Education,"Education, Adult",http://guides.libs.uga.edu/education-adult-databases
61,Education,"Education, K-16",http://guides.libs.uga.edu/education-k-16-databases
62,Education,Instructional Technology & Design,http://guides.libs.uga.edu/instructional-technology-and-design
63,Education,Kinesiology,http://guides.libs.uga.edu/kinesiology
64,Education,Summer Reading Lists for Local Schools--2018,http://guides.libs.uga.edu/c.php?g=837168
65,Education,Tests and Measurements for the Social Sciences,http://guides.libs.uga.edu/tests_measures
66,Engineering,Artificial Intelligence,http://guides.libs.uga.edu/artificial-intelligence-databases
67,Engineering,Engineering,http://guides.libs.uga.edu/engineering-databases
68,Entertainment & Media Studies,"DOC-U, EMST5270 Documentary Production",http://guides.libs.uga.edu/docu-fall2018
69,Environment & Design,Historic Preservation,http://guides.libs.uga.edu/histpres
70,Environment & Design,Landscape Architecture / Environment & Design,http://guides.libs.uga.edu/land
71,Family & Consumer Sciences,"Financial Planning, Housing & Consumer Economics",http://guides.libs.uga.edu/consumer-sciences-guide
72,Family & Consumer Sciences,Human Development and Family Science,http://guides.libs.uga.edu/human-development-and-family-science
73,Foods & Nutrition,Foods & Nutrition,http://guides.libs.uga.edu/foods-and-nutrition-guide
74,Forestry & Natural Resources,Forestry & Natural Resources,http://guides.libs.uga.edu/forestry-databases
75,Genealogy,Census Schedules at UGA Libraries,http://guides.libs.uga.edu/censusschedules
76,Genealogy,Genealogy at the UGA Libraries,http://guides.libs.uga.edu/genealogy-guide
77,Geography,Geography,http://guides.libs.uga.edu/geography-guide
78,Geology,Geology,http://guides.libs.uga.edu/geology-guide
79,Georgia,American Civil Liberties Union of Georgia Records - Guide to Selected Case Files,http://guides.libs.uga.edu/aclu
80,Georgia,Archival Research: Political Parties at the Richard B. Russell Library,http://guides.libs.uga.edu/politicalparties
81,Georgia,Georgia,http://guides.libs.uga.edu/georgia-guide
82,Georgia,Georgia State Government Documents - List of Classes and Agency Index,http://guides.libs.uga.edu/gadocsclasses
83,Georgia,Georgia State Government Documents - Online Resources,http://guides.libs.uga.edu/georgiadocs
84,Georgia,Integration @ UGA: A Guide to Resources in UGA Special Collections,http://guides.libs.uga.edu/uga_integration
85,Georgia,World War II - Resources at UGA Special Collections,http://guides.libs.uga.edu/wwii_scl
86,Gerontology,Gerontology,http://guides.libs.uga.edu/gerontology-guide
87,Gerontology,Tests and Measurements for the Social Sciences,http://guides.libs.uga.edu/tests_measures
88,Government Information,British Parliamentary Papers,http://guides.libs.uga.edu/british-parliamentary-papers
89,Government Information,Census Data Resources,http://guides.libs.uga.edu/census-data-guide
90,Government Information,Census Schedules at UGA Libraries,http://guides.libs.uga.edu/censusschedules
