,Category,Subject,Link
0,Accounting,"ACC 4100: Company & Industry Analysis - Prof. Lilien, Spring 2018",http://guides.newman.baruch.cuny.edu/analysts_lilien2018
1,Accounting,"ACC 4100: FASB & IFRS - Prof. Lilien, Spring 2018",http://guides.newman.baruch.cuny.edu/lilien_standards_2018
2,Accounting,"ACC 4100: FASB Accounting Standards Codification - Prof. Pearl, Summer 2018",http://guides.newman.baruch.cuny.edu/FASB_Pearl2018
3,Accounting,"ACC 9112: Analyst Reports - Prof. Lonner, Fall 2017",http://guides.newman.baruch.cuny.edu/acc9112_analyst_Lonner
4,Accounting,"ACC 9112: U.S. GAAP & IFRS - Prof. Lonner, Fall 2017",http://guides.newman.baruch.cuny.edu/acc9122Lonner
5,Accounting,"ACC 9112: U.S. GAAP & IFRS - Prof. Lilien, Spring 2017",http://guides.newman.baruch.cuny.edu/ACC_9112_FASB_IFRS
6,Accounting,"ACC 9810: Contemporary Issues in Accounting - Prof. Colson, Spring 2016",http://guides.newman.baruch.cuny.edu/ACC9810_Colson_Fall2015
7,Accounting,"ACC 9993: Special Topics-Advanced Auditing - Prof. Ray, Spring 2017",http://guides.newman.baruch.cuny.edu/acc9993
8,Accounting,Rita Ormsby,http://guides.newman.baruch.cuny.edu/prf.php?account_id=24238
9,Accounting,Accounting,http://guides.newman.baruch.cuny.edu/sb.php?subject_id=8368
10,Accounting,Accounting - Databases,http://guides.newman.baruch.cuny.edu/accountingdatabases
11,Accounting,Auditing Resources,http://guides.newman.baruch.cuny.edu/Auditing_2013
12,Accounting,"BUS 9557: Managerial Skills for Accountancy Professionals - Prof. Colson, Fall 2018",http://guides.newman.baruch.cuny.edu/colson2018bus9557
13,Accounting,CPA Examination Resources,http://guides.newman.baruch.cuny.edu/cpaexamresources
14,Accounting,Emanuel Saxe Distinguished Lectures in Accounting at Baruch College,http://guides.newman.baruch.cuny.edu/Saxelectures
15,Accounting,FASB Accounting Standards Codification,http://guides.newman.baruch.cuny.edu/FASB_Codification
16,Accounting,International Financial Reporting Standards Resources,http://guides.newman.baruch.cuny.edu/IFRSResources
17,Accounting,SEC Filings,http://guides.newman.baruch.cuny.edu/sec
18,Accounting,"Undergraduate & Graduate Accounting Fair - Sept. 7, 2018",http://guides.newman.baruch.cuny.edu/accountingfairfall2018
19,Advertising,Advertising,http://guides.newman.baruch.cuny.edu/advertising
20,Advertising,Careers & Internships in Advertising & Public Relations,http://guides.newman.baruch.cuny.edu/adcareers
21,Anthropology,Anthropology,http://guides.newman.baruch.cuny.edu/anthro
22,Anthropology,SOC/ANT 4110: Research Methods,http://guides.newman.baruch.cuny.edu/researchmethods
23,Art,Art - Databases,http://guides.newman.baruch.cuny.edu/artdatabases
24,Asian Studies,East Asian Studies,http://guides.newman.baruch.cuny.edu/EastAsia
25,Asian Studies,Japanese Studies,http://guides.newman.baruch.cuny.edu/JapaneseStudies
26,Business,Advertising,http://guides.newman.baruch.cuny.edu/advertising
27,Business,Airline Industry,http://guides.newman.baruch.cuny.edu/airlines
28,Business,Automotive Industry,http://guides.newman.baruch.cuny.edu/automobiles
29,Business,Bloomberg Professional at Baruch,http://guides.newman.baruch.cuny.edu/Bloomberg
30,Business,BPL 5100: Business Policy,http://guides.newman.baruch.cuny.edu/BPL5100
31,Business,BRICS,http://guides.newman.baruch.cuny.edu/brics
32,Business,BUS 1011: Company Analysis,http://guides.newman.baruch.cuny.edu/companyanalysis
33,Business,"BUS 9557: Managerial Skills for Accountancy Professionals - Prof. Colson, Fall 2018",http://guides.newman.baruch.cuny.edu/colson2018bus9557
34,Business,Business in the New York Region,http://guides.newman.baruch.cuny.edu/NYbusiness
35,Business,Business: Open Educational Resources (OER),http://guides.newman.baruch.cuny.edu/BusinessOER
36,Business,Careers in Banking and Financial Services,http://guides.newman.baruch.cuny.edu/c.php?g=188397
37,Business,Casino Industry,http://guides.newman.baruch.cuny.edu/c.php?g=844389
38,Business,Company Information,http://guides.newman.baruch.cuny.edu/company
39,Business,Corporate Finance,http://guides.newman.baruch.cuny.edu/corpfin
40,Business,Earnings Estimates,http://guides.newman.baruch.cuny.edu/c.php?g=405622
41,Business,Economic Indicators,http://guides.newman.baruch.cuny.edu/ecoindicators
42,Business,Electric Utility Industry,http://guides.newman.baruch.cuny.edu/electric
43,Business,Emerging Markets,http://guides.newman.baruch.cuny.edu/emerging
44,Business,Financial Engineering,http://guides.newman.baruch.cuny.edu/financialengineering
45,Business,Foreign Exchange,http://guides.newman.baruch.cuny.edu/forex
46,Business,Health Care Administration,http://guides.newman.baruch.cuny.edu/healthcareadmin
47,Business,Hotel and Lodging Industry,http://guides.newman.baruch.cuny.edu/hotels
48,Business,HR Issues: Colorism in the Workplace,http://guides.newman.baruch.cuny.edu/ColorismWorkplace
49,Business,HR Issues: Occupational Health & Safety,http://guides.newman.baruch.cuny.edu/c.php?g=830834
50,Business,HR Issues: Workplace Diversity,http://guides.newman.baruch.cuny.edu/c.php?g=830827
51,Business,Human Resource Management,http://guides.newman.baruch.cuny.edu/hrm
52,Business,Industry Analysis,http://guides.newman.baruch.cuny.edu/industry
53,Business,Innovation Management,http://guides.newman.baruch.cuny.edu/innovation
