,Category,Subject,Link
0,Agriculture,"Agricultural Communication, Education, and Leadership",http://guides.osu.edu/acel
1,Agriculture,"Agricultural, Environmental, and Development Economics",http://guides.osu.edu/aede
2,Agriculture,Animal Sciences,http://guides.osu.edu/AnimalSciences
3,Agriculture,Entomology,http://guides.osu.edu/ent
4,Agriculture,Environment and Natural Resources,http://guides.osu.edu/ENR
5,Agriculture,Food Science & Technology,http://guides.osu.edu/FST
6,Agriculture,"Food, Agricultural and Biological Engineering",http://guides.osu.edu/fabe
7,Agriculture,Horticulture and Crop Science,http://guides.osu.edu/hcs
8,Agriculture,OSU Extension,http://guides.osu.edu/osue
9,Agriculture,Plant Pathology,http://guides.osu.edu/pp
10,Agriculture,Rural Sociology,http://guides.osu.edu/ruralsoc
11,Anthropology,Anthropology,http://guides.osu.edu/anthropology
12,Architecture,Architecture,http://guides.osu.edu/c.php?g=312711
13,Architecture,City and Regional Planning,http://guides.osu.edu/c.php?g=312712
14,Architecture,Landscape Architecture,http://guides.osu.edu/c.php?g=312713
15,Art & Design,Art,http://guides.osu.edu/c.php?g=705406
16,Art & Design,"Arts Administration, Education, and Policy",http://guides.osu.edu/c.php?g=705402
17,Art & Design,Design,http://guides.osu.edu/design
18,Art & Design,Historic Button Research,http://guides.osu.edu/historicbuttonresearch
19,Art & Design,History of Art,http://guides.osu.edu/c.php?g=691546
20,Astronomy,Physics and Astronomy,http://guides.osu.edu/physics_and_astronomy
21,Biology,Biology For Non-Majors,http://guides.osu.edu/c.php?g=277531
22,Biology,"Evolution, Ecology, and Organismal Biology",http://guides.osu.edu/eeob
23,Biology,Microbiology,http://guides.osu.edu/microbiology
24,Biology,Molecular Genetics,http://guides.osu.edu/molgen
25,Business,"Agricultural, Environmental, and Development Economics",http://guides.osu.edu/aede
26,Business,Business,http://guides.osu.edu/business
27,Business,Company Research,http://guides.osu.edu/company_research
28,Business,Industry & Market Research,http://guides.osu.edu/industry_market
29,Business,Job Interview Preparation,http://guides.osu.edu/job_interview
30,Business,MBA Research Guide,http://guides.osu.edu/mba
31,Chemistry & Biochemistry,Chemistry and Biochemistry,http://guides.osu.edu/chemistry
32,Classics,Classics,http://guides.osu.edu/c.php?g=281023
33,Communications,"Agricultural Communication, Education, and Leadership",http://guides.osu.edu/acel
34,Communications,Communication,http://guides.osu.edu/communication
35,Communications,Journalism,http://guides.osu.edu/journalism
36,Comparative Studies,Africana Studies,http://guides.osu.edu/africana
37,Comparative Studies,COMP STUDIES 2350 Introduction to Folklore,http://guides.osu.edu/COMPSTUDIES2350
38,Comparative Studies,Comparative Studies,http://guides.osu.edu/comparativestudies
39,Comparative Studies,Diversity & Identity Studies,http://guides.osu.edu/diversityidentitystudies
40,Comparative Studies,Global Mobility and Migration Resources,http://guides.osu.edu/c.php?g=761559
41,Comparative Studies,"Harlem on My Mind: Our Faces, Our Places",http://guides.osu.edu/harlemrenaissance
42,Comparative Studies,Hip Hop Culture,http://guides.osu.edu/hiphop
43,Comparative Studies,The Black Panther Party (BPP),http://guides.osu.edu/blackpantherparty
44,Computer Science,Computer Science,http://guides.osu.edu/cse
45,Dance,Dissertations & Theses - Dance,http://guides.osu.edu/c.php?g=603435
46,Earth Science (Geology),Earth Sciences,http://guides.osu.edu/earthsciences
47,Earth Science (Geology),Geodetic Science/Engineering,http://guides.osu.edu/geodetic
48,Economics,"Agricultural, Environmental, and Development Economics",http://guides.osu.edu/aede
49,Economics,Economics,http://guides.osu.edu/economics
50,Education,"Agricultural Communication, Education, and Leadership",http://guides.osu.edu/acel
51,Education,Education,http://guides.osu.edu/education
52,Education,Historic Button Research,http://guides.osu.edu/historicbuttonresearch
53,Education,Human Sciences and Human Ecology Guide,http://guides.osu.edu/c.php?g=716332
54,Education,Multicultural and Global Perspectives on Teaching and Learning,http://guides.osu.edu/c.php?g=392640
55,Engineering,Architecture,http://guides.osu.edu/c.php?g=312711
56,Engineering,City and Regional Planning,http://guides.osu.edu/c.php?g=312712
57,Engineering,Civil Engineering,http://guides.osu.edu/ceg
58,Engineering,Computer Science,http://guides.osu.edu/cse
59,Engineering,Engineering (multidisciplinary),http://guides.osu.edu/engineering
60,Engineering,Engineering Education,http://guides.osu.edu/engineering_education
61,Engineering,"Food, Agricultural and Biological Engineering",http://guides.osu.edu/fabe
62,Engineering,Geodetic Science/Engineering,http://guides.osu.edu/geodetic
63,Engineering,Landscape Architecture,http://guides.osu.edu/c.php?g=312713
64,Engineering,REU - CEM at OSU,http://guides.osu.edu/reu_cem_at_osu
65,Environmental Studies,Environment and Natural Resources,http://guides.osu.edu/ENR
66,Environmental Studies,Global Mobility and Migration Resources,http://guides.osu.edu/c.php?g=761559
67,Environmental Studies,Rural Sociology,http://guides.osu.edu/ruralsoc
68,Film,Film,http://guides.osu.edu/FilmStudies
69,Food & Nutrition,Food Science & Technology,http://guides.osu.edu/FST
70,Food & Nutrition,Human Sciences and Human Ecology Guide,http://guides.osu.edu/c.php?g=716332
71,Geography,Geography,http://guides.osu.edu/geog
72,Geography,Global Mobility and Migration Resources,http://guides.osu.edu/c.php?g=761559
73,Geography,Maps & Geospatial Data,http://guides.osu.edu/maps-geospatial-data
74,History,Africana Studies,http://guides.osu.edu/africana
75,History,Global Mobility and Migration Resources,http://guides.osu.edu/c.php?g=761559
76,History,History of Science Resources,http://guides.osu.edu/c.php?g=566960
77,History,History Resources,http://guides.osu.edu/c.php?g=305668
78,History,Jewish Studies Resources,http://guides.osu.edu/jdc
79,History,Maps & Geospatial Data,http://guides.osu.edu/maps-geospatial-data
80,History,Polish Political Emigration,http://guides.osu.edu/polish-political-emigration
81,History,The Black Panther Party (BPP),http://guides.osu.edu/blackpantherparty
82,Human Sciences,Historic Button Research,http://guides.osu.edu/historicbuttonresearch
83,Human Sciences,Human Sciences and Human Ecology Guide,http://guides.osu.edu/c.php?g=716332
84,International & Area Studies,Africana Studies,http://guides.osu.edu/africana
85,International & Area Studies,Buckeye Book Community: Just Mercy,http://guides.osu.edu/justmercy
86,International & Area Studies,Bulgarian Studies,http://guides.osu.edu/c.php?g=379000
87,International & Area Studies,Chinese Studies Resources,http://guides.osu.edu/chinese
88,International & Area Studies,Comparative Studies,http://guides.osu.edu/comparativestudies
89,International & Area Studies,"Czech Republic, Language, History, Culture & Traditions : General Resources",http://guides.osu.edu/czech-republic-language
90,International & Area Studies,Diversity & Identity Studies,http://guides.osu.edu/diversityidentitystudies
91,International & Area Studies,East Asian Studies Resources,http://guides.osu.edu/EastAsian
92,International & Area Studies,East European and Slavic Studies (EES),http://guides.osu.edu/c.php?g=280786
93,International & Area Studies,Education,http://guides.osu.edu/education
94,International & Area Studies,Global Mobility and Migration Resources,http://guides.osu.edu/c.php?g=761559
95,International & Area Studies,"Harlem on My Mind: Our Faces, Our Places",http://guides.osu.edu/harlemrenaissance
96,International & Area Studies,Hip Hop Culture,http://guides.osu.edu/hiphop
97,International & Area Studies,Historic Button Research,http://guides.osu.edu/historicbuttonresearch
98,International & Area Studies,History Resources,http://guides.osu.edu/c.php?g=305668
99,International & Area Studies,Japanese Studies Resource,http://guides.osu.edu/japanese
100,International & Area Studies,Jewish Studies Resources,http://guides.osu.edu/jdc
101,International & Area Studies,Korean Studies Resources,http://guides.osu.edu/korean
102,International & Area Studies,Latino/a Studies,http://guides.osu.edu/LatinxStudies
103,International & Area Studies,Manga,http://guides.osu.edu/Manga
104,International & Area Studies,Maps & Geospatial Data,http://guides.osu.edu/maps-geospatial-data
105,International & Area Studies,Middle East Studies,http://guides.osu.edu/middleeaststudies
106,International & Area Studies,Multicultural and Global Perspectives on Teaching and Learning,http://guides.osu.edu/c.php?g=392640
107,International & Area Studies,"Poland, Polish Language, History, Culture & Traditions",http://guides.osu.edu/polish-libguide-language-culture-art-politics
108,International & Area Studies,Polish Political Emigration,http://guides.osu.edu/polish-political-emigration
109,International & Area Studies,Political Science,http://guides.osu.edu/politicalscience
110,International & Area Studies,Romanian Studies,http://guides.osu.edu/c.php?g=381087
111,International & Area Studies,Russian Studies,http://guides.osu.edu/c.php?g=369966
112,International & Area Studies,Serbian Studies,http://guides.osu.edu/c.php?g=374984
113,International & Area Studies,Slovak Republic / Slovakia / General Information,http://guides.osu.edu/slovak-republic-general-links
114,International & Area Studies,Slovenian Studies,http://guides.osu.edu/c.php?g=441399
115,International & Area Studies,Somali,http://guides.osu.edu/somali
116,International & Area Studies,SPAN 4570 Latin Soundscapes: Musical Cultures of Latin America,http://guides.osu.edu/SPAN4570
117,International & Area Studies,Spanish and Portuguese Languages and Literature Research Guide,http://guides.osu.edu/LAT
118,International & Area Studies,Swahili,http://guides.osu.edu/swahili
119,International & Area Studies,"Tadeusz Kościuszko/ Thaddeus Kosciuszko: National Hero in Poland, Lithuania, Belarus, and the United States",http://guides.osu.edu/thaddeus_kisciuszko
120,International & Area Studies,The Armenian Genocide,http://guides.osu.edu/c.php?g=676507
121,International & Area Studies,The Black Panther Party (BPP),http://guides.osu.edu/blackpantherparty
122,Languages,American Sign Language,http://guides.osu.edu/c.php?g=365427
123,Languages,Chinese Studies Resources,http://guides.osu.edu/chinese
124,Languages,Classics,http://guides.osu.edu/c.php?g=281023
125,Languages,Education,http://guides.osu.edu/education
126,Languages,French,http://guides.osu.edu/c.php?g=282598
127,Languages,Greek (Ancient),http://guides.osu.edu/c.php?g=281021
128,Languages,Italian,http://guides.osu.edu/c.php?g=282018
129,Languages,Japanese Studies Resource,http://guides.osu.edu/japanese
130,Languages,Jewish Studies Resources,http://guides.osu.edu/jdc
131,Languages,Korean Studies Resources,http://guides.osu.edu/korean
132,Languages,Latin,http://guides.osu.edu/c.php?g=281022
133,Languages,Modern Greek Studies,http://guides.osu.edu/c.php?g=364709
134,Languages,"Poland, Polish Language, History, Culture & Traditions",http://guides.osu.edu/polish-libguide-language-culture-art-politics
135,Languages,Somali,http://guides.osu.edu/somali
136,Languages,SPAN 4570 Latin Soundscapes: Musical Cultures of Latin America,http://guides.osu.edu/SPAN4570
137,Languages,Spanish and Portuguese Languages and Literature Research Guide,http://guides.osu.edu/LAT
138,Languages,Swahili,http://guides.osu.edu/swahili
139,Law,Government Documents and Information,http://guides.osu.edu/govdocshome
140,Law,Law,http://guides.osu.edu/c.php?g=353585
141,Linguistics,Linguistics,http://guides.osu.edu/linguistics
142,Linguistics,Somali,http://guides.osu.edu/somali
143,Linguistics,Swahili,http://guides.osu.edu/swahili
144,Literature,Africana Studies,http://guides.osu.edu/africana
145,Literature,Classics,http://guides.osu.edu/c.php?g=281023
146,Literature,COMP STUDIES 2350 Introduction to Folklore,http://guides.osu.edu/COMPSTUDIES2350
147,Literature,Comparative Studies,http://guides.osu.edu/comparativestudies
148,Literature,English Literature and Culture,http://guides.osu.edu/EnglishLit
149,Literature,French,http://guides.osu.edu/c.php?g=282598
