,Category,Subject,Link
0,Business,Company & industry information,http://guides.sl.nsw.gov.au/company
1,Business,NSW Industrial Awards,http://guides.sl.nsw.gov.au/industrialawards
2,Collection guides,Manuscript Collections,http://guides.sl.nsw.gov.au/manuscripts
3,Collection guides,Maps Collections,http://guides.sl.nsw.gov.au/maps
4,Collection guides,Oral History and Sound Collections,http://guides.sl.nsw.gov.au/oral-history-sound
5,Collection guides,Pictures Collections,http://guides.sl.nsw.gov.au/picturescollections
6,Collection guides,Rare Books and Special Collections,http://guides.sl.nsw.gov.au/rare-books-special-collections
7,Family History,Aboriginal Australians family history,http://guides.sl.nsw.gov.au/aboriginal-australians
8,Family History,"Births, deaths and marriages",http://guides.sl.nsw.gov.au/births-deaths-marriages
9,Family History,Convicts: Bound for Australia,http://guides.sl.nsw.gov.au/convicts-bound-for-australia
10,Family History,Convicts: Life in the colony,http://guides.sl.nsw.gov.au/life-in-the-colony
11,Family History,Passenger records,http://guides.sl.nsw.gov.au/passenger-records
12,Family History,Shipping records,http://guides.sl.nsw.gov.au/shipping-records
13,Government,Government Legislation & Publications: Australian Government (Federal),http://guides.sl.nsw.gov.au/government-publications-federal
14,Government,Government Legislation & Publications: New South Wales,http://guides.sl.nsw.gov.au/government-publications-nsw
15,Government,Historical statistics: 1788-1996,http://guides.sl.nsw.gov.au/historical-statistics
16,Government,NSW Industrial Awards,http://guides.sl.nsw.gov.au/industrialawards
17,Government,Other countries' legislation and government,http://guides.sl.nsw.gov.au/countries-legislation-government
18,Government,Politics in New South Wales,http://guides.sl.nsw.gov.au/politics-nsw
19,Government,States' and Territories' legislation and government,http://guides.sl.nsw.gov.au/states-territories-legislation-government
20,Health,Drug and alcohol information for PDHPE students,http://guides.sl.nsw.gov.au/drug-and-alcohol-information-pdhpe
21,History and biography,Historical statistics: 1788-1996,http://guides.sl.nsw.gov.au/historical-statistics
22,History and biography,Manuscript Collections,http://guides.sl.nsw.gov.au/manuscripts
23,History and biography,Politics in New South Wales,http://guides.sl.nsw.gov.au/politics-nsw
24,History and biography,Rare Books and Special Collections,http://guides.sl.nsw.gov.au/rare-books-special-collections
25,History and biography,Shipping records,http://guides.sl.nsw.gov.au/shipping-records
26,History and biography,World War I and Australia,http://guides.sl.nsw.gov.au/wwi-and-australia
27,HSC,Advanced and Extension English - HSC,http://guides.sl.nsw.gov.au/english-advanced-extension
28,HSC,Legal Studies - HSC,http://guides.sl.nsw.gov.au/legal-studies-hsc
29,HSC,LIAC Crime Library,http://guides.sl.nsw.gov.au/liac-crime-library
30,HSC,Society and Culture - HSC,http://guides.sl.nsw.gov.au/hsc-society-culture
31,HSC,Standard English - HSC,http://guides.sl.nsw.gov.au/english-standard
32,Indigenous Australia,Aboriginal Australians family history,http://guides.sl.nsw.gov.au/aboriginal-australians
33,Indigenous Australia,Indigenous languages,http://guides.sl.nsw.gov.au/indigenous-languages
34,Law,Case law,http://guides.sl.nsw.gov.au/case_law
35,Law,Government Legislation & Publications: Australian Government (Federal),http://guides.sl.nsw.gov.au/government-publications-federal
36,Law,Government Legislation & Publications: New South Wales,http://guides.sl.nsw.gov.au/government-publications-nsw
37,Law,Legal Studies - HSC,http://guides.sl.nsw.gov.au/legal-studies-hsc
38,Law,LIAC Crime Library,http://guides.sl.nsw.gov.au/liac-crime-library
39,Law,NSW Industrial Awards,http://guides.sl.nsw.gov.au/industrialawards
40,Law,Other countries' legislation and government,http://guides.sl.nsw.gov.au/countries-legislation-government
41,Law,Researching the law,http://guides.sl.nsw.gov.au/research_law
42,Law,States' and Territories' legislation and government,http://guides.sl.nsw.gov.au/states-territories-legislation-government
43,Literature and language,Advanced and Extension English - HSC,http://guides.sl.nsw.gov.au/english-advanced-extension
44,Literature and language,Indigenous languages,http://guides.sl.nsw.gov.au/indigenous-languages
45,Literature and language,Patrick White 1912 – 1990,http://guides.sl.nsw.gov.au/c.php?g=671820
46,Literature and language,Rare Books and Special Collections,http://guides.sl.nsw.gov.au/rare-books-special-collections
47,Literature and language,Standard English - HSC,http://guides.sl.nsw.gov.au/english-standard
48,Social sciences,Society and Culture - HSC,http://guides.sl.nsw.gov.au/hsc-society-culture
