,Category,Subject,Link
0,African-American Studies,"African Americans, Equality, and the Law: LGLS 0803",http://guides.temple.edu/c.php?g=77939
1,African-American Studies,African Civilization: AAAS 2201,http://guides.temple.edu/AfricanCivil
2,African-American Studies,Africology & African American Studies,http://guides.temple.edu/AfricanAmericanStudies
3,African-American Studies,American Ethnic Groups / Ethnicity,http://guides.temple.edu/ethnicity
4,African-American Studies,Black Composers in Classical Music,http://guides.temple.edu/blackclassical
5,African-American Studies,Classics of African American Theater: THTR 0841,http://guides.temple.edu/afamtheater
6,African-American Studies,Harlem Renaissance: ENG 3412,http://guides.temple.edu/english3412
7,African-American Studies,History and Significance of Race in America: AAAS 0829 / HIS 0829 / SOC 0829 / Pol Sci 0829,http://guides.temple.edu/historicalsignificanceofrace
8,African-American Studies,Philosophy of African-American Experiences: PHIL 2125,http://guides.temple.edu/phil2125
9,African-American Studies,Poetry as Performance: THTR 1008,http://guides.temple.edu/performancepoetry
10,African-American Studies,Race and Ethnicity In Cinema: FMA 0843,http://guides.temple.edu/fma843
11,African-American Studies,Race on the Stage: THTR 0842,http://guides.temple.edu/raceonstage
12,African-American Studies,Religion,http://guides.temple.edu/religion
13,African-American Studies,The Black Family: AAAS 3296,http://guides.temple.edu/BlackFamily
14,American Studies,Africology & African American Studies,http://guides.temple.edu/AfricanAmericanStudies
15,American Studies,American Economy: ECON 0858,http://guides.temple.edu/americaneconomy
16,American Studies,American Ethnic Groups / Ethnicity,http://guides.temple.edu/ethnicity
17,American Studies,American Military Culture: HIST 0847,http://guides.temple.edu/milcult
18,American Studies,Black Composers in Classical Music,http://guides.temple.edu/blackclassical
19,American Studies,First Person America: AMER ST 0862,http://guides.temple.edu/first_person
20,American Studies,History and Significance of Race in America: AAAS 0829 / HIS 0829 / SOC 0829 / Pol Sci 0829,http://guides.temple.edu/historicalsignificanceofrace
21,American Studies,Honors Sport & Leisure in American Society: REL 0957,http://guides.temple.edu/rel0957
22,American Studies,Landscape of American Thought: PHIL 0824,http://guides.temple.edu/phil0824
23,American Studies,Philadelphia Arts and Culture: AMST 0801,http://guides.temple.edu/pac
24,American Studies,Race & Poverty in the Americas: REL 0833 / LA ST 0833 / SOC 0833,http://guides.temple.edu/racepoverty
25,American Studies,Zines,http://guides.temple.edu/zines
26,Anthropology,Anthropology,http://guides.temple.edu/anthropology
27,Anthropology,Immigration and the American Dream: ANTH 0831,http://guides.temple.edu/c.php?g=438093
28,Anthropology,Indigenous Peoples,http://guides.temple.edu/indigenouspeoples
29,Anthropology,Language in Society: EDUC 0815 / ANTH 0815,http://guides.temple.edu/educ0815
30,Anthropology,Visual Anthropology,http://guides.temple.edu/visualanthropology
31,Anthropology,World Regions and Cultures ANTH (0867),http://guides.temple.edu/worldregions
32,Anthropology,Youth Cultures: ANTH 0817,http://guides.temple.edu/youthcultures_anth
33,Architecture,Architecture,http://guides.temple.edu/architecture
34,Architecture,Art History,http://guides.temple.edu/arthistory
35,Architecture,Art of Sacred Space: Classics (GRC)/Art History/Religion 0803 / 0903,http://guides.temple.edu/sacredspace
36,Architecture,Research Impact Toolkit - Art,http://guides.temple.edu/impact_art
37,Architecture,Visual Literacy,http://guides.temple.edu/visual_literacy
38,Art,Architecture,http://guides.temple.edu/architecture
39,Art,Art,http://guides.temple.edu/art
40,Art,Art Education,http://guides.temple.edu/arted
41,Art,Art History,http://guides.temple.edu/arthistory
42,Art,Art of Sacred Space: Classics (GRC)/Art History/Religion 0803 / 0903,http://guides.temple.edu/sacredspace
43,Art,Art Opportunities - Grants/Internships/Fellowships for artists and designers,http://guides.temple.edu/artopps
