,Category,Subject,Link
0,African American Studies,African American Studies,http://libguides.bates.edu/african-american-studies
1,African American Studies,AAHI 301E - African Slavery in the Americas,http://libguides.bates.edu/slavery
2,African American Studies,Black Feminist Activism,http://libguides.bates.edu/blackfem
3,African Studies,African Studies,http://libguides.bates.edu/africa
4,African Studies,Country Information,http://libguides.bates.edu/country_info
5,African Studies,EDWS 384 - Education in a Globalized World,http://libguides.bates.edu/edws384
6,American Cultural Studies,American Cultural Studies,http://libguides.bates.edu/american_cultural_studies
7,American Cultural Studies,Music,http://libguides.bates.edu/Music
8,American Cultural Studies,Black Feminist Activism,http://libguides.bates.edu/blackfem
9,American Cultural Studies,Rhetoric and Communication,http://libguides.bates.edu/Rhetoric
10,Anthropology,Anthropology,http://libguides.bates.edu/anthro
11,Anthropology,Native American Studies,http://libguides.bates.edu/native-american-studies
12,Art and Visual Culture,Art and Visual Culture,http://libguides.bates.edu/AVC
13,Art and Visual Culture,"Film, Recording, Arts and Performance Reviews",http://libguides.bates.edu/Arts-Reviews
14,Asian Studies,Asian/ East Asian Studies,http://libguides.bates.edu/asianstudies
15,Asian Studies,Chinese,http://libguides.bates.edu/chinese
16,Asian Studies,Japanese,http://libguides.bates.edu/japanese
17,Asian Studies,Asian American Women Writers,http://libguides.bates.edu/enws121
18,Asian Studies,ASPT 286 - Politics of China,http://libguides.bates.edu/ASPT286
19,Astronomy,Astronomy,http://libguides.bates.edu/astronomy
20,Astronomy,Physics,http://libguides.bates.edu/physics
21,Astronomy,BibTeX with Endnote,http://libguides.bates.edu/bibtex-with-endnote
22,Biology,Biology,http://libguides.bates.edu/biology
23,Biology,BIES 246 - Conservation Biology,http://libguides.bates.edu/bies246
24,Biology,Bioinformatics Tools,http://libguides.bates.edu/bioinformatics
25,Chemistry,Chemistry,http://libguides.bates.edu/chemistry
26,Chemistry,BibTeX with Endnote,http://libguides.bates.edu/bibtex-with-endnote
27,Chemistry,Bioinformatics Tools,http://libguides.bates.edu/bioinformatics
28,Chemistry,Chemistry 215,http://libguides.bates.edu/chem215
29,Chinese,Asian/ East Asian Studies,http://libguides.bates.edu/asianstudies
30,Chinese,Chinese,http://libguides.bates.edu/chinese
31,Chinese,ASPT 286 - Politics of China,http://libguides.bates.edu/ASPT286
32,Classical and Medieval Studies,Classical and Medieval Studies,http://libguides.bates.edu/cms
33,Classical and Medieval Studies,Greek,http://libguides.bates.edu/greek
34,Classical and Medieval Studies,Latin,http://libguides.bates.edu/latin
35,Dance,Dance,http://libguides.bates.edu/Dance
36,Dance,"Film, Recording, Arts and Performance Reviews",http://libguides.bates.edu/Arts-Reviews
37,Dance,"Music, Video and Images for Projects and Productions",http://libguides.bates.edu/Production-Resources
38,Digital and Computational Studies,Programming Resources at Bates,http://libguides.bates.edu/bates-prog-books
39,Economics,Economics,http://libguides.bates.edu/economics
40,Economics,Companies and Industries,http://libguides.bates.edu/companies-and-industries
41,Economics,Country Information,http://libguides.bates.edu/country_info
42,Economics,ECON 304 - Macroeconomic Finance,http://libguides.bates.edu/ECON304
43,Economics,"ECON 325 - Prices, Property, and the Problem of the Commons",http://libguides.bates.edu/ECON325
44,Economics,ECON 331 - Labor Economics,http://libguides.bates.edu/ECON331
45,Economics,Health Economics,http://libguides.bates.edu/health-economics
46,Economics,Stata,http://libguides.bates.edu/stata
47,Educational Studies,Educational Studies,http://libguides.bates.edu/education
48,Educational Studies,EDPY 262 - Community-Based Research Methods,http://libguides.bates.edu/EDPY262
49,Educational Studies,"EDSO 242 - Race, Cultural Pluralism, and Equality in American Education",http://libguides.bates.edu/EDSO242
50,Educational Studies,EDWS 384 - Education in a Globalized World,http://libguides.bates.edu/edws384
51,Educational Studies,Tests and Measures,http://libguides.bates.edu/tests
52,English,English,http://libguides.bates.edu/english
53,English,Asian American Women Writers,http://libguides.bates.edu/enws121
54,English,Geoffrey Chaucer,http://libguides.bates.edu/chaucer
55,English,J.R.R. Tolkien,http://libguides.bates.edu/tolkien
56,English,Shakespeare,http://libguides.bates.edu/shakespeare
57,Environmental Studies,Environmental Studies,http://libguides.bates.edu/Environmental_Studies
58,Environmental Studies,Geology,http://libguides.bates.edu/geology
59,Environmental Studies,BIES 246 - Conservation Biology,http://libguides.bates.edu/bies246
60,Environmental Studies,"ECON 325 - Prices, Property, and the Problem of the Commons",http://libguides.bates.edu/ECON325
61,Environmental Studies,ENVR 310 - Soils,http://libguides.bates.edu/envr310
62,Environmental Studies,ENVR 417 - Community-Engaged Research in Environmental Studies,http://libguides.bates.edu/ENVR417
63,Environmental Studies,ESHI 301M: Maine: Environment and History,http://libguides.bates.edu/ESHI301M
64,Environmental Studies,ESLS 350 - Environmental Justice in the Americas,http://libguides.bates.edu/ESLS350
65,Environmental Studies,FYS 492 - Environmental Protection,http://libguides.bates.edu/FYS492
66,European Studies,German,http://libguides.bates.edu/german
67,European Studies,Spanish,http://libguides.bates.edu/spanish
68,European Studies,European Studies,http://libguides.bates.edu/eurostudies
69,European Studies,Russian,http://libguides.bates.edu/russian
70,European Studies,Country Information,http://libguides.bates.edu/country_info
71,European Studies,EUS 101: Introduction to European Studies,http://libguides.bates.edu/EUS101
72,European Studies,French and Francophone Studies,http://libguides.bates.edu/french
73,European Studies,Great Britain,http://libguides.bates.edu/britain
74,European Studies,World War II: Catastrophe and Transformation,http://libguides.bates.edu/euhi214
75,Film Studies,Film Studies,http://libguides.bates.edu/Film
76,Film Studies,"Film, Recording, Arts and Performance Reviews",http://libguides.bates.edu/Arts-Reviews
77,Film Studies,"Music, Video and Images for Projects and Productions",http://libguides.bates.edu/Production-Resources
78,First Year Seminars,FYS 324 - The Celtic World | Archeology and Ethnohistory,http://libguides.bates.edu/fys324
79,First Year Seminars,FYS 432 - Disney Demystified,http://libguides.bates.edu/FYS432
80,First Year Seminars,FYS 440 - Roots of Nonviolence,http://libguides.bates.edu/FYS440
81,First Year Seminars,FYS 445 - The Nature of Spirituality,http://libguides.bates.edu/fys445
