,Category,Subject,Link
0,Accountancy,"Business: Accountancy, Finance & Economics",http://libguides.bcu.ac.uk/accountancyfinance
1,Accountancy,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
2,Accountancy,Library Glossary,http://libguides.bcu.ac.uk/glossary
3,"Acting, Stage and Theatre","Acting, Stage & Theatre",http://libguides.bcu.ac.uk/acting
4,"Acting, Stage and Theatre",Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
5,"Acting, Stage and Theatre",Library Glossary,http://libguides.bcu.ac.uk/glossary
6,Architecture,Architecture,http://libguides.bcu.ac.uk/architecture
7,Architecture,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
8,Architecture,Library Glossary,http://libguides.bcu.ac.uk/glossary
9,Art and Design,Art & Design,http://libguides.bcu.ac.uk/artanddesign
10,Art and Design,Art-based Masters,http://libguides.bcu.ac.uk/artbasedmasters
11,Art and Design,Fine Art,http://libguides.bcu.ac.uk/fineart
12,Art and Design,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
13,Art and Design,Library Glossary,http://libguides.bcu.ac.uk/glossary
14,Black Studies and Sociology,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
15,Black Studies and Sociology,Library Glossary,http://libguides.bcu.ac.uk/glossary
16,Black Studies and Sociology,Sociology & Black Studies,http://libguides.bcu.ac.uk/sociologyandblackstudies
17,Built Environments,Built Environment,http://libguides.bcu.ac.uk/builtenvironments
18,Built Environments,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
19,Built Environments,Library Glossary,http://libguides.bcu.ac.uk/glossary
20,Business,"Business: Accountancy, Finance & Economics",http://libguides.bcu.ac.uk/accountancyfinance
21,Business,Business: Company Information,http://libguides.bcu.ac.uk/compinfo
22,Business,"Business: Internal Audit, Insurance & Risk Management",http://libguides.bcu.ac.uk/AuditInsuranceRisk
23,Business,"Business: Strategy, HR, Management & Marketing",http://libguides.bcu.ac.uk/Management
24,Business,Entrepreneurship and Small Business Management - Topic Guide,http://libguides.bcu.ac.uk/entrepreneur
25,Business,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
26,Business,Library Glossary,http://libguides.bcu.ac.uk/glossary
27,"Computing, Networks",Computing,http://libguides.bcu.ac.uk/computing
28,"Computing, Networks",Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
29,"Computing, Networks",Information Systems,http://libguides.bcu.ac.uk/infosystems
30,"Computing, Networks",Library Glossary,http://libguides.bcu.ac.uk/glossary
31,Conservatoire,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
32,Conservatoire,Library Glossary,http://libguides.bcu.ac.uk/glossary
33,Conservatoire,Music (classical & jazz),http://libguides.bcu.ac.uk/music
34,Conservatoire,Music Technology,http://libguides.bcu.ac.uk/musictech
35,Criminology,Criminology,http://libguides.bcu.ac.uk/criminology
36,Criminology,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
37,Criminology,Library Glossary,http://libguides.bcu.ac.uk/glossary
38,Digital Media,Broadcasting and Sound Engineering,http://libguides.bcu.ac.uk/sound
39,Digital Media,Film,http://libguides.bcu.ac.uk/film
40,Digital Media,Games Technology,http://libguides.bcu.ac.uk/games
41,Digital Media,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
42,Digital Media,Library Glossary,http://libguides.bcu.ac.uk/glossary
43,Digital Media,Music Technology,http://libguides.bcu.ac.uk/musictech
44,Economics,"Business: Accountancy, Finance & Economics",http://libguides.bcu.ac.uk/accountancyfinance
45,Economics,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
46,Economics,Library Glossary,http://libguides.bcu.ac.uk/glossary
47,Education,"Education - Education, Childhood & Youth",http://libguides.bcu.ac.uk/educationchildhoodandyouth
48,Education,Education - Professional Development,http://libguides.bcu.ac.uk/professionaldevelopment
49,Education,Education - Teacher Training,http://libguides.bcu.ac.uk/teachertraining
50,Education,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
51,Education,Library Glossary,http://libguides.bcu.ac.uk/glossary
52,Engineering,Engineering,http://libguides.bcu.ac.uk/engineering
53,Engineering,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
54,Engineering,Library Glossary,http://libguides.bcu.ac.uk/glossary
55,Engineering,Logistics & Supply Chain Management,http://libguides.bcu.ac.uk/logistics
56,Engineering,Project Management,http://libguides.bcu.ac.uk/project
57,English,English,http://libguides.bcu.ac.uk/english
58,English,Getting started with the Library,http://libguides.bcu.ac.uk/quickstart
59,English,Library Glossary,http://libguides.bcu.ac.uk/glossary
60,English,Linguistics,http://libguides.bcu.ac.uk/linguistics
61,Fashion,Fashion (including Fashion Branding Communication and Fashion Business Promotion),http://libguides.bcu.ac.uk/Fashion
