,Category,Subject,Link
0,"Art, Architecture & Design",All About ARTstor,http://libguides.bgsu.edu/allaboutartstor
1,"Art, Architecture & Design",ART 1020: Surface & Process,http://libguides.bgsu.edu/art1020
2,"Art, Architecture & Design",ART 1120: Space and Time,http://libguides.bgsu.edu/art1120
3,"Art, Architecture & Design",Art History,http://libguides.bgsu.edu/arthistory
4,"Art, Architecture & Design",ARTD 2015: Principles of Graphic Design,http://libguides.bgsu.edu/c.php?g=870790
5,"Art, Architecture & Design",ARTD 3040: Three-Dimensional Design,http://libguides.bgsu.edu/artd3040
6,"Art, Architecture & Design",ARTH 3150: Etruscan and Roman Art,http://libguides.bgsu.edu/romanart
7,"Art, Architecture & Design",ARTH 3170: Ancient Near Eastern Art,http://libguides.bgsu.edu/arth3170
8,"Art, Architecture & Design",ARTH 3190: Egyptian Art,http://libguides.bgsu.edu/arth3190
9,"Art, Architecture & Design",ARTH 3350: Art of the Italian Renaissance,http://libguides.bgsu.edu/italianrenaissanceart
10,"Art, Architecture & Design",ARTH 3370: Northern Renaissance Art,http://libguides.bgsu.edu/northernrenaissanceart
11,"Art, Architecture & Design",ARTH 3650/4650/5650: Histories of Photography/Photographic Theory,http://libguides.bgsu.edu/hershbergerfall2016
12,"Art, Architecture & Design",ARTH 4690/5690: Critical Issues in Modern & Contemporary Art,http://libguides.bgsu.edu/hershbergerfall2014
13,"Art, Architecture & Design",ARTH 4900/5900: Professional Practices,http://libguides.bgsu.edu/c.php?g=768581
14,"Art, Architecture & Design",ARTS 3420: Photography,http://libguides.bgsu.edu/arts3420fall2014
15,"Art, Architecture & Design",ARTS 4012: Senior Studio Seminar (Wojtkiewicz),http://libguides.bgsu.edu/wojtkiewicz
16,"Art, Architecture & Design",Studio Art Resources,http://libguides.bgsu.edu/studioart
17,"Art, Architecture & Design",VCT 4600: Copyright and Fair Use for Digital Media,http://libguides.bgsu.edu/VCT4600-2015
18,Business & Economics,Business to Business Marketing,http://libguides.bgsu.edu/c.php?g=227484
19,Business & Economics,Company & Industry Information,http://libguides.bgsu.edu/company_industry
20,Business & Economics,International Business (BA 3900 - Business in the Global Arena),http://libguides.bgsu.edu/internationalbusiness
21,Business & Economics,Marketing,http://libguides.bgsu.edu/c.php?g=857226
22,Business & Economics,Organization Development,http://libguides.bgsu.edu/OD
23,Business & Economics,"Research Materials about Bowling Green, Ohio",http://libguides.bgsu.edu/c.php?g=813095
24,Business & Economics,Tax Accounting,http://libguides.bgsu.edu/taxes
25,Communication & Media,Alternative and Underground Press Publications,http://libguides.bgsu.edu/underground_press
26,Communication & Media,CDIS 4610: Fundamentals of Audiologic Rehabilitation,http://libguides.bgsu.edu/cdis4610
27,Communication & Media,COMM 1020: Introduction to Public Speaking,http://libguides.bgsu.edu/comm1020
28,Communication & Media,COMM 2010: Communication Theory,http://libguides.bgsu.edu/comm2010
29,Communication & Media,Communication Sciences and Disorders,http://libguides.bgsu.edu/CommunicationSciences
30,Communication & Media,JOUR 1000: Introduction to Journalism in a Democratic Society,http://libguides.bgsu.edu/JOUR1000
31,Communication & Media,JOUR 4550: Media Diversity,http://libguides.bgsu.edu/JOUR4550
32,Communication & Media,JOUR 4750,http://libguides.bgsu.edu/JOUR4750
