,Category,Subject,Link
0,Agricultural & Wine Sciences,Agriculture and Horticulture,http://libguides.csu.edu.au/agricultureandhorticulture
1,Agricultural & Wine Sciences,Soil & Water Sciences,http://libguides.csu.edu.au/soilandwatersciences
2,Agricultural & Wine Sciences,Sustainable Agriculture,http://libguides.csu.edu.au/sustainableagriculture
3,Agricultural & Wine Sciences,Viticulture & Wine Science,http://libguides.csu.edu.au/wine
4,Allied Health & Pharmacy,EBP,http://libguides.csu.edu.au/evidence
5,Allied Health & Pharmacy,Nutrition,http://libguides.csu.edu.au/nutrition
6,Allied Health & Pharmacy,Occupational Therapy,http://libguides.csu.edu.au/occupationaltherapy
7,Allied Health & Pharmacy,Paramedicine,http://libguides.csu.edu.au/paramedicine
8,Allied Health & Pharmacy,Pharmacy,http://libguides.csu.edu.au/pharmacy
9,Allied Health & Pharmacy,Physiotherapy,http://libguides.csu.edu.au/physiotherapy
10,Allied Health & Pharmacy,Podiatry,http://libguides.csu.edu.au/podiatry
11,Allied Health & Pharmacy,Public Health,http://libguides.csu.edu.au/public_health
12,Allied Health & Pharmacy,Speech Pathology,http://libguides.csu.edu.au/speechpath
13,Animal & Veterinary Sciences,Animal & Veterinary Sciences,http://libguides.csu.edu.au/animalvetsciences
14,Animal & Veterinary Sciences,Equine Science,http://libguides.csu.edu.au/equine_science
15,Business,Accounting,http://libguides.csu.edu.au/accounting
16,Business,Business Ethics & Sustainability,http://libguides.csu.edu.au/businessethics
17,Business,Economics & Finance,http://libguides.csu.edu.au/economicsandfinance
18,Business,Human Resource Management,http://libguides.csu.edu.au/humanresource
19,Business,Industrial Relations,http://libguides.csu.edu.au/industrialrelations
20,Business,Leadership,http://libguides.csu.edu.au/leadership
21,Business,Management,http://libguides.csu.edu.au/management
22,Business,Marketing,http://libguides.csu.edu.au/marketing
23,Business,Project Management,http://libguides.csu.edu.au/projectmanagement
24,Business,Regional Leadership Program,http://libguides.csu.edu.au/rlp
25,Business,Workplace Health & Safety (WHS),http://libguides.csu.edu.au/workhealthsafetywhs
26,Communication & Creative Industries,Advertising,http://libguides.csu.edu.au/advertising
27,Communication & Creative Industries,Art and Art History,http://libguides.csu.edu.au/art-and-art-history
28,Communication & Creative Industries,Creative Writing,http://libguides.csu.edu.au/creativewriting
29,Communication & Creative Industries,Graphic Design,http://libguides.csu.edu.au/graphic-design
30,Communication & Creative Industries,Journalism,http://libguides.csu.edu.au/journalism
31,Communication & Creative Industries,Performance Arts,http://libguides.csu.edu.au/performancearts
32,Communication & Creative Industries,Photography,http://libguides.csu.edu.au/photography
33,Communication & Creative Industries,Public Relations,http://libguides.csu.edu.au/PR
34,Communication & Creative Industries,Television Production,http://libguides.csu.edu.au/tvproduction
35,Engineering,Engineering,http://libguides.csu.edu.au/engineering
36,Engineering,Project Management,http://libguides.csu.edu.au/projectmanagement
37,Environmental Science & Outdoor Recreation,Environmental Science & Outdoor Recreation,http://libguides.csu.edu.au/environment
38,Environmental Science & Outdoor Recreation,Soil & Water Sciences,http://libguides.csu.edu.au/soilandwatersciences
39,Environmental Science & Outdoor Recreation,Spatial Science,http://libguides.csu.edu.au/spatialscience
40,Exercise & Sports Sciences,Exercise and Sports Sciences,http://libguides.csu.edu.au/exerciseandsportssciences
41,Exercise & Sports Sciences,Nutrition,http://libguides.csu.edu.au/nutrition
42,Exercise & Sports Sciences,Occupational Therapy,http://libguides.csu.edu.au/occupationaltherapy
43,"Humanities, Social Work & Human Services",Children's Literature,http://libguides.csu.edu.au/childrensliterature
44,"Humanities, Social Work & Human Services",Ethics,http://libguides.csu.edu.au/ethics
45,"Humanities, Social Work & Human Services",Gerontology,http://libguides.csu.edu.au/gerontology
46,"Humanities, Social Work & Human Services",History,http://libguides.csu.edu.au/history
47,"Humanities, Social Work & Human Services",Human Services & Social Work,http://libguides.csu.edu.au/socialwork
48,"Humanities, Social Work & Human Services",Literature,http://libguides.csu.edu.au/literature
49,"Humanities, Social Work & Human Services",Philosophy,http://libguides.csu.edu.au/philosophy
50,"Humanities, Social Work & Human Services",Politics,http://libguides.csu.edu.au/politics
51,"Humanities, Social Work & Human Services",Sociology,http://libguides.csu.edu.au/Sociology
52,Information & Library Studies,Children's Literature,http://libguides.csu.edu.au/childrensliterature
53,Information & Library Studies,Information and Library Studies,http://libguides.csu.edu.au/info_library_studies
54,Information & Library Studies,Leadership,http://libguides.csu.edu.au/leadership
55,Information & Library Studies,Records & Archives Management,http://libguides.csu.edu.au/ram
56,Information & Library Studies,Teacher Librarianship,http://libguides.csu.edu.au/teacher_librarianship
57,"IT, Computing & Mathematics",Information Technology & Computing,http://libguides.csu.edu.au/itc
58,"IT, Computing & Mathematics",Maths & Statistics,http://libguides.csu.edu.au/maths
59,Law & Government,Australian Government Information,http://libguides.csu.edu.au/government
60,Law & Government,International Law,http://libguides.csu.edu.au/International
61,Law & Government,Justice Studies,http://libguides.csu.edu.au/justicestudies
62,Law & Government,Law,http://libguides.csu.edu.au/law
63,Law & Government,Policing,http://libguides.csu.edu.au/policing
64,Law & Government,Terrorism,http://libguides.csu.edu.au/terrorism
65,Medical Science & Dentistry,Biomedical Sciences,http://libguides.csu.edu.au/biomedical
66,Medical Science & Dentistry,Dentistry and Oral health,http://libguides.csu.edu.au/dentistryandoralhealth
67,Medical Science & Dentistry,EBP,http://libguides.csu.edu.au/evidence
68,Medical Science & Dentistry,Medical Radiation Science,http://libguides.csu.edu.au/medicalradiation
69,Medical Science & Dentistry,Nutrition,http://libguides.csu.edu.au/nutrition
70,Multidiscipline Subject Guides,Australian Government Information,http://libguides.csu.edu.au/government
71,Multidiscipline Subject Guides,English as a Second Language (ESL),http://libguides.csu.edu.au/esl
72,Multidiscipline Subject Guides,Indigenous Studies,http://libguides.csu.edu.au/indigenous
73,Multidiscipline Subject Guides,Leadership,http://libguides.csu.edu.au/leadership
74,Multidiscipline Subject Guides,Mental Health,http://libguides.csu.edu.au/mental_health
75,Nursing,EBP,http://libguides.csu.edu.au/evidence
76,Nursing,Midwifery,http://libguides.csu.edu.au/midwifery
77,Nursing,Nursing,http://libguides.csu.edu.au/nursing
78,"Policing, Security & Emergency Management",Customs & Border Protection,http://libguides.csu.edu.au/customsandborderprotection
79,"Policing, Security & Emergency Management",Emergency Management,http://libguides.csu.edu.au/emergencymanagement
80,"Policing, Security & Emergency Management",International Law,http://libguides.csu.edu.au/International
81,"Policing, Security & Emergency Management",Justice Studies,http://libguides.csu.edu.au/justicestudies
82,"Policing, Security & Emergency Management",Law,http://libguides.csu.edu.au/law
83,"Policing, Security & Emergency Management",Leadership,http://libguides.csu.edu.au/leadership
84,"Policing, Security & Emergency Management",Policing,http://libguides.csu.edu.au/policing
85,"Policing, Security & Emergency Management",Terrorism,http://libguides.csu.edu.au/terrorism
86,Psychology,Mental Health,http://libguides.csu.edu.au/mental_health
87,Psychology,Psychology,http://libguides.csu.edu.au/psychology
88,"Research, Teaching & Study Guides",Copyright @ CSU,http://libguides.csu.edu.au/copyright_for_teaching
89,"Research, Teaching & Study Guides",Information & Research Literacies,http://libguides.csu.edu.au/infolit
90,"Research, Teaching & Study Guides",Mobile Devices for Study & Research,http://libguides.csu.edu.au/apps
91,"Research, Teaching & Study Guides",Open Access,http://libguides.csu.edu.au/OpenAccess
92,"Research, Teaching & Study Guides",Primo Search Help,http://libguides.csu.edu.au/Primo
93,"Research, Teaching & Study Guides",Researcher Profile,http://libguides.csu.edu.au/profile
94,"Research, Teaching & Study Guides",Screen reading resources for study,http://libguides.csu.edu.au/screenreaders
95,Science,Animal & Veterinary Sciences,http://libguides.csu.edu.au/animalvetsciences
96,Science,Biomedical Sciences,http://libguides.csu.edu.au/biomedical
97,Science,Environmental Science & Outdoor Recreation,http://libguides.csu.edu.au/environment
98,Science,Maths & Statistics,http://libguides.csu.edu.au/maths
99,Science,Soil & Water Sciences,http://libguides.csu.edu.au/soilandwatersciences
100,Science,Spatial Science,http://libguides.csu.edu.au/spatialscience
101,Teaching & Education,Adult & Vocational Education,http://libguides.csu.edu.au/adultvocational_education
102,Teaching & Education,Children's Literature,http://libguides.csu.edu.au/childrensliterature
103,Teaching & Education,Creative Writing,http://libguides.csu.edu.au/creativewriting
104,Teaching & Education,CSU guide for HSC students,http://libguides.csu.edu.au/HSC
105,Teaching & Education,Early Childhood,http://libguides.csu.edu.au/earlychildhood
106,Teaching & Education,Education Studies,http://libguides.csu.edu.au/education
