,Category,Subject,Link
0,*General,Ebooks @ GA Tech,http://libguides.gatech.edu/ebooks
1,*General,Flipster @ GA Tech,http://libguides.gatech.edu/flipster
2,About the Library,Gadgets,http://libguides.gatech.edu/gadgets
3,About the Library,Reserves,http://libguides.gatech.edu/reserves
4,About the Library,Tutorials,http://libguides.gatech.edu/tutorials
5,Aerospace Engineering,Aerospace Engineering,http://libguides.gatech.edu/ae
6,Applied Physiology,Applied Physiology,http://libguides.gatech.edu/applied_physiology
7,Architecture and Fine Arts,Architecture Guide,http://libguides.gatech.edu/architecture
8,Architecture and Fine Arts,Building Construction Guide,http://libguides.gatech.edu/buildingconstruction
9,Architecture and Fine Arts,City and Regional Planning Research Guide,http://libguides.gatech.edu/cityplanning
10,Architecture and Fine Arts,Industrial Design Guide,http://libguides.gatech.edu/industrialdesign
11,Biology,Biology,http://libguides.gatech.edu/biology
12,Biomedical Engineering,Biomedical Engineering,http://libguides.gatech.edu/BME
13,Business and Management,Business & Management,http://libguides.gatech.edu/business
14,Business and Management,Company Information,http://libguides.gatech.edu/company
15,Business and Management,Georgia & Atlanta Business,http://libguides.gatech.edu/gabusiness
16,Business and Management,Industry Information,http://libguides.gatech.edu/industry
17,Business and Management,International Business,http://libguides.gatech.edu/internationalbusiness
18,Business and Management,"Scholarly Communication, Open Access, and Author Rights: A Guide to Issues",http://libguides.gatech.edu/scholarlycommunication
19,CETL,TAR - Teaching As Research,http://libguides.gatech.edu/tar
20,Chemical and Biomolecular Engineering,Chemical and Biomolecular Engineering,http://libguides.gatech.edu/chbe
21,Chemistry and Biochemistry,Chemistry and Biochemistry,http://libguides.gatech.edu/chem
22,City Planning,City and Regional Planning Research Guide,http://libguides.gatech.edu/cityplanning
23,City Planning,Urban and Regional Policy,http://libguides.gatech.edu/urbanpubpol
24,Civil Engineering,Building Construction Guide,http://libguides.gatech.edu/buildingconstruction
25,Civil Engineering,CEE 3000: Civil Engineering Systems,http://libguides.gatech.edu/cee3000
26,Civil Engineering,Civil Engineering,http://libguides.gatech.edu/ce
27,Civil Engineering,Earthquake Engineering,http://libguides.gatech.edu/earthquake
28,Civil Engineering,Environmental Engineering,http://libguides.gatech.edu/enve
29,Civil Engineering,Transportation Engineering,http://libguides.gatech.edu/transportation
30,Computer Science,College of Computing,http://libguides.gatech.edu/cc
31,Conference Proceedings,Society Conference Papers,http://libguides.gatech.edu/socpapers
32,Earth and Atmospheric Sciences,Earth and Atmospheric Sciences,http://libguides.gatech.edu/eas
33,Economics,ECON 6360: Development Economics,http://libguides.gatech.edu/econ6360
34,Economics,ECON 6460 - Industrial Organization,http://libguides.gatech.edu/econ6460
35,Economics,ECON 7013 - Microeconomic Theory II,http://libguides.gatech.edu/econ7013
36,Economics,Econometrics - ECON 3161,http://libguides.gatech.edu/econ3161
37,Economics,Economic and Business Forecasting (ECON 4160),http://libguides.gatech.edu/ECON4160
38,Economics,Economics,http://libguides.gatech.edu/economics
39,Economics,Macroeconomics: Econ 6105,http://libguides.gatech.edu/econ6105
40,Electrical and Computer Engineering,Electrical and Computer Engineering,http://libguides.gatech.edu/ece
41,Environment,Earth Day,http://libguides.gatech.edu/earthday
42,Environment,Environmental Engineering,http://libguides.gatech.edu/enve
43,Government Information,Constitution Day,http://libguides.gatech.edu/constitution-day
44,Government Information,Election 2016,http://libguides.gatech.edu/election2016
45,Government Information,Government Information,http://libguides.gatech.edu/government
46,Government Information,Needs & Offers,http://libguides.gatech.edu/NeedsOffers
47,Government Information,Patents and Trademarks: Quick Guide,http://libguides.gatech.edu/patents
48,GTRI,GTRI,http://libguides.gatech.edu/gtri
49,History,History,http://libguides.gatech.edu/history
50,Industrial and Systems Engineering,Industrial & Systems Engineering,http://libguides.gatech.edu/isye
51,Industrial and Systems Engineering,Logistics & Transportation,http://libguides.gatech.edu/logistics_transportation
52,Industrial and Systems Engineering,Operations Research,http://libguides.gatech.edu/operations_research
53,Industrial and Systems Engineering,Optimization,http://libguides.gatech.edu/optimization
54,Industrial Design,Industrial Design Guide,http://libguides.gatech.edu/industrialdesign
55,International Affairs,Development and International Affairs,http://libguides.gatech.edu/devel
56,International Affairs,Ethics and International Affairs,http://libguides.gatech.edu/ethicsinta
57,International Affairs,Finding International News,http://libguides.gatech.edu/intnews
58,International Affairs,Georgia Tech Model United Nations (GTMUN),http://libguides.gatech.edu/gtmun
59,International Affairs,INTA 3101/6105 International Institutions,http://libguides.gatech.edu/inta3101
60,International Affairs,INTA 3110 - Introduction to U.S. Foreign Policy,http://libguides.gatech.edu/inta3110
61,International Affairs,INTA 3241a: Latin American Politics,http://libguides.gatech.edu/inta3241
62,International Affairs,INTA 4740: International Political Economy,http://libguides.gatech.edu/inta4740
63,International Affairs,INTA 4803/8803 Global Issues and Leadership,http://libguides.gatech.edu/leadership
64,International Affairs,INTA 4803/8803: Politics of Central and Eastern Europe,http://libguides.gatech.edu/ceepolitics
65,International Affairs,INTA 4803/8803: Space Policy,http://libguides.gatech.edu/spacepolicy
66,International Affairs,INTA 4803: Soccer and Global Politics,http://libguides.gatech.edu/soccerpol
67,International Affairs,INTA 6003: Empirical Methods,http://libguides.gatech.edu/inta6003
68,International Affairs,"INTA/CS 4803/8803: Computers, Communication & International Development",http://libguides.gatech.edu/inta4803
69,International Affairs,International Affairs,http://libguides.gatech.edu/intatop
70,International Affairs,International Affairs Portal,http://libguides.gatech.edu/intaportal
71,International Affairs,International Organizations,http://libguides.gatech.edu/intlorgs
72,International Affairs,Science and Technology in International Affairs,http://libguides.gatech.edu/intascitech
73,International Affairs,Security Studies,http://libguides.gatech.edu/intlsecurity
74,International Affairs,Statistics and Data Sets in International Affairs,http://libguides.gatech.edu/intastat
75,International Affairs,Women and International Affairs,http://libguides.gatech.edu/intawomen
76,"Literature, Media and Communication (LMC)",English 1101 & 1102 - Library Research & Resource Basics,http://libguides.gatech.edu/English1102and1102
77,"Literature, Media and Communication (LMC)","Literature, Media, & Communication",http://libguides.gatech.edu/lmc
78,Maps and Geospatial Data,"Maps, GIS, and Spatial Data",http://libguides.gatech.edu/gis
79,Maps and Geospatial Data,Needs & Offers,http://libguides.gatech.edu/NeedsOffers
