,Category,Subject,Link
0,Anthropology,Anthropology,http://libguides.luc.edu/anthropology
1,Archives and Special Collections,Archives and Special Collections,http://libguides.luc.edu/archives
2,Archives and Special Collections,Edward Gorey,http://libguides.luc.edu/gorey
3,Arrupe College,Arrupe College,http://libguides.luc.edu/arrupe
4,Biology,Biology,http://libguides.luc.edu/biology
5,Black World Studies,African Studies and the African Diaspora,http://libguides.luc.edu/blackworldstudies
6,Business Administration,Business Administration,http://libguides.luc.edu/bus_admin
7,Business Administration,Career & Certification Resources,http://libguides.luc.edu/careerandcertification
8,Business Administration,Quinlan Case Competition,http://libguides.luc.edu/QuinlanCaseCompetition
9,Chemistry,Chemistry,http://libguides.luc.edu/chemistry
10,Classical Studies,Classical Studies,http://libguides.luc.edu/classical_studies
11,Communication,Communication,http://libguides.luc.edu/communication
12,Communication,Journalism Research,http://libguides.luc.edu/journalism
13,Computer Science,Basic Computer Resources,http://libguides.luc.edu/basic_comp
14,Computer Science,Computer Science,http://libguides.luc.edu/compsci
15,Course Guides,Bio 265: Ecology,http://libguides.luc.edu/ecology
16,Course Guides,Bio 319: Evolution,http://libguides.luc.edu/evolution
17,Course Guides,COMP 111: History of Computing,http://libguides.luc.edu/historyofcomp
18,Course Guides,CPST 278: Fundraising and Financial Sustainability,http://libguides.luc.edu/cpst278
19,Course Guides,DANC 121/222: Modern Dance I and II,http://libguides.luc.edu/c.php?g=49832
20,Course Guides,DANC 250: Dance History: Renaissance to Present,http://libguides.luc.edu/c.php?g=49834
21,Course Guides,DANC 321: Modern Dance III,http://libguides.luc.edu/c.php?g=49833
22,Course Guides,HIST 101: Evolution of Western Ideas and Institutions to the 17th Century,http://libguides.luc.edu/HIST101Rivera
23,Course Guides,IPS 555: Human Person and Psychological Development,http://libguides.luc.edu/c.php?g=49843
24,Course Guides,PHIL 284: Health Care Ethics,http://libguides.luc.edu/PHIL284Parks
25,Course Guides,PHIL 505: Teaching Internship,http://libguides.luc.edu/PHIL505Miller
26,Course Guides,THEO 100: Introduction to Christian Theology,http://libguides.luc.edu/THEO100Svebakken
27,Course Guides,THEO 100: Introduction to Christian Theology,http://libguides.luc.edu/THEO100Calpino
28,Course Guides,THEO 100: Introduction to Christian Theology,http://libguides.luc.edu/THEO100Kemp
29,Course Guides,THEO 231: Old Testament,http://libguides.luc.edu/THEO231Calpino
30,Course Guides,THTR 367: Theatre History and Literature IV,http://libguides.luc.edu/c.php?g=49831
31,Course Guides,Women in Literature: Modern Non-Western Fiction,http://libguides.luc.edu/womeninlit_nonwestern
32,Criminal Justice,Criminal Justice and Criminology,http://libguides.luc.edu/cj
33,Ebooks,E-Books - new,http://libguides.luc.edu/c.php?g=722368
34,Economics,Economics,http://libguides.luc.edu/economics
35,Education,Curriculum Collection at Lewis Library,http://libguides.luc.edu/curriculum_collection
36,Education,Curriculum Resources on the Internet,http://libguides.luc.edu/curriculum_resources
37,Education,Education Main Research Guide,http://libguides.luc.edu/education
38,Education,Engaged Learning,http://libguides.luc.edu/engagedlearning
39,Education,Primary and Secondary Resources,http://libguides.luc.edu/xprimary
40,Engineering,Engineering Science,http://libguides.luc.edu/engineering
41,English,English,http://libguides.luc.edu/english
42,English,English as a Second Language (ESL),http://libguides.luc.edu/ESL
43,Environmental Sciences,Environmental Sustainability,http://libguides.luc.edu/environmentalscience
44,Film Studies,Film Studies,http://libguides.luc.edu/film
45,Fine Arts,Fine Arts,http://libguides.luc.edu/finearts
46,Government Information,Census Research,http://libguides.luc.edu/census
47,Government Information,Elections,http://libguides.luc.edu/elections
48,Government Information,Government Information,http://libguides.luc.edu/government
49,History,History,http://libguides.luc.edu/history
50,Images,Image Collections,http://libguides.luc.edu/images
51,International Studies,International Studies,http://libguides.luc.edu/international
52,Islamic World Studies,Islamic World Studies,http://libguides.luc.edu/islamic_world_studies
53,Latin American Studies,Latin American Studies,http://libguides.luc.edu/latinamericanstudies
54,Law,Law and Basic Legal Research,http://libguides.luc.edu/law
55,Library Science,Alumni Resources,http://libguides.luc.edu/xalumni
56,Library Science,Basic Computer Resources,http://libguides.luc.edu/basic_comp
57,Library Science,David Lee Csicsko,http://libguides.luc.edu/csicsko
58,Library Science,Library Science,http://libguides.luc.edu/lis
59,Library Science,Linking to Library Resources,http://libguides.luc.edu/linking
60,Library Science,Popular Magazines VS Trade Magazines VS Scholarly Journals,http://libguides.luc.edu/journaltypes
61,Library Science,Presentation Tips,http://libguides.luc.edu/presentation_tips
62,Library Science,Primary and Secondary Resources,http://libguides.luc.edu/xprimary
63,Mathematics & Statistics,Math & Statistics,http://libguides.luc.edu/math_stats
64,Modern Languages,Modern Languages,http://libguides.luc.edu/modernlanguages
65,News & Current Events,News & Current Events,http://libguides.luc.edu/news
66,Nursing / General Health,Nursing,http://libguides.luc.edu/nursing
67,Online Video,Online Video Resources,http://libguides.luc.edu/video
68,Pastoral Studies,Pastoral Studies,http://libguides.luc.edu/PastoralStudies
69,Pastoral Studies,Social Justice,http://libguides.luc.edu/socialjustice
70,Peace Studies,Peace Studies,http://libguides.luc.edu/peace
71,Performing Arts,Dance,http://libguides.luc.edu/dance
72,Performing Arts,Music,http://libguides.luc.edu/c.php?g=49732
73,Philosophy,Philosophy,http://libguides.luc.edu/philosophy
74,Physics,Physics,http://libguides.luc.edu/physics
75,Political Science,Elections,http://libguides.luc.edu/elections
76,Political Science,Loyola Votes 2018,http://libguides.luc.edu/loyolavotes2018
77,Political Science,Political Science,http://libguides.luc.edu/politicalscience
78,Psychology,Psychology,http://libguides.luc.edu/psychology
79,Rome Studies,Rome,http://libguides.luc.edu/romestudies
80,School of Continuing and Professional Studies,CPST 278: Fundraising and Financial Sustainability,http://libguides.luc.edu/cpst278
81,School of Continuing and Professional Studies,Nonprofit and Church Leadership,http://libguides.luc.edu/nonprofit_church
82,School of Continuing and Professional Studies,School of Continuing and Professional Studies,http://libguides.luc.edu/scps
83,Social Work,APA Style and Citation,http://libguides.luc.edu/apa6th
84,Social Work,Child Trafficking,http://libguides.luc.edu/childtrafficking
85,Social Work,Social Work,http://libguides.luc.edu/Social_Work
86,Social Work,Social Work Students at Carthage College,http://libguides.luc.edu/carthage
87,Social Work,Trabajo Social,http://libguides.luc.edu/trabajosocial
88,Sociology,Sociology,http://libguides.luc.edu/sociology
89,Special Topics,Edward Gorey,http://libguides.luc.edu/gorey
90,Special Topics,Elections,http://libguides.luc.edu/elections
91,Special Topics,Environmental Sustainability at Loyola,http://libguides.luc.edu/sustainability
92,Theater,Theatre,http://libguides.luc.edu/theatre
93,Theology & Religion,Pastoral Studies,http://libguides.luc.edu/PastoralStudies
94,Theology & Religion,Theology and Religious Studies,http://libguides.luc.edu/theology_and_religious_studies
95,UCWR - College Writing Seminar,Presentation Tips,http://libguides.luc.edu/presentation_tips
96,UCWR - College Writing Seminar,UCWR,http://libguides.luc.edu/ucwr110
97,Univ,UNIV,http://libguides.luc.edu/univ101
98,Women and Leadership Archives,Women and Leadership Archives,http://libguides.luc.edu/wla
99,Women's Studies,Women's Studies and Gender Studies,http://libguides.luc.edu/womens_studies_gender_studies
100,Xtra topics,Citing Sources,http://libguides.luc.edu/citing
101,Xtra topics,Presentation Tips,http://libguides.luc.edu/presentation_tips
102,Xtra topics,Refworks,http://libguides.luc.edu/lucrefworks
