,Category,Subject,Link
0,"""A Guide to....""",A Guide to Books,http://libguides.mcmaster.ca/books
1,"""A Guide to....""",A Guide to Discovery & Catalogue,http://libguides.mcmaster.ca/discovery
2,"""A Guide to....""",A Guide to Government Publications,http://libguides.mcmaster.ca/government-publications
3,"""A Guide to....""",A Guide to Images,http://libguides.mcmaster.ca/images
4,"""A Guide to....""",A Guide to Journal Articles,http://libguides.mcmaster.ca/journal-articles
5,"""A Guide to....""",A Guide to Microforms,http://libguides.mcmaster.ca/microforms
6,"""A Guide to....""",A Guide to Music,http://libguides.mcmaster.ca/music
7,"""A Guide to....""",A Guide to Newspapers,http://libguides.mcmaster.ca/newspapers
8,"""A Guide to....""",A Guide to Primary Sources,http://libguides.mcmaster.ca/primary-sources
9,"""A Guide to....""","A Guide to Reviews (Books, Film & Theatre)",http://libguides.mcmaster.ca/reviews
10,"""A Guide to....""",A Guide to Theses & Dissertations,http://libguides.mcmaster.ca/theses-dissertations
11,"""A Guide to....""",A Guide to Videos & Films,http://libguides.mcmaster.ca/videos-films
12,"""How Do I...?""",How Do I Cite Government Publications?,http://libguides.mcmaster.ca/cite-government-publications
13,"""How Do I...?""",How Do I Cite in APA?,http://libguides.mcmaster.ca/APA
14,"""How Do I...?""",How Do I Cite in Chicago for Business?,http://libguides.mcmaster.ca/businesscitation
15,"""How Do I...?""",How Do I Cite in MLA?,http://libguides.mcmaster.ca/MLA
16,"""How Do I...?""",How Do I Cite in Turabian (Chicago)?,http://libguides.mcmaster.ca/Turabian
17,"""How Do I...?""",How Do I Cite Maps and Atlases?,http://libguides.mcmaster.ca/cite-maps
18,"""How Do I...?""",How Do I Cite Unpublished Sources?,http://libguides.mcmaster.ca/cite-unpublished-sources
19,"""How Do I...?""",How Do I Do Genealogical Research?,http://libguides.mcmaster.ca/genealogical-research
20,"""How Do I...?""",How Do I Find Articles?,http://libguides.mcmaster.ca/find-articles
21,"""How Do I...?""",How Do I Find Book Reviews?,http://libguides.mcmaster.ca/find-book-reviews
22,"""How Do I...?""",How Do I Find Books?,http://libguides.mcmaster.ca/find-books
23,"""How Do I...?""",How Do I Find Business Cases?,http://libguides.mcmaster.ca/business-cases
24,"""How Do I...?""",How Do I Find Business Databases?,http://libguides.mcmaster.ca/databases
25,"""How Do I...?""",How Do I Find Canadian Case Law?,http://libguides.mcmaster.ca/case-law
26,"""How Do I...?""",How Do I Find Collective Agreements?,http://libguides.mcmaster.ca/collective-agreements
27,"""How Do I...?""",How Do I Find Company Annual Reports?,http://libguides.mcmaster.ca/company
28,"""How Do I...?""",How do I Find Conference Proceedings?,http://libguides.mcmaster.ca/proceedings
29,"""How Do I...?""",How Do I Find Financial Ratios?,http://libguides.mcmaster.ca/financial-ratios
30,"""How Do I...?""",How Do I Find Government Publications?,http://libguides.mcmaster.ca/find-government-publications
31,"""How Do I...?""",How Do I Find Grey Literature?,http://libguides.mcmaster.ca/find-grey-literature
32,"""How Do I...?""","How Do I Find Historical Journal, Magazine and Newspaper Articles?",http://libguides.mcmaster.ca/find-historical-articles
33,"""How Do I...?""",How Do I Find Industry Reports?,http://libguides.mcmaster.ca/industry-reports
34,"""How Do I...?""",How Do I Find Journals?,http://libguides.mcmaster.ca/find-journals
35,"""How Do I...?""",How Do I Find Library Catalogues?,http://libguides.mcmaster.ca/library-catalogues
36,"""How Do I...?""",How Do I Find Market Share?,http://libguides.mcmaster.ca/market-share
37,"""How Do I...?""",How Do I Find McMaster Business Theses?,http://libguides.mcmaster.ca/business-theses
38,"""How Do I...?""",How Do I Find McMaster Business Working Papers?,http://libguides.mcmaster.ca/business-working-papers
39,"""How Do I...?""","How Do I Find Music, Spoken Records & Sound Recordings?",http://libguides.mcmaster.ca/find-music
40,"""How Do I...?""",How Do I Find My Way Around the Library?,http://libguides.mcmaster.ca/library
41,"""How Do I...?""",How Do I Find News?,http://libguides.mcmaster.ca/news
42,"""How Do I...?""",How Do I Find Patents?,http://libguides.mcmaster.ca/patents
43,"""How Do I...?""",How do I Find Standards?,http://libguides.mcmaster.ca/standards
44,"""How Do I...?""",How Do I Find SWOT Analyses?,http://libguides.mcmaster.ca/swot
45,"""How Do I...?""",How Do I Find Technical Reports?,http://libguides.mcmaster.ca/reports
46,"""How Do I...?""",How Do I Find the 50 Journals used in the FT Research Rank?,http://libguides.mcmaster.ca/ft-top50
47,"""How Do I...?""",How Do I Find Theses & Dissertations?,http://libguides.mcmaster.ca/find-theses
48,"""How Do I...?""",How Do I Find Videos & Film?,http://libguides.mcmaster.ca/find-videos
49,"""How Do I...?""",How Do I Link to e-Resources?,http://libguides.mcmaster.ca/link-eresources
50,"""How Do I...?""",How Do I Search the Web?,http://libguides.mcmaster.ca/web-search
51,"""How Do I...?""",How Do I Subscribe to Alerts & RSS Feeds,http://libguides.mcmaster.ca/alerts-rssfeeds
52,"""How Do I...?""",How Do I Track Citations?,http://libguides.mcmaster.ca/track-citations
53,Anthropology,Anthro 1AA3 - Fall 2018,http://libguides.mcmaster.ca/anthro1aa3-f18
54,Anthropology,Anthro 1AA3 - Winter 2018,http://libguides.mcmaster.ca/Anthro1AA3
55,Anthropology,Anthro 1AB3 - Fall 2017,http://libguides.mcmaster.ca/Anthro1AB3
56,Anthropology,Anthro 1AB3 - Summer 2018,http://libguides.mcmaster.ca/Anthro1AB3-S18
57,Anthropology,Anthro 2O03 - Fall 2017,http://libguides.mcmaster.ca/Anthro2O03
58,Biology,Biology Thesis,http://libguides.mcmaster.ca/BioThesis
59,Business,Business Data and Statistics,http://libguides.mcmaster.ca/c.php?g=704161
60,Business,Commerce 1B03 - Business Environment & Organization,http://libguides.mcmaster.ca/commerce1b03
61,Business,Commerce 1E03 - Business Environment & Organization,http://libguides.mcmaster.ca/commerce1e03
