,Category,Subject,Link
0,Art and Design,Built Environment,http://libguides.mdx.ac.uk/BuiltEnvironment
1,Art and Design,Fashion and Textiles,http://libguides.mdx.ac.uk/fashiontextiles
2,Art and Design,Fine Art,http://libguides.mdx.ac.uk/fineart
3,Art and Design,"Graphic Design, Illustration, Animation & 3D Games, Photography",http://libguides.mdx.ac.uk/graphic
4,Art and Design,Interior Architecture and Interior Design,http://libguides.mdx.ac.uk/interiorarchitectureinteriordesign
5,Art and Design,Museum of Domestic Design and Architecture (MoDA),http://libguides.mdx.ac.uk/moda
6,Art and Design,Product Design and Design Engineering,http://libguides.mdx.ac.uk/pdde
7,Art and Design,Special Collections,http://libguides.mdx.ac.uk/specialcolls
8,Business,Business School,http://libguides.mdx.ac.uk/business
9,"Computing, Maths and Engineering",Built Environment,http://libguides.mdx.ac.uk/BuiltEnvironment
10,"Computing, Maths and Engineering",Computing,http://libguides.mdx.ac.uk/computing
11,"Computing, Maths and Engineering",Mathematics and Statistics,http://libguides.mdx.ac.uk/MathsStats
12,"Computing, Maths and Engineering",Product Design and Design Engineering,http://libguides.mdx.ac.uk/pdde
13,Education,Education,http://libguides.mdx.ac.uk/education
14,Education,PG Cert Learning and Supporting Teaching in Higher Education,http://libguides.mdx.ac.uk/PGCHE
15,Education,Translation and Interpreting,http://libguides.mdx.ac.uk/languages
16,Health,Healthcare Support Worker & Assistant Practitioner,http://libguides.mdx.ac.uk/Healthcaresupport
17,Health,Integrative Medicine,http://libguides.mdx.ac.uk/integrativemedicine
18,Health,Mental Health,http://libguides.mdx.ac.uk/MentalHealth
19,Health,Midwifery,http://libguides.mdx.ac.uk/Midwifery
20,Health,Nursing,http://libguides.mdx.ac.uk/nursing
21,Health,Nursing (Guernsey),http://libguides.mdx.ac.uk/guernsey
22,Health,Social Work,http://libguides.mdx.ac.uk/SocialWork
23,Health,Veterinary Nursing,http://libguides.mdx.ac.uk/veterinarynursing
24,Law and Politics,Law and Legal Research,http://libguides.mdx.ac.uk/lawandlegal
25,Law and Politics,Social Sciences & International Politics,http://libguides.mdx.ac.uk/socialpolicy
26,Media and Performing Arts,Dance,http://libguides.mdx.ac.uk/dance
27,Media and Performing Arts,English and Writing,http://libguides.mdx.ac.uk/englishandwriting
28,Media and Performing Arts,"Film, Television Production and Visual Effects",http://libguides.mdx.ac.uk/filmtvproduction
29,Media and Performing Arts,Games Design,http://libguides.mdx.ac.uk/gamesdesign
30,Media and Performing Arts,Media,http://libguides.mdx.ac.uk/media
31,Media and Performing Arts,Museum of Domestic Design and Architecture (MoDA),http://libguides.mdx.ac.uk/moda
32,Media and Performing Arts,Music/ Arts Management,http://libguides.mdx.ac.uk/MDXMusic
33,Media and Performing Arts,Theatre Arts,http://libguides.mdx.ac.uk/theatrearts
34,Pre-sessional and IFP,International Foundation Programme,http://libguides.mdx.ac.uk/ifp
35,Pre-sessional and IFP,Pre-sessional Programme,http://libguides.mdx.ac.uk/psg
36,Psychology,Psychology,http://libguides.mdx.ac.uk/psy
37,Science,Natural Science,http://libguides.mdx.ac.uk/biomedicalsciences
38,Science,"Public Health, Risk, Safety & Environment",http://libguides.mdx.ac.uk/prs
39,Sociology and Criminology,Criminology,http://libguides.mdx.ac.uk/criminology
40,Sociology and Criminology,Sociology,http://libguides.mdx.ac.uk/sociology
41,Sport and Exercise Science,Sport and Exercise Science,http://libguides.mdx.ac.uk/sport
42,User Guides,Accessing Electronic Resources,http://libguides.mdx.ac.uk/accessingelectronicresources
43,User Guides,Apps for Teaching and Learning,http://libguides.mdx.ac.uk/app
44,User Guides,Box of Broadcasts,http://libguides.mdx.ac.uk/BoB
45,User Guides,Distance Learners,http://libguides.mdx.ac.uk/distancelearners
46,User Guides,Inter Library Loans,http://libguides.mdx.ac.uk/interlibraryloan
47,User Guides,Library Search,http://libguides.mdx.ac.uk/librarysearch
48,User Guides,Lynda.com,http://libguides.mdx.ac.uk/lynda_com
49,User Guides,New Academic Staff,http://libguides.mdx.ac.uk/newstaff
50,User Guides,Referencing & Plagiarism,http://libguides.mdx.ac.uk/plagiarismreferencing
51,User Guides,Researchers,http://libguides.mdx.ac.uk/research
52,User Guides,Special Collections,http://libguides.mdx.ac.uk/specialcolls
53,User Guides,Transport from Hendon,http://libguides.mdx.ac.uk/transport
54,User Guides,Words and Meanings,http://libguides.mdx.ac.uk/wordsandmeanings
55,Work Based Learning,Work Based Learning and Professional Practice,http://libguides.mdx.ac.uk/wbl
