,Category,Subject,Link
0,Aerospace Engineering,Mechanical and Aerospace Engineering,http://libguides.mst.edu/mechanical
1,"Arts, Languages, and Philosophy","Arts, Languages, and Philosophy",http://libguides.mst.edu/alp
2,"Arts, Languages, and Philosophy",Latin American Studies,http://libguides.mst.edu/LatinAmericanStudies
3,Biology,Biological Sciences,http://libguides.mst.edu/biology
4,Business and Information Technology,Business and Information Technology,http://libguides.mst.edu/business
5,Chemical and Biological Engineering,Chemical & Biological Engineering,http://libguides.mst.edu/cbe
6,Chemistry,Chemistry,http://libguides.mst.edu/chemistry
7,Civil Engineering,"Civil, Architectural, and Environmental Engineering",http://libguides.mst.edu/civil
8,Civil Engineering,Houses for ArcE2803,http://libguides.mst.edu/houses
9,Computer Science,Computer Science,http://libguides.mst.edu/computerscience
10,Economics,Economics,http://libguides.mst.edu/economics
11,Education,Education,http://libguides.mst.edu/education
12,Electrical and Computer Engineering,EE 6290,http://libguides.mst.edu/ee6290
13,Electrical and Computer Engineering,Electrical and Computer Engineering,http://libguides.mst.edu/ece
14,Engineering Management and Systems Engineering,Engineering Management and Systems Engineering,http://libguides.mst.edu/eman
15,English and Technical Communication,English and Technical Communication,http://libguides.mst.edu/english
16,English and Technical Communication,History of English - English 3302,http://libguides.mst.edu/english3302
17,English and Technical Communication,Myth and Folklore - English 3234,http://libguides.mst.edu/mythology
18,English and Technical Communication,The Plays of William Shakespeare - English 3214,http://libguides.mst.edu/shakespeare
19,Environmental Engineering,Environmental Engineering,http://libguides.mst.edu/environmental
20,Geological Sciences and Engineering,Geological Sciences and Engineering,http://libguides.mst.edu/geology
21,History and Political Science,American History to 1877 - History 1300,http://libguides.mst.edu/history1300
22,History and Political Science,History and Political Science,http://libguides.mst.edu/history
23,History and Political Science,History of Technology - History 2510,http://libguides.mst.edu/history2510
24,History and Political Science,Nazi Germany and the Holocaust - History 4245,http://libguides.mst.edu/holocaust
25,History and Political Science,Revolutionary America - History 3325,http://libguides.mst.edu/history3325
26,Library Services,Browzine,http://libguides.mst.edu/browzine
27,Library Services,E-Book Collections,http://libguides.mst.edu/ebooks
28,Library Services,Information for Faculty,http://libguides.mst.edu/faculty
29,Library Services,Information for Guest Patrons,http://libguides.mst.edu/public
30,Library Services,Kanopy,http://libguides.mst.edu/kanopy
31,Library Services,Library Hours Calendar,http://libguides.mst.edu/calendar
32,Library Services,Newspapers,http://libguides.mst.edu/newspapers
33,Library Technology,Electronics kits to check out,http://libguides.mst.edu/kits
34,Library Technology,MinerBytes,http://libguides.mst.edu/minerbytes
35,Library Technology,Nonavitra Visualization Wall,http://libguides.mst.edu/nonavitra
36,Materials Science,Materials Science,http://libguides.mst.edu/materials
37,Materials to Borrow,Electronics kits to check out,http://libguides.mst.edu/kits
38,Materials to Borrow,"Tools, kits, and cameras to check out",http://libguides.mst.edu/tools
39,Mathematics and Statistics,Mathematics & Statistics,http://libguides.mst.edu/math
40,Mechanical Engineering,ME 4842,http://libguides.mst.edu/me4842
41,Mechanical Engineering,Mechanical and Aerospace Engineering,http://libguides.mst.edu/mechanical
42,Mining Engineering,Mining Engineering,http://libguides.mst.edu/mining
43,News and Events,Art in the Library Committee,http://libguides.mst.edu/artinthelibrary
44,News and Events,Library Events Calendar,http://libguides.mst.edu/eventscalendar
45,News and Events,Library Hours Calendar,http://libguides.mst.edu/calendar
46,News and Events,MinerBytes,http://libguides.mst.edu/minerbytes
47,News and Events,MSM and the Civil War,http://libguides.mst.edu/c.php?g=839605
48,Nuclear Engineering,Nuclear Engineering,http://libguides.mst.edu/nuclear
49,Physics,Physics,http://libguides.mst.edu/physics
50,Psychology,Psychology,http://libguides.mst.edu/psychology
51,Research and Publication Tools,Copyright,http://libguides.mst.edu/copyright
52,Research and Publication Tools,Mendeley,http://libguides.mst.edu/mendeley
53,Research and Publication Tools,Open Access,http://libguides.mst.edu/open
54,Research and Publication Tools,Research Data Management,http://libguides.mst.edu/data
55,Scholarly Communications,A&OER: Affordable & Open Educational Resources,http://libguides.mst.edu/OER
56,Scholarly Communications,Copyright,http://libguides.mst.edu/copyright
57,Scholarly Communications,Directory of Institutional Repositories,http://libguides.mst.edu/RepositoryDirectory
58,Scholarly Communications,myVITA,http://libguides.mst.edu/myVITA
59,Scholarly Communications,Open Access,http://libguides.mst.edu/open
60,Scholarly Communications,Research Data Management,http://libguides.mst.edu/data
61,Scholarly Communications,Scholars' Mine,http://libguides.mst.edu/scholarsmine
62,Special Research Topics,Newspapers,http://libguides.mst.edu/newspapers
63,Special Research Topics,Patents,http://libguides.mst.edu/c.php?g=335478
