,Category,Subject,Link
0,Aboriginal Studies,Aboriginal Studies,http://libguides.msvu.ca/aboriginal
1,Anthropology,Anthropology,http://libguides.msvu.ca/anthropology
2,Anthropology,Sociology,http://libguides.msvu.ca/sociology
3,Anthropology,Women's Studies,http://libguides.msvu.ca/womensstudies
4,Applied Human Nutrition,Applied Human Nutrition,http://libguides.msvu.ca/nutrition
5,Applied Human Nutrition,Biology,http://libguides.msvu.ca/biology
6,Applied Human Nutrition,Nutrition Citation: Style of the ICMJE - International Committee of Medical Journal Editors,http://libguides.msvu.ca/nutrition-style
7,Atlantic Canada,Canadian Children’s Literature,http://libguides.msvu.ca/CanKidLit
8,Atlantic Canada,Canadian Studies,http://libguides.msvu.ca/canada
9,Atlantic Canada,History of the Maritime Provinces,http://libguides.msvu.ca/historymaritimes
10,Biology,Biology,http://libguides.msvu.ca/biology
11,Business,Business Administration,http://libguides.msvu.ca/business
12,Business,Economics,http://libguides.msvu.ca/economics
13,Business,Government Information & Data,http://libguides.msvu.ca/government
14,Business,Information Technology,http://libguides.msvu.ca/it
15,Business,Social Economy Guide,http://libguides.msvu.ca/socialeconomy
16,Business,Tourism & Hospitality Management,http://libguides.msvu.ca/tourism
17,Canadian Studies,Canadian Studies,http://libguides.msvu.ca/canada
18,Canadian Studies,History of the Maritime Provinces,http://libguides.msvu.ca/historymaritimes
19,Chemistry & Physics,Chemistry and Physics,http://libguides.msvu.ca/chemistry
20,Child & Youth Study,Canadian Children’s Literature,http://libguides.msvu.ca/CanKidLit
21,Child & Youth Study,Child & Youth Study,http://libguides.msvu.ca/cys
22,Child & Youth Study,Curriculum Resource Centre,http://libguides.msvu.ca/crc
23,Child & Youth Study,Education,http://libguides.msvu.ca/education
24,Child & Youth Study,Graduate Studies Guide,http://libguides.msvu.ca/gradstudies
25,Communications,Biology,http://libguides.msvu.ca/biology
26,Communications,Chemistry and Physics,http://libguides.msvu.ca/chemistry
27,Communications,Communication Studies,http://libguides.msvu.ca/communications
28,Communications,Government Information & Data,http://libguides.msvu.ca/government
29,Cultural Studies,Canadian Studies,http://libguides.msvu.ca/canada
30,Cultural Studies,Cultural Studies,http://libguides.msvu.ca/culturalstudies
31,Cultural Studies,English Literature,http://libguides.msvu.ca/english
32,Cultural Studies,Religious Studies,http://libguides.msvu.ca/religion
33,Economics,Business Administration,http://libguides.msvu.ca/business
34,Economics,Canadian Studies,http://libguides.msvu.ca/canada
35,Economics,Economics,http://libguides.msvu.ca/economics
36,Economics,Government Information & Data,http://libguides.msvu.ca/government
37,Economics,Political Studies,http://libguides.msvu.ca/politicalstudies
38,Economics,Social Economy Guide,http://libguides.msvu.ca/socialeconomy
39,Education,Canadian Children’s Literature,http://libguides.msvu.ca/CanKidLit
40,Education,Child & Youth Study,http://libguides.msvu.ca/cys
41,Education,Curriculum Resource Centre,http://libguides.msvu.ca/crc
42,Education,Education,http://libguides.msvu.ca/education
43,Education,Education PhD Program,http://libguides.msvu.ca/phd
44,Education,Graduate Studies Guide,http://libguides.msvu.ca/gradstudies
45,Education,Peace and Conflict Studies,http://libguides.msvu.ca/peace
46,English Literature,Canadian Children’s Literature,http://libguides.msvu.ca/CanKidLit
47,English Literature,Children's Literature,http://libguides.msvu.ca/childlit
48,English Literature,English Literature,http://libguides.msvu.ca/english
49,Family Studies,Family Studies,http://libguides.msvu.ca/familystudies
50,Family Studies,Gerontology,http://libguides.msvu.ca/gerontology
51,Family Studies,Government Information & Data,http://libguides.msvu.ca/government
52,Family Studies,Graduate Studies Guide,http://libguides.msvu.ca/gradstudies
53,Family Studies,Public Policy,http://libguides.msvu.ca/publicpolicy
54,French,French (Modern Languages),http://libguides.msvu.ca/french
55,Gerontology,Family Studies,http://libguides.msvu.ca/familystudies
56,Gerontology,Gerontology,http://libguides.msvu.ca/gerontology
57,Gerontology,Graduate Studies Guide,http://libguides.msvu.ca/gradstudies
58,Government Information & Data,Government Information & Data,http://libguides.msvu.ca/government
59,Help,Help with Library Research,http://libguides.msvu.ca/help
60,History,History,http://libguides.msvu.ca/History
61,History,History of the Maritime Provinces,http://libguides.msvu.ca/historymaritimes
62,History,Primary Sources,http://libguides.msvu.ca/primarysources
63,Information Technology,Business Administration,http://libguides.msvu.ca/business
