,Category,Subject,Link
0,Art,Art & Politics,http://libguides.scf.edu/art_and_politics_research
1,Art,Art History and Appreciation,http://libguides.scf.edu/c.php?g=631548
2,Art,Digital Humanities,http://libguides.scf.edu/DH
3,Art,Music,http://libguides.scf.edu/musicguide
4,Business,AS: Business Entrepreneurship,http://libguides.scf.edu/c.php?g=636970
5,Business,Business Resources,http://libguides.scf.edu/businessresources
6,Business,ENC 1101 & SPC 1608 : Advertising,http://libguides.scf.edu/advertising_issues_research
7,Business,ENC 1101: Lewis,http://libguides.scf.edu/ENC1101Lewis
8,Business,International Business & Trade,http://libguides.scf.edu/IBT
9,Business,MAN 3240 Santos,http://libguides.scf.edu/MAN3240
10,Business,MAN 4102: Managing Cultural Diversity,http://libguides.scf.edu/man4102
11,Business,SPM 2000: Intro to Sport Management,http://libguides.scf.edu/spm2000
12,Business,Statistics,http://libguides.scf.edu/statistics
13,Business,Technology Management,http://libguides.scf.edu/technologymanagement
14,Career,SLS 1300 Career Planning,http://libguides.scf.edu/SLS1300
15,Career,SLS 1301 Career Explorations,http://libguides.scf.edu/careerexplorations
16,Current Events,"ENC 1101: Exemplification Essay, Instructor Raymond Klejmont",http://libguides.scf.edu/exemplification_Klejmont
17,Current Events,Flipster,http://libguides.scf.edu/Flipster_Page
18,Current Events,SPC 1608 Speech Communication,http://libguides.scf.edu/SPC1608
19,Dual Enrollment,DE ENC1102: Literary Issues Essay-Eskett,http://libguides.scf.edu/Eskett_DE
20,Dual Enrollment,Dual Enrollment,http://libguides.scf.edu/dual_enrollment
21,Dual Enrollment,ENC 1102 & AML 2020 : Literature Research,http://libguides.scf.edu/literature_research_basic
22,Dual Enrollment,ENC 1102: Written Communication II,http://libguides.scf.edu/ENC_1102
23,Dual Enrollment,EUH 1000 & EUH 1001,http://libguides.scf.edu/western_civilization
24,Dual Enrollment,"Library Hours, Location and Contact Information",http://libguides.scf.edu/hoursandstaff
25,Education,AS: Early Childhood Education,http://libguides.scf.edu/EarlyChildhoodEducation
26,Education,EME 2040: Library Resources,http://libguides.scf.edu/EME2040
27,Education,"ENC 1101: Education Research Paper, Instructor K. Connolly Lane",http://libguides.scf.edu/ENC1101_Education_Persuasive_Lane
28,Education,"EPI 0010 : Research for Education, Professor Smith",http://libguides.scf.edu/epi1010_research_education
29,Education,EPI: Educator Preparation Institute,http://libguides.scf.edu/EPI
30,Education,Maker Commons,http://libguides.scf.edu/maker
31,eMagazines,Flipster,http://libguides.scf.edu/Flipster_Page
32,English,DE ENC1102: Literary Issues Essay-Eskett,http://libguides.scf.edu/Eskett_DE
33,English,ENC 1101 Written Communication I,http://libguides.scf.edu/ENC1101-core
34,English,ENC 1101 & SPC 1608 : Advertising,http://libguides.scf.edu/advertising_issues_research
35,English,ENC1101,http://libguides.scf.edu/ENC1101
36,English,ENC1101 Anson,http://libguides.scf.edu/enc1101anson
37,English,ENC1101 Prof. Falcon,http://libguides.scf.edu/falcon
38,English,ENC1101 Prof. Golden,http://libguides.scf.edu/golden
39,English,ENC1101 Prof. Thompson,http://libguides.scf.edu/thompson
40,English,SPC1608 Bieselin,http://libguides.scf.edu/SPC1608Bieselin
41,Environment,Earth & Space Science ESC 1000,http://libguides.scf.edu/ESC1000
42,Environment,Environmental Issues Research Guide,http://libguides.scf.edu/environmental_science_research_basic
