,Category,Subject,Link
0,*Course Guides,BME Data Management - Raymond,http://libguides.tulane.edu/DataManagement-Raymond
1,*Course Guides,COMM 3160: Technology Analysis,http://libguides.tulane.edu/comm3160
2,*Course Guides,COMM 3560: History of Animation,http://libguides.tulane.edu/comm3560
3,*Course Guides,COMM 3750: Digital Cinema,http://libguides.tulane.edu/comm3750
4,*Course Guides,COMM 4815: East Asian Media & Popular Culture,http://libguides.tulane.edu/comm4815
5,*Course Guides,EBIO 2100 - Marine Biology,http://libguides.tulane.edu/marinebiology
6,*Course Guides,ENLS 7050 - Bibliography and Research Methods,http://libguides.tulane.edu/ENLS_7050
7,*Course Guides,FREN 3170 French Media & Oral Perform,http://libguides.tulane.edu/FREN_3170
8,*Course Guides,HISU 3642 - U.S. War in Vietnam,http://libguides.tulane.edu/vietnamwar
9,*Course Guides,HMLS 4600 - Walsh,http://libguides.tulane.edu/counterterrorism
10,*Course Guides,Lusher Charter School: Tulane Resources Guide,http://libguides.tulane.edu/lusher
11,*Course Guides,SISE 2010,http://libguides.tulane.edu/SISE2010
12,*Course Guides,SOWK 7120 - A Course Guide,http://libguides.tulane.edu/sowk7120
13,*Course Guides,Sports-Related Brain Injury - Research Guide,http://libguides.tulane.edu/braininjury
14,*Course Guides for English 1010,Can You Recognize Plagiarism?,http://libguides.tulane.edu/plagiarism
15,*Course Guides for English 1010,ENGL 1010 - Holt,http://libguides.tulane.edu/ENGL1010-Holt
16,*Course Guides for English 1010,ENGL 1010 - Marks,http://libguides.tulane.edu/ENGL1010-Marks
17,*Course Guides for English 1010,General Multidisciplinary Databases: A Guide,http://libguides.tulane.edu/general
18,*Reference Sources,A Guide to Reference Sources,http://libguides.tulane.edu/reference
19,*Reference Sources,General Multidisciplinary Databases: A Guide,http://libguides.tulane.edu/general
20,*Reference Sources,Images: A Guide,http://libguides.tulane.edu/images
21,*Research Skills and Tools,A Guide to Digital Scholarship,http://libguides.tulane.edu/dh
22,*Research Skills and Tools,Animal Alternatives Literature Search (IACUC),http://libguides.tulane.edu/Animal_Welfare
23,*Research Skills and Tools,Citation Management Tools,http://libguides.tulane.edu/citation_tools
24,*Research Skills and Tools,Citation: How to Cite Your Sources,http://libguides.tulane.edu/citation
25,*Research Skills and Tools,Comprehensive Literature Review: A Guide,http://libguides.tulane.edu/litreview
26,*Research Skills and Tools,Data Management,http://libguides.tulane.edu/datamanagement
27,*Research Skills and Tools,Dissertations and Theses: A Guide,http://libguides.tulane.edu/theses
28,*Research Skills and Tools,Ethical Considerations : A Guide,http://libguides.tulane.edu/ethics
29,*Research Skills and Tools,Finding Patents: Research Guide,http://libguides.tulane.edu/findingpatents
30,*Research Skills and Tools,Funding and Grants Research Guide,http://libguides.tulane.edu/findinggrants
31,*Research Skills and Tools,How to Read a Scholarly Article,http://libguides.tulane.edu/academicgenre
32,*Research Skills and Tools,Instructions for BookEye Scanner,http://libguides.tulane.edu/bookeyescanner
33,*Research Skills and Tools,Navigating Science Scholarship,http://libguides.tulane.edu/NavigatingScienceScholarship
34,*Research Skills and Tools,Predatory Publishers : A Guide,http://libguides.tulane.edu/predatorypublishers
35,*Research Skills and Tools,Presenting in the Sciences : A Guide,http://libguides.tulane.edu/presentingscience
36,*Research Skills and Tools,Scholarly Impact Research Guide,http://libguides.tulane.edu/scholarlyimpact
37,*Research Skills and Tools,Strategic Reading For Research: A Guide,http://libguides.tulane.edu/strategic_reading
38,*Research Skills and Tools,The Empirical Research Paper: A Guide,http://libguides.tulane.edu/empirical
39,Africana Studies,Africana Studies Research Guide,http://libguides.tulane.edu/africana
40,Anthropology,Anthropology Research Guide,http://libguides.tulane.edu/anthropology
41,Anthropology,Anthropology: Latin America,http://libguides.tulane.edu/anthropology_latin_america
42,Anthropology,Linguistics Research Guide,http://libguides.tulane.edu/linguistics
43,Anthropology,Statistics & Data for the Social Sciences: A Guide,http://libguides.tulane.edu/socialsciencedata
44,Architecture,Architecture Research Guide,http://libguides.tulane.edu/arch
45,Architecture,Art & Architecture: Latin America,http://libguides.tulane.edu/art_latin_america
46,Architecture,"City, Culture & Community Program",http://libguides.tulane.edu/ccc
47,Architecture,Historic Preservation Research Guide,http://libguides.tulane.edu/historic_preservation
48,Architecture,Sustainable Real Estate Development Guide,http://libguides.tulane.edu/SRED
49,Architecture,Urban Studies,http://libguides.tulane.edu/urban
50,Art,Art & Architecture: Latin America,http://libguides.tulane.edu/art_latin_america
51,Art,Art Research Guide,http://libguides.tulane.edu/arthistory
52,Asian Studies,Asian Studies Research Guide,http://libguides.tulane.edu/asianstudies
53,Biomedical Engineering,Biomedical Engineering Research Guide,http://libguides.tulane.edu/biomedical_engineering
54,Business,Basic Business Research Guide,http://libguides.tulane.edu/basicbusiness
55,Business,Basic Legal Research: A Guide,http://libguides.tulane.edu/law
56,Business,Business & Economics: Latin America,http://libguides.tulane.edu/business_latin_america
57,Business,Music Business Research Guide,http://libguides.tulane.edu/musicbusiness
58,Business,SLAMM - School of Liberal Arts Management Minor,http://libguides.tulane.edu/slamm
