,Category,Subject,Link
0,African American Studies,African American Studies,http://libguides.umw.edu/aas
1,African American Studies,James Farmer and the Freedom Rides,http://libguides.umw.edu/jamesfarmer
2,Anthropology,Anthropology,http://libguides.umw.edu/anth
3,Art and Art History,Art & Art History,http://libguides.umw.edu/art
4,Biology,BIOL 260: The Research Process,http://libguides.umw.edu/biol260
5,Biology,Biology,http://libguides.umw.edu/biology
6,Business,BUAD 259,http://libguides.umw.edu/buad259
7,Business,BUAD 413,http://libguides.umw.edu/buad413
8,Business,BUAD 473A,http://libguides.umw.edu/buad473A
9,Business,Business,http://libguides.umw.edu/buad
10,Business,Business - Stafford,http://libguides.umw.edu/staffordcob
11,Business,LexisNexis Academic: Legal and Business Research,http://libguides.umw.edu/lexisnexis
12,Chemistry,Chemistry,http://libguides.umw.edu/chemistry
13,Chemistry,Chemistry 111,http://libguides.umw.edu/chem111
14,Children's Literature,Juvenile/Young Adult Literature,http://libguides.umw.edu/jyalit
15,Classics,Classics,http://libguides.umw.edu/clas
16,Communication,Communication,http://libguides.umw.edu/comm
17,Computer Science,Computer Science,http://libguides.umw.edu/computer_science
18,Computer Science,Mathematics,http://libguides.umw.edu/mathematics
19,Earth and Environmental Science,Earth & Environmental Science,http://libguides.umw.edu/environmental_science
20,Economics,Economics,http://libguides.umw.edu/econ
21,Education,EDUC 203 / 204,http://libguides.umw.edu/educ203
22,Education,EDUC 388,http://libguides.umw.edu/educ388
23,Education,EDUC 420,http://libguides.umw.edu/educ420
24,Education,Education,http://libguides.umw.edu/educ
25,Education,Education - Stafford,http://libguides.umw.edu/staffordcoe
26,Education,Juvenile/Young Adult Literature,http://libguides.umw.edu/jyalit
27,English,English,http://libguides.umw.edu/engl
28,Geography,Census,http://libguides.umw.edu/uscensus
29,Geography,GEOG 410 Revanchist City/Rebel City,http://libguides.umw.edu/revanchist
30,Geography,Geography,http://libguides.umw.edu/geography
31,Geography,GIS,http://libguides.umw.edu/gis
32,Geology,Geology,http://libguides.umw.edu/geology
33,Health and Physical Education,Health and Physical Education,http://libguides.umw.edu/health_physical_education
34,Historic Preservation,Historic Preservation,http://libguides.umw.edu/hisp
35,History and American Studies,Historic Preservation,http://libguides.umw.edu/hisp
36,History and American Studies,History and American Studies,http://libguides.umw.edu/histamst
37,History and American Studies,James Farmer and the Freedom Rides,http://libguides.umw.edu/jamesfarmer
38,Linguistics,Linguistics,http://libguides.umw.edu/ling
39,Mathematics,MATH120: Quantitative Reasoning for the Sciences,http://libguides.umw.edu/math120
40,Mathematics,Mathematics,http://libguides.umw.edu/mathematics
41,Mathematics,Physics,http://libguides.umw.edu/physics
42,Modern Languages and Literatures,Items in Other Languages,http://libguides.umw.edu/otherlanguages
43,Modern Languages and Literatures,Modern Languages and Literatures,http://libguides.umw.edu/mfl
44,Music,Music,http://libguides.umw.edu/muhl
45,Nursing,Nursing,http://libguides.umw.edu/nursing
46,Philosophy,Philosophy,http://libguides.umw.edu/phil
47,Physics,Mathematics,http://libguides.umw.edu/mathematics
48,Physics,Physics,http://libguides.umw.edu/physics
49,Political Science and International Affairs,Political Science & International Affairs,http://libguides.umw.edu/psci
50,Political Science and International Affairs,PSCI 471A7: Politics & Film,http://libguides.umw.edu/psci471A7
51,Psychology,"PSYC 362 - Dr. McBride, Dr. Stebbins",http://libguides.umw.edu/psyc362mcbride
52,Psychology,PSYC 362 - Dr. Rettinger,http://libguides.umw.edu/psyc362rettinger
53,Psychology,Psychology,http://libguides.umw.edu/psyc
54,Religion,Religion,http://libguides.umw.edu/relg
55,Sociology,SOCG 355 (Death & Society),http://libguides.umw.edu/SOCG355
56,Sociology,SOCG 364,http://libguides.umw.edu/socg364
57,Sociology,Sociology,http://libguides.umw.edu/socg
58,Theatre and Dance,Theatre and Dance,http://libguides.umw.edu/theadanc
59,Women's Studies,Women's and Gender Studies,http://libguides.umw.edu/c.php?g=424119
