,Category,Subject,Link
0,Anthropology,Anthropology,http://libguides.usd.edu/anthro
1,Archives & Special Collections,Archives and Special Collections - The Collections,http://libguides.usd.edu/ASCCollections
2,Archives & Special Collections,Introduction to Archival Research,http://libguides.usd.edu/archiveresearch
3,Archives & Special Collections,Suffrage in South Dakota,http://libguides.usd.edu/womansuffrage
4,Archives & Special Collections Finding Aids,Alfred S. Frost,http://libguides.usd.edu/frost
5,Archives & Special Collections Finding Aids,"Allan H. Schell Collection of Campaign Buttons, Pins, and Political Ephemera",http://libguides.usd.edu/schell
6,Archives & Special Collections Finding Aids,Archives and Special Collections - The Collections,http://libguides.usd.edu/ASCCollections
7,Archives & Special Collections Finding Aids,Army Specialized Training Program (ASTP),http://libguides.usd.edu/astp
8,Archives & Special Collections Finding Aids,Arthur Leslie Keith,http://libguides.usd.edu/keith
9,Archives & Special Collections Finding Aids,Athletics,http://libguides.usd.edu/athletics
10,Archives & Special Collections Finding Aids,Badger Clark,http://libguides.usd.edu/clark
11,Archives & Special Collections Finding Aids,"Buildings, Other Structures, and Utilities",http://libguides.usd.edu/buildings
12,Archives & Special Collections Finding Aids,Carl Blythe Hoy,http://libguides.usd.edu/hoy
13,Archives & Special Collections Finding Aids,Charley and Elizabeth (Betty) Gutch,http://libguides.usd.edu/gutch
14,Archives & Special Collections Finding Aids,Clay County Schools,http://libguides.usd.edu/claycountyschools
15,Archives & Special Collections Finding Aids,Country School Legacy,http://libguides.usd.edu/countryschoollegacy
16,Archives & Special Collections Finding Aids,Dephane Hammond,http://libguides.usd.edu/hammond
17,Archives & Special Collections Finding Aids,Educational Media Film Collection,http://libguides.usd.edu/educational
18,Archives & Special Collections Finding Aids,Edward Olson,http://libguides.usd.edu/olson
19,Archives & Special Collections Finding Aids,Ephraim M. Epstein,http://libguides.usd.edu/ephraim
20,Archives & Special Collections Finding Aids,Franklin B. Gault,http://libguides.usd.edu/gault
21,Archives & Special Collections Finding Aids,Garrett Droppers,http://libguides.usd.edu/garrett
22,Archives & Special Collections Finding Aids,Gilbert Courtland Fite,http://libguides.usd.edu/fite
23,Archives & Special Collections Finding Aids,Gilbert Monell Hitchcock,http://libguides.usd.edu/hitchcock
24,Archives & Special Collections Finding Aids,Henry Langford Loucks,http://libguides.usd.edu/loucks
25,Archives & Special Collections Finding Aids,Herman E. Crowl,http://libguides.usd.edu/crowl
26,Archives & Special Collections Finding Aids,Howard B. Grose,http://libguides.usd.edu/grose
27,Archives & Special Collections Finding Aids,"James G. Abourezk, Papers 1970-1983",http://libguides.usd.edu/abourezk-papers
28,Archives & Special Collections Finding Aids,"James G. Abourezk, Wounded Knee 1973 Series",http://libguides.usd.edu/abourezk-woundedknee
29,Archives & Special Collections Finding Aids,John Blair Smith Todd,http://libguides.usd.edu/todd
30,Archives & Special Collections Finding Aids,John R. Herrick,http://libguides.usd.edu/herrick
31,Archives & Special Collections Finding Aids,John W. Simonds,http://libguides.usd.edu/simonds
32,Archives & Special Collections Finding Aids,Joseph H. Cash,http://libguides.usd.edu/cash
33,Archives & Special Collections Finding Aids,Joseph J. Foss,http://libguides.usd.edu/foss
34,Archives & Special Collections Finding Aids,Joseph W. Mauck,http://libguides.usd.edu/mauck
35,Archives & Special Collections Finding Aids,Lloyd Roosevelt Moses,http://libguides.usd.edu/moses
36,Archives & Special Collections Finding Aids,Norman E. Thomas,http://libguides.usd.edu/thomas
37,Archives & Special Collections Finding Aids,"Norway Township, Clay County, SD",http://libguides.usd.edu/norway
38,Archives & Special Collections Finding Aids,Oglala Sioux Tribal Council,http://libguides.usd.edu/oglala
39,Archives & Special Collections Finding Aids,Oliver King Wilson,http://libguides.usd.edu/wilson
40,Archives & Special Collections Finding Aids,Oscar Howe Summer Art Institute,http://libguides.usd.edu/oscar
41,Archives & Special Collections Finding Aids,Plains Anthropological Society (PAS),http://libguides.usd.edu/pas
42,Archives & Special Collections Finding Aids,Playbill Collection,http://libguides.usd.edu/playbill
43,Archives & Special Collections Finding Aids,Ralph H. Case,http://libguides.usd.edu/case
44,Archives & Special Collections Finding Aids,Reservation Schools,http://libguides.usd.edu/reservation
45,Archives & Special Collections Finding Aids,Richardson Photograph Collection,http://libguides.usd.edu/rpc
46,Archives & Special Collections Finding Aids,Robert C. Marek,http://libguides.usd.edu/marek
47,Archives & Special Collections Finding Aids,Robert L. Penn,http://libguides.usd.edu/penn
48,Archives & Special Collections Finding Aids,Robert L. Slagle,http://libguides.usd.edu/slagle
49,Archives & Special Collections Finding Aids,Ruth March Egge,http://libguides.usd.edu/egge
50,Archives & Special Collections Finding Aids,South Dakota Library Association (SDLA),http://libguides.usd.edu/sdla
51,Archives & Special Collections Finding Aids,"Student Activities Council, Program Council Posters",http://libguides.usd.edu/StudentActivitesCouncil
52,Archives & Special Collections Finding Aids,Theatre,http://libguides.usd.edu/theatreFA
53,Archives & Special Collections Finding Aids,Trinity Danish Lutheran Church,http://libguides.usd.edu/trinity
54,Archives & Special Collections Finding Aids,Trojan Mining Company,http://libguides.usd.edu/trojan
55,Archives & Special Collections Finding Aids,University Relations,http://libguides.usd.edu/relations
56,Archives & Special Collections Finding Aids,USD Photograph Collection,http://libguides.usd.edu/photographs
57,Archives & Special Collections Finding Aids,USD School of Medicine,http://libguides.usd.edu/medicine
58,Archives & Special Collections Finding Aids,"USD Student Activities Council, Program Council Posters",http://libguides.usd.edu/USDStudentActivitiesCouncil
59,Archives & Special Collections Finding Aids,Vermillion Literary Project,http://libguides.usd.edu/vlp
60,Archives & Special Collections Finding Aids,"Vermillion, South Dakota",http://libguides.usd.edu/vermillion
61,Archives & Special Collections Finding Aids,Wall Drug,http://libguides.usd.edu/walldrug
62,Archives & Special Collections Finding Aids,Warren M. Lee,http://libguides.usd.edu/lee
63,Archives & Special Collections Finding Aids,Wasesa Club,http://libguides.usd.edu/wasesa
64,Archives & Special Collections Finding Aids,Wayne S. Knutson,http://libguides.usd.edu/knutson
65,Archives & Special Collections Finding Aids,William Frederick Fahsing,http://libguides.usd.edu/fahsing
66,Archives & Special Collections Finding Aids,William J. Janklow,http://libguides.usd.edu/WilliamJanklow
67,Archives & Special Collections Finding Aids,William Williamson,http://libguides.usd.edu/williamson
68,Archives & Special Collections Finding Aids,Women's Research Conference - USD,http://libguides.usd.edu/women
69,Archives & Special Collections Finding Aids,Works Progress Administration - Writers Project Series,http://libguides.usd.edu/wpa
70,Archives & Special Collections Finding Aids,Wounded Knee Survivors Association,http://libguides.usd.edu/woundedknee
71,Archives & Special Collections Finding Aids,Yankton Sioux Tribe vs. United States,http://libguides.usd.edu/yankton
72,Archives & Special Collections Finding Aids,Young Citizens League,http://libguides.usd.edu/ycl
73,Art,Art & Art History,http://libguides.usd.edu/art-history
74,Art,Book Art,http://libguides.usd.edu/bookart
75,Art,Bound & Unbound III,http://libguides.usd.edu/BU3
76,Art,Bound & Unbound IV,http://libguides.usd.edu/BU4
77,Art,Graphic Design,http://libguides.usd.edu/graphic-design
78,Art,Making Art Work,http://libguides.usd.edu/make-art
79,Art,Writing an Artist Statement,http://libguides.usd.edu/artstatement
80,Business,Computstat/Research Insight (remote access),http://libguides.usd.edu/compustat-access
81,Business,Gartner Research,http://libguides.usd.edu/gartner
82,Chemistry,Chemistry Resources,http://libguides.usd.edu/chemistry
83,Chemistry,SciFinder Scholar,http://libguides.usd.edu/scifinder-scholar
84,Citation Styles and Guidelines,Citation Analysis,http://libguides.usd.edu/citationanalysis
85,Citation Styles and Guidelines,Citation Style Guidelines,http://libguides.usd.edu/citation
86,Classics,Classical Greek Resources,http://libguides.usd.edu/Greek
87,Classics,German Language Resources for Students and Teachers,http://libguides.usd.edu/German_Language_Resources
88,Classics,Latin Resources,http://libguides.usd.edu/Latin
89,Classics,L’Année philologique Online,http://libguides.usd.edu/lanneephilologique
90,Communication,Communication Sciences and Disorders,http://libguides.usd.edu/dcom
91,Communication,Communication Studies,http://libguides.usd.edu/c.php?g=752870
92,Communication,SPCM 101 @ IUNA Crazy Horse,http://libguides.usd.edu/IUNA-SPCM101
93,Communication,SPCM 101 Fundamentals of Speech Communication,http://libguides.usd.edu/SPCM101
94,Communication,UHON101,http://libguides.usd.edu/UHON101
95,Communication,USD Information Literacy Lessons,http://libguides.usd.edu/infolit
96,Communication Disorders,Communication Sciences and Disorders,http://libguides.usd.edu/dcom
97,Communication Studies,Communication Studies,http://libguides.usd.edu/c.php?g=752870
98,Communication Studies,Contemporary Media & Journalism,http://libguides.usd.edu/CMJ
99,Computer Science,Computer Science Resources,http://libguides.usd.edu/csc
100,Earth Science,Sustainability & Environment,http://libguides.usd.edu/sustainability_environment
101,Education,COUN 100: Learning About Helping Professions,http://libguides.usd.edu/COUN_100
102,Education,Counseling & Psychology,http://libguides.usd.edu/CPE
103,Education,Doctoral Competencies C & I,http://libguides.usd.edu/dcci
104,Education,Education Resources,http://libguides.usd.edu/ed
105,Education,Finding Children's Award Winning Books,http://libguides.usd.edu/children-award
106,Education,Intro to Persons with Exceptionalities (SPED 100),http://libguides.usd.edu/sped100
107,Education,Kinesiology & Sport Management,http://libguides.usd.edu/kinesiology
108,Education,Research in Educational Administration [EDAD 810-855],http://libguides.usd.edu/EDAD810
109,Education,Young Adult Literature Awards,http://libguides.usd.edu/yalsa
110,English,ENGL 101 Research Guide,http://libguides.usd.edu/ENGL_101
111,English,ENGL 101/101+ @ IUNA Crazy Horse,http://libguides.usd.edu/ENGL_101_Crazy_Horse
112,English,ENGL 201 Research Guide,http://libguides.usd.edu/ENGL_201
113,English,Engl 205 Business Writing,http://libguides.usd.edu/engl205
114,English,ENGL 210: Introduction to Literature,http://libguides.usd.edu/ENGL_210
115,English,ENGL 241/242 American Literature I & II,http://libguides.usd.edu/ENGL_241_242
116,English,ENGL 283: Creative Writing,http://libguides.usd.edu/creative_writing
117,English,ENGL 370: Critical Writing,http://libguides.usd.edu/ENGL_370
118,English,USD Information Literacy Lessons,http://libguides.usd.edu/infolit
119,Faculty Instruction,"""Let’s Give Them Something to Talk About"": Initiating and Maintaining Scalable Library Assessment and Evaluation",http://libguides.usd.edu/libtech2016
120,Faculty Instruction,Brick & Click: “Measuring That Which Is Valued”,http://libguides.usd.edu/bc
121,Faculty Instruction,Freshman English Information Literacy Instructors' Guide,http://libguides.usd.edu/freshman_english_il_guide
122,Faculty Instruction,Information Literacy As Metaliteracy,http://libguides.usd.edu/metaliteracy
123,Faculty Instruction,Information Literacy Instructor's Resource,http://libguides.usd.edu/instructors_il_guide
124,Faculty Instruction,Instructional Evaluation & Assessment Resources,http://libguides.usd.edu/instructional_evaluation_assessment
125,Government,Census Information,http://libguides.usd.edu/census
126,Government,Early U.S. Government Publications,http://libguides.usd.edu/earlygovinfo
127,Government,Genealogy,http://libguides.usd.edu/geneology
128,Government,Government Information,http://libguides.usd.edu/govinfo
129,Government,Government Information Basic Collection,http://libguides.usd.edu/BasicCollection
130,Government,How a Bill Becomes a Law,http://libguides.usd.edu/bills
131,Government,STAT-USA (Links to Sources),http://libguides.usd.edu/stat-USA
132,Government,Statistics and Data,http://libguides.usd.edu/statistics
133,Health/Medicine,Addiction Studies Department,http://libguides.usd.edu/ads
134,Health/Medicine,Affordable Care Act,http://libguides.usd.edu/affordablecareact
135,Health/Medicine,Anatomy Resources,http://libguides.usd.edu/anatomy
136,Health/Medicine,Apps and Mobile Resources for Health and Medicine,http://libguides.usd.edu/mobilemed
137,Health/Medicine,Basic Biomedical Sciences,http://libguides.usd.edu/basicbiomed
138,Health/Medicine,Birth to Three - Early Intervention,http://libguides.usd.edu/BirthTo3
139,Health/Medicine,CINAHL Searching,http://libguides.usd.edu/cinahl-fulltext
140,Health/Medicine,Dental Hygiene,http://libguides.usd.edu/dental-hygiene
141,Health/Medicine,"Drug Information Including Herbal, Complementary and Alternative Medicine",http://libguides.usd.edu/drug-info
142,Health/Medicine,eBooks in the Health Sciences,http://libguides.usd.edu/wegner-health-ebooks
143,Health/Medicine,Evidence Based Medicine (Practice),http://libguides.usd.edu/EBM
144,Health/Medicine,Finding Reliable Health Information,http://libguides.usd.edu/healthinfo
145,Health/Medicine,Health Sciences Major,http://libguides.usd.edu/hsm
146,Health/Medicine,Health Source: Consumer Edition,http://libguides.usd.edu/health_source_consumer
147,Health/Medicine,Health Source: Nursing/Academic Edition,http://libguides.usd.edu/health_source_nursing
148,Health/Medicine,Health Statistics,http://libguides.usd.edu/health-stats
149,Health/Medicine,ILLiad,http://libguides.usd.edu/ILLiad
150,Health/Medicine,Internal Medicine Research,http://libguides.usd.edu/c.php?g=753085
151,Health/Medicine,Library Services for Internal Medicine Faculty,http://libguides.usd.edu/IM
152,Health/Medicine,Medical Education,http://libguides.usd.edu/meded
153,Health/Medicine,Medical Ethics,http://libguides.usd.edu/medical_ethics
154,Health/Medicine,Medical Laboratory Science,http://libguides.usd.edu/MedLabSci
155,Health/Medicine,Nursing,http://libguides.usd.edu/nursing
156,Health/Medicine,Occupational Therapy,http://libguides.usd.edu/occupational-therapy
157,Health/Medicine,Occupational Therapy - Communication Methods,http://libguides.usd.edu/OT-CommunicationMethods
158,Health/Medicine,Pediatric Research,http://libguides.usd.edu/c.php?g=753084
159,Health/Medicine,Physical Therapy,http://libguides.usd.edu/pt
160,Health/Medicine,Physician Assistant,http://libguides.usd.edu/pa
161,Health/Medicine,Public Health Resources,http://libguides.usd.edu/public-health
162,Health/Medicine,PubMed,http://libguides.usd.edu/pubmed
163,Health/Medicine,SD BRIN,http://libguides.usd.edu/sdbrin
164,Health/Medicine,Social Work,http://libguides.usd.edu/social-work
