,Category,Subject,Link
0,Accounting,ACC 3043: Federal Income Taxation (Smith),http://libguides.utsa.edu/acc3043
1,Accounting,ACC 6763: Legal & Tax Strategies (Smith),http://libguides.utsa.edu/acc_6763
2,Accounting,Accounting,http://libguides.utsa.edu/accounting
3,Accounting,Datastream & Using Excel with Datastream Advance,http://libguides.utsa.edu/ds
4,Accounting,Tax Forms,http://libguides.utsa.edu/taxforms
5,Accounting,Tax Research,http://libguides.utsa.edu/tax
6,Anthropology,American Indians in Texas,http://libguides.utsa.edu/american_indians_in_texas
7,Anthropology,Anthropology,http://libguides.utsa.edu/anthropology
8,Anthropology,Arts and Cultures of Ancient Mesoamerica and the Andes,http://libguides.utsa.edu/ancient_mesoamerica
9,Anthropology,Latin American Studies,http://libguides.utsa.edu/latin_american_studies
10,Anthropology,Museum Studies,http://libguides.utsa.edu/museum_studies
11,Architecture,Architecture & Interior Design,http://libguides.utsa.edu/architecture
12,Architecture,Historic Preservation,http://libguides.utsa.edu/historicpres
13,Architecture,Landscape Design,http://libguides.utsa.edu/landscaping
14,Art & Art History,AHC 5123: Research Methods,http://libguides.utsa.edu/AHC5123
15,Art & Art History,Ancient Greece & Rome: History & Culture,http://libguides.utsa.edu/c.php?g=619476
16,Art & Art History,Art & Art History,http://libguides.utsa.edu/art
17,Art & Art History,ART 1003: Two Dimensional Foundations,http://libguides.utsa.edu/ART1003
18,Art & Art History,Art of Colonial Latin America,http://libguides.utsa.edu/colonial_latin_america
19,Art & Art History,Arts and Cultures of Ancient Mesoamerica and the Andes,http://libguides.utsa.edu/ancient_mesoamerica
20,Art & Art History,Ceramics,http://libguides.utsa.edu/ceramics
21,Art & Art History,Drawing,http://libguides.utsa.edu/drawing
22,Art & Art History,Images,http://libguides.utsa.edu/images
23,Art & Art History,Latin American Studies,http://libguides.utsa.edu/latin_american_studies
24,Art & Art History,Museum Studies,http://libguides.utsa.edu/museum_studies
25,Bicultural - Bilingual Studies,BBL 3143: Children's Literature for Bilingual Learners (Villarreal),http://libguides.utsa.edu/BBL3143
26,Bicultural - Bilingual Studies,"BBL 7013: Research Design and Statistics for Culture, Literacy and Language (Lindahl)",http://libguides.utsa.edu/BBL7013
27,Bicultural - Bilingual Studies,"BBL 7013: Research Design and Statistics for Culture, Literacy and Language (Huang)",http://libguides.utsa.edu/BBL7013Huang
28,Bicultural - Bilingual Studies,ESL 5033: Second Language Reading & Writing (Christiansen),http://libguides.utsa.edu/ESL5033
29,Bicultural - Bilingual Studies,ESL 6963: English as a Second Language Teaching Practicum (Christiansen),http://libguides.utsa.edu/ESL6963
30,Biology,Biology,http://libguides.utsa.edu/bio
31,Biology,Literature Searches for Animal Testing Alternatives,http://libguides.utsa.edu/iacuc
32,Biology,Measuring Research Impact,http://libguides.utsa.edu/impact
33,Biology,Research Data Management,http://libguides.utsa.edu/rdm
34,Business,ACC 3043: Federal Income Taxation (Smith),http://libguides.utsa.edu/acc3043
35,Business,ACC 6763: Legal & Tax Strategies (Smith),http://libguides.utsa.edu/acc_6763
36,Business,Accounting,http://libguides.utsa.edu/accounting
37,Business,Advanced Google Search,http://libguides.utsa.edu/advancedgoogle
38,Business,Bankruptcy Resources,http://libguides.utsa.edu/c.php?g=532177
39,Business,Bloomberg Terminal,http://libguides.utsa.edu/bloomberg
40,Business,Brands,http://libguides.utsa.edu/c.php?g=515728
41,Business,Business Ethics,http://libguides.utsa.edu/BusinessEthics
42,Business,Case Studies,http://libguides.utsa.edu/casestudies
43,Business,Chinese Business Research,http://libguides.utsa.edu/cb
