,Category,Subject,Link
0,Anthropology,Anthropology,http://libguides.uttyler.edu/anthropology
1,Art,ART,http://libguides.uttyler.edu/art
2,Art,ART 4391/ 5390 Critical Theory & Research Methods,http://libguides.uttyler.edu/c.php?g=739318
3,Art,ART 4394/ ART 5394- Contemporary Issues,http://libguides.uttyler.edu/c.php?g=619152
4,Biology,Biology,http://libguides.uttyler.edu/biology
5,Book Display,African American History Month,http://libguides.uttyler.edu/blackhistorymonth
6,Book Display,Staff Picks,http://libguides.uttyler.edu/staffpicks
7,Book Display,Zombie Survival Guide,http://libguides.uttyler.edu/zombies
8,Business,Accounting & Finance,http://libguides.uttyler.edu/accounting
9,Business,Business (General),http://libguides.uttyler.edu/business
10,Business,Business Law,http://libguides.uttyler.edu/buslaw
11,Business,Human Resource Development,http://libguides.uttyler.edu/hrd
12,Business,Marketing & Management,http://libguides.uttyler.edu/marketing
13,Chemistry,Chemistry,http://libguides.uttyler.edu/chemistry
14,Communication,Communication,http://libguides.uttyler.edu/COMM
15,Communication,Fundamentals of Communication (SPCM 1315),http://libguides.uttyler.edu/spcm1315
16,Communication,Newspapers,http://libguides.uttyler.edu/newspapers
17,Computer Science,Computer Science,http://libguides.uttyler.edu/compsci
18,Criminal Justice,Criminal Justice,http://libguides.uttyler.edu/CRIJ
19,Economics,Economics,http://libguides.uttyler.edu/economics
20,Education & K-12 Resources,Children's Literature,http://libguides.uttyler.edu/c.php?g=357600
21,Education & K-12 Resources,EDFB 4338,http://libguides.uttyler.edu/c.php?g=773092
22,Education & K-12 Resources,Education,http://libguides.uttyler.edu/education
23,Engineering,Construction Management,http://libguides.uttyler.edu/c.php?g=565447
24,Engineering,Engineering,http://libguides.uttyler.edu/eng
25,Engineering,ENGR 1201,http://libguides.uttyler.edu/ENGR1201
26,Geography,Geography,http://libguides.uttyler.edu/geography
27,Global Awareness,Global Awareness,http://libguides.uttyler.edu/c.php?g=357693
28,Government,Political Science / Government Sources,http://libguides.uttyler.edu/politsci
29,Government,Public Administration,http://libguides.uttyler.edu/pubadmin
30,Health Care Administration,Health Care Administration,http://libguides.uttyler.edu/hca
31,History,African American history,http://libguides.uttyler.edu/afamhistory
32,History,African History--Modern,http://libguides.uttyler.edu/modafrica
33,History,American Civil War,http://libguides.uttyler.edu/c.php?g=357604
34,History,American South: HIST 4322,http://libguides.uttyler.edu/c.php?g=357617
35,History,"Antebellum America (""The Age of Jackson"")--Primary Sources",http://libguides.uttyler.edu/antebellum
36,History,Britain and its Empire--17th Century,http://libguides.uttyler.edu/c.php?g=357603
37,History,Community History,http://libguides.uttyler.edu/community
38,History,European History From the French Revolution,http://libguides.uttyler.edu/c.php?g=357648
39,History,History (General),http://libguides.uttyler.edu/genhist
40,History,Latin American History,http://libguides.uttyler.edu/latinamerica
41,History,"Reconstruction, 1865-1877",http://libguides.uttyler.edu/reconstruction
42,History,Tudor England,http://libguides.uttyler.edu/c.php?g=357634
43,Human Resource Development,Human Resource Development,http://libguides.uttyler.edu/hrd
44,Industrial Technology,Industrial Technology,http://libguides.uttyler.edu/industrial
45,Literature & Languages,Children's Literature,http://libguides.uttyler.edu/c.php?g=357600
46,Literature & Languages,ENGL 4325- Victorian Literature,http://libguides.uttyler.edu/c.php?g=518468
47,Literature & Languages,ENGL 4355- BEATitude: Literature of the Beat Generation,http://libguides.uttyler.edu/c.php?g=613484
48,Literature & Languages,Literature,http://libguides.uttyler.edu/c.php?g=357599
49,Literature & Languages,Spanish (Español),http://libguides.uttyler.edu/c.php?g=357613
50,Math & Science,Biology,http://libguides.uttyler.edu/biology
51,Math & Science,Chemistry,http://libguides.uttyler.edu/chemistry
52,Math & Science,Mathematics,http://libguides.uttyler.edu/mathematics
53,Math & Science,Physics,http://libguides.uttyler.edu/physics
54,Mathematics,Mathematics,http://libguides.uttyler.edu/mathematics
55,Music,Music,http://libguides.uttyler.edu/music
56,Nursing & Health Sciences,Health and Kinesiology,http://libguides.uttyler.edu/healthandkinesiology
57,Nursing & Health Sciences,Health Care Administration,http://libguides.uttyler.edu/hca
58,Nursing & Health Sciences,NURS 3333,http://libguides.uttyler.edu/nurs3333
59,Nursing & Health Sciences,Nursing,http://libguides.uttyler.edu/nursingguide
60,Nursing & Health Sciences,Nursing Library Research Tutorials,http://libguides.uttyler.edu/c.php?g=357692
61,Nursing & Health Sciences,Occupational Therapy,http://libguides.uttyler.edu/occupationaltherapy
62,Pharmacy,Pharmacy,http://libguides.uttyler.edu/pharmacy
63,Philosophy & Religion,Philosophy Studies,http://libguides.uttyler.edu/philosophystudies
64,Philosophy & Religion,Religion Studies,http://libguides.uttyler.edu/religionstudies
65,Physics,Physics,http://libguides.uttyler.edu/physics
66,Political Science,Political Science / Government Sources,http://libguides.uttyler.edu/politsci
67,Political Science,POLS 4305,http://libguides.uttyler.edu/c.php?g=869924
68,Political Science,POLS 4361,http://libguides.uttyler.edu/c.php?g=872411
69,Psychology,Psychology (General),http://libguides.uttyler.edu/psychology
70,Public Administration,Public Administration,http://libguides.uttyler.edu/pubadmin
71,Reference/Research,Citation Guide,http://libguides.uttyler.edu/citations
72,Reference/Research,Citation Managers,http://libguides.uttyler.edu/easycite
73,Reference/Research,Newspapers,http://libguides.uttyler.edu/newspapers
74,Reference/Research,Texas Resources,http://libguides.uttyler.edu/texas
75,Reference/Research,Welcome to the Library!,http://libguides.uttyler.edu/welcome
76,Reference/Research,Zotero Citation Manager Guide,http://libguides.uttyler.edu/Zotero_Guide
