,Category,Subject,Link
0,Biology,Biochemistry,http://libguides.whitworth.edu/biochemistry
1,Biology,Biology,http://libguides.whitworth.edu/biology
2,Biology,Environmental Studies,http://libguides.whitworth.edu/environmental_studies
3,Business and Economics,Business and Economics,http://libguides.whitworth.edu/business
4,Business and Economics,Business Management,http://libguides.whitworth.edu/business-management
5,Business and Economics,Company & Industry Research,http://libguides.whitworth.edu/company-industry
6,Business and Economics,Consumer Resources,http://libguides.whitworth.edu/consumer
7,Business and Economics,Leadership Studies,http://libguides.whitworth.edu/leadership
8,Business and Economics,Marketing,http://libguides.whitworth.edu/marketing
9,Business and Economics,Personal Finance,http://libguides.whitworth.edu/personalfinance
10,Career,Career,http://libguides.whitworth.edu/career
11,Career,Creating an E-Portfolio,http://libguides.whitworth.edu/eportfolios
12,Chemistry,Biochemistry,http://libguides.whitworth.edu/biochemistry
13,Chemistry,Chemistry,http://libguides.whitworth.edu/chemistry
14,Chemistry,Patents,http://libguides.whitworth.edu/c.php?g=777746
15,Communication,"Communication, Journalism and Media",http://libguides.whitworth.edu/communication
16,Cultural & Gender Studies,Biography,http://libguides.whitworth.edu/biography
17,Cultural & Gender Studies,Interdisciplinary Studies,http://libguides.whitworth.edu/interdisciplinary
18,Cultural & Gender Studies,International Studies,http://libguides.whitworth.edu/world
19,Education,Children's Literature,http://libguides.whitworth.edu/childrens
20,Education,Education,http://libguides.whitworth.edu/education
21,Education,Psychology,http://libguides.whitworth.edu/psychology
22,Engineering,Engineering,http://libguides.whitworth.edu/engineering
23,Engineering,Patents,http://libguides.whitworth.edu/c.php?g=777746
24,English,Children's Literature,http://libguides.whitworth.edu/childrens
25,English,English,http://libguides.whitworth.edu/english
26,Fine & Performing Arts,Art,http://libguides.whitworth.edu/art
27,Fine & Performing Arts,Music,http://libguides.whitworth.edu/music
28,Fine & Performing Arts,Theatre & Dance,http://libguides.whitworth.edu/theatre
29,Health Sciences,Health Sciences,http://libguides.whitworth.edu/health
30,Health Sciences,Kinesiology and Sports,http://libguides.whitworth.edu/athletics
31,History,Biography,http://libguides.whitworth.edu/biography
32,History,Genealogy,http://libguides.whitworth.edu/genealogy
33,History,History,http://libguides.whitworth.edu/history
34,History,History - Ancient and Classical,http://libguides.whitworth.edu/history/ancient
35,History,History - U.S.,http://libguides.whitworth.edu/history/us
36,History,History - World,http://libguides.whitworth.edu/history-world
37,History,Interdisciplinary Studies,http://libguides.whitworth.edu/interdisciplinary
38,History,International Studies,http://libguides.whitworth.edu/world
39,History,Missionary Experience - Past and Present,http://libguides.whitworth.edu/missionary
40,Interdisciplinary,Children's Literature,http://libguides.whitworth.edu/childrens
41,Interdisciplinary,Digital Scholarship,http://libguides.whitworth.edu/digitalscholarship
42,Interdisciplinary,Environmental Studies,http://libguides.whitworth.edu/environmental_studies
43,Interdisciplinary,Fact From Fiction,http://libguides.whitworth.edu/factfromfiction
44,Interdisciplinary,Genealogy,http://libguides.whitworth.edu/genealogy
45,Interdisciplinary,Interdisciplinary Studies,http://libguides.whitworth.edu/interdisciplinary
46,Interdisciplinary,International Studies,http://libguides.whitworth.edu/world
47,Math and Computer Science,Mathematics and Computer Sciences,http://libguides.whitworth.edu/math
48,Music,Music,http://libguides.whitworth.edu/music
49,Music,Music Ministry,http://libguides.whitworth.edu/c.php?g=775920
50,Philosophy,Philosophy,http://libguides.whitworth.edu/philosophy
51,Physics,Patents,http://libguides.whitworth.edu/c.php?g=777746
52,Physics,Physics,http://libguides.whitworth.edu/physics
53,Political Science,"Political Science, Government, and Law",http://libguides.whitworth.edu/politicalscience
54,Psychology,Psychology,http://libguides.whitworth.edu/psychology
55,"Research, Writing, & Citing",Citation Resources,http://libguides.whitworth.edu/citation
56,"Research, Writing, & Citing",Copyright & Fair Use,http://libguides.whitworth.edu/copyright
57,"Research, Writing, & Citing",Digital Scholarship,http://libguides.whitworth.edu/digitalscholarship
58,"Research, Writing, & Citing",Fact From Fiction,http://libguides.whitworth.edu/factfromfiction
59,Sociology,Criminal Justice Administration,http://libguides.whitworth.edu/criminaljustice
60,Sociology,Sociology,http://libguides.whitworth.edu/sociology
61,Spokane Resources,Consumer Resources,http://libguides.whitworth.edu/consumer
62,Spokane Resources,Libraries outside of Whitworth,http://libguides.whitworth.edu/libraries
63,Spokane Resources,Spokane Resources,http://libguides.whitworth.edu/spokane
64,Theology & Religion,Missionary Experience - Past and Present,http://libguides.whitworth.edu/missionary
65,Theology & Religion,Music Ministry,http://libguides.whitworth.edu/c.php?g=775920
66,Theology & Religion,Theology & Religion,http://libguides.whitworth.edu/theology
67,World Languages & Literature,Children's Literature,http://libguides.whitworth.edu/childrens
68,World Languages & Literature,French,http://libguides.whitworth.edu/c.php?g=821921
69,World Languages & Literature,International Studies,http://libguides.whitworth.edu/world
70,World Languages & Literature,More Languages,http://libguides.whitworth.edu/c.php?g=831577
71,World Languages & Literature,Spanish,http://libguides.whitworth.edu/spanish
