,Category,Subject,Link
0,African Studies,Africa: Getting Started with Research,http://library.bu.edu/africa-getting-started
1,African Studies,African Art & Architecture,http://library.bu.edu/c.php?g=533453
2,African Studies,African Newspapers,http://library.bu.edu/africanewspapers
3,African Studies,African Poster Collection,http://library.bu.edu/c.php?g=699258
4,African Studies,African Science Fiction / Speculative Fiction,http://library.bu.edu/africansf
5,African Studies,Ajami,http://library.bu.edu/ajami
6,African Studies,AN312: Peoples and Cultures of Africa,http://library.bu.edu/AfricanPeoplesandCultures
7,African Studies,AN589: Anthropology of Development Theory & Practice,http://library.bu.edu/Anthropology-and-Development
8,African Studies,Arab Women Writers,http://library.bu.edu/arabwomewriters
9,African Studies,CAS HI351 / GE394 / MET ML589: Environmental History of Africa,http://library.bu.edu/hi351
10,African Studies,Contemporary African Politics,http://library.bu.edu/AfricanPoliticsToday
11,African Studies,Country Guide: Cabo Verde,http://library.bu.edu/c.php?g=710655
12,African Studies,Country Guide: Djibouti,http://library.bu.edu/CountryGuide/Djibouti
13,African Studies,Country Guide: Somalia,http://library.bu.edu/CountryGuide/Somalia
14,African Studies,Country Guide: Tunisia,http://library.bu.edu/tunisia
15,African Studies,Culture and Cuisine of Sub-Saharan Africa,http://library.bu.edu/culturecuisinesubsahara
16,African Studies,Culture and Cuisine of the Middle East and North Africa,http://library.bu.edu/culturecuisinemena
17,African Studies,Digital Africana Collections Online,http://library.bu.edu/africanaresourcesonline
18,African Studies,Genocide and Minority Persecution 1970+,http://library.bu.edu/genocides
19,African Studies,HI 870: African Historiography,http://library.bu.edu/AfricanHistriography
20,African Studies,"HI588/ AA588: Women, Power and Culture in Africa",http://library.bu.edu/hi588
21,African Studies,How to Access CAMP Materials,http://library.bu.edu/camp_access
22,African Studies,Human Rights in Africa,http://library.bu.edu/humanrightsinafrica
23,African Studies,ID 116: Africa Today,http://library.bu.edu/AfricaToday
24,African Studies,Islamic Art & Architecture,http://library.bu.edu/islamicart
25,African Studies,Language Learning - Amharic,http://library.bu.edu/amharic
26,African Studies,Language Learning: Hausa,http://library.bu.edu/hausa
27,African Studies,Language Learning: Igbo,http://library.bu.edu/igbo
28,African Studies,Language Learning: Swahili,http://library.bu.edu/Kiswahili
29,African Studies,Language Learning: Xhosa,http://library.bu.edu/xhosa
30,African Studies,Language Learning: Zulu,http://library.bu.edu/zulu
31,African Studies,Religion and Africa: Christianity,http://library.bu.edu/christianity-africa
32,African Studies,Religion and Africa: Islam,http://library.bu.edu/islam-africa
33,African Studies,"Teaching and Research Guide for: ""The Boy Who Harnessed the Wind""",http://library.bu.edu/the-boy-who-harnessed-the-wind
34,African Studies,U.S. - SubSaharan Africa Relations,http://library.bu.edu/USAfricaRelations
35,African Studies,WR150: World War II and Africa,http://library.bu.edu/AfricaandWorldWarII
36,Anthropology,American Studies,http://library.bu.edu/americanstudies
37,Anthropology,AN101 / MET AN101: Introduction to Cultural Anthropology,http://library.bu.edu/an101-introduction-to-cultural-anthropology
38,Anthropology,AN103: Anthropology Through Ethnography,http://library.bu.edu/an103anthropologythroughethnography
39,Anthropology,AN210: Medical Anthropology,http://library.bu.edu/an210medanth
40,Anthropology,AN240: Legal Anthropology,http://library.bu.edu/legalanthropology
41,Anthropology,AN243 / RN243: Shamans and Shamanism,http://library.bu.edu/shamanism
42,Anthropology,AN290: Children and Culture,http://library.bu.edu/an290childrenandculture
43,Anthropology,"AN308 / AN708: Food, Culture, and Society",http://library.bu.edu/an308708foodculture
44,Anthropology,AN309 / AN709: Boston: An Ethnographic Approach,http://library.bu.edu/anthroboston
45,Anthropology,AN312: Peoples and Cultures of Africa,http://library.bu.edu/AfricanPeoplesandCultures
46,Anthropology,AN318 / AN718: Southeast Asia: Tradition & Modernity,http://library.bu.edu/southeastasiatradition
47,Anthropology,AN319 / AN719: Anthropology of Muslim Cultures and Politics,http://library.bu.edu/an319anthropologymuslim
48,Anthropology,AN335 / AN735: The Ape Within: Great Apes and the Evolution of Human Behavior,http://library.bu.edu/apewithin
49,Anthropology,"AN344 / AN744: Modern Japanese Society: Family, School, and Workplace",http://library.bu.edu/an344
50,Anthropology,AN348: Investigating Contemporary Globalization,http://library.bu.edu/an348anthropologyglobalization
51,Anthropology,AN379: China: Tradition & Transformation,http://library.bu.edu/chinatradition
52,Anthropology,AN589: Anthropology of Development Theory & Practice,http://library.bu.edu/Anthropology-and-Development
53,Anthropology,Anthropology of Iran,http://library.bu.edu/anthropologyiran
54,Anthropology,Biological & Forensic Anthropology,http://library.bu.edu/biologicalanthropology
55,Anthropology,Culture and Cuisine of Japan and Korea,http://library.bu.edu/culturecuisinejapankorea
56,Anthropology,Culture and Cuisine of Latin America and the Caribbean,http://library.bu.edu/culturecuisinelatincarib
57,Anthropology,"Culture and Cuisine of Russia, the Baltic States, and Eastern Europe",http://library.bu.edu/culturecuisinerussiabalticeast
58,Anthropology,Culture and Cuisine of South and Central Asia and the Caucasus,http://library.bu.edu/culturecuisinesouthcentralasia
59,Anthropology,Culture and Cuisine of Southeast Asia and Oceania,http://library.bu.edu/culturecuisineseasiaoceania
60,Anthropology,Culture and Cuisine of Southern Europe,http://library.bu.edu/culturecuisinesoutheurope
61,Anthropology,Culture and Cuisine of Sub-Saharan Africa,http://library.bu.edu/culturecuisinesubsahara
62,Anthropology,Culture and Cuisine of the Middle East and North Africa,http://library.bu.edu/culturecuisinemena
63,Anthropology,"Culture and Cuisine of the Nordic Countries, Germany and the Low Countries",http://library.bu.edu/culturecuisinenordic
64,Anthropology,Culture and Cuisine of the United States and Canada,http://library.bu.edu/culturecuisineusacanada
65,Anthropology,Ethnomusicology,http://library.bu.edu/ethnomusicology
66,Anthropology,"Fashion, Clothing, and Appearance",http://library.bu.edu/fashion
67,Anthropology,"Folklore, Folklife, & Fairy Tales",http://library.bu.edu/folklore
68,Anthropology,Human Relations Area Files (HRAF),http://library.bu.edu/hraf
69,Anthropology,Islamic Art & Architecture,http://library.bu.edu/islamicart
70,Anthropology,Medical Anthropology,http://library.bu.edu/medicalanthropology
71,Anthropology,MET ML631: Culture and Cuisine: France,http://library.bu.edu/metml631culturecuisinefrance
72,Anthropology,MET ML634: Culture and Cuisine: China,http://library.bu.edu/metml634culturecuisinechina
73,Anthropology,MET ML641: Anthropology of Food,http://library.bu.edu/metml641anthropologyoffood
74,Anthropology,Proposal Writing for Social Science Research,http://library.bu.edu/proposalsocialsci
75,Anthropology,"RN 242/HI 203 Magic, Science and Religion",http://library.bu.edu/magic
76,Anthropology,Social Anthropology,http://library.bu.edu/socialanthropology
77,Archaeology,African Art & Architecture,http://library.bu.edu/c.php?g=533453
78,Archaeology,Archaeology,http://library.bu.edu/archaeology
79,Archaeology,Chinese Arts & Archaeology,http://library.bu.edu/chineseartsarchaeology
80,Archaeology,Classical Art & Architecture,http://library.bu.edu/classicalartarchitecture
81,Archaeology,Classical Studies,http://library.bu.edu/classics
82,Archaeology,Islamic Art & Architecture,http://library.bu.edu/islamicart
83,Archaeology,MET ML611: Archaeology of Food in Ancient Times,http://library.bu.edu/ancientfood
84,Archaeology,MET ML612 / CAS AR577: Pots & Pans: The Material Culture of Cookery & Dining,http://library.bu.edu/metml612potsandpans
85,Archaeology,Proposal Writing for Social Science Research,http://library.bu.edu/proposalsocialsci
86,Archaeology,WR150: Archaeological Heritage,http://library.bu.edu/archaeologicalheritage
87,Archaeology,WR150: Talking Objects: Our Relationships With Things,http://library.bu.edu/talkingobjects
88,Area Studies,Africa: Getting Started with Research,http://library.bu.edu/africa-getting-started
89,Area Studies,Ajami,http://library.bu.edu/ajami
90,Area Studies,American Studies,http://library.bu.edu/americanstudies
91,Area Studies,AN312: Peoples and Cultures of Africa,http://library.bu.edu/AfricanPeoplesandCultures
92,Area Studies,AN318 / AN718: Southeast Asia: Tradition & Modernity,http://library.bu.edu/southeastasiatradition
93,Area Studies,AN319 / AN719: Anthropology of Muslim Cultures and Politics,http://library.bu.edu/an319anthropologymuslim
94,Area Studies,"AN344 / AN744: Modern Japanese Society: Family, School, and Workplace",http://library.bu.edu/an344
95,Area Studies,AN379: China: Tradition & Transformation,http://library.bu.edu/chinatradition
96,Area Studies,Anthropology of Iran,http://library.bu.edu/anthropologyiran
97,Area Studies,Arab Women Writers,http://library.bu.edu/arabwomewriters
98,Area Studies,Boston & Its Neighborhoods,http://library.bu.edu/boston
99,Area Studies,Contemporary African Politics,http://library.bu.edu/AfricanPoliticsToday
100,Area Studies,Country Guide: Cabo Verde,http://library.bu.edu/c.php?g=710655
101,Area Studies,Country Guide: Djibouti,http://library.bu.edu/CountryGuide/Djibouti
102,Area Studies,Country Guide: Somalia,http://library.bu.edu/CountryGuide/Somalia
103,Area Studies,Culture and Cuisine of Japan and Korea,http://library.bu.edu/culturecuisinejapankorea
104,Area Studies,Culture and Cuisine of Latin America and the Caribbean,http://library.bu.edu/culturecuisinelatincarib
