,Category,Subject,Link
0,Anthropology,Anthropology,http://libraryguides.uwsp.edu/anthropology
1,Anthropology,Yan Liao,http://libraryguides.uwsp.edu/prf.php?account_id=6478
2,Anthropology,Anthropology,http://libraryguides.uwsp.edu/sb.php?subject_id=5790
3,Anthropology,anthropology,http://libraryguides.uwsp.edu/srch.php?q=anthropology
4,Anthropology,archaeology,http://libraryguides.uwsp.edu/srch.php?q=archaeology
5,Anthropology,archeology,http://libraryguides.uwsp.edu/srch.php?q=archeology
6,Anthropology,books,http://libraryguides.uwsp.edu/srch.php?q=books
7,Anthropology,library catalog,http://libraryguides.uwsp.edu/srch.php?q=library%20catalog
8,Anthropology,peer-reviewed journals,http://libraryguides.uwsp.edu/srch.php?q=peer-reviewed%20journals
9,Anthropology,subject guides,http://libraryguides.uwsp.edu/srch.php?q=subject%20guides
10,Art & Design,3D Printing,http://libraryguides.uwsp.edu/3dprinting
11,Art & Design,Art and Design,http://libraryguides.uwsp.edu/c.php?g=359830
12,Art & Design,Healthcare Design (Interior Architecture),http://libraryguides.uwsp.edu/healthcaredesign
13,Art & Design,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
14,Biographies,Biographical Information Sources,http://libraryguides.uwsp.edu/biography
15,Biology,Biology,http://libraryguides.uwsp.edu/biology
16,Biology,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
17,Books & Libraries,"Book, Film and Music Reviews",http://libraryguides.uwsp.edu/reviews
18,Books & Libraries,Collection Assessment,http://libraryguides.uwsp.edu/ca
19,Books & Libraries,Cooking by the Books,http://libraryguides.uwsp.edu/cooking
20,Books & Libraries,eBooks@UWSP,http://libraryguides.uwsp.edu/ebooks
21,Books & Libraries,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
22,Books & Libraries,Mobile Access to Library Resources,http://libraryguides.uwsp.edu/mobile
23,Business & Economics,Business and Economics Research,http://libraryguides.uwsp.edu/business
24,Business & Economics,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
25,Chemistry,Chemistry,http://libraryguides.uwsp.edu/chemistry
26,Communication,COMM 325 - Media Law,http://libraryguides.uwsp.edu/comm325
27,Communication,Communication,http://libraryguides.uwsp.edu/communication
28,Communication,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
29,Education,Distance Education library resources,http://libraryguides.uwsp.edu/de
30,Education,Early Childhood Education,http://libraryguides.uwsp.edu/c.php?g=504442
31,Education,Education,http://libraryguides.uwsp.edu/education
32,Education,Environmental Education,http://libraryguides.uwsp.edu/enved
33,Education,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
34,Education,Sustainability,http://libraryguides.uwsp.edu/sustainability
35,Ethnic Studies,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
36,Foundations & Grants,Foundation Collection,http://libraryguides.uwsp.edu/foundation
37,General Research,Bike Wisconsin,http://libraryguides.uwsp.edu/BikeWI
38,General Research,High School Visitors Research Guide,http://libraryguides.uwsp.edu/c.php?g=359776
39,General Research,How to Avoid Plagiarism,http://libraryguides.uwsp.edu/plagiarism
40,General Research,How to Cite,http://libraryguides.uwsp.edu/citation
41,General Research,How to Find Pro Con Information Sources,http://libraryguides.uwsp.edu/procon2
42,General Research,How to Find Scholarly and Popular Journal Articles,http://libraryguides.uwsp.edu/article
43,General Research,"How to Identify Primary, Secondary, and Tertiary Sources",http://libraryguides.uwsp.edu/c.php?g=359757
44,General Research,How to Search Google Scholar,http://libraryguides.uwsp.edu/googlescholar
45,Geography & Geology,Country Statistical Yearbooks,http://libraryguides.uwsp.edu/countrystatisticalyearbooks
46,Geography & Geology,GEOG 320: Urban Geography (Theo),http://libraryguides.uwsp.edu/GEOG320
47,Geography & Geology,Geography,http://libraryguides.uwsp.edu/geography
48,Geography & Geology,Geology,http://libraryguides.uwsp.edu/geology
49,"Government, Poli Sci & Law",Government Information,http://libraryguides.uwsp.edu/govpubs
50,History,Historical Newspapers,http://libraryguides.uwsp.edu/historicalnewspapers
51,History,History Day Research Guide,http://libraryguides.uwsp.edu/dcehistory
52,History,History Department,http://libraryguides.uwsp.edu/history
53,History,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
54,Interior Architecture,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
55,Language & Literature,Language and Literature,http://libraryguides.uwsp.edu/literature
56,Language & Literature,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
57,Language & Literature,Literary Criticism,http://libraryguides.uwsp.edu/litcritsubj
58,Mathematics & Technology,Computing & New Media Technologies,http://libraryguides.uwsp.edu/cnmt
59,Mathematics & Technology,Mathematics,http://libraryguides.uwsp.edu/math
60,Medicine & Health Promotion,Health Promotion/Wellness/Dietetics,http://libraryguides.uwsp.edu/hphd
61,Medicine & Health Promotion,Nursing,http://libraryguides.uwsp.edu/nursing
62,Music,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
63,Music,Music,http://libraryguides.uwsp.edu/c.php?g=359815
64,Natural Resources,Environmental Education,http://libraryguides.uwsp.edu/enved
65,Natural Resources,Fisheries and Water Resources,http://libraryguides.uwsp.edu/fisheries_water_resources
66,Natural Resources,Forestry,http://libraryguides.uwsp.edu/forestry
67,Natural Resources,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
68,Natural Resources,Soil Science,http://libraryguides.uwsp.edu/soil_science
69,Natural Resources,Sustainability,http://libraryguides.uwsp.edu/sustainability
70,Natural Resources,Waste Management,http://libraryguides.uwsp.edu/waste_management
71,Natural Resources,Wildlife Ecology,http://libraryguides.uwsp.edu/wildlife_ecology
72,Newspapers & Current Events,Historical Newspapers,http://libraryguides.uwsp.edu/historicalnewspapers
73,Newspapers & Current Events,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
74,Newspapers & Current Events,New York Times Access,http://libraryguides.uwsp.edu/nyt
75,Paper Science & Engineering,Paper Science & Engineering,http://libraryguides.uwsp.edu/papersci
76,Philosophy & Religion,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
77,Philosophy & Religion,Philosophy,http://libraryguides.uwsp.edu/philosophy
78,Philosophy & Religion,Religious Studies,http://libraryguides.uwsp.edu/religious
79,Phy Ed & Athletic Training,Athletic Training,http://libraryguides.uwsp.edu/at
80,Phy Ed & Athletic Training,Bike Wisconsin,http://libraryguides.uwsp.edu/BikeWI
81,Phy Ed & Athletic Training,Health Promotion/Wellness/Dietetics,http://libraryguides.uwsp.edu/hphd
82,Phy Ed & Athletic Training,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
83,Phy Ed & Athletic Training,Physical Education,http://libraryguides.uwsp.edu/phyed
84,Physics,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
85,Psychology,Psychology,http://libraryguides.uwsp.edu/psyc
86,Reference,Biographical Information Sources,http://libraryguides.uwsp.edu/biography
87,Reference,Copyright,http://libraryguides.uwsp.edu/copyright
88,Reference,How to Cite,http://libraryguides.uwsp.edu/citation
89,Reference,"How to Identify Primary, Secondary, and Tertiary Sources",http://libraryguides.uwsp.edu/c.php?g=359757
90,Reference,How to Search Google Scholar,http://libraryguides.uwsp.edu/googlescholar
91,Reference,How to Use EndNote,http://libraryguides.uwsp.edu/endnote
92,Reference,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
93,Reference,Reference,http://libraryguides.uwsp.edu/reference
94,Reference,Taxes,http://libraryguides.uwsp.edu/taxes
95,Sociology,Diversity Resources,http://libraryguides.uwsp.edu/c.php?g=359799
96,Sports & Wellness,Athletic Training,http://libraryguides.uwsp.edu/at
97,Sports & Wellness,Bike Wisconsin,http://libraryguides.uwsp.edu/BikeWI
98,Sports & Wellness,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
99,Statistics,Country Statistical Yearbooks,http://libraryguides.uwsp.edu/countrystatisticalyearbooks
100,Statistics,Reference,http://libraryguides.uwsp.edu/reference
101,Statistics,Statistics,http://libraryguides.uwsp.edu/c.php?g=397476
102,Theatre/Dance,Dance,http://libraryguides.uwsp.edu/dance
103,Theatre/Dance,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
104,Theatre/Dance,Theatre and Performance Studies,http://libraryguides.uwsp.edu/theatre
105,Wisconsin State & Local,Bike Wisconsin,http://libraryguides.uwsp.edu/BikeWI
106,Wisconsin State & Local,Country Statistical Yearbooks,http://libraryguides.uwsp.edu/countrystatisticalyearbooks
107,Wisconsin State & Local,Wisconsin,http://libraryguides.uwsp.edu/c.php?g=359859
108,Women's & Gender Studies,Library Resources for Student Organizations,http://libraryguides.uwsp.edu/studentorgs
109,Women's & Gender Studies,WGS 105 (R. Stephens),http://libraryguides.uwsp.edu/wgs105
