,Category,Subject,Link
0,Disarmament,Chemical Weapons,http://libraryresources.unog.ch/chemweapons
1,Disarmament,Conventional Weapons and the Arms Trade,http://libraryresources.unog.ch/conventionalarms
2,Disarmament,Disarmament: Global Issues,http://libraryresources.unog.ch/disarmament/global
3,Disarmament,Landmines and Explosive Remnants of War,http://libraryresources.unog.ch/landmines
4,Disarmament,League of Nations: Disarmament,http://libraryresources.unog.ch/londisarmament
5,Disarmament,Nuclear Weapons,http://libraryresources.unog.ch/nukes
6,Economics and Trade,United Nations Conference on Trade and Development,http://libraryresources.unog.ch/unctad
7,Environment,Disaster Prevention,http://libraryresources.unog.ch/unlibraries/disaster
8,Human Rights,"Freedom of Religion or Belief (Library Talk, 10 March 2016)",http://libraryresources.unog.ch/lt160310
9,Human Rights,Human Rights Timeline,http://libraryresources.unog.ch/hrtimeline
10,Human Rights,"International Commissions of Inquiry, Fact-finding Missions",http://libraryresources.unog.ch/factfinding
11,Human Rights,Legal Research Guide,http://libraryresources.unog.ch/Legal
12,Human Rights,People of African Descent,http://libraryresources.unog.ch/africandescent
13,Human Rights,UN Convention Against Torture (1984),http://libraryresources.unog.ch/Torture
14,Human Rights,UN Documentation: Human Rights (by Dag Hammarskjöld Library),http://libraryresources.unog.ch/c.php?g=663946
15,Human Rights,Universal Declaration of Human Rights,http://libraryresources.unog.ch/udhr
16,Human Rights,Universal Declaration of Human Rights for Children and Youth,http://libraryresources.unog.ch/UDHRforchildren
17,Law,Legal Research Guide,http://libraryresources.unog.ch/Legal
18,Law,UN Convention Against Torture (1984),http://libraryresources.unog.ch/Torture
19,Law,Universal Declaration of Human Rights,http://libraryresources.unog.ch/udhr
20,League of Nations,"Fridtjof Nansen, First High Commissioner for Refugees",http://libraryresources.unog.ch/nansen
21,League of Nations,League of Nations,http://libraryresources.unog.ch/leagueofnationsarchives
22,League of Nations,League of Nations: Disarmament,http://libraryresources.unog.ch/londisarmament
23,League of Nations,League of Nations: Intellectual Cooperation,http://libraryresources.unog.ch/lonintellectualcooperation
24,League of Nations,Women and Global Diplomacy: From Peace Movements to the United Nations,http://libraryresources.unog.ch/womendiplomacy
25,Politics and International Relations,Peace,http://libraryresources.unog.ch/peace
26,Politics and International Relations,Women and Global Diplomacy: From Peace Movements to the United Nations,http://libraryresources.unog.ch/womendiplomacy
27,Refugees,"Fridtjof Nansen, First High Commissioner for Refugees",http://libraryresources.unog.ch/nansen
28,Refugees,Refugees and Asylum Seekers,http://libraryresources.unog.ch/refugees
29,Statistics,Statistics Resource Guide,http://libraryresources.unog.ch/statistics
30,Sustainable Development,Sustainable Development Goals,http://libraryresources.unog.ch/sdgs
31,United Nations,Multilingualism at the United Nations,http://libraryresources.unog.ch/multilingualism
32,United Nations,Peace,http://libraryresources.unog.ch/peace
33,United Nations,People of African Descent,http://libraryresources.unog.ch/africandescent
34,United Nations,Sustainable Development Goals,http://libraryresources.unog.ch/sdgs
35,United Nations,UN Convention Against Torture (1984),http://libraryresources.unog.ch/Torture
36,United Nations,UN Documentation: Human Rights (by Dag Hammarskjöld Library),http://libraryresources.unog.ch/c.php?g=663946
37,United Nations,Women and Global Diplomacy: From Peace Movements to the United Nations,http://libraryresources.unog.ch/womendiplomacy
38,UNOG Library Research Tools,Electronic Resources,http://libraryresources.unog.ch/eres
39,UNOG Library Research Tools,Global Search,http://libraryresources.unog.ch/global
40,UNOG Library Research Tools,UNOG Library e-Journals list,http://libraryresources.unog.ch/e-journals
41,Women & Gender Equality,Women and Gender Equality,http://libraryresources.unog.ch/gender
42,Women & Gender Equality,Women and Global Diplomacy: From Peace Movements to the United Nations,http://libraryresources.unog.ch/womendiplomacy
