,Category,Subject,Link
0,African & African American Studies,African & African American Studies,http://research.lib.buffalo.edu/african-african-american-studies
1,African & African American Studies,African History,http://research.lib.buffalo.edu/african-history
2,American Pluralism,American Pluralism,http://research.lib.buffalo.edu/american-pluralism
3,American Studies,American Studies,http://research.lib.buffalo.edu/american-studies
4,Anthropology,Anthropology,http://research.lib.buffalo.edu/anthropology
5,Anthropology,APY199: Magic and Witchcraft,http://research.lib.buffalo.edu/apy199_stevens
6,Anthropology,European Studies,http://research.lib.buffalo.edu/european-studies
7,Archaeology,Archaeology,http://research.lib.buffalo.edu/archaeology
8,Architecture & Planning,(Active) MATTER Box,http://research.lib.buffalo.edu/activematter
9,Architecture & Planning,Architecture,http://research.lib.buffalo.edu/architecture
10,Architecture & Planning,GIS: ESRI Virtual Campus Courses & ArcGIS Software,http://research.lib.buffalo.edu/gis-courses
11,Architecture & Planning,Planning,http://research.lib.buffalo.edu/planning
12,Art,Art,http://research.lib.buffalo.edu/art
13,Art,Arts Management,http://research.lib.buffalo.edu/arts-management
14,Art,Dance,http://research.lib.buffalo.edu/dance
15,Art,Image Searching,http://research.lib.buffalo.edu/image-searching
16,Art,Plays: Locating Plays,http://research.lib.buffalo.edu/plays-locating-plays
17,Art History,Art History,http://research.lib.buffalo.edu/arthistory
18,Asian Studies,Asian Studies,http://research.lib.buffalo.edu/asian-studies
19,Asian Studies,Chinese Documentary Films,http://research.lib.buffalo.edu/chinese-documentary-films
20,Astronomy / Astrophysics,Astronomy / Astrophysics,http://research.lib.buffalo.edu/astronomy-astrophysics
21,Astronomy / Astrophysics,Astronomy/Astrophysics: Best Free Resources,http://research.lib.buffalo.edu/astronomy-internet
22,Biographical Information,Biographical Information,http://research.lib.buffalo.edu/biographical-information
23,Biographical Information,Biographical Information on Scientists & Engineers,http://research.lib.buffalo.edu/science-biography
24,Biographical Information,Women in Science and Engineering,http://research.lib.buffalo.edu/women-science-biography
25,Bioinformatics,Bioinformatics,http://research.lib.buffalo.edu/bioinformatics
26,Biology,Biology,http://research.lib.buffalo.edu/biology
27,Biomedical Databases,Biostatistics,http://research.lib.buffalo.edu/biostatistics
28,Business & Management,Academic Leadership & Management,http://research.lib.buffalo.edu/leadership
29,Business & Management,Business & Management,http://research.lib.buffalo.edu/business-management
30,Business & Management,Business Research,http://research.lib.buffalo.edu/busresearch
31,Chemistry,Beilstein Handbook of Organic Chemistry,http://research.lib.buffalo.edu/beilstein
32,Chemistry,Chemistry,http://research.lib.buffalo.edu/chemistry
33,Chemistry,Chemistry: Best Internet Resources,http://research.lib.buffalo.edu/chemistry-internet
34,Chemistry,Gmelin Handbook of Inorganic Chemistry: A User's Guide,http://research.lib.buffalo.edu/gmelin
35,Chemistry,Patents,http://research.lib.buffalo.edu/patents
36,Chemistry,Properties Data for Chemicals & Materials,http://research.lib.buffalo.edu/properties
37,Chemistry,SciFinder Access & Support Guide,http://research.lib.buffalo.edu/scifinder-access
38,Chemistry,Spectra & Spectral Data,http://research.lib.buffalo.edu/spectra
39,Classics,Classics,http://research.lib.buffalo.edu/classics
40,Communication,Communication,http://research.lib.buffalo.edu/communication
41,Comparative Literature,Georges Bataille (1897-1962),http://research.lib.buffalo.edu/bataille
42,Comparative Literature,Marcel Proust (1871-1922),http://research.lib.buffalo.edu/proust
43,Computer Science,Computer Science,http://research.lib.buffalo.edu/cs
44,Dance,Dance,http://research.lib.buffalo.edu/dance
45,Dentistry,Dentistry,http://research.lib.buffalo.edu/dentistry
46,Ecology & Environment,Climate & Weather Resources,http://research.lib.buffalo.edu/climate-weather
47,Ecology & Environment,Ecology & Environment,http://research.lib.buffalo.edu/Ecology-Environment
48,Economics,Economics,http://research.lib.buffalo.edu/economics
49,Education,"Counseling, School, and Educational Psychology",http://research.lib.buffalo.edu/counseling-school-educational-psychology
50,Education,Educational Leadership and Policy,http://research.lib.buffalo.edu/educational-leadership-and-policy
51,Education,Learning and Instruction,http://research.lib.buffalo.edu/learning-and-instruction
52,Education,Teacher Education Institute,http://research.lib.buffalo.edu/TeacherEducationInstitute
53,Engineering,Biomedical Engineering Research,http://research.lib.buffalo.edu/biomedical-engineering
54,Engineering,Chemical & Biological Engineering Research,http://research.lib.buffalo.edu/chemical-biological-engineering
55,Engineering,Civil Engineering Research,http://research.lib.buffalo.edu/civil-engineering
56,Engineering,Electrical Engineering Research,http://research.lib.buffalo.edu/electrical-engineering
57,Engineering,Environmental Engineering Research,http://research.lib.buffalo.edu/environmental-engineering
58,Engineering,Industrial & Systems Engineering Research,http://research.lib.buffalo.edu/industrial-systems-engineering
59,Engineering,Materials Science & Engineering Research,http://research.lib.buffalo.edu/materials-science-and-engineering
60,Engineering,Mechanical & Aerospace Engineering Research,http://research.lib.buffalo.edu/mechanical-aerospace-engineering
61,Engineering,Patents,http://research.lib.buffalo.edu/patents
62,Engineering,Properties Data for Chemicals & Materials,http://research.lib.buffalo.edu/properties
63,Engineering,SciFinder Access & Support Guide,http://research.lib.buffalo.edu/scifinder-access
64,Engineering,Spectra & Spectral Data,http://research.lib.buffalo.edu/spectra
65,Engineering,Standards and Specifications,http://research.lib.buffalo.edu/standards
66,Engineering,Technical Reports,http://research.lib.buffalo.edu/technical-reports-collection
67,Engineering,"Toolkit for SEAS Students: Handbooks, Properties, Patents and More",http://research.lib.buffalo.edu/seas-student-toolkit
68,European Studies,European Studies,http://research.lib.buffalo.edu/european-studies
69,European Studies,Marcel Proust (1871-1922),http://research.lib.buffalo.edu/proust
70,European Studies,Poles in the United States - Polish-American Resources,http://research.lib.buffalo.edu/poles-in-the-US
71,European Studies,Polish Genealogical Resources,http://research.lib.buffalo.edu/polish-genealogical-resources
72,Film & Media Studies,Arts Management,http://research.lib.buffalo.edu/arts-management
73,Film & Media Studies,Chinese Documentary Films,http://research.lib.buffalo.edu/chinese-documentary-films
74,Film & Media Studies,Communication,http://research.lib.buffalo.edu/communication
75,Film & Media Studies,Film & Media Studies,http://research.lib.buffalo.edu/media-studies
76,French,Georges Bataille (1897-1962),http://research.lib.buffalo.edu/bataille
77,French,Marcel Proust (1871-1922),http://research.lib.buffalo.edu/proust
78,Geography,Climate & Weather Resources,http://research.lib.buffalo.edu/climate-weather
79,Geography,Geography - Human,http://research.lib.buffalo.edu/geography-human
80,Geography,Geography - Physical,http://research.lib.buffalo.edu/geography-physical
81,Geography,GIS: ESRI Virtual Campus Courses & ArcGIS Software,http://research.lib.buffalo.edu/gis-courses
82,Geology,Geology,http://research.lib.buffalo.edu/geology
83,Global Gender Studies,Global Gender Studies,http://research.lib.buffalo.edu/global-gender-studies
84,Government Information,Canadian Federal Government,http://research.lib.buffalo.edu/canfedgov
85,Government Information,Census Resources,http://research.lib.buffalo.edu/census
86,Government Information,European Union,http://research.lib.buffalo.edu/eurounion
87,Government Information,Foreign Governments,http://research.lib.buffalo.edu/forgov
88,Government Information,Freedom of Information,http://research.lib.buffalo.edu/freedom-of-information
89,Government Information,President of the United States: Selected Resources,http://research.lib.buffalo.edu/uspresident
90,Government Information,United Nations,http://research.lib.buffalo.edu/unitednations
91,Government Information,United States Federal Government Information,http://research.lib.buffalo.edu/fedgov
92,Health Sciences,Biomedical Sciences,http://research.lib.buffalo.edu/biomedical-sciences
93,Health Sciences,Biostatistics,http://research.lib.buffalo.edu/biostatistics
94,Health Sciences,Communicative Disorders,http://research.lib.buffalo.edu/communicative-disorders
95,Health Sciences,Consumer Health Resources,http://research.lib.buffalo.edu/consumer-health-resources
96,Health Sciences,Dietetics Orientation,http://research.lib.buffalo.edu/dietetics
97,Health Sciences,Drug Information Sources,http://research.lib.buffalo.edu/drug-information-sources
98,Health Sciences,Erie County Health Department,http://research.lib.buffalo.edu/erie-county-health-department
99,Health Sciences,ES 102 - Fundamentals of Wellness,http://research.lib.buffalo.edu/ES-102
100,Health Sciences,Exercise and Nutrition Science,http://research.lib.buffalo.edu/Exercise-and-Nutrition-Science
101,Health Sciences,FAQ for Clinicians,http://research.lib.buffalo.edu/FAQ-clinicians
102,Health Sciences,Health Sciences Research Tools,http://research.lib.buffalo.edu/health-sciences-research-tools
103,Health Sciences,Health Statistics,http://research.lib.buffalo.edu/health-statistics
104,Health Sciences,M1 Resources,http://research.lib.buffalo.edu/M1
105,Health Sciences,M2 Resources,http://research.lib.buffalo.edu/M2
106,Health Sciences,M3 & M4 Resources,http://research.lib.buffalo.edu/M3-M4
107,Health Sciences,Medical Images: Selected Resources,http://research.lib.buffalo.edu/medical-images
108,Health Sciences,"Medical, Nursing, and Psychological Tests and Research Instruments: selected resources",http://research.lib.buffalo.edu/medical-nursing-psychological-tests
109,Health Sciences,Medicine,http://research.lib.buffalo.edu/medicine
110,Health Sciences,Mobile Medical Apps,http://research.lib.buffalo.edu/MedicalApps
111,Health Sciences,Monthly Epidemiology Reports,http://research.lib.buffalo.edu/monthly-epidemiology-reports
112,Health Sciences,National Library of Medicine Call Numbers,http://research.lib.buffalo.edu/national-library-medicine-call-numbers
113,Health Sciences,OT 341 - Critical Sci Lit,http://research.lib.buffalo.edu/OT341
114,Health Sciences,Pain Management Resources for Cancer patients and Their Care Givers,http://research.lib.buffalo.edu/pain-management
115,Health Sciences,Pharmacy Resources,http://research.lib.buffalo.edu/pharmacy-resources
116,Health Sciences,Physician Directories,http://research.lib.buffalo.edu/physician-directories
117,Health Sciences,PT 505,http://research.lib.buffalo.edu/PT505
118,Health Sciences,PUB 102 Historical and Contemporary Public Health Problems,http://research.lib.buffalo.edu/PUB-102
119,Health Sciences,PUB 315 Asking and Answering Scientific Questions in Public Health,http://research.lib.buffalo.edu/PUB315
120,Health Sciences,Rehabilitation,http://research.lib.buffalo.edu/rehabilitation
121,Health Sciences,Sampling the Changing Face of Food,http://research.lib.buffalo.edu/sampling-the-changing-face-of-food
122,Health Sciences,Tenure Metrics: Cited Reference Searching,http://research.lib.buffalo.edu/tenure-metrics
123,History,African History,http://research.lib.buffalo.edu/african-history
124,History,European Studies,http://research.lib.buffalo.edu/european-studies
125,History,"HIST424: Sexuality, Culture, and the Law",http://research.lib.buffalo.edu/hist424guide
126,History,History of Medicine,http://research.lib.buffalo.edu/rlbrownhom
127,History,Poles in the United States - Polish-American Resources,http://research.lib.buffalo.edu/poles-in-the-US
128,History,Polish Genealogical Resources,http://research.lib.buffalo.edu/polish-genealogical-resources
129,History,United States History,http://research.lib.buffalo.edu/united-states-history
130,History,World History,http://research.lib.buffalo.edu/world-history
131,Law,Law Databases - Foreign and International,http://research.lib.buffalo.edu/foreign-international-law
132,Law,Law Databases - United States,http://research.lib.buffalo.edu/law-unitedstates
133,Law,Legal Links by Jurisdiction,http://research.lib.buffalo.edu/legal-links-by-jurisdiction
134,Law,Research Guides from the Charles B. Sears Law Library,http://research.lib.buffalo.edu/law
135,Library Science,Digital Preservation in the University Archives,http://research.lib.buffalo.edu/digitalpreservation
136,Library Science,iLab,http://research.lib.buffalo.edu/iLab
137,Library Science,Library Science,http://research.lib.buffalo.edu/library-science
138,Library Science,National Library of Medicine Call Numbers,http://research.lib.buffalo.edu/national-library-medicine-call-numbers
139,Linguistics,Linguistics,http://research.lib.buffalo.edu/linguistics
140,Literature,American Literature: A Research & Reference Guide,http://research.lib.buffalo.edu/american-literature-research
141,Literature,American Literature: Accessing American Periodical Literature & Newspapers,http://research.lib.buffalo.edu/american-literature-accessing-american-periodical
142,Literature,Best Sellers,http://research.lib.buffalo.edu/best-sellers
143,Literature,Children's and Young Adult Literature: Selected Sources,http://research.lib.buffalo.edu/childrens-young-adult-literature
144,Literature,ENG 610: Studies in Shakespeare,http://research.lib.buffalo.edu/ShakespeareStudies
145,Literature,English & American Literature,http://research.lib.buffalo.edu/english-american-literature
