,Category,Subject,Link
0,Course Guides,Chemical Engineering 495,http://researchguides.njit.edu/che495
1,Course Guides,Chemical Engineering 496,http://researchguides.njit.edu/CHE496
2,Course Guides,ENE262 - Intro to Environmental Engineering,http://researchguides.njit.edu/ENE262
3,Course Guides,ENG352 - Technical Writing,http://researchguides.njit.edu/ENG352
4,Course Guides,History of Furniture,http://researchguides.njit.edu/furniture
5,Course Guides,HUM 102esche,http://researchguides.njit.edu/hum102esche
6,Course Guides,HUM211,http://researchguides.njit.edu/HUM211
7,Course Guides,HUM212 Cultural History - The Modern World,http://researchguides.njit.edu/HUM212
8,Course Guides,ME407 - Heat Transfer,http://researchguides.njit.edu/me407
9,Course Guides,Music for Designers: Foundations of Sound and Music I. DD303-001,http://researchguides.njit.edu/music
10,Course Guides,Resources on Photography,http://researchguides.njit.edu/c.php?g=823819
11,Course Guides,Summer Programs in Italy,http://researchguides.njit.edu/italy
12,Faculty Guides,Endnote,http://researchguides.njit.edu/endnote
13,Faculty Guides,For Faculty,http://researchguides.njit.edu/faculty
14,Faculty Guides,Information Institute,http://researchguides.njit.edu/ii
15,Faculty Guides,Savvy Researcher: Create and Manage Your Online Scholarly Presence,http://researchguides.njit.edu/savvyresearcher
16,General Research Guides,Alumni Research Service,http://researchguides.njit.edu/alumni
17,General Research Guides,Business Presentation Skills,http://researchguides.njit.edu/businesspresentations
18,General Research Guides,Classroom Instruction,http://researchguides.njit.edu/infolit
19,General Research Guides,Copyright and Intellectual Property in the Digital Age,http://researchguides.njit.edu/intellectualproperty
20,General Research Guides,Copyright and Your Thesis or Dissertation,http://researchguides.njit.edu/copyright_dissertation
21,General Research Guides,Data Science @ NJIT Library,http://researchguides.njit.edu/data
22,General Research Guides,Digital Scholarship,http://researchguides.njit.edu/digitalscholarship
23,General Research Guides,Ebooks @ NJIT,http://researchguides.njit.edu/ebooks
24,General Research Guides,Find a Book in the NJIT Library,http://researchguides.njit.edu/findbook
25,General Research Guides,Find the Full Text of an Article,http://researchguides.njit.edu/findfulltext
26,General Research Guides,Finding Information on Newark Architecture,http://researchguides.njit.edu/newark
27,General Research Guides,For Faculty,http://researchguides.njit.edu/faculty
28,General Research Guides,Free Online Resources for NJIT Alumni,http://researchguides.njit.edu/alumni-free-online-resources
29,General Research Guides,Getting Started at the NJIT Library,http://researchguides.njit.edu/gettingstarted
30,General Research Guides,How to Evaluate Information Sources,http://researchguides.njit.edu/evaluate
31,General Research Guides,Interlibrary Loan & Document Delivery Services,http://researchguides.njit.edu/ILLiad
32,General Research Guides,Introduction to the Littman Library,http://researchguides.njit.edu/introduction
33,General Research Guides,Literature Reviews,http://researchguides.njit.edu/literaturereview
34,General Research Guides,Materials Collection,http://researchguides.njit.edu/material
35,General Research Guides,Mendeley,http://researchguides.njit.edu/mendeley
36,General Research Guides,New Earth Archive,http://researchguides.njit.edu/neweartharchive
37,General Research Guides,Open Educational Resources,http://researchguides.njit.edu/oer
38,General Research Guides,Representational Techniques,http://researchguides.njit.edu/representation
39,General Research Guides,Research Help,http://researchguides.njit.edu/researchhelp
40,General Research Guides,Research Roadmaps,http://researchguides.njit.edu/researchroadmap
41,General Research Guides,Resources for Alumni of the College of Architecture and Design,http://researchguides.njit.edu/coadalumni
42,General Research Guides,Resources for PhD students in the joint program in Urban Systems,http://researchguides.njit.edu/phd
43,General Research Guides,Scholarly vs. Popular Periodicals,http://researchguides.njit.edu/scholarlyvspopular
44,General Research Guides,The New York Times,http://researchguides.njit.edu/nytimes
45,General Research Guides,Understanding Citations,http://researchguides.njit.edu/citations
46,General Research Guides,Using EBSCO Library Search Tools,http://researchguides.njit.edu/using_asp
47,General Research Guides,"Using Images, Citing, and Plagiarism",http://researchguides.njit.edu/artscitation
48,Subject Guides,Architectural Design Competitions: Ideas and Presentations,http://researchguides.njit.edu/competitions
49,Subject Guides,Bloomberg,http://researchguides.njit.edu/bloomberg
50,Subject Guides,Books to Read on Break,http://researchguides.njit.edu/bookstoread
51,Subject Guides,Business Information,http://researchguides.njit.edu/business
52,Subject Guides,Chemistry - How to Find Biological Activity and Synthetic Methods of Organic Substances,http://researchguides.njit.edu/organic
53,Subject Guides,Chemistry - How to Find Physical and Thermodynamic Properties of Chemical Substances,http://researchguides.njit.edu/physical_properties
54,Subject Guides,Chemistry and Chemical Engineering,http://researchguides.njit.edu/chemistry
55,Subject Guides,Civil and Environmental Engineering,http://researchguides.njit.edu/civil
56,Subject Guides,"Communication: Thinking, Reading, Writing, Speaking",http://researchguides.njit.edu/communication
57,Subject Guides,Data Science @ NJIT Library,http://researchguides.njit.edu/data
58,Subject Guides,EDC,http://researchguides.njit.edu/edc
59,Subject Guides,Electrical and Computer Engineering,http://researchguides.njit.edu/ECE
60,Subject Guides,Environmental Science,http://researchguides.njit.edu/environmental
61,Subject Guides,Film and Architecture,http://researchguides.njit.edu/filmandarch
62,Subject Guides,"Finding Images in Architecture, Art & Design",http://researchguides.njit.edu/findingimages
63,Subject Guides,Finding Information on Newark Architecture,http://researchguides.njit.edu/newark
64,Subject Guides,History,http://researchguides.njit.edu/history
65,Subject Guides,History of Architecture,http://researchguides.njit.edu/architecturefordesigners
66,Subject Guides,History of Art & Design,http://researchguides.njit.edu/arthistory
67,Subject Guides,History of Furniture,http://researchguides.njit.edu/furniture
68,Subject Guides,Introduction to the Littman Library,http://researchguides.njit.edu/introduction
69,Subject Guides,Materials Collection,http://researchguides.njit.edu/material
70,Subject Guides,Mechanical Engineering,http://researchguides.njit.edu/me
71,Subject Guides,Music for Designers: Foundations of Sound and Music I. DD303-001,http://researchguides.njit.edu/music
72,Subject Guides,Patents,http://researchguides.njit.edu/patents
73,Subject Guides,Pharmaceutical Chemistry,http://researchguides.njit.edu/pharmaceutical
74,Subject Guides,Physics,http://researchguides.njit.edu/physics
75,Subject Guides,Representational Techniques,http://researchguides.njit.edu/representation
76,Subject Guides,Resilient Design: Prevention & Recovery (Selected Resources),http://researchguides.njit.edu/resilientdesign
77,Subject Guides,Resources for Alumni of the College of Architecture and Design,http://researchguides.njit.edu/coadalumni
78,Subject Guides,Resources on Photography,http://researchguides.njit.edu/c.php?g=823819
79,Subject Guides,"Software for Architecture, Digital Art and Design at the CoAD",http://researchguides.njit.edu/software
80,Subject Guides,Summer Program in Barcelona,http://researchguides.njit.edu/barcelona
81,Subject Guides,Transportation,http://researchguides.njit.edu/transportation
82,Subject Guides,Using Databases in Architectural Research,http://researchguides.njit.edu/gen-arch
83,Subject Guides,"Using Images, Citing, and Plagiarism",http://researchguides.njit.edu/artscitation
84,Subject Guides,Wikipedia,http://researchguides.njit.edu/wikipedia
85,Subject Librarian Liaison Guides,Liaison Program @ NJIT,http://researchguides.njit.edu/subject-liaison
86,Subject Librarian Liaison Guides,Subject Liaison Librarian: Davida Scharf,http://researchguides.njit.edu/scharf
87,Subject Librarian Liaison Guides,Subject Liaison Librarian: Joanne Dera,http://researchguides.njit.edu/dera
88,Subject Librarian Liaison Guides,Subject Liaison Librarian: Joseph Mercuri,http://researchguides.njit.edu/jmercuri
89,Subject Librarian Liaison Guides,Subject Liaison Librarian: Raymond Vasquez,http://researchguides.njit.edu/vasquez
90,Training and Documentation,Bloomberg,http://researchguides.njit.edu/bloomberg
91,Training and Documentation,Endnote,http://researchguides.njit.edu/endnote
92,Training and Documentation,"Software for Architecture, Digital Art and Design at the CoAD",http://researchguides.njit.edu/software
