,Category,Subject,Link
0,Agriculture,Agriculture,http://researchguides.uvm.edu/agriculture
1,Animal Science,Animal Science,http://researchguides.uvm.edu/animalscience
2,Anthropology,ANTH 240: Human Osteology and Archaeology - Blom (Fall 2018),http://researchguides.uvm.edu/anth240
3,Anthropology,Anthropology,http://researchguides.uvm.edu/anthropology
4,Art & Art History,Art and Art History,http://researchguides.uvm.edu/arthistory
5,Art & Art History,Artists' Books at UVM,http://researchguides.uvm.edu/artists_books
6,Art & Art History,Vermont Architectural Collections,http://researchguides.uvm.edu/Vermont_architectural_collections
7,Biology,Biology,http://researchguides.uvm.edu/bio
8,Business,Business Research Assistant,http://researchguides.uvm.edu/BIZ
9,Chemistry,Chemistry,http://researchguides.uvm.edu/chemistry
10,Chemistry,Materials Science,http://researchguides.uvm.edu/matsci
11,Classics,Classics,http://researchguides.uvm.edu/classics
12,Computer Science,Computer Science,http://researchguides.uvm.edu/compsci
13,Counseling,Counseling,http://researchguides.uvm.edu/counseling
14,Critical Race & Ethnic Studies,African American Studies,http://researchguides.uvm.edu/africanamerican
15,Critical Race & Ethnic Studies,Asian American Studies,http://researchguides.uvm.edu/asianamerican
16,Critical Race & Ethnic Studies,Latino/a American Studies,http://researchguides.uvm.edu/latinoamerican
17,Critical Race & Ethnic Studies,Native American Studies,http://researchguides.uvm.edu/nativeam
18,Dance,Dance,http://researchguides.uvm.edu/dance
19,Economics,Economics,http://researchguides.uvm.edu/economics
20,Education,Education,http://researchguides.uvm.edu/education
21,Education,Educational Leadership and Policy Studies,http://researchguides.uvm.edu/edlp
22,Education,Higher Education and Student Affairs (HESA),http://researchguides.uvm.edu/hesa
23,Educational Leadership & Policy Studies,Educational Leadership and Policy Studies,http://researchguides.uvm.edu/edlp
24,Engineering,Engineering,http://researchguides.uvm.edu/engineering
25,Engineering,Intro Tutorials for Engineers,http://researchguides.uvm.edu/engineering-tutorials
26,Engineering,Materials Science,http://researchguides.uvm.edu/matsci
27,Engineering,Standards,http://researchguides.uvm.edu/standards
28,English,English & American Literature,http://researchguides.uvm.edu/english
29,English,English & American Literature : 19th Century,http://researchguides.uvm.edu/eng19th
30,English,English & American Literature : Medieval-18th Century,http://researchguides.uvm.edu/engmedieval
31,English for Speakers of Other Languages,ESOL 096: Academic Reading Skills,http://researchguides.uvm.edu/ESOL096-ARS
32,English for Speakers of Other Languages,ESOL 096: Academic Writing I,http://researchguides.uvm.edu/ESOL096-AWI
33,English for Speakers of Other Languages,ESOL 096: Academic Writing II,http://researchguides.uvm.edu/ESOL096-AWII
34,Environment,Centennial Woods Natural Area,http://researchguides.uvm.edu/centennialwoods
35,Environment,Colchester Bog Natural Area,http://researchguides.uvm.edu/colchester-bog
36,Environment,Environment,http://researchguides.uvm.edu/environment
37,Environment,"Shelburne Pond, the H. Laurence Achilles Natural Area",http://researchguides.uvm.edu/shelburne_pond
38,Film & Television Studies,Film & Television Studies,http://researchguides.uvm.edu/film
39,Food Systems,Food Systems,http://researchguides.uvm.edu/foodsystems
40,"Gender, Sexuality, & Women's Studies","Gender, Sexuality, & Women's Studies",http://researchguides.uvm.edu/GSWS
41,Geography,Geography,http://researchguides.uvm.edu/geography
42,Geology,Geology,http://researchguides.uvm.edu/geology
43,Global & Regional Studies,Country Research Guide,http://researchguides.uvm.edu/country
44,Global & Regional Studies,Latin American Studies,http://researchguides.uvm.edu/latinamer
45,Global & Regional Studies,Students Studying Abroad: A Library Guide,http://researchguides.uvm.edu/studyabroad
46,"Health, Medicine & Nursing",Anesthesiology,http://researchguides.uvm.edu/anesthesiology
47,"Health, Medicine & Nursing",Athletic Training/Exercise Science,http://researchguides.uvm.edu/ExerciseScienceAT
48,"Health, Medicine & Nursing",Biochemistry,http://researchguides.uvm.edu/Biochemistry
49,"Health, Medicine & Nursing","Cellular, Molecular & Biological Sciences",http://researchguides.uvm.edu/CMBS
50,"Health, Medicine & Nursing",Clinical Care,http://researchguides.uvm.edu/clinicalcare
51,"Health, Medicine & Nursing",Communication Sciences & Disorders,http://researchguides.uvm.edu/CommunicationSciencesDisorders
52,"Health, Medicine & Nursing",Complementary & Alternative Medicine,http://researchguides.uvm.edu/ComplementaryMedicine
53,"Health, Medicine & Nursing",Consumer Health,http://researchguides.uvm.edu/ConsumerHealth
54,"Health, Medicine & Nursing",CSD: Measurement of Communication Processes,http://researchguides.uvm.edu/CSD262
55,"Health, Medicine & Nursing",Drug Information,http://researchguides.uvm.edu/drugs
56,"Health, Medicine & Nursing",Family Medicine,http://researchguides.uvm.edu/familymedicine
57,"Health, Medicine & Nursing",Medical Laboratory Science,http://researchguides.uvm.edu/MLS
58,"Health, Medicine & Nursing",Medical Radiation Sciences,http://researchguides.uvm.edu/MedicalRadiationSciences
59,"Health, Medicine & Nursing",Microbiology & Molecular Genetics,http://researchguides.uvm.edu/MMG
60,"Health, Medicine & Nursing",Neurology,http://researchguides.uvm.edu/Neurology
61,"Health, Medicine & Nursing",Nursing Resources for Clinical Practice,http://researchguides.uvm.edu/medcenternurses
