,Category,Subject,Link
0,American Studies,American Studies,https://courseguides.trincoll.edu/amstud
1,American Studies,AMST-203 Conflicts and Cultures in American Society (Manevitz),https://courseguides.trincoll.edu/conflictsculturesmanevitz
2,American Studies,AMST-325-01 New York and its Neighborhoods (Manevitz),https://courseguides.trincoll.edu/newyork
3,American Studies,English,https://courseguides.trincoll.edu/english
4,American Studies,History,https://courseguides.trincoll.edu/history
5,American Studies,Image Research Guide,https://courseguides.trincoll.edu/Images
6,Anthropology,ANTH-253 Urban Anthropology (DiVietro),https://courseguides.trincoll.edu/beebe
7,Anthropology,Anthropology,https://courseguides.trincoll.edu/anthro
8,Anthropology,Image Research Guide,https://courseguides.trincoll.edu/Images
9,Anthropology,Religion,https://courseguides.trincoll.edu/religion
10,Art & Architecture,AHIS-301 Major Seminar Art Historical Methods (FitzGerald),https://courseguides.trincoll.edu/fitzgerald1
11,Art & Architecture,Art & Architecture,https://courseguides.trincoll.edu/art
12,Art & Architecture,Classics,https://courseguides.trincoll.edu/classics
13,Art & Architecture,Image Research Guide,https://courseguides.trincoll.edu/Images
14,Art & Architecture,Religion,https://courseguides.trincoll.edu/religion
15,Biology,Biology,https://courseguides.trincoll.edu/biologyguide
16,Biology,"FYSM-144 Food, Science, and Culture (Guardiola-Diaz)",https://courseguides.trincoll.edu/fysm144guardioladiaz
17,Biology,Health Fellows Program,https://courseguides.trincoll.edu/healthfellows
18,Biology,Image Research Guide,https://courseguides.trincoll.edu/Images
19,Chemistry,Chemistry,https://courseguides.trincoll.edu/chemistry
20,Chemistry,Environmental Science,https://courseguides.trincoll.edu/envsci
21,Chemistry,"FYSM-161 Bones, Pigments and Native Metals (Parr)",https://courseguides.trincoll.edu/fysm161
22,Chemistry,FYSM-210 HIV/AIDS: Science and Society (Brindle),https://courseguides.trincoll.edu/fysm210
23,Chemistry,ISP-117 Interdisciplinary Science Program (Draper),https://courseguides.trincoll.edu/isp
24,Cities,CACT-101 Envisioning Social Change (Laws),https://courseguides.trincoll.edu/c.php?g=758012
25,Cities,CTYP-200 The American City (Yen),https://courseguides.trincoll.edu/c.php?g=873580
26,Cities,Image Research Guide,https://courseguides.trincoll.edu/Images
27,Classics,Classics,https://courseguides.trincoll.edu/classics
28,Classics,History,https://courseguides.trincoll.edu/history
29,Classics,Image Research Guide,https://courseguides.trincoll.edu/Images
30,Classics,Religion,https://courseguides.trincoll.edu/religion
31,Computer Science,Computer Science,https://courseguides.trincoll.edu/compsci
32,Economics,ECON-304 Macroeconomics Booms and Recessions (Zannoni),https://courseguides.trincoll.edu/c.php?g=876851
33,Economics,ECON-402 Economics Senior Thesis,https://courseguides.trincoll.edu/econthesis
34,Economics,ECON-431 Experimental Economics (Schneider),https://courseguides.trincoll.edu/experimentalecon
35,Economics,Economics,https://courseguides.trincoll.edu/econ
36,Educational Studies,Educational Studies,https://courseguides.trincoll.edu/educationalstudies
37,Engineering,Engineering,https://courseguides.trincoll.edu/engineering
38,English,English,https://courseguides.trincoll.edu/english
39,English,Image Research Guide,https://courseguides.trincoll.edu/Images
40,English,Language & Culture Studies,https://courseguides.trincoll.edu/languageculturestudies
41,English,RHET-103 College Writing,https://courseguides.trincoll.edu/collegewriting
42,Environmental Science,Environmental Science,https://courseguides.trincoll.edu/envsci
43,Environmental Science,Image Research Guide,https://courseguides.trincoll.edu/Images
44,Environmental Science,ISP-117 Interdisciplinary Science Program (Draper),https://courseguides.trincoll.edu/isp
45,Film & Media Studies,Film & Media Studies,https://courseguides.trincoll.edu/filmmedia
46,First Year Seminars,CACT-101 Envisioning Social Change (Laws),https://courseguides.trincoll.edu/c.php?g=758012
47,First Year Seminars,CTYP-200 The American City (Yen),https://courseguides.trincoll.edu/c.php?g=873580
48,First Year Seminars,"FYSM 159: Americans in Paris, Parisians in America",https://courseguides.trincoll.edu/c.php?g=868773
49,First Year Seminars,FYSM-101 BFF or Strange Bedfellows? (Spezialetti),https://courseguides.trincoll.edu/fysm101
50,First Year Seminars,FYSM-133: The Anatomy of Forgiveness (Fixel),https://courseguides.trincoll.edu/fysm133_anatomy_of_forgiveness
51,First Year Seminars,"FYSM-143 Lights, Camera, Society!: Sociology Through Film (Andersson)",https://courseguides.trincoll.edu/fysm143
52,First Year Seminars,"FYSM-144 Food, Science, and Culture (Guardiola-Diaz)",https://courseguides.trincoll.edu/fysm144guardioladiaz
53,First Year Seminars,"FYSM-161 Bones, Pigments and Native Metals (Parr)",https://courseguides.trincoll.edu/fysm161
54,First Year Seminars,FYSM-177 The Psychology of Happiness (Helt),https://courseguides.trincoll.edu/fysm177
55,First Year Seminars,FYSM-210 HIV/AIDS: Science and Society (Brindle),https://courseguides.trincoll.edu/fysm210
56,First Year Seminars,FYSM-233 Understanding Race Philosophically (Wade),https://courseguides.trincoll.edu/understandingrace
57,First Year Seminars,ISP-117 Interdisciplinary Science Program (Draper),https://courseguides.trincoll.edu/isp
58,Guided Studies,Image Research Guide,https://courseguides.trincoll.edu/Images
59,History,AMST-203 Conflicts and Cultures in American Society (Manevitz),https://courseguides.trincoll.edu/conflictsculturesmanevitz
60,History,AMST-325-01 New York and its Neighborhoods (Manevitz),https://courseguides.trincoll.edu/newyork
61,History,Classics,https://courseguides.trincoll.edu/classics
62,History,History,https://courseguides.trincoll.edu/history
63,History,Image Research Guide,https://courseguides.trincoll.edu/Images
64,History,Religion,https://courseguides.trincoll.edu/religion
65,Human Rights,Human Rights Studies,https://courseguides.trincoll.edu/HumanRights
66,Human Rights,Image Research Guide,https://courseguides.trincoll.edu/Images
67,IDP Seminars,IDPS-111 Making Your Way in Medieval England,https://courseguides.trincoll.edu/idps111
68,International Studies,History,https://courseguides.trincoll.edu/history
69,International Studies,Image Research Guide,https://courseguides.trincoll.edu/Images
70,International Studies,International Studies,https://courseguides.trincoll.edu/internationalstudies
71,International Studies,INTS-401 Senior Seminar International Studies (Antrim),https://courseguides.trincoll.edu/antrim3
72,International Studies,INTS-401 Senior Seminar International Studies (Prashad),https://courseguides.trincoll.edu/prashad
73,International Studies,Language & Culture Studies,https://courseguides.trincoll.edu/languageculturestudies
74,Language & Culture Studies,Classics,https://courseguides.trincoll.edu/classics
75,Language & Culture Studies,English,https://courseguides.trincoll.edu/english
76,Language & Culture Studies,HISP-401 Senior Thesis Seminar (Melendez),https://courseguides.trincoll.edu/melendez2
77,Language & Culture Studies,Image Research Guide,https://courseguides.trincoll.edu/Images
78,Language & Culture Studies,ITAL-314 Contemporary Italian Literature (di Florio Gula),https://courseguides.trincoll.edu/difloriogula
79,Language & Culture Studies,Language & Culture Studies,https://courseguides.trincoll.edu/languageculturestudies
80,Mathematics,Mathematics,https://courseguides.trincoll.edu/math
81,Music,Music,https://courseguides.trincoll.edu/mpa
82,Neuroscience,Health Fellows Program,https://courseguides.trincoll.edu/healthfellows
83,Neuroscience,Neuroscience,https://courseguides.trincoll.edu/neurosci
84,Neuroscience,PSYC-261 Brain & Behavior (Raskin),https://courseguides.trincoll.edu/psyc261
85,Neuroscience,Psychology,https://courseguides.trincoll.edu/psychology
86,Philosophy,Classics,https://courseguides.trincoll.edu/classics
87,Philosophy,FYSM-233 Understanding Race Philosophically (Wade),https://courseguides.trincoll.edu/understandingrace
88,Philosophy,Philosophy,https://courseguides.trincoll.edu/philosophy
