,Category,Subject,Link
0,Anthropology,ANT 317 Course Guide,https://culibraries.creighton.edu/ANT317
1,Anthropology,Anthropology Research Guide,https://culibraries.creighton.edu/anthropology
2,Anthropology,Country Information Research Guide,https://culibraries.creighton.edu/countries
3,Anthropology,Medical Anthropology Program Guide,https://culibraries.creighton.edu/medical_anthropology
4,Biology,BIO 149 Course Guide,https://culibraries.creighton.edu/BIO149
5,Biology,Biology Research Guide,https://culibraries.creighton.edu/biology
6,Business & Economics,Accounting Research Guide,https://culibraries.creighton.edu/accounting
7,Business & Economics,BUS 471 Course Guide,https://culibraries.creighton.edu/BUS471
8,Business & Economics,Business and Law A-Z,https://culibraries.creighton.edu/business
9,Business & Economics,Business Intelligence & Analytics Research Guide,https://culibraries.creighton.edu/businessintelligence
10,Business & Economics,Company Information Research Guide,https://culibraries.creighton.edu/companyinfo
11,Business & Economics,Creighton Business Institute Program Guide,https://culibraries.creighton.edu/CBI
12,Business & Economics,DBA (Doctorate of Business Administration) Program Guide,https://culibraries.creighton.edu/dba
13,Business & Economics,Economics & Finance Research Guide,https://culibraries.creighton.edu/ecofinance
14,Business & Economics,Marketing & Management Research Guide,https://culibraries.creighton.edu/mktgmgmt
15,Business & Economics,MBA 776 Course Guide,https://culibraries.creighton.edu/mba776
16,Business & Economics,MKT 319 Course Guide,https://culibraries.creighton.edu/mkt319
17,Business & Economics,MKT 333 Course Guide,https://culibraries.creighton.edu/MKT333
18,Business & Economics,MKT 363 Course Guide,https://culibraries.creighton.edu/mkt363
19,Chemistry,Chemistry Research Guide,https://culibraries.creighton.edu/chemistry
20,Classical Studies,Classical Studies Research Guide,https://culibraries.creighton.edu/classics
21,Classical Studies,Primary Sources in History and the Classics,https://culibraries.creighton.edu/c.php?g=461228
22,Communication Studies,COM174 Course Guide,https://culibraries.creighton.edu/COM174
23,Communication Studies,Communication Studies Research Guide,https://culibraries.creighton.edu/communication
24,Country Information,Country Information Research Guide,https://culibraries.creighton.edu/countries
25,Course Guides,ANT 317 Course Guide,https://culibraries.creighton.edu/ANT317
26,Course Guides,BIO 149 Course Guide,https://culibraries.creighton.edu/BIO149
27,Course Guides,BUS 471 Course Guide,https://culibraries.creighton.edu/BUS471
28,Course Guides,COM174 Course Guide,https://culibraries.creighton.edu/COM174
29,Course Guides,ENG 150 Course Guide,https://culibraries.creighton.edu/eng150
30,Course Guides,ILS 200 Course Guide,https://culibraries.creighton.edu/ILS200
31,Course Guides,JRM 335 Course Guide,https://culibraries.creighton.edu/JRM335
32,Course Guides,MBA 775 Course Guide,https://culibraries.creighton.edu/mba775
33,Course Guides,MBA 776 Course Guide,https://culibraries.creighton.edu/mba776
34,Course Guides,MKT 319 Course Guide,https://culibraries.creighton.edu/mkt319
35,Course Guides,MKT 333 Course Guide,https://culibraries.creighton.edu/MKT333
36,Course Guides,MKT 363 Course Guide,https://culibraries.creighton.edu/mkt363
37,Course Guides,PHL 358 Course Guide,https://culibraries.creighton.edu/phl358
38,Course Guides,PLS/HAP 334 Course Guide,https://culibraries.creighton.edu/pls334
39,Dentistry,Dentistry - General,https://culibraries.creighton.edu/dentistry
40,Education,Ed.D. in Leadership Program Guide,https://culibraries.creighton.edu/leadership
41,Education,Education Research Guide,https://culibraries.creighton.edu/education
42,Education,School Counseling Program Guide,https://culibraries.creighton.edu/schoolcounseling
43,Energy Technology,Environmental Science Research Guide,https://culibraries.creighton.edu/enviroscience
44,English,ENG 150 Course Guide,https://culibraries.creighton.edu/eng150
45,English,English Research Guide,https://culibraries.creighton.edu/english
46,Environmental Science,Environmental Science Research Guide,https://culibraries.creighton.edu/enviroscience
47,Exercise Science,Exercise Science Research Guide,https://culibraries.creighton.edu/exerscience
48,Family Law,Alimony and Spousal Support in Nebraska,https://culibraries.creighton.edu/alimony
49,Family Law,Child Support Arrearage in Nebraska,https://culibraries.creighton.edu/ChildSuppArrNeb
50,Family Law,Indian Child Welfare Act in Nebraska,https://culibraries.creighton.edu/IndChWelfActNeb
51,Family Law,Pro Se Assistance in Simple Divorce,https://culibraries.creighton.edu/ProSeAssSimpDiv
52,Fine & Performing Arts,Art Research Guide,https://culibraries.creighton.edu/art
53,Fine & Performing Arts,Music Research Guide,https://culibraries.creighton.edu/music
54,Fine & Performing Arts,"Theater, Film and Dance Research Guide",https://culibraries.creighton.edu/theater
55,Government Information,Government Information Guide,https://culibraries.creighton.edu/governments
56,Health Literacy,Patient Education,https://culibraries.creighton.edu/patientEd
57,Health Policy & Ethics,Health Policy and Ethics,https://culibraries.creighton.edu/healthpolicyethics
58,Health Policy & Ethics,Multicultural Health,https://culibraries.creighton.edu/multicultural
59,Health Policy & Ethics,Practice Management/Health Administration,https://culibraries.creighton.edu/HealthAdmin
60,Health Policy & Ethics,Public and Global Health,https://culibraries.creighton.edu/publichealth
61,Health Sciences,ANT 317 Course Guide,https://culibraries.creighton.edu/ANT317
62,Health Sciences,Exercise Science Research Guide,https://culibraries.creighton.edu/exerscience
63,Health Sciences,Healthy Lifestyle Management Program Guide,https://culibraries.creighton.edu/hlm
64,Health Sciences,Medical Anthropology Program Guide,https://culibraries.creighton.edu/medical_anthropology
65,History,History Research Guide,https://culibraries.creighton.edu/history
66,History,Native American Studies Research Guide,https://culibraries.creighton.edu/nativeamericans
67,History,Primary Sources in History and the Classics,https://culibraries.creighton.edu/c.php?g=461228
68,Journalism & Computing,Computer Science Research Guide,https://culibraries.creighton.edu/compsci
69,Journalism & Computing,"Journalism, Media and Computing Research Guide",https://culibraries.creighton.edu/journalism
70,Journalism & Computing,JRM 335 Course Guide,https://culibraries.creighton.edu/JRM335
71,Law,Administrative Law,https://culibraries.creighton.edu/administrativelaw
72,Law,Alternative Dispute Resolution,https://culibraries.creighton.edu/adr
73,Law,Antitrust and Trade Regulation,https://culibraries.creighton.edu/antitrust
74,Law,Banking Law,https://culibraries.creighton.edu/bankinglaw
75,Law,Bankruptcy,https://culibraries.creighton.edu/Bankruptcy
