,Category,Subject,Link
0,Apps & Tech,eReaders,https://guides.aclibrary.org/ereaders
1,Apps & Tech,Mobile Library,https://guides.aclibrary.org/mobile
2,Apps & Tech,Tech It Out,https://guides.aclibrary.org/techitout
3,"Art, History & Entertainment",Art IS Education,https://guides.aclibrary.org/ArtIsEducation
4,"Art, History & Entertainment",Entertainment,https://guides.aclibrary.org/entertainment
5,"Art, History & Entertainment",Fremont Local History Resources,https://guides.aclibrary.org/FremontHistory
6,"Art, History & Entertainment",Women's History,https://guides.aclibrary.org/women
7,Business & Legal Information,Business,https://guides.aclibrary.org/business
8,Business & Legal Information,Jobs,https://guides.aclibrary.org/jobs
9,Business & Legal Information,Legal Information,https://guides.aclibrary.org/legal
10,Business & Legal Information,Online Classes,https://guides.aclibrary.org/classes
11,California,California Missions,https://guides.aclibrary.org/missions
12,California,Government,https://guides.aclibrary.org/government
13,California,Homework Help,https://guides.aclibrary.org/homework
14,California,Legal Information,https://guides.aclibrary.org/legal
15,California,Weather & Climate,https://guides.aclibrary.org/c.php?g=776011
16,Children,California Missions,https://guides.aclibrary.org/missions
17,Children,Children's Place,https://guides.aclibrary.org/children
18,Children,eBooks,https://guides.aclibrary.org/ebooks
19,Children,Homework Help,https://guides.aclibrary.org/homework
20,Children,Reading Rocks!,https://guides.aclibrary.org/read
21,Children,Summer Reading,https://guides.aclibrary.org/summerreading
22,"Consumer, DIY and more",Consumer Information,https://guides.aclibrary.org/consumer
23,"Consumer, DIY and more",DIY- Do It Yourself,https://guides.aclibrary.org/DIY
24,"Consumer, DIY and more",Emergency Planning,https://guides.aclibrary.org/emergency
25,"Consumer, DIY and more",Fabric Fun,https://guides.aclibrary.org/fiber
26,"Consumer, DIY and more",Food and Drink,https://guides.aclibrary.org/food
27,"Consumer, DIY and more",Gardening,https://guides.aclibrary.org/gardening
28,"Consumer, DIY and more",Genealogy,https://guides.aclibrary.org/genealogy
29,"Consumer, DIY and more",Green Living,https://guides.aclibrary.org/green
30,"Consumer, DIY and more",Parks and Recreation,https://guides.aclibrary.org/parks
31,"Consumer, DIY and more",Pets,https://guides.aclibrary.org/pets
32,"Consumer, DIY and more",Sports,https://guides.aclibrary.org/sports
33,"Consumer, DIY and more",Travel,https://guides.aclibrary.org/c.php?g=733649
34,"Consumer, DIY and more",Weather & Climate,https://guides.aclibrary.org/c.php?g=776011
35,eBooks,eBooks,https://guides.aclibrary.org/ebooks
36,eBooks,Reader's Corner,https://guides.aclibrary.org/reading
37,Education,Adult Literacy,https://guides.aclibrary.org/literacy
38,Education,Art IS Education,https://guides.aclibrary.org/ArtIsEducation
39,Education,Computer Education,https://guides.aclibrary.org/computers
40,Education,ESL,https://guides.aclibrary.org/ESL
41,Education,Homework Help,https://guides.aclibrary.org/homework
42,Education,Language Learning,https://guides.aclibrary.org/languages
43,Education,Online Classes,https://guides.aclibrary.org/classes
44,Education,Reference,https://guides.aclibrary.org/reference
45,Government,Citizenship,https://guides.aclibrary.org/citizenship
46,Government,Elections,https://guides.aclibrary.org/elections
47,Government,Emergency Planning,https://guides.aclibrary.org/emergency
48,Government,Government,https://guides.aclibrary.org/government
49,Government,Reference,https://guides.aclibrary.org/reference
50,Health & Wellness,Health and Medical Information,https://guides.aclibrary.org/health
51,Health & Wellness,News Topics,https://guides.aclibrary.org/news
52,Health & Wellness,Online Classes,https://guides.aclibrary.org/classes
53,Language Learning,ESL,https://guides.aclibrary.org/ESL
54,Language Learning,Language Learning,https://guides.aclibrary.org/languages
55,Magazines and Journals,Magazines,https://guides.aclibrary.org/magazines
56,News,News Topics,https://guides.aclibrary.org/news
57,Reading,Banned Books,https://guides.aclibrary.org/banned
58,Reading,eBooks,https://guides.aclibrary.org/ebooks
59,Reading,Reader's Corner,https://guides.aclibrary.org/reading
60,Reading,Reading Rocks!,https://guides.aclibrary.org/read
61,Reading,Summer Reading,https://guides.aclibrary.org/summerreading
62,Teens,Homework Help,https://guides.aclibrary.org/homework
63,Videos,Entertainment,https://guides.aclibrary.org/entertainment
