,Category,Subject,Link
0,African American Studies,AFC 272,https://guides.emich.edu/c.php?g=586640
1,African American Studies,African American Studies,https://guides.emich.edu/africanamerican
2,African American Studies,LITR 160/362- African American Literature,https://guides.emich.edu/african-american-lit
3,African American Studies,"Rev. Dr. Martin Luther King, Jr.",https://guides.emich.edu/c.php?g=188080
4,African American Studies,Teaching in Context: Placing EMU in Southeast Michigan,https://guides.emich.edu/TiC
5,Aging Studies,Allied Health Professions,https://guides.emich.edu/ahp
6,Aging Studies,Social Work,https://guides.emich.edu/socialwork
7,Anthropology,ANTH/SOCL 345 Ethnographic Methods,https://guides.emich.edu/anth345
8,Anthropology,Anthropology - Locating Ethnographies,https://guides.emich.edu/ethnographies
9,Anthropology,"Anthropology, Criminology & Sociology - Class Guides",https://guides.emich.edu/classes-anth
10,Anthropology,Geotourism,https://guides.emich.edu/geotourism
11,Anthropology,Quantitative and Qualitative Research,https://guides.emich.edu/quantqualmethods
12,Anthropology,Social Research Methods,https://guides.emich.edu/c.php?g=188066
13,Archives & Exhibits,Conducting Historical Research Online,https://guides.emich.edu/archives/hr
14,Archives & Exhibits,History of Campus Demonstrations & Rallies,https://guides.emich.edu/historyofdemonstrationsandrallies
15,Archives & Exhibits,Muslim Journeys,https://guides.emich.edu/muslimjourneys
16,Archives & Exhibits,"Rev. Dr. Martin Luther King, Jr.",https://guides.emich.edu/c.php?g=188080
17,Archives & Exhibits,Searching the University Archives,https://guides.emich.edu/ArchivesSearch
18,Archives & Exhibits,Unity 3D,https://guides.emich.edu/unity3D
19,Archives & Exhibits,University Archives,https://guides.emich.edu/c.php?g=188037
20,Archives & Exhibits,University Presidents,https://guides.emich.edu/EMUPresidents
21,Arts,Art: Art Research,https://guides.emich.edu/art
22,Arts,Art: Visual Resources,https://guides.emich.edu/visual
23,Arts,Communication & Theater,https://guides.emich.edu/communication
24,Arts,Dance,https://guides.emich.edu/dance
25,Arts,Drama/Theater for the Young,https://guides.emich.edu/drama-young
26,Arts,Multimedia,https://guides.emich.edu/multimedia
27,Arts,Music,https://guides.emich.edu/music
28,Biology,Biochemistry,https://guides.emich.edu/biochemistry
29,Biology,Biology,https://guides.emich.edu/biology
30,Biology,Botany & Plant Biology,https://guides.emich.edu/Botany
31,Biology,Genetics & Genomics,https://guides.emich.edu/genetics
32,Biology,Human Anatomy and Physiology,https://guides.emich.edu/anatomy
33,Biology,Immunology,https://guides.emich.edu/immunology
34,Biology,Water Resource Management,https://guides.emich.edu/c.php?g=213695
35,Business,Accounting,https://guides.emich.edu/accounting
36,Business,Business,https://guides.emich.edu/business
37,Business,Business Ethics,https://guides.emich.edu/bizethics
38,Business,Career Information for Business Students,https://guides.emich.edu/bizcareer
39,Business,Class Guides - Business,https://guides.emich.edu/classes-business
40,Business,Company Research,https://guides.emich.edu/company
41,Business,Computer Information Systems,https://guides.emich.edu/cis
42,Business,Entrepreneurship,https://guides.emich.edu/entrepreneurship
43,Business,Finance,https://guides.emich.edu/finance
44,Business,Human Resources & Organizational Behavior,https://guides.emich.edu/hr
45,Business,IMC Virtual Library,https://guides.emich.edu/imc
46,Business,Industry Research,https://guides.emich.edu/industry
47,Business,International Business,https://guides.emich.edu/intlbiz
48,Business,Market Research,https://guides.emich.edu/markets
49,Business,Marketing & Advertising,https://guides.emich.edu/marketing
50,Business,Professionalism Resources,https://guides.emich.edu/prof
51,Business,Social Entrepreneurship,https://guides.emich.edu/social-entrepreneurship
52,Business,Social Media for Business,https://guides.emich.edu/socialmedia
53,Business,Statistical Methods & Data Sources,https://guides.emich.edu/data
54,Business,Statistics A-Z,https://guides.emich.edu/stats
55,Business,Supply Chain Management,https://guides.emich.edu/scm
56,Business,Taxation,https://guides.emich.edu/tax
57,Business,Women in Business,https://guides.emich.edu/bizwomen
58,Careers,Career Information and Job Search,https://guides.emich.edu/career
59,Careers,Career Information for Business Students,https://guides.emich.edu/bizcareer
60,Careers,Careers in Health,https://guides.emich.edu/CareersHealth
61,Careers,Professionalism Resources,https://guides.emich.edu/prof
62,Careers,Test Preparation Resources at EMU,https://guides.emich.edu/testprep
63,Careers,"Your STEM Career -- The World of Science, Technology, Engineering and Math",https://guides.emich.edu/stemcareer
64,Chemistry,Biochemistry,https://guides.emich.edu/biochemistry
65,Chemistry,Chemistry,https://guides.emich.edu/chemistry
66,Chemistry,"Open Science, Citizen Science and Science 2.0",https://guides.emich.edu/c.php?g=188061
67,Chemistry,Science and Math Videos,https://guides.emich.edu/scimathvideos
68,Chemistry,"Your STEM Career -- The World of Science, Technology, Engineering and Math",https://guides.emich.edu/stemcareer
69,Children's Literature,Children's & Young Adult Literature,https://guides.emich.edu/childrenslit
70,Children's Literature,Children's Literature Call Numbers,https://guides.emich.edu/ChildrensCallNumbers
71,Communication & Speech,Communication & Theater,https://guides.emich.edu/communication
72,Communication & Speech,Communication - Class Guides,https://guides.emich.edu/c.php?g=188099
73,Communication & Speech,CTAR 601,https://guides.emich.edu/ctar601
