,Category,Subject,Link
0,Accounting,Accounting,https://guides.lib.calpoly.edu/business_accounting
1,Aerospace Engineering,Aerospace Engineering,https://guides.lib.calpoly.edu/aero
2,Agribusiness,AGB 101 - Introduction to Agribusiness,https://guides.lib.calpoly.edu/agb101
3,Agribusiness,AGB 301 - Food and Fiber Marketing,https://guides.lib.calpoly.edu/agb301
4,Agribusiness,AGB 318 - Global Agricultural Marketing and Trade,https://guides.lib.calpoly.edu/agb318
5,Agribusiness,AGB 369 - Agricultural Personnel Management,https://guides.lib.calpoly.edu/agb369
6,Agribusiness,AGB 450 - Agribusiness Strategy Formulation,https://guides.lib.calpoly.edu/agb450
7,Agribusiness,Agribusiness,https://guides.lib.calpoly.edu/CAFES/AGB
8,Agribusiness,Agribusiness Senior Project,https://guides.lib.calpoly.edu/agbseniorproject
9,Agribusiness,CAFES Research Central,https://guides.lib.calpoly.edu/CAFES
10,Agricultural & Environmental Plant Sciences,AEPS 101 - Orientation to Horticulture and Crop Science,https://guides.lib.calpoly.edu/aeps101
11,Agricultural & Environmental Plant Sciences,AEPS 120 - Principles of Horticulture and Crop Science,https://guides.lib.calpoly.edu/AEPS120
12,Agricultural & Environmental Plant Sciences,AEPS 355 - Citrus and Avocado Fruit Production,https://guides.lib.calpoly.edu/aeps355
13,Agricultural & Environmental Plant Sciences,Agricultural & Environmental Plant Sciences,https://guides.lib.calpoly.edu/CAFES/AEPS
14,Agricultural & Environmental Plant Sciences,Agricultural & Environmental Plant Sciences Senior Project,https://guides.lib.calpoly.edu/aepsseniorproject
15,Agricultural & Environmental Plant Sciences,CAFES Research Central,https://guides.lib.calpoly.edu/CAFES
16,Agricultural Communication,AGC 102 - Orientation to Agricultural Communication,https://guides.lib.calpoly.edu/agc102
17,Agricultural Communication,AGC 452 - Current Trends and Issues in Agricultural Communication,https://guides.lib.calpoly.edu/AGC452
18,Agricultural Communication,Agricultural Education & Communication,https://guides.lib.calpoly.edu/CAFES/AGED_AGC
19,Agricultural Communication,Agricultural Education & Communication Senior Project,https://guides.lib.calpoly.edu/AGED_AGCseniorproject
20,Agricultural Communication,CAFES Research Central,https://guides.lib.calpoly.edu/CAFES
21,Agricultural Education,AGC 452 - Current Trends and Issues in Agricultural Communication,https://guides.lib.calpoly.edu/AGC452
22,Agricultural Education,AGED 102 - Introduction to Agricultural Education,https://guides.lib.calpoly.edu/aged102
23,Agricultural Education,Agricultural Education & Communication,https://guides.lib.calpoly.edu/CAFES/AGED_AGC
24,Agricultural Education,Agricultural Education & Communication Senior Project,https://guides.lib.calpoly.edu/AGED_AGCseniorproject
25,Agricultural Education,CAFES Research Central,https://guides.lib.calpoly.edu/CAFES
26,Agriculture,AEPS 101 - Orientation to Horticulture and Crop Science,https://guides.lib.calpoly.edu/aeps101
27,Agriculture,AEPS 120 - Principles of Horticulture and Crop Science,https://guides.lib.calpoly.edu/AEPS120
28,Agriculture,AEPS 355 - Citrus and Avocado Fruit Production,https://guides.lib.calpoly.edu/aeps355
29,Agriculture,AGB 101 - Introduction to Agribusiness,https://guides.lib.calpoly.edu/agb101
30,Agriculture,AGB 301 - Food and Fiber Marketing,https://guides.lib.calpoly.edu/agb301
31,Agriculture,AGB 318 - Global Agricultural Marketing and Trade,https://guides.lib.calpoly.edu/agb318
32,Agriculture,AGB 369 - Agricultural Personnel Management,https://guides.lib.calpoly.edu/agb369
33,Agriculture,AGB 450 - Agribusiness Strategy Formulation,https://guides.lib.calpoly.edu/agb450
34,Agriculture,AGC 102 - Orientation to Agricultural Communication,https://guides.lib.calpoly.edu/agc102
35,Agriculture,AGC 452 - Current Trends and Issues in Agricultural Communication,https://guides.lib.calpoly.edu/AGC452
36,Agriculture,AGED 102 - Introduction to Agricultural Education,https://guides.lib.calpoly.edu/aged102
37,Agriculture,Agribusiness,https://guides.lib.calpoly.edu/CAFES/AGB
38,Agriculture,Agribusiness Senior Project,https://guides.lib.calpoly.edu/agbseniorproject
39,Agriculture,Agricultural & Environmental Plant Sciences,https://guides.lib.calpoly.edu/CAFES/AEPS
40,Agriculture,Agricultural & Environmental Plant Sciences Senior Project,https://guides.lib.calpoly.edu/aepsseniorproject
41,Agriculture,Agricultural Education & Communication,https://guides.lib.calpoly.edu/CAFES/AGED_AGC
42,Agriculture,Agricultural Education & Communication Senior Project,https://guides.lib.calpoly.edu/AGED_AGCseniorproject
43,Agriculture,Animal Science,https://guides.lib.calpoly.edu/CAFES/ASCI
