,Category,Subject,Link
0,Accounting,Accounting,https://guides.lib.fsu.edu/accounting
1,Accounting,Private Companies,https://guides.lib.fsu.edu/privco
2,African-American Studies,African American History,https://guides.lib.fsu.edu/afamhist
3,African-American Studies,African American Literature,https://guides.lib.fsu.edu/afamlit
4,Anthropology,ANT 4552 and ANT 4553 Primate Courses,https://guides.lib.fsu.edu/primate
5,Anthropology,ANT 4824 - Anthropological Fieldwork: Archaeology,https://guides.lib.fsu.edu/ANT4824
6,Anthropology,ANT3101: Fundamentals of Archaeology,https://guides.lib.fsu.edu/arch
7,Anthropology,Anthropology of Religion,https://guides.lib.fsu.edu/c.php?g=631528
8,Anthropology,Archaeology of Southern Foodways,https://guides.lib.fsu.edu/foodways
9,Anthropology,Contemporary Native American Cultures,https://guides.lib.fsu.edu/c.php?g=437287
10,Anthropology,Ethics in Anthropology,https://guides.lib.fsu.edu/anthroethics
11,Anthropology,Finding & Using U.S. Census Data,https://guides.lib.fsu.edu/censusdata
12,Anthropology,History of Anthropology,https://guides.lib.fsu.edu/Anth
13,Anthropology,Introduction to Cultural Anthropology,https://guides.lib.fsu.edu/fieldwork
14,Anthropology,Jamaican Music,https://guides.lib.fsu.edu/reggae
15,Anthropology,Linguistics & Language,https://guides.lib.fsu.edu/linguisitcs
16,Art,*Art History,https://guides.lib.fsu.edu/arthistory
17,Art,Art,https://guides.lib.fsu.edu/arts
18,Art,Art Education,https://guides.lib.fsu.edu/arted
19,Art,Art Therapy,https://guides.lib.fsu.edu/art_therapy
20,Art,Artists' Books,https://guides.lib.fsu.edu/artists-books
21,Art,Arts Administration,https://guides.lib.fsu.edu/artsadmin
22,Art,Facsimiles of Medieval Manuscripts and Incunabula,https://guides.lib.fsu.edu/medieval_facsimiles
23,Art,Holocaust Studies,https://guides.lib.fsu.edu/holocaust
24,Art,HoTT Resources,https://guides.lib.fsu.edu/hott
25,Art,Humanities,https://guides.lib.fsu.edu/humanities
26,Art,Interior Design,https://guides.lib.fsu.edu/design
27,Art,Media Services,https://guides.lib.fsu.edu/multimedia
28,Art,Medieval Studies,https://guides.lib.fsu.edu/medieval
29,Art,Museum Studies & Cultural Heritage,https://guides.lib.fsu.edu/museum
30,Art,Picture That: A Tutorial for Finding and Using Digital Images in the Humanities,https://guides.lib.fsu.edu/c.php?g=566745
31,Art Education,Art Education,https://guides.lib.fsu.edu/arted
