,Category,Subject,Link
0,Accounting,ACCTG 642 - Accounting Research,https://guides.lib.k-state.edu/acctg642
1,Accounting,Entrepreneurship,https://guides.lib.k-state.edu/entrepreneurship
2,Agricultural Communications,AGCOM 110 - Introduction to Agricultural Communications,https://guides.lib.k-state.edu/agcom110
3,Agricultural Economics,Entrepreneurship,https://guides.lib.k-state.edu/entrepreneurship
4,Agriculture,Biological & Agricultural Engineering,https://guides.lib.k-state.edu/bae
5,Agriculture,DMP 815 - Multidisciplinary Thought and Presentation,https://guides.lib.k-state.edu/dmp815
6,Agriculture,Grain Science & Industry,https://guides.lib.k-state.edu/grainscience
7,Agriculture,MAPS Summer Bridge Program: Project IMPACT,https://guides.lib.k-state.edu/projectmaps
8,Agronomy,Agronomy 645 - Soil Microbiology,https://guides.lib.k-state.edu/agron645
9,Agronomy,DMP 815 - Multidisciplinary Thought and Presentation,https://guides.lib.k-state.edu/dmp815
10,American Ethnic Studies,AMETH 560 - Federal Indian Law,https://guides.lib.k-state.edu/ameth560
11,Animal Sciences & Industry,ASI 655 - Behavior of Domestic Animals,https://guides.lib.k-state.edu/asi655
12,Animal Sciences & Industry,ASI 695 - Principles of Equine Exercise Physiology,https://guides.lib.k-state.edu/asi695
13,Animal Sciences & Industry,DMP 815 - Multidisciplinary Thought and Presentation,https://guides.lib.k-state.edu/dmp815
14,Animal Sciences & Industry,Food Science,https://guides.lib.k-state.edu/foodscience
15,Apparel & Textiles,AT 245 - Apparel and Textile Industry,https://guides.lib.k-state.edu/at245
16,Apparel & Textiles,Engineering and Other Standards,https://guides.lib.k-state.edu/standards
17,Apparel & Textiles,Entrepreneurship,https://guides.lib.k-state.edu/entrepreneurship
18,Architectural Engineering & Construction Science,ARE/CNS 100 - Architectural Engineering & Construction Science Orientation,https://guides.lib.k-state.edu/arecns100
19,Architectural Engineering & Construction Science,CNS 660 – Construction Operations,https://guides.lib.k-state.edu/cns660
20,Art,ART 200 - Three Dimensional Design,https://guides.lib.k-state.edu/art200
21,Art,ART 608 - Special Studies in Art,https://guides.lib.k-state.edu/art608
22,Art,Prairie Studies Initiative Resources,https://guides.lib.k-state.edu/PSI
23,Athletic Training,Athletic Training,https://guides.lib.k-state.edu/athletic_training
24,Biology,BIOL 697 - Senior Seminar in Biology,https://guides.lib.k-state.edu/biol697b
25,Biology,Biological & Agricultural Engineering,https://guides.lib.k-state.edu/bae
26,Biology,Prairie Studies Initiative Resources,https://guides.lib.k-state.edu/PSI
27,Business,ACCTG 642 - Accounting Research,https://guides.lib.k-state.edu/acctg642
28,Business,Company Research for Job Seekers,https://guides.lib.k-state.edu/company
29,Business,Entrepreneurship,https://guides.lib.k-state.edu/entrepreneurship
30,Business,International Business,https://guides.lib.k-state.edu/intbus
31,Business,MAPS Summer Bridge Program: Project IMPACT,https://guides.lib.k-state.edu/projectmaps
32,Business,MKTG 496 - Entertainment Marketing,https://guides.lib.k-state.edu/MKTG496
33,Chemistry,Chemistry Resources for Undergraduates,https://guides.lib.k-state.edu/chmug
34,Communication Sciences & Disorders,Communication Sciences and Disorders,https://guides.lib.k-state.edu/communication_sciences_and_disorders
35,Communication Studies,COMM 433 - Communication Research Methods,https://guides.lib.k-state.edu/c.php?g=384582
36,Communication Studies,COMM 550 - Senior Colloquium,https://guides.lib.k-state.edu/comm550
37,Communication Studies,Special Collections Class Guide: News and Feature Writing,https://guides.lib.k-state.edu/c.php?g=181909
38,Community Development,Community Development,https://guides.lib.k-state.edu/commdev
39,Cultural Studies,ENGL 745 - Cultural Studies,https://guides.lib.k-state.edu/engl745
40,Dance,Dance,https://guides.lib.k-state.edu/dance
41,DAS,DAS 195 - Psychology of Prejudice,https://guides.lib.k-state.edu/das195s
42,Data,Data - Geospatial (GIS) Resources,https://guides.lib.k-state.edu/gis
43,Data,Data - Numeric Resources,https://guides.lib.k-state.edu/numeric
44,Data,Data Management,https://guides.lib.k-state.edu/datamanagement
45,Data,Data Visualization,https://guides.lib.k-state.edu/datavis
46,Economics,Basic Legal Research,https://guides.lib.k-state.edu/c.php?g=181858
47,Economics,Economics,https://guides.lib.k-state.edu/economics
48,Economics,Entrepreneurship,https://guides.lib.k-state.edu/entrepreneurship
49,Education,Children's Literature,https://guides.lib.k-state.edu/childlit
50,Education,EDCEP 854 - College Student Athletes,https://guides.lib.k-state.edu/edcep854
51,Education,EDCI 886 - Historical Research Methods in Education,https://guides.lib.k-state.edu/edci886
52,Education,EDEL 411 - Teaching Literacy K-2,https://guides.lib.k-state.edu/edel411
53,Education,Education Research for Graduate Students,https://guides.lib.k-state.edu/edgrad
54,Education,Middle Level / Secondary Education,https://guides.lib.k-state.edu/edsec
55,ELP,ELP Advanced Writing Tools,https://guides.lib.k-state.edu/elp
56,Engineering,BAE 536 - Biological Systems Engineering Senior Design,https://guides.lib.k-state.edu/BAE536
57,Engineering,Biological & Agricultural Engineering,https://guides.lib.k-state.edu/bae
58,Engineering,Chemical Engineering,https://guides.lib.k-state.edu/ChemE
59,Engineering,Civil Engineering,https://guides.lib.k-state.edu/CE
60,Engineering,CNS 660 – Construction Operations,https://guides.lib.k-state.edu/cns660
61,Engineering,Computing and Information Sciences,https://guides.lib.k-state.edu/CIS
62,Engineering,Electrical and Computer Engineering,https://guides.lib.k-state.edu/ECE
63,Engineering,Engineering and Other Standards,https://guides.lib.k-state.edu/standards
64,Engineering,ENGL 415 - Written Communication for Engineers,https://guides.lib.k-state.edu/engl415
65,Engineering,Industrial and Manufacturing Systems Engineering,https://guides.lib.k-state.edu/IMSE
66,Engineering,MAPS Summer Bridge Program: Project IMPACT,https://guides.lib.k-state.edu/projectmaps
67,Engineering,Mechanical and Nuclear Engineering,https://guides.lib.k-state.edu/mne
