,Category,Subject,Link
0,Accountancy,Accountancy,https://guides.lib.olemiss.edu/c.php?g=174419
1,Accountancy,Business & Accounting (Archives),https://guides.lib.olemiss.edu/bus_acc
2,Accountancy,Digital Accounting Collections,https://guides.lib.olemiss.edu/c.php?g=174519
3,Advertising,Advertising,https://guides.lib.olemiss.edu/subject/advertising
4,African American Studies,African American Studies Subject Guide,https://guides.lib.olemiss.edu/subject/afro-am
5,African American Studies,Antebellum (Archives),https://guides.lib.olemiss.edu/antebellum
6,African American Studies,Civil Rights & Race Relations (Archives),https://guides.lib.olemiss.edu/civil_rights
7,African American Studies,Newspapers,https://guides.lib.olemiss.edu/newspapers
8,African American Studies,Reconstruction (Archives),https://guides.lib.olemiss.edu/recon
9,African American Studies,Topics in African American Studies,https://guides.lib.olemiss.edu/topics
10,Anthropology,Anthropology,https://guides.lib.olemiss.edu/c.php?g=174409
11,Anthropology,Native Americans (Archives),https://guides.lib.olemiss.edu/native_am
12,Art,Art,https://guides.lib.olemiss.edu/art_arthistory
13,Art,Art (Archives),https://guides.lib.olemiss.edu/arch_art
14,Art,Artstor,https://guides.lib.olemiss.edu/Artstor
15,Art History,Art,https://guides.lib.olemiss.edu/art_arthistory
16,Art History,Art (Archives),https://guides.lib.olemiss.edu/arch_art
17,Art History,Artstor,https://guides.lib.olemiss.edu/Artstor
18,Biological Science,Animal Testing Alternatives - Searching the Literature,https://guides.lib.olemiss.edu/animaltesting
19,Biological Science,Biology,https://guides.lib.olemiss.edu/bio
20,Biological Science,BISC Honors,https://guides.lib.olemiss.edu/c.php?g=562551
21,Business Administration,Business,https://guides.lib.olemiss.edu/subject/business
22,Business Administration,Companies & Industries,https://guides.lib.olemiss.edu/topic/companies-industries
23,Business Administration,International Business & Country Background,https://guides.lib.olemiss.edu/topic/international-business-countries
24,Business Administration,Marketing,https://guides.lib.olemiss.edu/subject/marketing
25,Chemistry,Animal Testing Alternatives - Searching the Literature,https://guides.lib.olemiss.edu/animaltesting
26,Chemistry,CHEM 115 - Chemical Information,https://guides.lib.olemiss.edu/c.php?g=174416
27,Chemistry,Chemistry and Biochemistry,https://guides.lib.olemiss.edu/subject/chemistry
28,Chinese,Chinese,https://guides.lib.olemiss.edu/c.php?g=174507
29,Cinema,Cinema,https://guides.lib.olemiss.edu/cinema
30,Classics,Classics,https://guides.lib.olemiss.edu/c.php?g=174418
31,Common Reading Experience,UM Common Reading Experience 2011: The Immortal Life of Henrietta Lacks,https://guides.lib.olemiss.edu/2011cre
32,Common Reading Experience,"UM Common Reading Experience 2012: Crooked Letter, Crooked Letter",https://guides.lib.olemiss.edu/2012cre
33,Common Reading Experience,UM Common Reading Experience 2013: The Unforgiving Minute,https://guides.lib.olemiss.edu/2013cre
34,Common Reading Experience,UM Common Reading Experience 2014: Girls of Atomic City,https://guides.lib.olemiss.edu/2014cre
35,Common Reading Experience,UM Common Reading Experience 2015: The Education of a Lifetime,https://guides.lib.olemiss.edu/cre2015
36,Common Reading Experience,UM Common Reading Experience 2016: Ten Little Indians,https://guides.lib.olemiss.edu/cre2016
37,Common Reading Experience,UM Common Reading Experience 2017: Just Mercy,https://guides.lib.olemiss.edu/cre2017
38,Common Reading Experience,UM Common Reading Experience 2018: William Faulkner,https://guides.lib.olemiss.edu/cre2018
39,Communication Sciences & Disorders,Communication Sciences & Disorders,https://guides.lib.olemiss.edu/comdis
40,Computer Science,Computer Science - Graduate Students,https://guides.lib.olemiss.edu/subject/computerscience/gradstudents
41,Computer Science,CSCI 300: Social Responsibility in Computer Science,https://guides.lib.olemiss.edu/course/csci300
42,Criminal Justice,CJ 100: Introduction to Criminal Justice,https://guides.lib.olemiss.edu/cj_intro
43,Criminal Justice,Criminal Justice & Parchman Penitentiary (Archives),https://guides.lib.olemiss.edu/crim_justice
44,Criminal Justice,Criminal Justice on the Web,https://guides.lib.olemiss.edu/cj_web
45,Criminal Justice,Criminal Justice Subject Guide,https://guides.lib.olemiss.edu/criminal_justice
46,Criminal Justice,Homeland Security Subject Guide,https://guides.lib.olemiss.edu/homeland_security
47,Criminal Justice,Paralegal Studies,https://guides.lib.olemiss.edu/paralegal
48,Criminal Justice,Topics in Criminal Justice,https://guides.lib.olemiss.edu/CJtopics
49,Curriculum Resources,Counselor Education,https://guides.lib.olemiss.edu/counseloreducation
50,Curriculum Resources,Education,https://guides.lib.olemiss.edu/education
51,Curriculum Resources,Education Resources for K-12,https://guides.lib.olemiss.edu/k12
52,Economics,Economics,https://guides.lib.olemiss.edu/subject/economics
53,Economics,Statistical and Data Resources,https://guides.lib.olemiss.edu/stats
54,Education,Counselor Education,https://guides.lib.olemiss.edu/counseloreducation
55,Education,Education,https://guides.lib.olemiss.edu/education
56,Education,Education (Archives),https://guides.lib.olemiss.edu/edu
57,Education,Education Resources for K-12,https://guides.lib.olemiss.edu/k12
58,Education,Higher Education,https://guides.lib.olemiss.edu/HigherEducation
59,Education,Secret Societies & Fraternal Organizations (Archives),https://guides.lib.olemiss.edu/societies
60,Education,University of Mississippi (Archives),https://guides.lib.olemiss.edu/um
61,Engineering,Chemical Engineering,https://guides.lib.olemiss.edu/subject/chemicalengineering
62,Engineering,Civil Engineering,https://guides.lib.olemiss.edu/subject/civilengineering
63,Engineering,Computer Science,https://guides.lib.olemiss.edu/subject/computerscience
64,Engineering,Electrical Engineering,https://guides.lib.olemiss.edu/subject/electricalengineering
65,Engineering,Engineering (Archives),https://guides.lib.olemiss.edu/arch_engineering
66,Engineering,Engineering Failures (Man-Made Disasters),https://guides.lib.olemiss.edu/manmadedisasters
67,Engineering,General Engineering,https://guides.lib.olemiss.edu/subject/engineering
68,Engineering,Geology and Geological Engineering,https://guides.lib.olemiss.edu/subject/geologicalengineering
69,Engineering,Mechanical Engineering,https://guides.lib.olemiss.edu/subject/mechanicalengineering
70,English & Literature,English,https://guides.lib.olemiss.edu/subject/english
71,English & Literature,Literary Collections (Archives),https://guides.lib.olemiss.edu/literary
72,English & Literature,"Sense of Place: Oxford, Ole Miss, and Mississippi",https://guides.lib.olemiss.edu/senseofplace
73,English & Literature,William Faulkner (Archives),https://guides.lib.olemiss.edu/faulkner
74,Environmental Studies,Agriculture and Forestry (Archives),https://guides.lib.olemiss.edu/agri
75,Environmental Studies,Animal Testing Alternatives - Searching the Literature,https://guides.lib.olemiss.edu/animaltesting
76,Environmental Studies,Geology (Archives),https://guides.lib.olemiss.edu/geology
