,Category,Subject,Link
0,Agricultural Sciences,Agronomy,https://guides.lib.purdue.edu/agronomy
1,Agricultural Sciences,Botany,https://guides.lib.purdue.edu/botany
2,Arts & Humanities,American Indians: Legal and Regulatory Sources,https://guides.lib.purdue.edu/amindianlaw
3,Arts & Humanities,Canadian Government Native/Aboriginal Affairs Web Sites,https://guides.lib.purdue.edu/canind
4,Arts & Humanities,Data Set Archives,https://guides.lib.purdue.edu/dataset
5,Arts & Humanities,Dissertations,https://guides.lib.purdue.edu/dissertations
6,Arts & Humanities,Encyclopedias: A Quick & Easy Way to Pick a Topic and Start Your Research,https://guides.lib.purdue.edu/encyclopedias
7,Arts & Humanities,Film Studies,https://guides.lib.purdue.edu/filmstudies
8,Arts & Humanities,Foreign Languages and Literatures,https://guides.lib.purdue.edu/fll
9,Arts & Humanities,Gender Parity and Economic Development: A Guide,https://guides.lib.purdue.edu/genderparity
10,Arts & Humanities,History Resources,https://guides.lib.purdue.edu/history
11,Arts & Humanities,Indiana Government and Politics: A Resource Guide,https://guides.lib.purdue.edu/ingovpol
12,Arts & Humanities,International Government Organizations,https://guides.lib.purdue.edu/igo
13,Arts & Humanities,Latin American and Latino Studies,https://guides.lib.purdue.edu/latin_american
14,Arts & Humanities,Linguistics,https://guides.lib.purdue.edu/linguistics
15,Arts & Humanities,Medieval Studies,https://guides.lib.purdue.edu/medieval_studies
16,Arts & Humanities,Music,https://guides.lib.purdue.edu/music
17,Arts & Humanities,National Archives,https://guides.lib.purdue.edu/govnatarchives
18,Arts & Humanities,Performing Arts,https://guides.lib.purdue.edu/performingarts
19,Arts & Humanities,Philosophy,https://guides.lib.purdue.edu/philosophy
20,Arts & Humanities,Presidential Libraries and Records,https://guides.lib.purdue.edu/president
21,Arts & Humanities,Primary Sources in Archives & Special Collections,https://guides.lib.purdue.edu/ASCPrimarySources
22,Arts & Humanities,Religious Studies,https://guides.lib.purdue.edu/religious_studies
23,Arts & Humanities,Rhetoric and Composition,https://guides.lib.purdue.edu/rhetcomp
24,Arts & Humanities,Service Learning,https://guides.lib.purdue.edu/ace
25,Arts & Humanities,Theatre,https://guides.lib.purdue.edu/theatre
26,Arts & Humanities,U.S. Government Independent Agencies,https://guides.lib.purdue.edu/indep
27,Arts & Humanities,World War I Libraries Research Guide,https://guides.lib.purdue.edu/worldwarI
28,Biological Sciences,Bioinformatics,https://guides.lib.purdue.edu/bioinformatics
29,Biological Sciences,International Government Organizations,https://guides.lib.purdue.edu/igo
30,Biological Sciences,U.S. Government Independent Agencies,https://guides.lib.purdue.edu/indep
31,Biological Sciences,U.S. Government Statistical Agency Websites,https://guides.lib.purdue.edu/usgovstats
32,"Business, Finance, & Economics",2017 Presidential Transition Information Resources,https://guides.lib.purdue.edu/2017presidentialtransition
33,"Business, Finance, & Economics",Census Information,https://guides.lib.purdue.edu/govcensus
34,"Business, Finance, & Economics",Federal Government Resources,https://guides.lib.purdue.edu/fedgov
35,"Business, Finance, & Economics",Financial Literacy,https://guides.lib.purdue.edu/financialliteracy
36,"Business, Finance, & Economics",Foreign and International Government Statistical Agencies,https://guides.lib.purdue.edu/foreigngovstats
37,"Business, Finance, & Economics",Foreign Governments,https://guides.lib.purdue.edu/foreigngov
38,"Business, Finance, & Economics",Gender Parity and Economic Development: A Guide,https://guides.lib.purdue.edu/genderparity
39,"Business, Finance, & Economics",Government Information on Maritime Shipping,https://guides.lib.purdue.edu/govshipping
40,"Business, Finance, & Economics",Government Information Research Guides,https://guides.lib.purdue.edu/govtinfo
41,"Business, Finance, & Economics",Indiana Depository Information,https://guides.lib.purdue.edu/indeplibnumbers
42,"Business, Finance, & Economics",Indiana State Government and Private Sector Resources,https://guides.lib.purdue.edu/instategovt
43,"Business, Finance, & Economics",Indiana State Statistical Agency Websites,https://guides.lib.purdue.edu/indianastats
44,"Business, Finance, & Economics",International Government Organizations,https://guides.lib.purdue.edu/igo
45,"Business, Finance, & Economics",National Archives,https://guides.lib.purdue.edu/govnatarchives
46,"Business, Finance, & Economics",Parrish - Agricultural Economics,https://guides.lib.purdue.edu/melagecon
47,"Business, Finance, & Economics",Parrish - Articles,https://guides.lib.purdue.edu/melarticle
48,"Business, Finance, & Economics",Parrish - Economics,https://guides.lib.purdue.edu/melecon
49,"Business, Finance, & Economics",Parrish - Entrepreneurship,https://guides.lib.purdue.edu/melentrepreneurship
50,"Business, Finance, & Economics",Parrish - Hospitality & Tourism Management,https://guides.lib.purdue.edu/melhtmhome
51,"Business, Finance, & Economics",Parrish - International Business,https://guides.lib.purdue.edu/melintlbus
52,"Business, Finance, & Economics",Parrish - People,https://guides.lib.purdue.edu/melpeople
53,"Business, Finance, & Economics",Parrish's Database of the Month,https://guides.lib.purdue.edu/dbom
54,"Business, Finance, & Economics",Parrish- Nonprofit Companies and Organizations,https://guides.lib.purdue.edu/nonprofits
55,"Business, Finance, & Economics",Purdue Workforce Development Library,https://guides.lib.purdue.edu/workforcedevelopment
56,"Business, Finance, & Economics",Research Centers,https://guides.lib.purdue.edu/rescent
57,"Business, Finance, & Economics",Service Learning,https://guides.lib.purdue.edu/ace
58,"Business, Finance, & Economics",U.S. Government Independent Agencies,https://guides.lib.purdue.edu/indep
59,"Business, Finance, & Economics",U.S. Government Statistical Agency Websites,https://guides.lib.purdue.edu/usgovstats
60,Education,Education,https://guides.lib.purdue.edu/education
61,Education,Education Law and Policy Reference Guide,https://guides.lib.purdue.edu/govedlaw
62,Education,Gender Parity and Economic Development: A Guide,https://guides.lib.purdue.edu/genderparity
63,Education,Two Minute Tips for Education Students,https://guides.lib.purdue.edu/two_minute_tips
64,Engineering & Technology,Aeronautics and Astronautics Resource Guide,https://guides.lib.purdue.edu/aero
65,Engineering & Technology,Aviation Technology Sources,https://guides.lib.purdue.edu/avtech
66,Engineering & Technology,Big6EngineeringResources,https://guides.lib.purdue.edu/big6
67,Engineering & Technology,Biomedical Engineering,https://guides.lib.purdue.edu/biomed
68,Engineering & Technology,"Chemical Company, Industry, and Economic Information",https://guides.lib.purdue.edu/chemind
69,Engineering & Technology,Chemical Engineering (ChE),https://guides.lib.purdue.edu/che
70,Engineering & Technology,Civil Engineering,https://guides.lib.purdue.edu/civilengineering
71,Engineering & Technology,Computer Graphics Technology,https://guides.lib.purdue.edu/cgt
72,Engineering & Technology,Computer Science,https://guides.lib.purdue.edu/cs
73,Engineering & Technology,Data Information Literacy Instruction Program Planning,https://guides.lib.purdue.edu/dil
74,Engineering & Technology,Electrical and Computer Engineering Resources,https://guides.lib.purdue.edu/ece
75,Engineering & Technology,Engineering Education,https://guides.lib.purdue.edu/engreducation
76,Engineering & Technology,Environmental Engineering,https://guides.lib.purdue.edu/EnvEng
77,Engineering & Technology,Government Information on Maritime Shipping,https://guides.lib.purdue.edu/govshipping
78,Engineering & Technology,Industrial Engineering and Technology,https://guides.lib.purdue.edu/iet
79,Engineering & Technology,Information-Rich Engineering Design,https://guides.lib.purdue.edu/ired
80,Engineering & Technology,Introduction to Scholarly Communication,https://guides.lib.purdue.edu/scholcom
81,Engineering & Technology,Joint Transportation Research Program,https://guides.lib.purdue.edu/JTRP
82,Engineering & Technology,Maker Tools in the Library,https://guides.lib.purdue.edu/LOESMakerTools
83,Engineering & Technology,Map Resources,https://guides.lib.purdue.edu/mapresources
84,Engineering & Technology,Map Resources: Indiana and Tippecanoe County,https://guides.lib.purdue.edu/Indiana
85,Engineering & Technology,Materials Engineering (MSE),https://guides.lib.purdue.edu/mse
86,Engineering & Technology,Mechanical Engineering,https://guides.lib.purdue.edu/MechanicalEngineering
87,Engineering & Technology,Nuclear Engineering,https://guides.lib.purdue.edu/NuclearEngineering
88,Engineering & Technology,Overview of Data Management,https://guides.lib.purdue.edu/graddata
89,Engineering & Technology,Patent Resources on the Web and in the Engineering Library,https://guides.lib.purdue.edu/patents
90,Engineering & Technology,PPI Statewide,https://guides.lib.purdue.edu/statewide
91,Engineering & Technology,Sensitive Research Data Management,https://guides.lib.purdue.edu/sensitivedata
92,Engineering & Technology,Standards Resources,https://guides.lib.purdue.edu/standards
93,Engineering & Technology,Supporting Information for Data Services,https://guides.lib.purdue.edu/dataservices
94,Engineering & Technology,Technical Reports,https://guides.lib.purdue.edu/techreports
95,General & Multi-Subject,BrowZine,https://guides.lib.purdue.edu/browzine
96,General & Multi-Subject,Citing Data,https://guides.lib.purdue.edu/datacitation
97,General & Multi-Subject,Dissertations,https://guides.lib.purdue.edu/dissertations
98,General & Multi-Subject,Encyclopedias: A Quick & Easy Way to Pick a Topic and Start Your Research,https://guides.lib.purdue.edu/encyclopedias
99,General & Multi-Subject,Gender Parity and Economic Development: A Guide,https://guides.lib.purdue.edu/genderparity
100,General & Multi-Subject,Get A G.R.I.P. (Graduate.Research.Information.Portal),https://guides.lib.purdue.edu/grip
101,General & Multi-Subject,Map Resources,https://guides.lib.purdue.edu/mapresources
102,General & Multi-Subject,Media Collection,https://guides.lib.purdue.edu/c.php?g=417966
103,General & Multi-Subject,Media Collection--Themes/Displays,https://guides.lib.purdue.edu/media
104,General & Multi-Subject,Primary Sources in Archives & Special Collections,https://guides.lib.purdue.edu/ASCPrimarySources
105,General & Multi-Subject,Purdue Workforce Development Library,https://guides.lib.purdue.edu/workforcedevelopment
106,General & Multi-Subject,Service Learning,https://guides.lib.purdue.edu/ace
107,General & Multi-Subject,The Chronicle of Higher Education For Your iPad,https://guides.lib.purdue.edu/chronicle
108,General & Multi-Subject,Thesis Preparation Workshop,https://guides.lib.purdue.edu/thesispreparation
109,General & Multi-Subject,Zotero,https://guides.lib.purdue.edu/zotero
110,Government & Law,2017 Presidential Transition Information Resources,https://guides.lib.purdue.edu/2017presidentialtransition
111,Government & Law,2018 Election Resources,https://guides.lib.purdue.edu/2014election
112,Government & Law,American Indians: Legal and Regulatory Sources,https://guides.lib.purdue.edu/amindianlaw
113,Government & Law,Canadian Government Native/Aboriginal Affairs Web Sites,https://guides.lib.purdue.edu/canind
114,Government & Law,Census Information,https://guides.lib.purdue.edu/govcensus
115,Government & Law,Constitutional Law Reference Guide,https://guides.lib.purdue.edu/govconstitutional
116,Government & Law,Data Set Archives,https://guides.lib.purdue.edu/dataset
117,Government & Law,Duke Energy Academy,https://guides.lib.purdue.edu/dukeenergy
118,Government & Law,Education Law and Policy Reference Guide,https://guides.lib.purdue.edu/govedlaw
119,Government & Law,Executive Branch,https://guides.lib.purdue.edu/exec
120,Government & Law,Federal Government Resources,https://guides.lib.purdue.edu/fedgov
121,Government & Law,Foreign and International Government Statistical Agencies,https://guides.lib.purdue.edu/foreigngovstats
122,Government & Law,Foreign Courts,https://guides.lib.purdue.edu/forcourts
123,Government & Law,Foreign Governments,https://guides.lib.purdue.edu/foreigngov
124,Government & Law,Gender Parity and Economic Development: A Guide,https://guides.lib.purdue.edu/genderparity
125,Government & Law,Government Information on Maritime Shipping,https://guides.lib.purdue.edu/govshipping
126,Government & Law,Indiana Depository Libraries,https://guides.lib.purdue.edu/indepolib
127,Government & Law,Indiana Government and Politics: A Resource Guide,https://guides.lib.purdue.edu/ingovpol
128,Government & Law,Indiana State Government and Private Sector Resources,https://guides.lib.purdue.edu/instategovt
129,Government & Law,Indiana State Statistical Agency Websites,https://guides.lib.purdue.edu/indianastats
130,Government & Law,INDIGO,https://guides.lib.purdue.edu/indigo
131,Government & Law,INDIGO Bylaws,https://guides.lib.purdue.edu/bylaws
132,Government & Law,INDIGO Information,https://guides.lib.purdue.edu/indigoinfo
133,Government & Law,INDIGO Membership List,https://guides.lib.purdue.edu/indigomembers
134,Government & Law,"INDIGO News V olume 15, #1 Spring/Summer 2009",https://guides.lib.purdue.edu/c.php?g=353055
135,Government & Law,"INDIGO News Vol. 19, #1 Winter 2014",https://guides.lib.purdue.edu/c.php?g=353172
136,Government & Law,"INDIGO News Vol. 20, #2 Spring/Summer 2016",https://guides.lib.purdue.edu/c.php?g=520804
137,Government & Law,INDIGO News Vol. 22. #1 Fall/Winter 2017-2018,https://guides.lib.purdue.edu/INDIGONews/FallWinter2017-2018
