,Category,Subject,Link
0,About the Libraries (General Information),A.S. Williams III Americana Collection,https://guides.lib.ua.edu/williams-collection
1,About the Libraries (General Information),Acumen Digital Archives - Browse by Subject,https://guides.lib.ua.edu/browsedigitalarchives
2,About the Libraries (General Information),Acumen Digital Archives Explorer,https://guides.lib.ua.edu/using-the-digital-archives
3,About the Libraries (General Information),Citation Guide,https://guides.lib.ua.edu/citation
4,About the Libraries (General Information),Distance Learning,https://guides.lib.ua.edu/distance_learning
5,About the Libraries (General Information),Ebooks @ The University of Alabama,https://guides.lib.ua.edu/ebooks
6,About the Libraries (General Information),Emerging Scholars,https://guides.lib.ua.edu/emerging_scholars
7,About the Libraries (General Information),Finding Dissertations and Theses,https://guides.lib.ua.edu/dissertations
8,About the Libraries (General Information),How Do I...,https://guides.lib.ua.edu/how
9,About the Libraries (General Information),How to Conduct a Literature Review,https://guides.lib.ua.edu/literaturereview
10,About the Libraries (General Information),Interlibrary Loan (ILL) and Document Delivery,https://guides.lib.ua.edu/ILL
11,About the Libraries (General Information),International Students - Library Resources,https://guides.lib.ua.edu/International
12,About the Libraries (General Information),New Faculty,https://guides.lib.ua.edu/faculty
13,About the Libraries (General Information),Oculus Rift,https://guides.lib.ua.edu/c.php?g=472903
14,About the Libraries (General Information),Orphan Train,https://guides.lib.ua.edu/ot
15,About the Libraries (General Information),RefWorks,https://guides.lib.ua.edu/RefWorks
16,About the Libraries (General Information),Streaming Video @ The University of Alabama,https://guides.lib.ua.edu/streamingvideo
17,About the Libraries (General Information),The HathiTrust Digital Library: A Research Guide,https://guides.lib.ua.edu/hathitrust
18,About the Libraries (General Information),UA Early College,https://guides.lib.ua.edu/early
19,About the Libraries (General Information),W.S. Hoole Special Collections Library,https://guides.lib.ua.edu/hoole-special-collections
20,American Studies,African American Studies,https://guides.lib.ua.edu/aast
21,American Studies,American Studies,https://guides.lib.ua.edu/AMS
22,American Studies,AMS 206: Native American Studies (Odle),https://guides.lib.ua.edu/ams206/odle
23,American Studies,AMS 231: Contemporary America (Weisbard),https://guides.lib.ua.edu/ams231/weisbard
24,American Studies,"Spears - NEW416/NEW442 American Environmental Thought, Environmental Ethics",https://guides.lib.ua.edu/environmentalethicsthought
25,American Studies,Special Collections - Native American History,https://guides.lib.ua.edu/spec-coll-native-american
26,Anthropology,Anthropology,https://guides.lib.ua.edu/anthropology
27,Art/ Architecture/ Applied Arts,ART 326 Videography and Animation,https://guides.lib.ua.edu/videography
28,Art/ Architecture/ Applied Arts,Art and Art History,https://guides.lib.ua.edu/ART
29,Art/ Architecture/ Applied Arts,Evaluating and citing sources,https://guides.lib.ua.edu/evaluation
30,Art/ Architecture/ Applied Arts,Introduction to the Arts: Experience the Arts Guide,https://guides.lib.ua.edu/virtualartsguide
31,Art/ Architecture/ Applied Arts,Resources for Costume Design,https://guides.lib.ua.edu/costume
32,Art/ Architecture/ Applied Arts,Resources for Medieval Art History,https://guides.lib.ua.edu/medievalart
33,Art/ Architecture/ Applied Arts,Theater History,https://guides.lib.ua.edu/theatre-history
34,Art/ Architecture/ Applied Arts,Useful Bibliographic Terms,https://guides.lib.ua.edu/BibliographicTerms
35,Biology & Agriculture,Biology Reference Guide,https://guides.lib.ua.edu/Biology
36,Biology & Agriculture,BSC 376: Invertebrate Zoology,https://guides.lib.ua.edu/bsc376
37,Biology & Agriculture,BSC 448: Animal Behavior,https://guides.lib.ua.edu/bsc448
38,Biology & Agriculture,BSC 449: Endocrinology,https://guides.lib.ua.edu/bsc449
39,Biology & Agriculture,Rodgers Library Instruction,https://guides.lib.ua.edu/rodgersinstruction
40,Biology & Agriculture,"Scholarly Workflow Tools for Managing, Collaborating, and Sharing Information",https://guides.lib.ua.edu/workflow_tools
41,Business & Economics,AC 523: Business Valuation and Performance Measurement,https://guides.lib.ua.edu/ac523
42,Business & Economics,Accounting,https://guides.lib.ua.edu/accounting
43,Business & Economics,AERN,https://guides.lib.ua.edu/c.php?g=603465
44,Business & Economics,APR 422,https://guides.lib.ua.edu/Cheong422
45,Business & Economics,Business Model Canvas,https://guides.lib.ua.edu/STEM-BMC
46,Business & Economics,Business Schools,https://guides.lib.ua.edu/bizschools
47,Business & Economics,Capstone Asset Management Society (CAMS),https://guides.lib.ua.edu/CAMS
48,Business & Economics,CIS 650,https://guides.lib.ua.edu/CIS650
49,Business & Economics,Company Research,https://guides.lib.ua.edu/compinfo
50,Business & Economics,Digital and Social Media Marketing,https://guides.lib.ua.edu/MKT543
51,Business & Economics,Division of Advancement Resources,https://guides.lib.ua.edu/c.php?g=821230
52,Business & Economics,Doctoral Library Research for Accounting,https://guides.lib.ua.edu/ACCPHD
53,Business & Economics,Economics,https://guides.lib.ua.edu/EC
54,Business & Economics,Economics Ph. D. Students: Research/Publishing Sources,https://guides.lib.ua.edu/ECONPHD
55,Business & Economics,EMBA Resources,https://guides.lib.ua.edu/embamkt518
56,Business & Economics,Excel For Non-Beginners,https://guides.lib.ua.edu/c.php?g=631436
57,Business & Economics,FI 314 Introduction to Investments,https://guides.lib.ua.edu/FI314
58,Business & Economics,FI 302 - Business Finance,https://guides.lib.ua.edu/FI414
59,Business & Economics,FI 414 - Investments,https://guides.lib.ua.edu/FI414/514
60,Business & Economics,FI 505 - Corporate Valuation,https://guides.lib.ua.edu/FI505
61,Business & Economics,GBA 300 Spring 2018,https://guides.lib.ua.edu/c.php?g=801512
62,Business & Economics,GBA 490 / 525,https://guides.lib.ua.edu/gba490
63,Business & Economics,Get Smart: Library Resources,https://guides.lib.ua.edu/bestdatabases
64,Business & Economics,Graduate Business Student Guide,https://guides.lib.ua.edu/cbagradguide
65,Business & Economics,IBA 250,https://guides.lib.ua.edu/iba250
66,Business & Economics,IBA 550 Global Business,https://guides.lib.ua.edu/iba550
67,Business & Economics,Industry Resources,https://guides.lib.ua.edu/c.php?g=678607
68,Business & Economics,International Business,https://guides.lib.ua.edu/InternationalBusiness
69,Business & Economics,International Research,https://guides.lib.ua.edu/IntRes
70,Business & Economics,Job Hunting & Career Information,https://guides.lib.ua.edu/careers
71,Business & Economics,Labor,https://guides.lib.ua.edu/Labor
72,Business & Economics,Management,https://guides.lib.ua.edu/MGMT
73,Business & Economics,Manderson Career Resources,https://guides.lib.ua.edu/gradcareers
74,Business & Economics,Marketing & Advertising,https://guides.lib.ua.edu/MKTADVERT
75,Business & Economics,Marketing Ph.D Students: Research/Publishing Sources,https://guides.lib.ua.edu/PHDMarketing
76,Business & Economics,MGT 388 New Business Ventures,https://guides.lib.ua.edu/mgt386_388
77,Business & Economics,MGT 422/522 Leadership Communication,https://guides.lib.ua.edu/c.php?g=863673
78,Business & Economics,MGT 486/586 Consulting,https://guides.lib.ua.edu/consulting
79,Business & Economics,MGT 497 Data Visualization,https://guides.lib.ua.edu/c.php?g=456368
80,Business & Economics,MKT 313 - Consumer Behavior,https://guides.lib.ua.edu/c.php?g=696614
81,Business & Economics,MKT 410 - Managing Innovation,https://guides.lib.ua.edu/MKT410
82,Business & Economics,"MKT 411, 476 and 477 – Service Program in Marketing and Supply Chain",https://guides.lib.ua.edu/MKT411-476-477
83,Business & Economics,MKT 437 - Advanced Selling,https://guides.lib.ua.edu/MKT437
84,Business & Economics,MKT 473 - Marketing Research,https://guides.lib.ua.edu/MKT473/Spring2014/Davis
85,Business & Economics,MKT 518,https://guides.lib.ua.edu/mkt518
86,Business & Economics,OM 427 Purchasing,https://guides.lib.ua.edu/OM427
87,Business & Economics,Real Estate,https://guides.lib.ua.edu/UArealestate
88,Business & Economics,Small Business Resources,https://guides.lib.ua.edu/gssmallbiz
89,Business & Economics,Sports Industry,https://guides.lib.ua.edu/Sports
90,Business & Economics,STEM Path to the MBA: Business Research Academy,https://guides.lib.ua.edu/c.php?g=718174
91,Business & Economics,STEM: Business Plan,https://guides.lib.ua.edu/STEMBPlan
92,Business & Economics,The Great Recession,https://guides.lib.ua.edu/GreatRecession
93,Chemistry & Biochemistry,"Chemistry, Biochemistry, and Chemical & Biological Engineering Reference Guide",https://guides.lib.ua.edu/CHEM
94,Chemistry & Biochemistry,MathWorks MATLAB,https://guides.lib.ua.edu/matlab
95,Chemistry & Biochemistry,Rodgers Library Instruction,https://guides.lib.ua.edu/rodgersinstruction
96,Chemistry & Biochemistry,"Scholarly Workflow Tools for Managing, Collaborating, and Sharing Information",https://guides.lib.ua.edu/workflow_tools
97,Communications,Advertising & Public Relations,https://guides.lib.ua.edu/apr
98,Communications,Alabama Forensic Council,https://guides.lib.ua.edu/afc
99,Communications,APR 280: Investigation and Insights,https://guides.lib.ua.edu/apr280
100,Communications,APR 332: Public Relations Writing,https://guides.lib.ua.edu/apr332
101,Communications,APR 424 - Advertising Campaigns,https://guides.lib.ua.edu/apr424
102,Communications,APR 432: Public Relations Management,https://guides.lib.ua.edu/c.php?g=378069
103,Communications,APR 550: Advertising and Public Relations Communication Research Methods,https://guides.lib.ua.edu/apr550
104,Communications,APR 570: Contemporary APR,https://guides.lib.ua.edu/apr570
105,Communications,COM 101: Principles of Human Communication,https://guides.lib.ua.edu/com101
106,Communications,COM 122: Critical Decision Making,https://guides.lib.ua.edu/com122
107,Communications,COM 123: Public Speaking,https://guides.lib.ua.edu/com123
108,Communications,COM 220: Interpersonal Communication,https://guides.lib.ua.edu/com220
109,Communications,COM 300: Human Communication Research,https://guides.lib.ua.edu/com300
110,Communications,COM 415/AAST 415: African-American Rhetoric,https://guides.lib.ua.edu/com415
111,Communications,COM 463: Relational Communication,https://guides.lib.ua.edu/com463
112,Communications,Communication Studies,https://guides.lib.ua.edu/com
113,Communications,JN 563: History of Journalism,https://guides.lib.ua.edu/jn563
114,Communications,Journalism,https://guides.lib.ua.edu/journalism
