,Category,Subject,Link
0,African American Studies,African American Studies Subject Guide,https://guides.lib.uconn.edu/afamstudies
1,African American Studies,History Subject Guide,https://guides.lib.uconn.edu/history
2,African American Studies,Topic: Black Experience in the Americas,https://guides.lib.uconn.edu/blacksAmericas
3,African American Studies,Topic: Black History Month,https://guides.lib.uconn.edu/blackhistory
4,African American Studies,Topic: Transatlantic Slavery and the Slave Trade,https://guides.lib.uconn.edu/slavery
5,African Studies,African Studies Subject Guide,https://guides.lib.uconn.edu/Africa
6,African Studies,Topic: Transatlantic Slavery and the Slave Trade,https://guides.lib.uconn.edu/slavery
7,Agriculture,Animal Science Subject Guide,https://guides.lib.uconn.edu/animalscienceresources
8,Agriculture,Natural Resources and the Environment Subject Guide,https://guides.lib.uconn.edu/naturalresources
9,Agriculture,Pathobiology & Veterinary Science Subject Guide,https://guides.lib.uconn.edu/pathobiologyresources
10,Agriculture,Plant Science Subject Guide,https://guides.lib.uconn.edu/plantscienceresources
11,Animal Science,Animal Science Subject Guide,https://guides.lib.uconn.edu/animalscienceresources
12,Anthropology & Archaeology,Anthropology & Archaeology Subject Guide,https://guides.lib.uconn.edu/anthropology
13,Anthropology & Archaeology,Topic: How to do Anthropological Research,https://guides.lib.uconn.edu/anthresearch
14,Arabic & Islamic Studies,"Arabic, Islamic & Middle Eastern Studies Subject Guide",https://guides.lib.uconn.edu/middleeastern
15,Asian American Studies,Asian American Studies Subject Guide,https://guides.lib.uconn.edu/asianamerican
16,Biology,Biology Subject Guide,https://guides.lib.uconn.edu/biology
17,Biology,_EEB 5347: Principles and Methods of Systematic Biology,https://guides.lib.uconn.edu/EEB5347W
18,Business,Business Subject Guide,https://guides.lib.uconn.edu/business
19,Business,Marketing Subject Guide,https://guides.lib.uconn.edu/marketing
20,Business,MKTG 5230 New Product and Service Innovation Management,https://guides.lib.uconn.edu/MKTG5230
21,Business,MKTG 5625 Marketing for Global Competitiveness,https://guides.lib.uconn.edu/MKTG5625
22,Business,MKTG 5650: Strategic Brand Management,https://guides.lib.uconn.edu/MKTG5650
23,Business,Topic: Career Development in Business,https://guides.lib.uconn.edu/busn3005
24,Business,Topic: Entrepreneurship & Business Plan Guide,https://guides.lib.uconn.edu/entrepreneurship
