,Category,Subject,Link
0,Agriculture,Agriculture,https://guides.lib.udel.edu/agriculture
1,Agriculture,Animal and Food Sciences,https://guides.lib.udel.edu/animalfoodscience
2,Agriculture,Applied Economics and Statistics,https://guides.lib.udel.edu/appliedeconomics
3,Agriculture,Entomology and Wildlife Ecology,https://guides.lib.udel.edu/entomologywildlifeecology
4,Agriculture,Horticulture Administration,https://guides.lib.udel.edu/horticulture
5,Agriculture,Plant and Soil Sciences,https://guides.lib.udel.edu/plantsoil
6,Agriculture,Water Science and Policy,https://guides.lib.udel.edu/water
7,Area Studies,African Studies,https://guides.lib.udel.edu/africanstudies
8,Area Studies,Asian Studies,https://guides.lib.udel.edu/asianstudies
9,Area Studies,Islamic Studies,https://guides.lib.udel.edu/middleeastern
10,Area Studies,Jewish Studies,https://guides.lib.udel.edu/jewishstudies
11,Area Studies,Latin American and Iberian Studies,https://guides.lib.udel.edu/latinamstudies
12,Area Studies,Latin American Literature,https://guides.lib.udel.edu/latinamlit
13,Arts & Art History,Art Conservation,https://guides.lib.udel.edu/artconservation
14,Arts & Art History,Art History,https://guides.lib.udel.edu/arthistory
15,Arts & Art History,Art & Design,https://guides.lib.udel.edu/art
16,Arts & Art History,Books Arts in Special Collections,https://guides.lib.udel.edu/specbookarts
17,Arts & Art History,Fashion and Apparel Studies,https://guides.lib.udel.edu/fashion
18,Arts & Art History,Film Finders: Exploring Special Topics,https://guides.lib.udel.edu/filmfinders_topics
19,Arts & Art History,Film Studies,https://guides.lib.udel.edu/filmstudies
20,Arts & Art History,Material Culture,https://guides.lib.udel.edu/materialculture
21,Arts & Art History,Media,https://guides.lib.udel.edu/media
22,Arts & Art History,Museum Studies,https://guides.lib.udel.edu/museumstudies
23,Arts & Art History,Music,https://guides.lib.udel.edu/music
24,Arts & Art History,Primary Sources in The Arts in Special Collections,https://guides.lib.udel.edu/specarts
25,Arts & Art History,Theatre,https://guides.lib.udel.edu/theatre
26,Arts & Art History,Type Specimen Books in Special Collections,https://guides.lib.udel.edu/typespecimenbooks
27,Biological & Life Sciences,Agriculture,https://guides.lib.udel.edu/agriculture
28,Biological & Life Sciences,Animal and Food Sciences,https://guides.lib.udel.edu/animalfoodscience
29,Biological & Life Sciences,Applied Economics and Statistics,https://guides.lib.udel.edu/appliedeconomics
30,Biological & Life Sciences,Biological Sciences,https://guides.lib.udel.edu/biology
31,Biological & Life Sciences,Biotechnology,https://guides.lib.udel.edu/biotechnology
32,Biological & Life Sciences,Cognitive Science,https://guides.lib.udel.edu/cogsci
33,Biological & Life Sciences,Entomology and Wildlife Ecology,https://guides.lib.udel.edu/entomologywildlifeecology
34,Biological & Life Sciences,Environment,https://guides.lib.udel.edu/envi
35,Biological & Life Sciences,Marine Science and Policy,https://guides.lib.udel.edu/marine
36,Biological & Life Sciences,Media,https://guides.lib.udel.edu/media
37,Biological & Life Sciences,Plant and Soil Sciences,https://guides.lib.udel.edu/plantsoil
38,Biological & Life Sciences,Psychological & Brain Sciences,https://guides.lib.udel.edu/psychology
39,Business & Economics,Accounting and Management Information Systems,https://guides.lib.udel.edu/accountingandmis
40,Business & Economics,Applied Economics and Statistics,https://guides.lib.udel.edu/appliedeconomics
41,Business & Economics,BUAD 301- Introduction To Marketing,https://guides.lib.udel.edu/BUAD301
42,Business & Economics,Business Administration,https://guides.lib.udel.edu/busadmin
43,Business & Economics,Communication,https://guides.lib.udel.edu/communication
44,Business & Economics,Corporate Annual Reports,https://guides.lib.udel.edu/annualreports
45,Business & Economics,Economic Data--National Accounts,https://guides.lib.udel.edu/economicdata
46,Business & Economics,Economics,https://guides.lib.udel.edu/economics
47,Business & Economics,Fashion and Apparel Studies,https://guides.lib.udel.edu/fashion
48,Business & Economics,Finance,https://guides.lib.udel.edu/finance
49,Business & Economics,Hospitality Business Management,https://guides.lib.udel.edu/hrim
50,Business & Economics,Industry Research,https://guides.lib.udel.edu/industryresearch
51,Business & Economics,International Business Research,https://guides.lib.udel.edu/internationalbusiness
52,Business & Economics,Investment Research,https://guides.lib.udel.edu/investmentresearch
53,Business & Economics,Legal Aspects of Sport Management,https://guides.lib.udel.edu/BAUD315-legalresearch
54,Business & Economics,Small Business and Entrepreneurship,https://guides.lib.udel.edu/smallbusiness
55,Chemistry & Related Disciplines,Chemical and Biomolecular Engineering,https://guides.lib.udel.edu/chee
56,Chemistry & Related Disciplines,Chemistry and Biochemistry,https://guides.lib.udel.edu/chem
57,Chemistry & Related Disciplines,Materials Science and Engineering,https://guides.lib.udel.edu/materials
58,Chemistry & Related Disciplines,Primary Sources in Science and Technology in Special Collections,https://guides.lib.udel.edu/specsci
59,Communication,Communication,https://guides.lib.udel.edu/communication
60,Comparative Literature,Comparative Literature,https://guides.lib.udel.edu/complit
61,Course Guides,ART678: Research Seminar,https://guides.lib.udel.edu/artresearchseminar
62,Course Guides,BUAD 301- Introduction To Marketing,https://guides.lib.udel.edu/BUAD301
63,Course Guides,CRJU 110: Introduction to Criminal Justice,https://guides.lib.udel.edu/crju110
64,Course Guides,Dietetic Interns,https://guides.lib.udel.edu/dietetics
65,Course Guides,Edge Program,https://guides.lib.udel.edu/c.php?g=85633
66,Course Guides,ENGL110 class page,https://guides.lib.udel.edu/engl110
67,Course Guides,ENGL480: Into the Archives,https://guides.lib.udel.edu/engl480
68,Course Guides,ENGL600: Introduction to Graduate Studies in English (Special Collections),https://guides.lib.udel.edu/engl600spec
69,Course Guides,FASH133: Fashion Art Studio,https://guides.lib.udel.edu/fash133
70,Course Guides,FINC312: Intermediate Financial Management,https://guides.lib.udel.edu/finc312
71,Course Guides,FINC851: Corporate Financial Analysis,https://guides.lib.udel.edu/finc851
72,Course Guides,FINC854: Special Topics in Finance,https://guides.lib.udel.edu/finc854
73,Course Guides,High Technology Entrepreneurship Project,https://guides.lib.udel.edu/hightechnology
74,Course Guides,KAAP400: Research Methods,https://guides.lib.udel.edu/KAAP400
75,Course Guides,Master of Arts in Liberal Studies - MALS 601,https://guides.lib.udel.edu/mals
76,Course Guides,MATH308: Historical Development of Mathematical Concepts and Ideas,https://guides.lib.udel.edu/c.php?g=85662
77,Course Guides,NURS100,https://guides.lib.udel.edu/nurs100
78,Course Guides,NURS362,https://guides.lib.udel.edu/nurs362
79,Course Guides,Scientific Resources for Toyota-UD Applied Math Initiative,https://guides.lib.udel.edu/c.php?g=58972
80,Course Guides,UNIV601 Pedagogy,https://guides.lib.udel.edu/pedagogy
81,Delaware,"Cartographic Resources, Maps, and Spatial Data",https://guides.lib.udel.edu/maps
82,Delaware,Constitution Day 2012: 225 Years of the Constitution,https://guides.lib.udel.edu/constitutiondaytwelve
83,Delaware,Constitution Day 2013: Delaware and the Ratification of the Seventeenth Amendment,https://guides.lib.udel.edu/constitutionday2013
84,Delaware,Delaware,https://guides.lib.udel.edu/delaware
85,Delaware,Delaware Historical Maps,https://guides.lib.udel.edu/delhistmaps
86,Delaware,Delaware History,https://guides.lib.udel.edu/delawarehistory
87,Delaware,Delaware Legal Information,https://guides.lib.udel.edu/delawarelaw
88,Delaware,Delaware Newspapers,https://guides.lib.udel.edu/delawarenewspapers
89,Delaware,Genealogy,https://guides.lib.udel.edu/genealogy
90,Delaware,Historic Structures in Delaware,https://guides.lib.udel.edu/historicstructures
91,Delaware,History and Delawareana in Special Collections,https://guides.lib.udel.edu/spechist
92,Delaware,"Primary Resources in Politics, Policy and Government in Special Collections",https://guides.lib.udel.edu/spec_politics
93,Dissertations & Theses,Dissertations and Theses,https://guides.lib.udel.edu/dissertations
94,"Diversity, Gender, Race & Ethnicity",African American History,https://guides.lib.udel.edu/afamhistory
95,"Diversity, Gender, Race & Ethnicity",African American Studies,https://guides.lib.udel.edu/afamstudies
96,"Diversity, Gender, Race & Ethnicity",Disability Studies,https://guides.lib.udel.edu/disability
97,"Diversity, Gender, Race & Ethnicity",Diversity,https://guides.lib.udel.edu/diversity
98,"Diversity, Gender, Race & Ethnicity",Ethnic Studies,https://guides.lib.udel.edu/ethnicstudies
99,"Diversity, Gender, Race & Ethnicity",Film Finders: Exploring Special Topics,https://guides.lib.udel.edu/filmfinders_topics
100,"Diversity, Gender, Race & Ethnicity",GLBT Studies -- Selected Videos,https://guides.lib.udel.edu/glbt
101,"Diversity, Gender, Race & Ethnicity",Implicit Bias,https://guides.lib.udel.edu/implicitbias
102,"Diversity, Gender, Race & Ethnicity",Jewish Studies,https://guides.lib.udel.edu/jewishstudies
103,"Diversity, Gender, Race & Ethnicity",Resources for Colored Conventions Research at the University of Delaware,https://guides.lib.udel.edu/coloredconventionsatUD
104,"Diversity, Gender, Race & Ethnicity",Sexuality Studies,https://guides.lib.udel.edu/sexuality
105,"Diversity, Gender, Race & Ethnicity",Sociology,https://guides.lib.udel.edu/sociology
106,"Diversity, Gender, Race & Ethnicity",Women and Gender Studies,https://guides.lib.udel.edu/womensstudies
107,Education & Human Behavior,Anthropology,https://guides.lib.udel.edu/anthropology
108,Education & Human Behavior,Children's Literature,https://guides.lib.udel.edu/childrenslit
109,Education & Human Behavior,Disability Studies,https://guides.lib.udel.edu/disability
110,Education & Human Behavior,Education,https://guides.lib.udel.edu/education
111,Education & Human Behavior,Education Law,https://guides.lib.udel.edu/educlaw
112,Education & Human Behavior,Financial Aid,https://guides.lib.udel.edu/financialaid
113,Education & Human Behavior,Human Development and Family Sciences,https://guides.lib.udel.edu/family
114,Education & Human Behavior,Media,https://guides.lib.udel.edu/media
115,Education & Human Behavior,Organizational & Community Leadership,https://guides.lib.udel.edu/leadership
116,Education & Human Behavior,Psychological & Brain Sciences,https://guides.lib.udel.edu/psychology
117,Education & Human Behavior,Sociology,https://guides.lib.udel.edu/sociology
118,Education & Human Behavior,Special Education,https://guides.lib.udel.edu/specialed
119,Education & Human Behavior,UNIV601 Pedagogy,https://guides.lib.udel.edu/pedagogy
120,Engineering & Technology,Biotechnology,https://guides.lib.udel.edu/biotechnology
121,Engineering & Technology,Chemical and Biomolecular Engineering,https://guides.lib.udel.edu/chee
122,Engineering & Technology,Civil and Environmental Engineering,https://guides.lib.udel.edu/cive
123,Engineering & Technology,Computer and Information Sciences,https://guides.lib.udel.edu/computerscience
124,Engineering & Technology,Electrical and Computer Engineering,https://guides.lib.udel.edu/ee
125,Engineering & Technology,Materials Science and Engineering,https://guides.lib.udel.edu/materials
126,Engineering & Technology,Mechanical Engineering,https://guides.lib.udel.edu/mee
127,Engineering & Technology,Patents,https://guides.lib.udel.edu/patents
128,Engineering & Technology,Primary Sources in Science and Technology in Special Collections,https://guides.lib.udel.edu/specsci
129,Engineering & Technology,Standards,https://guides.lib.udel.edu/standards
130,Engineering & Technology,Water Science and Policy,https://guides.lib.udel.edu/water
131,English & American Literature,Children's Literature,https://guides.lib.udel.edu/childrenslit
132,English & American Literature,Comparative Literature,https://guides.lib.udel.edu/complit
133,English & American Literature,ENGL480: Into the Archives,https://guides.lib.udel.edu/engl480
134,English & American Literature,English and American Literature,https://guides.lib.udel.edu/englishamlit
135,English & American Literature,Primary Sources for Literature in Special Collections,https://guides.lib.udel.edu/speclit
136,English & American Literature,Resources for Colored Conventions Research at the University of Delaware,https://guides.lib.udel.edu/coloredconventionsatUD
137,Environmental & Earth Sciences,Applied Economics and Statistics,https://guides.lib.udel.edu/appliedeconomics
138,Environmental & Earth Sciences,Civil and Environmental Engineering,https://guides.lib.udel.edu/cive
139,Environmental & Earth Sciences,Disaster Studies,https://guides.lib.udel.edu/disaster
140,Environmental & Earth Sciences,Energy,https://guides.lib.udel.edu/energy
141,Environmental & Earth Sciences,Entomology and Wildlife Ecology,https://guides.lib.udel.edu/entomologywildlifeecology
142,Environmental & Earth Sciences,Environment,https://guides.lib.udel.edu/envi
143,Environmental & Earth Sciences,Geography,https://guides.lib.udel.edu/geog
144,Environmental & Earth Sciences,Geological Sciences,https://guides.lib.udel.edu/geology
145,Environmental & Earth Sciences,Marine Science and Policy,https://guides.lib.udel.edu/marine
146,Environmental & Earth Sciences,Primary Sources in Science and Technology in Special Collections,https://guides.lib.udel.edu/specsci
147,Environmental & Earth Sciences,Sustainability,https://guides.lib.udel.edu/sustainability
148,Environmental & Earth Sciences,Water Science and Policy,https://guides.lib.udel.edu/water
149,Fashion and Apparel Studies,FASH133: Fashion Art Studio,https://guides.lib.udel.edu/fash133
150,Fashion and Apparel Studies,Fashion and Apparel Studies,https://guides.lib.udel.edu/fashion
151,Foreign Languages & Literatures,Ancient Greek and Roman Studies,https://guides.lib.udel.edu/classics
152,Foreign Languages & Literatures,Chinese Language and Literature,https://guides.lib.udel.edu/chinese
153,Foreign Languages & Literatures,Film Studies,https://guides.lib.udel.edu/filmstudies
154,Foreign Languages & Literatures,French Language and Literature,https://guides.lib.udel.edu/french
155,Foreign Languages & Literatures,German Language and Literature,https://guides.lib.udel.edu/german
156,Foreign Languages & Literatures,Hebrew and Yiddish Languages and Literature,https://guides.lib.udel.edu/hebrewandyiddish
157,Foreign Languages & Literatures,Italian Language and Literature,https://guides.lib.udel.edu/italian
158,Foreign Languages & Literatures,Japanese Language and Literature,https://guides.lib.udel.edu/japanese
159,Foreign Languages & Literatures,Languages and Literatures,https://guides.lib.udel.edu/langandlit
160,Foreign Languages & Literatures,Portuguese Language and Literature,https://guides.lib.udel.edu/portuguese
161,Foreign Languages & Literatures,Russian Language and Literature,https://guides.lib.udel.edu/russian
162,Foreign Languages & Literatures,Spanish Language and Literature,https://guides.lib.udel.edu/spanish
163,Foundations & Grants,Financial Aid,https://guides.lib.udel.edu/financialaid
164,Foundations & Grants,Foundations and Grants,https://guides.lib.udel.edu/grants
165,Genealogy & Biography,Biographical Information,https://guides.lib.udel.edu/biography
166,Genealogy & Biography,Genealogy,https://guides.lib.udel.edu/genealogy
167,Government Information,"Cartographic Resources, Maps, and Spatial Data",https://guides.lib.udel.edu/maps
168,Government Information,Congressional Record,https://guides.lib.udel.edu/congressionalrecord
169,Government Information,Constitution Day 2017: The Constitution in the News,https://guides.lib.udel.edu/constitutionday2017
170,Government Information,Copyright,https://guides.lib.udel.edu/copyright
171,Government Information,Delaware,https://guides.lib.udel.edu/delaware
172,Government Information,Legal Studies,https://guides.lib.udel.edu/legalstudies
173,Government Information,Patents,https://guides.lib.udel.edu/patents
174,Government Information,Public Policy & Administration,https://guides.lib.udel.edu/pubpolicy
175,Government Information,U.S. Census,https://guides.lib.udel.edu/census
176,Government Information,U.S. Congressional Publications & Legislative Process,https://guides.lib.udel.edu/congressional
177,Government Information,U.S. Government Information,https://guides.lib.udel.edu/usgov
178,Government Information,U.S. Government Legal Information,https://guides.lib.udel.edu/usgovlaw
179,Government Information,Veterans & Military Resources,https://guides.lib.udel.edu/veterans
180,Health Sciences,Behavioral Health and Nutrition,https://guides.lib.udel.edu/bhn
181,Health Sciences,Biomechanics and Movement Science,https://guides.lib.udel.edu/bioms
182,Health Sciences,Communication Sciences and Disorders,https://guides.lib.udel.edu/cscd
183,Health Sciences,Gerontology,https://guides.lib.udel.edu/gerontology
184,Health Sciences,Kinesiology and Applied Physiology,https://guides.lib.udel.edu/kaap
185,Health Sciences,Media,https://guides.lib.udel.edu/media
186,Health Sciences,Medical & Molecular Sciences,https://guides.lib.udel.edu/medt
187,Health Sciences,NURS362,https://guides.lib.udel.edu/nurs362
188,Health Sciences,Nursing,https://guides.lib.udel.edu/nurs
