,Category,Subject,Link
0,Africana Studies,African American Studies Resources,https://guides.lib.uh.edu/aas
1,Africana Studies,Hip-Hop Music Resources,https://guides.lib.uh.edu/hiphop
2,Anthropology,ANTH-6310 Research Methods,https://guides.lib.uh.edu/anth6310
3,Anthropology,Anthropology Resources,https://guides.lib.uh.edu/anthro
4,Architecture,ARCH 5500 - Genetic City Vacancy,https://guides.lib.uh.edu/geneticcity
5,Architecture,ARCH 5500 / ARCH 6397,https://guides.lib.uh.edu/2018arch5500
6,Architecture,Architecture and Art Research Guide,https://guides.lib.uh.edu/architectureandart
7,Architecture,Architecture Resources,https://guides.lib.uh.edu/architecture
8,Art,Architecture and Art Research Guide,https://guides.lib.uh.edu/architectureandart
9,Art,Art Resources,https://guides.lib.uh.edu/art
10,Art,Art Resources for Blaffer Art Museum Exhibits,https://guides.lib.uh.edu/BlafferReadingNook
11,Art,Digital Humanities Resources,https://guides.lib.uh.edu/digitalhumanities
12,Art,Manuscript Books,https://guides.lib.uh.edu/manuscipts
13,Art,Performing Arts Health & Wellness Resources,https://guides.lib.uh.edu/artist_wellness
14,Art,Printed Books 1450-Present,https://guides.lib.uh.edu/printedbooks
15,Asian American Studies,Asian American Studies Resources,https://guides.lib.uh.edu/asianamer
16,Biology & Biochemistry,Biology & Biochemistry Resources,https://guides.lib.uh.edu/biology
17,Biology & Biochemistry,Biotechnology Resources,https://guides.lib.uh.edu/biotech
18,Biology & Biochemistry,LaTeX Guide,https://guides.lib.uh.edu/latex
19,Biomedical Engineering,Biomedical Engineering Resources,https://guides.lib.uh.edu/biomedical
20,Business,Accounting & Taxation Resources,https://guides.lib.uh.edu/accounting
21,Business,APICS Certification Study Materials (Smith),https://guides.lib.uh.edu/APICS
22,Business,Company Research Resources,https://guides.lib.uh.edu/CompanyResearch
23,Business,Entrepreneurship Resources,https://guides.lib.uh.edu/entrepreneurship
24,Business,FINA 4357/4359 - Energy Risk Management (Rogers),https://guides.lib.uh.edu/cli
25,Business,FINA 6387 - Managerial Analysis (Basu),https://guides.lib.uh.edu/fina6387
26,Business,FINA 6387 - Managerial Analysis (Piqueira),https://guides.lib.uh.edu/FINA6387NSP
27,Business,Finance Resources,https://guides.lib.uh.edu/Finance
28,Business,GENB 3302 - Connecting Bauer to Business,https://guides.lib.uh.edu/genb3302
29,Business,General Business Resources,https://guides.lib.uh.edu/GENB
30,Business,HIST 4318 - Energy in Africa,https://guides.lib.uh.edu/HIST4318
31,Business,Industry Research Resources,https://guides.lib.uh.edu/IndustryResearch
32,Business,International Business Resources,https://guides.lib.uh.edu/INTB
33,Business,Management Information Systems Resources,https://guides.lib.uh.edu/mis
34,Business,Management Resources,https://guides.lib.uh.edu/management
35,Business,Marketing,https://guides.lib.uh.edu/marketing
36,Business,MIS 4374 - IT Project Management (Scott),https://guides.lib.uh.edu/ITPM
37,Business,Organizational Leadership and Supervision Resources (TELS),https://guides.lib.uh.edu/OLS
38,Business,SCLT 4375 - Global Supply Chain,https://guides.lib.uh.edu/c.php?g=710528
39,Business,SCM & SCLT Career Guide,https://guides.lib.uh.edu/SCMCareer
40,Business,SCM 4367 - Managing Productivity & Quality (Miller),https://guides.lib.uh.edu/mpq
41,Business,SCM 4380 - Enterprise Resource Planning (Miller),https://guides.lib.uh.edu/erp
42,Business,SCM 6301/6A01 - Production & Operations Management (Smith),https://guides.lib.uh.edu/scm6301
