,Category,Subject,Link
0,Accounting,Accounting & Taxation,https://guides.lib.usf.edu/accounting
1,Accounting,Finance,https://guides.lib.usf.edu/finance
2,Advertising,Marketing and Advertising,https://guides.lib.usf.edu/marketing
3,Africana Studies,Africana Studies,https://guides.lib.usf.edu/africanastudies
4,Aging Studies,Aging Studies,https://guides.lib.usf.edu/agingstudies
5,Anthropology,ANG 5395: Visual Anthropology,https://guides.lib.usf.edu/ang5395
6,Anthropology,ANT 4932: Honors Seminar,https://guides.lib.usf.edu/ant4932
7,Anthropology,Anthropology & Archaeology,https://guides.lib.usf.edu/anthropology
8,Anthropology,Applied Anthropology for Undergraduates,https://guides.lib.usf.edu/appliedanthropology
9,Architecture,Architecture,https://guides.lib.usf.edu/architecture
10,Art & Art History,ARH 2050/2051: History of Visual Arts I & II,https://guides.lib.usf.edu/historyofvisualarts
11,Art & Art History,ARH 4430: 19th Century Art,https://guides.lib.usf.edu/c.php?g=6012
12,Art & Art History,ARH 4800 / ARH 6798: Art and the Senses,https://guides.lib.usf.edu/artandthesenses
13,Art & Art History,ARH 4800/ARH 6798: Purity of Painting,https://guides.lib.usf.edu/purityofpainting
14,Art & Art History,ARH 4800: Kandinsky's Abstraction,https://guides.lib.usf.edu/arh4800
15,Art & Art History,Art & Art History,https://guides.lib.usf.edu/arthistory
16,Art & Art History,ART4970: Senior Thesis,https://guides.lib.usf.edu/SeniorThesisArt
17,Art & Art History,IDH4970: Picture This!,https://guides.lib.usf.edu/PictureThis
18,Biology,Biology,https://guides.lib.usf.edu/biology
19,Business,Accounting & Taxation,https://guides.lib.usf.edu/accounting
20,Business,Business,https://guides.lib.usf.edu/cob
21,Business,Business Case Competition Resources,https://guides.lib.usf.edu/businesscasecompetition
22,Business,Business Data Sets,https://guides.lib.usf.edu/businessdatasets
23,Business,Citing Business Resources,https://guides.lib.usf.edu/citingbusiness
24,Business,ENT 6186/EIN 6935: Strategic Market Assessment for New Technologies,https://guides.lib.usf.edu/ent6186
25,Business,Entrepreneurship,https://guides.lib.usf.edu/entrepreneurship
26,Business,Finance,https://guides.lib.usf.edu/finance
27,Business,Financial Literacy,https://guides.lib.usf.edu/financialliteracy
28,Business,GEB 6895: Integrated Business Applications,https://guides.lib.usf.edu/geb6895
29,Business,IDH 3600.011: Seminar in Applied Business Ethics (Castricone),https://guides.lib.usf.edu/businessethics
30,Business,MAN 4930: Response of Business to Global Environmental Problems,https://guides.lib.usf.edu/MAN4930
31,Business,Management Information Systems,https://guides.lib.usf.edu/managementinformationsystems
32,Business,MAR 3823/MAR 6815: Marketing Management,https://guides.lib.usf.edu/marketingmanagement
33,Business,MAR 4156/MAR 6158: International Marketing,https://guides.lib.usf.edu/internationalmarketing
34,Business,MAR 4503.001: Buyer Behavior (Kumar),https://guides.lib.usf.edu/buyerbehavior
35,Business,Marketing and Advertising,https://guides.lib.usf.edu/marketing
36,Business,Real Estate,https://guides.lib.usf.edu/realestate
37,Chemistry,Chemistry,https://guides.lib.usf.edu/chemistry
38,Chemistry,CHM 4060: Use of Chemical Literature,https://guides.lib.usf.edu/chm4060
39,Citation Software,APA Style Central,https://guides.lib.usf.edu/apastylecentral
40,Citation Software,RefWorks,https://guides.lib.usf.edu/refworks
41,Citation Software,Zotero,https://guides.lib.usf.edu/zotero
42,Classics,Classics,https://guides.lib.usf.edu/classics
43,Communication,Communication,https://guides.lib.usf.edu/communication
44,Communication,SPC 2608: Public Speaking,https://guides.lib.usf.edu/spc2608
45,Communication,SPC 6934: Career Theory & Strategy,https://guides.lib.usf.edu/spc6934
46,Communication Sciences and Disorders,Communication Sciences and Disorders,https://guides.lib.usf.edu/csd
47,Copyright and Intellectual Property,Copyright,https://guides.lib.usf.edu/copyright
