,Category,Subject,Link
0,American Studies,American Studies,https://guides.lib.uwo.ca/american_studies
1,Anatomy,Anatomy,https://guides.lib.uwo.ca/anatomy
2,Anesthesia and Perioperative Medicine,Anesthesia and Perioperative Medicine,https://guides.lib.uwo.ca/anesthesiaandperioperativemedicine
3,Animal Behaviour and Physiology,Animal Behaviour and Physiology,https://guides.lib.uwo.ca/animalbehaviourandphysiology
4,Anthropology,Archaeology,https://guides.lib.uwo.ca/archaeology
5,Anthropology,Biological Anthropology,https://guides.lib.uwo.ca/biologicalanthropology
6,Anthropology,Geographic Information Systems (GIS),https://guides.lib.uwo.ca/gis
7,Anthropology,Human Geography,https://guides.lib.uwo.ca/humangeography
8,Anthropology,Migration & Ethnic Relations,https://guides.lib.uwo.ca/migrationandethnicrelations
9,Anthropology,Sociocultural Anthropology,https://guides.lib.uwo.ca/socioculturalanthropology
10,Applied Mathematics,Applied Mathematics,https://guides.lib.uwo.ca/appliedmathematics
11,Archaeology,Archaeology,https://guides.lib.uwo.ca/archaeology
12,Archaeology,Geographic Information Systems (GIS),https://guides.lib.uwo.ca/gis
13,Astronomy,Astronomy,https://guides.lib.uwo.ca/astro
14,Astronomy,Astronomy 2022,https://guides.lib.uwo.ca/astronomy2022
15,Astronomy,Astronomy 2801,https://guides.lib.uwo.ca/astronomy2801
16,Astronomy,Astronomy 4602-9706,https://guides.lib.uwo.ca/astronomy4602-9706
17,Astronomy,Astronomy 9610,https://guides.lib.uwo.ca/astronomy9610
18,Bachelor of Medical Science,Bachelor of Medical Science,https://guides.lib.uwo.ca/bachelormedicalsciences
19,Biochemistry,Biochemistry,https://guides.lib.uwo.ca/biochemistry
20,Biology,Animal Behaviour and Physiology,https://guides.lib.uwo.ca/animalbehaviourandphysiology
21,Biology,Biological Anthropology,https://guides.lib.uwo.ca/biologicalanthropology
22,Biology,Biology,https://guides.lib.uwo.ca/biology
23,Biology,Cell and Developmental Biology,https://guides.lib.uwo.ca/cellanddevelopmentalbiology
24,Biology,Conservation Biology,https://guides.lib.uwo.ca/conservationbiology
25,Biology,Ecology and Evolution,https://guides.lib.uwo.ca/ecologyandevolution
26,Biology,Ecosystem Health,https://guides.lib.uwo.ca/ecosystemhealth
27,Biology,Genetics,https://guides.lib.uwo.ca/genetics
28,Biology,Geographic Information Systems (GIS),https://guides.lib.uwo.ca/gis
29,Business,Accounting Research,https://guides.lib.uwo.ca/accounting
30,Business,Advertising Research,https://guides.lib.uwo.ca/advertising
31,Business,Alerts for Business Databases,https://guides.lib.uwo.ca/journalalerts
32,Business,AMBA Literature Review,https://guides.lib.uwo.ca/AMBALitReview
33,Business,Analyst Reports for Business,https://guides.lib.uwo.ca/analystreports
34,Business,Articles for Business,https://guides.lib.uwo.ca/articles
35,Business,Articles for Business - Search Tips,https://guides.lib.uwo.ca/articlesearchtips
36,Business,Best Of... Book Lists (Business),https://guides.lib.uwo.ca/bestofbusiness
37,Business,Bloomberg Market Concepts,https://guides.lib.uwo.ca/bloombergmarketconcepts
38,Business,Bloomberg Professional Service Overview,https://guides.lib.uwo.ca/bloomberg
39,Business,Business 2257 Feasibility Study,https://guides.lib.uwo.ca/bus2257
40,Business,Business Cases (Case Study Method),https://guides.lib.uwo.ca/buscases
41,Business,Business Databases by Subject,https://guides.lib.uwo.ca/BusDatabases
42,Business,Business Law Research,https://guides.lib.uwo.ca/businesslaw
43,Business,Business Plans,https://guides.lib.uwo.ca/businessplans
44,Business,Business Resources for Alumni,https://guides.lib.uwo.ca/businessalumni
45,Business,Career Resources for Business,https://guides.lib.uwo.ca/career
46,Business,Commodities Research,https://guides.lib.uwo.ca/commodities
47,Business,Company Research,https://guides.lib.uwo.ca/company
48,Business,Country Research for Business,https://guides.lib.uwo.ca/businesscountryresearch
49,Business,Entrepreneurship - Starting Your Own Business,https://guides.lib.uwo.ca/entrepreneurship
50,Business,ES 1050 Market Research,https://guides.lib.uwo.ca/ES1050
51,Business,Finance Research,https://guides.lib.uwo.ca/fininfo
52,Business,Financial Economics,https://guides.lib.uwo.ca/financialeconomics
53,Business,Geographic Information Systems (GIS),https://guides.lib.uwo.ca/gis
54,Business,History 1807 - The History of Business,https://guides.lib.uwo.ca/history_1807
55,Business,IFP - Ivey Field Project (Business),https://guides.lib.uwo.ca/ifp
56,Business,Industry Research Overview,https://guides.lib.uwo.ca/industry
57,Business,Industry Research: Automotive,https://guides.lib.uwo.ca/automotiveindustry
58,Business,"Industry Research: Energy, Power & Utilities",https://guides.lib.uwo.ca/energyindustry
59,Business,Industry Research: Luxury Goods,https://guides.lib.uwo.ca/luxurymarket
60,Business,Industry Research: Retail,https://guides.lib.uwo.ca/retail
61,Business,Ivey Faculty Toolkit,https://guides.lib.uwo.ca/iveyfaculty
62,Business,Ivey NVP-New Venture Project (Business),https://guides.lib.uwo.ca/nvp
63,Business,Management Information Systems Research,https://guides.lib.uwo.ca/managementinfosystems
64,Business,Marketing Group Report,https://guides.lib.uwo.ca/marketingreport
65,Business,Marketing Research,https://guides.lib.uwo.ca/marketresearch
66,Business,MBA & Executive MBA Orientation,https://guides.lib.uwo.ca/mbaemba
67,Business,MSc 9033 Business Project,https://guides.lib.uwo.ca/mscproject
68,Business,New Book Purchases in Business,https://guides.lib.uwo.ca/new-bus-ebooks
69,Business,Operations Management Research,https://guides.lib.uwo.ca/operationsmanagement
70,Business,Opinion Research Polls for Business,https://guides.lib.uwo.ca/opinionresearchpolls
71,Business,Organizational Behaviour Research,https://guides.lib.uwo.ca/orgbehaviour
72,Business,PhD Library Orientation (Business),https://guides.lib.uwo.ca/business-phd
73,Business,Plunkett's Industry Almanacs,https://guides.lib.uwo.ca/plunketts
74,Business,Primary Research for Business,https://guides.lib.uwo.ca/busprimaryresearch
75,Business,Supply Chain/Logistics Management Research,https://guides.lib.uwo.ca/logistics
76,Business,Sustainability for Business,https://guides.lib.uwo.ca/sustainablebusiness
77,Cell and Developmental Biology,Anatomy,https://guides.lib.uwo.ca/anatomy
78,Cell and Developmental Biology,Cell and Developmental Biology,https://guides.lib.uwo.ca/cellanddevelopmentalbiology
79,Chemistry,Chemistry,https://guides.lib.uwo.ca/chemistry
80,Chemistry,Chemistry 2281G Library Information Session,https://guides.lib.uwo.ca/chem2281g
81,Chemistry,Chemistry 3371F Library Information Session,https://guides.lib.uwo.ca/chem3371f
82,Chemistry,Chemistry 4491E Library Information Session,https://guides.lib.uwo.ca/chem4491e
83,Chemistry,Guide to Chemical Pricing,https://guides.lib.uwo.ca/chemicalprice
84,Chemistry,Guide to Chemical Safety,https://guides.lib.uwo.ca/chemsafety
85,Chemistry,Guide to Open Access and Chemical Journals,https://guides.lib.uwo.ca/chemopenaccess
86,Childhood and Social Institutions,Childhood and Social Institutions,https://guides.lib.uwo.ca/childhoodandsocialinstitutions
87,Childhood and Social Institutions,Human Geography,https://guides.lib.uwo.ca/humangeography
88,Classical Studies,Classical Studies,https://guides.lib.uwo.ca/classicalstudies
89,Classical Studies,Classical Studies Book Review Sources,https://guides.lib.uwo.ca/classicalstudiesbookreviews
90,Classical Studies,CS3310G: Women in Ancient Greece,https://guides.lib.uwo.ca/classics/3310G
91,Clinical Outreach,Clinical Outreach,https://guides.lib.uwo.ca/clinicaloutreach
92,Communication Sciences and Disorders,Communication Sciences and Disorders,https://guides.lib.uwo.ca/communicationsciencesanddisorders
93,Community Development,Community Development - Brescia,https://guides.lib.uwo.ca/communitydevelopmentbrescia
94,Comparative Literature,Comparative Literature,https://guides.lib.uwo.ca/complit
95,Computer Science,Computer Science,https://guides.lib.uwo.ca/computerscience
96,Computer Science,Computer Science 3325 Library Support,https://guides.lib.uwo.ca/cs3325
97,Computer Science,Computer Science 4490z Library Support,https://guides.lib.uwo.ca/cs4490z
98,Conservation Biology,Conservation Biology,https://guides.lib.uwo.ca/conservationbiology
99,Conservation Biology,Geographic Information Systems (GIS),https://guides.lib.uwo.ca/gis
100,Conservation Biology,Physical Geography,https://guides.lib.uwo.ca/physicalgeography
101,Dance,Dance,https://guides.lib.uwo.ca/dance
102,Dentistry,Dentistry,https://guides.lib.uwo.ca/dentistry
