,Category,Subject,Link
0,Biology,Biology,https://guides.libraries.uc.edu/biology
1,Biology,Biology at Clermont,https://guides.libraries.uc.edu/clermont-biology
2,Biology,Biology at UCBA,https://guides.libraries.uc.edu/ucba-biology
3,Biology,INTR 1020: Introduction to Science Professions (UCBA),https://guides.libraries.uc.edu/ucba-intr1020
4,Biology,Scholarly Lit and Digital Poster Faculty Guide at Clermont,https://guides.libraries.uc.edu/clermont-sci-fac
5,Biology,Katie Foran-Mulcahy,https://guides.libraries.uc.edu/prf.php?account_id=40146
6,Biology,Biology,https://guides.libraries.uc.edu/sb.php?subject_id=128628
7,Biology,Chemistry & Physics,https://guides.libraries.uc.edu/sb.php?subject_id=128629
8,Biology,"Geography, Geology & Environmental Science",https://guides.libraries.uc.edu/sb.php?subject_id=128633
9,Biology,scientific poster,https://guides.libraries.uc.edu/srch.php?q=scientific%20poster
10,Biology,scientific presentation,https://guides.libraries.uc.edu/srch.php?q=scientific%20presentation
11,Biology,Undergraduate Research Programs: Library Research Guide,https://guides.libraries.uc.edu/summerresearch
12,Biology,Visualization Laboratory,https://guides.libraries.uc.edu/VizLab
13,Business & Economics,About the Business Library Collection,https://guides.libraries.uc.edu/about-business-library
14,Business & Economics,Accounting,https://guides.libraries.uc.edu/accounting
15,Business & Economics,Articles and Books (Business),https://guides.libraries.uc.edu/ArticlesAndBooks
16,Business & Economics,Ask the Business Librarian,https://guides.libraries.uc.edu/c.php?g=222730
17,Business & Economics,Banking,https://guides.libraries.uc.edu/banking
18,Business & Economics,Biography Resources (Business),https://guides.libraries.uc.edu/biography
19,Business & Economics,Bloomberg Terminal,https://guides.libraries.uc.edu/bloomberg
20,Business & Economics,BTAS at Clermont,https://guides.libraries.uc.edu/clermont-btas
21,Business & Economics,Business & Economics at UCBA,https://guides.libraries.uc.edu/ucba-bus-econ
22,Business & Economics,Business at Clermont,https://guides.libraries.uc.edu/clermont-bus
23,Business & Economics,Business Books (Electronic),https://guides.libraries.uc.edu/ebooks
24,Business & Economics,Business Ethics,https://guides.libraries.uc.edu/BusinessEthics
25,Business & Economics,Business History,https://guides.libraries.uc.edu/BusinessHistory
26,Business & Economics,Business Law,https://guides.libraries.uc.edu/BusinessLaw
27,Business & Economics,Business Schools,https://guides.libraries.uc.edu/BusinessSchools
28,Business & Economics,Call Number Locator (Langsam),https://guides.libraries.uc.edu/CallNumbers
29,Business & Economics,Careers Resources,https://guides.libraries.uc.edu/careers
30,Business & Economics,Case Studies (Business),https://guides.libraries.uc.edu/CaseStudies
31,Business & Economics,Cincinnati Business/Economy,https://guides.libraries.uc.edu/CincyBusiness
32,Business & Economics,Cincinnati Company Profiles and Histories,https://guides.libraries.uc.edu/CincyCompanyHistory
33,Business & Economics,Cincinnati Executive Officers Biographies,https://guides.libraries.uc.edu/CincyExecBios
34,Business & Economics,Citation Analysis (Business),https://guides.libraries.uc.edu/CitationAnalysis
35,Business & Economics,Cities (U.S.),https://guides.libraries.uc.edu/USCities
36,Business & Economics,Citing Business Sources,https://guides.libraries.uc.edu/CitingBusiness
37,Business & Economics,Class Assignments,https://guides.libraries.uc.edu/c.php?g=222621
38,Business & Economics,Commerce,https://guides.libraries.uc.edu/commerce
39,Business & Economics,Company Information (U.S.),https://guides.libraries.uc.edu/USCompany
40,Business & Economics,Company Information (World),https://guides.libraries.uc.edu/WorldCompany
41,Business & Economics,Country Information,https://guides.libraries.uc.edu/country
42,Business & Economics,DATASETS,https://guides.libraries.uc.edu/c.php?g=411946
43,Business & Economics,Demographic Data,https://guides.libraries.uc.edu/demographics
44,Business & Economics,Dictionaries and Encyclopedias (Business),https://guides.libraries.uc.edu/dictionaries
45,Business & Economics,Dissertations and Theses (Business),https://guides.libraries.uc.edu/dissertations
46,Business & Economics,Do not select from these publishers,https://guides.libraries.uc.edu/c.php?g=222542
47,Business & Economics,E-Commerce/E-Marketing,https://guides.libraries.uc.edu/ecommerce
48,Business & Economics,ebrary,https://guides.libraries.uc.edu/ebrary
49,Business & Economics,Economic Development,https://guides.libraries.uc.edu/EconDevlop
50,Business & Economics,Electronic Journals (Business),https://guides.libraries.uc.edu/ejournals
51,Business & Economics,Ethnic Business Resources,https://guides.libraries.uc.edu/EthnicBusiness
52,Business & Economics,Faculty Corner (Business),https://guides.libraries.uc.edu/FacultyCorner
53,Business & Economics,Finance and Investment,https://guides.libraries.uc.edu/finance
54,Business & Economics,Financial Times and FT.com,https://guides.libraries.uc.edu/Financial-Times
55,Business & Economics,Full-Text Journal Finder (Business),https://guides.libraries.uc.edu/FullTextJournals
56,Business & Economics,Harvard Business Review,https://guides.libraries.uc.edu/HBR
57,Business & Economics,Health Information Systems at Clermont,https://guides.libraries.uc.edu/cler-hit
58,Business & Economics,Hospitality Management,https://guides.libraries.uc.edu/hospitality
59,Business & Economics,Human Resources,https://guides.libraries.uc.edu/HumanResources
60,Business & Economics,Industry Data Sources,https://guides.libraries.uc.edu/IndustryData
61,Business & Economics,Information Systems Resources,https://guides.libraries.uc.edu/InformationSystems
62,Business & Economics,Insurance,https://guides.libraries.uc.edu/insurance
63,Business & Economics,International Business,https://guides.libraries.uc.edu/InternationalBusiness
64,Business & Economics,Journal Rankings (Business),https://guides.libraries.uc.edu/JournalRankings
65,Business & Economics,Labor and Industrial Relations,https://guides.libraries.uc.edu/labor
66,Business & Economics,Management,https://guides.libraries.uc.edu/management
67,Business & Economics,Marketing (U.S.),https://guides.libraries.uc.edu/USMarketing
68,Business & Economics,Marketing (World),https://guides.libraries.uc.edu/WorldMarketing
69,Business & Economics,MGMT 1050: Introduction to Business (UCBA),https://guides.libraries.uc.edu/ucba-mgmt1050
70,Business & Economics,New Books Received in March 2017(Business),https://guides.libraries.uc.edu/newbusinessbooks
71,Business & Economics,Off-Campus Mobile Access,https://guides.libraries.uc.edu/offCampusAccess
72,Business & Economics,Ohio Business and Economic Databases,https://guides.libraries.uc.edu/OhioBusiness
73,Business & Economics,Ohio Economy,https://guides.libraries.uc.edu/OhioEconomy
74,Business & Economics,One-Stop Business Research,https://guides.libraries.uc.edu/OneStopBusiness
75,Business & Economics,Operations Research/Management Science,https://guides.libraries.uc.edu/OperationsResearch
76,Business & Economics,Private Companies,https://guides.libraries.uc.edu/PrivateCompanies
77,Business & Economics,Public Opinion Surveys,https://guides.libraries.uc.edu/PublicOpinion
78,Business & Economics,Publishing Opportunities,https://guides.libraries.uc.edu/PublishingOpportunities
79,Business & Economics,Real Estate,https://guides.libraries.uc.edu/RealEstate
80,Business & Economics,Researching U.S. Industries,https://guides.libraries.uc.edu/researchingusindustries
81,Business & Economics,"Scholarships, Fellowships, Grants and Loans",https://guides.libraries.uc.edu/Scholarships
82,Business & Economics,Small Business Resources,https://guides.libraries.uc.edu/SmallBusiness
83,Business & Economics,Sport Administration,https://guides.libraries.uc.edu/sports_administration
84,Business & Economics,Statistical Methods (Business),https://guides.libraries.uc.edu/StatisticalMethods
85,Business & Economics,Statistical Sources at UCBA,https://guides.libraries.uc.edu/ucba-stats
86,Business & Economics,Statistics Databases (Business),https://guides.libraries.uc.edu/statistics
87,Business & Economics,SUMMON SEARCH GUIDE,https://guides.libraries.uc.edu/SUMMON
88,Business & Economics,Tax Resources,https://guides.libraries.uc.edu/tax
89,Business & Economics,Textbooks in the Library,https://guides.libraries.uc.edu/textbooks
90,Business & Economics,Thomson Reuters EIKON,https://guides.libraries.uc.edu/c.php?g=356377
91,Business & Economics,Transactional Law Research Guide,https://guides.libraries.uc.edu/transactionallaw
92,Business & Economics,Transportation,https://guides.libraries.uc.edu/transportation
93,Business & Economics,U.S. Economic Data,https://guides.libraries.uc.edu/USEconomy
94,Business & Economics,Venture Capital,https://guides.libraries.uc.edu/VentureCapital
95,Business & Economics,Videos (Business),https://guides.libraries.uc.edu/Videos
96,Business & Economics,Wall Street Journal,https://guides.libraries.uc.edu/WallStreetJournal
97,Business & Economics,Working Papers (Business/Economics),https://guides.libraries.uc.edu/WorkingPapers
98,Business & Economics,WRDS (Wharton Research Data Services),https://guides.libraries.uc.edu/WRDS
99,Chemistry & Physics,CHE4075: ChE Undergraduate Research,https://guides.libraries.uc.edu/che4075
100,Chemistry & Physics,Chemistry,https://guides.libraries.uc.edu/chemistry
101,Chemistry & Physics,Chemistry at Clermont,https://guides.libraries.uc.edu/clermont-chem
102,Chemistry & Physics,Chemistry at UCBA,https://guides.libraries.uc.edu/ucba-chemistry
103,Chemistry & Physics,"Chemistry Journals for ""Hot Topics""",https://guides.libraries.uc.edu/chemistry-hot-topics
104,Chemistry & Physics,Chemistry REU/ Research Exp. Undergrads,https://guides.libraries.uc.edu/Chemistry-REU
105,Chemistry & Physics,Data Management Planning,https://guides.libraries.uc.edu/datamanagementplanning
106,Chemistry & Physics,E-Books & Proceedings in Science & Engineering,https://guides.libraries.uc.edu/ceasebooks
107,Chemistry & Physics,ENFD 3008: Intro to Nanoscale Sci. & Tech.,https://guides.libraries.uc.edu/nano-scitech
108,Chemistry & Physics,INTR 1020: Introduction to Science Professions (UCBA),https://guides.libraries.uc.edu/ucba-intr1020
109,Chemistry & Physics,Knovel (Workshop Guide),https://guides.libraries.uc.edu/knovel-workshop
110,Chemistry & Physics,LaTeX Resources,https://guides.libraries.uc.edu/latex
111,Chemistry & Physics,"Mathematics, Physics & Computer Science at UCBA",https://guides.libraries.uc.edu/ucba-mpcs
112,Chemistry & Physics,New Books in Oesper,https://guides.libraries.uc.edu/oespernewbooks
113,Chemistry & Physics,New Books in Oesper in May-June 2017,https://guides.libraries.uc.edu/oespernewbooksmayjune2017
114,Chemistry & Physics,Patents,https://guides.libraries.uc.edu/patents
115,Chemistry & Physics,Physics & Astronomy Resource Guide,https://guides.libraries.uc.edu/physics
116,Chemistry & Physics,Physics at Clermont,https://guides.libraries.uc.edu/clermont-phys
117,Chemistry & Physics,Scholarly Lit and Digital Poster Faculty Guide at Clermont,https://guides.libraries.uc.edu/clermont-sci-fac
118,Chemistry & Physics,Survival Guide for Chemistry Grad Students,https://guides.libraries.uc.edu/ChemGrad
119,Chemistry & Physics,Undergraduate Research Programs: Library Research Guide,https://guides.libraries.uc.edu/summerresearch
120,Chemistry & Physics,Visualization Laboratory,https://guides.libraries.uc.edu/VizLab
121,Classics,CLAS1001 Library Research PPT,https://guides.libraries.uc.edu/c.php?g=757323
122,Classics,Classical Studies : Sources,https://guides.libraries.uc.edu/classical-sources
123,Classics,Research Strategies for Classics Majors : A Tutorial,https://guides.libraries.uc.edu/classics-research
