,Category,Subject,Link
0,African & African American Studies,African American Studies,https://guides.library.duke.edu/africanamerican
1,African & African American Studies,African Studies,https://guides.library.duke.edu/africa
2,African & African American Studies,Black Church Resources,https://guides.library.duke.edu/blackchurchresources
3,Arts & Visual Studies,Art History,https://guides.library.duke.edu/arthistory
4,Arts & Visual Studies,Film & Video,https://guides.library.duke.edu/film-and-video-resources
5,Arts & Visual Studies,Finding/Using Images at Duke,https://guides.library.duke.edu/images
6,Arts & Visual Studies,Visual Studies,https://guides.library.duke.edu/visualstudies
7,Asian Studies,Asian Studies,https://guides.library.duke.edu/asianstd
8,Asian Studies,Chinese Studies,https://guides.library.duke.edu/china
9,Asian Studies,Japanese Studies,https://guides.library.duke.edu/japanesestudies
10,Asian Studies,Korean Studies,https://guides.library.duke.edu/koreanstudies
11,Asian Studies,South Asia,https://guides.library.duke.edu/southasia
12,Asian Studies,Southeast Asia,https://guides.library.duke.edu/southeast-asia
13,Business,Business,https://guides.library.duke.edu/business
14,Business,Company and Industry Research,https://guides.library.duke.edu/company
15,Business,Entrepreneurship,https://guides.library.duke.edu/c.php?g=289499
16,Business,Financial Markets,https://guides.library.duke.edu/financial_markets
17,Business,Market Research,https://guides.library.duke.edu/market_research
18,Engineering & Technology,Biomedical Engineering,https://guides.library.duke.edu/biomed
19,Engineering & Technology,Civil & Environmental Engineering,https://guides.library.duke.edu/civil
20,Engineering & Technology,Computer Science,https://guides.library.duke.edu/cs
21,Engineering & Technology,Electrical & Computer Engineering,https://guides.library.duke.edu/elec
22,Engineering & Technology,Engineering,https://guides.library.duke.edu/engr
23,Engineering & Technology,Mechanical Engineering & Materials Science,https://guides.library.duke.edu/mech
24,European Studies,British and Irish Studies,https://guides.library.duke.edu/british
25,European Studies,French and Francophone Studies,https://guides.library.duke.edu/french
26,European Studies,German Studies,https://guides.library.duke.edu/carolina_duke_german
27,European Studies,Iberian Studies,https://guides.library.duke.edu/iberianstudies
28,European Studies,Italian Studies,https://guides.library.duke.edu/italian
29,European Studies,Western European Studies,https://guides.library.duke.edu/duces
30,Government & Law,European Union,https://guides.library.duke.edu/european_union
31,Government & Law,Inter-Governmental Organizations (IGOs),https://guides.library.duke.edu/igo_guide
32,Government & Law,Law,https://guides.library.duke.edu/c.php?g=694914
33,Government & Law,Legislative Process,https://guides.library.duke.edu/legislative-process
34,Government & Law,United Nations,https://guides.library.duke.edu/united-nations
35,Health & Medical Sciences,Global Health,https://guides.library.duke.edu/global_health
36,Health & Medical Sciences,Health & Medical Subject Guides & Tool Sets (from the Medical Center Library),https://guides.library.duke.edu/c.php?g=695169
37,History,Civil War and Reconstruction,https://guides.library.duke.edu/civilwarandreconstruction
38,History,Duke History Revisited,https://guides.library.duke.edu/DHR
39,History,Durham and Local History,https://guides.library.duke.edu/durham
40,History,"History of Science, Technology, and Medicine",https://guides.library.duke.edu/history-science-technology
41,History,Military History,https://guides.library.duke.edu/MilitaryHistory
42,History,United States History,https://guides.library.duke.edu/ushistory
43,History,World History,https://guides.library.duke.edu/history
44,Humanities,Classical Studies,https://guides.library.duke.edu/classics
45,Humanities,Linguistics,https://guides.library.duke.edu/linguistics
46,Humanities,Literature in English,https://guides.library.duke.edu/literature
47,Humanities,Medieval & Renaissance Studies,https://guides.library.duke.edu/medren
48,Humanities,Music,https://guides.library.duke.edu/music
49,Humanities,Philosophy,https://guides.library.duke.edu/philosophy
