,Category,Subject,Link
0,Agricultural Business,AGBS 120: Agribusiness Management,https://guides.library.fresnostate.edu/agbs120
1,Agricultural Business,Agricultural Marketing Resource Guide,https://guides.library.fresnostate.edu/agmarketing
2,Agricultural Business,Best Business Books of All Time,https://guides.library.fresnostate.edu/c.php?g=289102
3,Agricultural Business,Company Research Guide,https://guides.library.fresnostate.edu/company
4,Agricultural Business,Demographic Research Guide,https://guides.library.fresnostate.edu/demo
5,Agricultural Business,Industry Research Guide,https://guides.library.fresnostate.edu/industry
6,Agricultural Business,International Business Research Guide,https://guides.library.fresnostate.edu/ibusiness
7,Agricultural Business,Marketing Research Guide,https://guides.library.fresnostate.edu/marketing
8,Agriculture,AGRI 100H Jordan College Honors Seminar,https://guides.library.fresnostate.edu/agri100h
9,Agriculture,AGRI 220 - Research Methodology & Communications,https://guides.library.fresnostate.edu/agri220
10,Agriculture,Agricultural Marketing Resource Guide,https://guides.library.fresnostate.edu/agmarketing
11,Agriculture,Agriculture: Graduate Research Preview,https://guides.library.fresnostate.edu/aggrads
12,Animal Sciences,Animal Sciences,https://guides.library.fresnostate.edu/animalsciences
13,Armenian Studies,Armenian Studies,https://guides.library.fresnostate.edu/armenianstudies
14,Armenian Studies,Armenian Studies 148 - Masterpieces of Armenian Culture,https://guides.library.fresnostate.edu/arm148
15,Art & Design,Art and Design Department,https://guides.library.fresnostate.edu/artanddesign
16,Biology,Diseases,https://guides.library.fresnostate.edu/diseases
17,Biology,STEM First Year Experience,https://guides.library.fresnostate.edu/STEMFYE
18,Business,Best Business Books of All Time,https://guides.library.fresnostate.edu/c.php?g=289102
19,Business,Business Research Guide,https://guides.library.fresnostate.edu/business
20,Business,Business: SWOT Analysis,https://guides.library.fresnostate.edu/swot
21,Business,Career Research Guide,https://guides.library.fresnostate.edu/career
22,Business,Company Research Guide,https://guides.library.fresnostate.edu/company
23,Business,Demographic Research Guide,https://guides.library.fresnostate.edu/demo
24,Business,Economic Research Guide,https://guides.library.fresnostate.edu/economics
25,Business,ENTR 151: Opportunity Assessment,https://guides.library.fresnostate.edu/entre151
26,Business,Fashion Merchandising,https://guides.library.fresnostate.edu/fm
27,Business,Fresno Research,https://guides.library.fresnostate.edu/fresnoresearch
28,Business,Industry Research Guide,https://guides.library.fresnostate.edu/industry
29,Business,International Business Research Guide,https://guides.library.fresnostate.edu/ibusiness
30,Business,Investment Research Guide,https://guides.library.fresnostate.edu/investment
31,Business,Marketing Research Guide,https://guides.library.fresnostate.edu/marketing
