,Category,Subject,Link
0,Academic Writing,Academic Writing Support,https://guides.library.lincoln.ac.uk/aws
1,Accountancy,Accountancy & Finance Library Guide,https://guides.library.lincoln.ac.uk/accountancyandfinance
2,Advertising,Advertising and Marketing,https://guides.library.lincoln.ac.uk/advertisingandmarketing
3,Agriculture,Life Sciences,https://guides.library.lincoln.ac.uk/lifesci
4,Allied Health Professions,"Nursing, Health & Social Care and Allied Health Professions",https://guides.library.lincoln.ac.uk/nursing
5,Animal Behaviour and Welfare,Life Sciences,https://guides.library.lincoln.ac.uk/lifesci
6,Animation,Media Production,https://guides.library.lincoln.ac.uk/c.php?g=110723
7,Architecture,Architecture,https://guides.library.lincoln.ac.uk/architecture
8,Art history,Art History,https://guides.library.lincoln.ac.uk/c.php?g=664813
9,Audio Production,Audio Production,https://guides.library.lincoln.ac.uk/audio
10,Biochemistry,Life Sciences,https://guides.library.lincoln.ac.uk/lifesci
11,Biology,Life Sciences,https://guides.library.lincoln.ac.uk/lifesci
12,Biomedical Science,Life Sciences,https://guides.library.lincoln.ac.uk/lifesci
13,Biotechnology,Life Sciences,https://guides.library.lincoln.ac.uk/lifesci
14,Bioveterinary Science,Life Sciences,https://guides.library.lincoln.ac.uk/lifesci
15,Business,Business and Management Guide,https://guides.library.lincoln.ac.uk/businessandmanagement
16,Chemistry,Chemistry,https://guides.library.lincoln.ac.uk/chemistry
17,Classical Studies,Classical Studies,https://guides.library.lincoln.ac.uk/c.php?g=664812
18,Computer Information Systems,Computer Science,https://guides.library.lincoln.ac.uk/compsci
19,Computer Science,Computer Science,https://guides.library.lincoln.ac.uk/compsci
20,Conservation,Conservation,https://guides.library.lincoln.ac.uk/c.php?g=665102
21,Construction Science,Architecture,https://guides.library.lincoln.ac.uk/architecture
22,Contemporary Lens Media,Media Production,https://guides.library.lincoln.ac.uk/c.php?g=110723
23,Creative Advertising,Fine Art and Design,https://guides.library.lincoln.ac.uk/artanddesign
24,Criminology,Criminology,https://guides.library.lincoln.ac.uk/criminology
25,Dance,Dance,https://guides.library.lincoln.ac.uk/dance
26,Design for Exhibition and Museums,Architecture,https://guides.library.lincoln.ac.uk/architecture
27,Drama,Drama,https://guides.library.lincoln.ac.uk/drama
28,Economics,Economics library guide,https://guides.library.lincoln.ac.uk/economics
29,Education,Education,https://guides.library.lincoln.ac.uk/education
30,Education,The National Teaching Fellowship Scheme (NTFS),https://guides.library.lincoln.ac.uk/NTFS
31,Engineering,Engineering,https://guides.library.lincoln.ac.uk/engineering
32,English,English,https://guides.library.lincoln.ac.uk/English
33,Events Management,Events Management,https://guides.library.lincoln.ac.uk/eventsmanagement
34,Fashion,Fashion,https://guides.library.lincoln.ac.uk/fashion
