,Category,Subject,Link
0,Accounting and Taxation,Accounting and Taxation,https://guides.library.manoa.hawaii.edu/accounting
1,Agriculture,Agriculture Library Research Guide,https://guides.library.manoa.hawaii.edu/Agriculture
2,Agriculture,Animal Science Library Research Guide,https://guides.library.manoa.hawaii.edu/AnimalScience
3,Agriculture,CAB Direct (CAB Abstracts),https://guides.library.manoa.hawaii.edu/CABdirect
4,Agriculture,Food Science Library Research Guide,https://guides.library.manoa.hawaii.edu/FoodSciences
5,Agriculture,Government Documents - Department of Agriculture,https://guides.library.manoa.hawaii.edu/usda
6,Agriculture,Horticulture Library Research Guide,https://guides.library.manoa.hawaii.edu/Horticulture
7,Agriculture,Japanese-American Diaspora Seminars,https://guides.library.manoa.hawaii.edu/diasporaseminar
8,Agriculture,Soil Science Library Research Guide,https://guides.library.manoa.hawaii.edu/SoilScience
9,Agriculture,TPSS 475/NREM 475 - Plant Nutrient Diagnosis in the Tropics,https://guides.library.manoa.hawaii.edu/TPSS475-NREM475
10,Agriculture,Traditional Pacific Island Crops,https://guides.library.manoa.hawaii.edu/paccrops
11,American Studies,AMERICAN STUDIES RESEARCH GUIDE,https://guides.library.manoa.hawaii.edu/american-studies
12,American Studies,Government Documents - A Guide to the Collections,https://guides.library.manoa.hawaii.edu/govdocs
13,American Studies,"Government Documents - Congress, Laws, and Legislation",https://guides.library.manoa.hawaii.edu/congress
14,American Studies,"Government Documents - General Services Administration, National Archives",https://guides.library.manoa.hawaii.edu/archives
15,Animal Sciences,Animal Science Library Research Guide,https://guides.library.manoa.hawaii.edu/AnimalScience
16,Animal Sciences,Aquatic Sciences and Fisheries Abstracts (ASFA),https://guides.library.manoa.hawaii.edu/ASFA
17,Anthropology,ANTHROPOLOGY AND ARCHAEOLOGY,https://guides.library.manoa.hawaii.edu/anthropology
18,Anthropology,Anthropology and Archaeology in the Pacific,https://guides.library.manoa.hawaii.edu/pacanthro
19,Anthropology,Government Documents - Department of the Interior,https://guides.library.manoa.hawaii.edu/interior
20,Anthropology,Government Documents - Smithsonian Institution,https://guides.library.manoa.hawaii.edu/smithsonian
21,Aquaculture,Aquaculture Library Research Guide,https://guides.library.manoa.hawaii.edu/Aquaculture
