,Category,Subject,Link
0,Academic Learning Services,ALS 150/162: INTO OSU Academic Reading and Writing,https://guides.library.oregonstate.edu/c.php?g=286216
1,Academic Learning Services,"ALS 199: Slime, Circuits, Functions & Velocity",https://guides.library.oregonstate.edu/ALS199Nafshun
2,Academic Learning Services,Altmetrics: Measure Research Impact,https://guides.library.oregonstate.edu/altmetrics
3,Academic Learning Services,Bioenergy Research Project,https://guides.library.oregonstate.edu/c.php?g=286287
4,Agricultural Sciences,*Agricultural Sciences,https://guides.library.oregonstate.edu/agriculturalsciences
5,Agricultural Sciences,AEC 406: Projects (Ecampus),https://guides.library.oregonstate.edu/AEC406
6,Animal Sciences,*Animal Sciences,https://guides.library.oregonstate.edu/animalsciences
7,Animal Sciences,ANS 280: Companion Animal Management,https://guides.library.oregonstate.edu/ANS280
8,Animal Sciences,ANS 302: Common Diseases of Companion Animals,https://guides.library.oregonstate.edu/ans302
9,Animal Sciences,ANS 315: Contentious Issues in the Animal Sciences,https://guides.library.oregonstate.edu/ans315
10,Animal Sciences,ANS 420: Ethical Issues in Animal Agriculture,https://guides.library.oregonstate.edu/ans420
11,Anthropology,*Anthropology*,https://guides.library.oregonstate.edu/subject-guide/anthropology
12,Anthropology,ANTH 474/574: Cross-Cultural Health & Healing,https://guides.library.oregonstate.edu/course-guide/3431-ANTH474-574
13,Anthropology,ANTH 482/582: Anthropology of International Development,https://guides.library.oregonstate.edu/course-guide/1986-ANTH482-582
14,Art and Photography,*Art and Photography*,https://guides.library.oregonstate.edu/subject-guide/art-and-photography
15,Art and Photography,ART 263: Digital Photography,https://guides.library.oregonstate.edu/course-guide/ART263
16,Art and Photography,ART 320: Ancient Greek Art,https://guides.library.oregonstate.edu/c.php?g=444880
17,Art and Photography,ART 321: Ancient Roman Art and Architecture,https://guides.library.oregonstate.edu/c.php?g=478114
18,Art and Photography,ART 469/569: Methods and Theory of Art History,https://guides.library.oregonstate.edu/course-guide/291-ART469-569
19,Art and Photography,Images,https://guides.library.oregonstate.edu/subject-guide/images
20,Atmospheric Sciences,*Atmospheric Sciences*,https://guides.library.oregonstate.edu/subject-guide/AtmosphericSciences
21,Atmospheric Sciences,ATS 320: Climate Change,https://guides.library.oregonstate.edu/ATS320
22,Biochemistry & Biophysics,*Biochemistry & Biophysics*,https://guides.library.oregonstate.edu/subject-guide/BiochemistryBiophysics
23,Biochemistry & Biophysics,SciFinder Scholar,https://guides.library.oregonstate.edu/subject-guide/1406-SciFinder-Scholar
24,Biology,*Biology*,https://guides.library.oregonstate.edu/subject-guide/Biology
25,Biology,*Genetics,https://guides.library.oregonstate.edu/genetics
26,Biology,*Molecular & Cellular Biology,https://guides.library.oregonstate.edu/mcb
27,Biology,BI 212/213: Principles of Biology,https://guides.library.oregonstate.edu/course-guide/BI212
28,Biology,BI 373 - Field Methods in Marine Ecology,https://guides.library.oregonstate.edu/c.php?g=822803
29,Biology,BI 373: Field Methods In Marine Ecology,https://guides.library.oregonstate.edu/c.php?g=656590
30,Biology,BI/FW 421/521: Aquatic Biological Invasions,https://guides.library.oregonstate.edu/course-guide/3416-BI-FW421-521
31,Biology,BI/MB 385: Emerging Infectious Diseases and Epidemics,https://guides.library.oregonstate.edu/emerginginfectiousdiseases
32,Biology,BRR 100: Great Experiments in Bioresource Sciences,https://guides.library.oregonstate.edu/brr100
33,Biology,BRR 450: Interdisciplinary Research: Bioenergy focus,https://guides.library.oregonstate.edu/brr450
34,Botany and Plant Pathology,*Botany and Plant Pathology,https://guides.library.oregonstate.edu/botanyplantpathology
35,Business,*Business,https://guides.library.oregonstate.edu/subject-guide/281-Business
36,Business,*Design,https://guides.library.oregonstate.edu/subject-guide/1696-design-innovation-management
37,Business,*Marketing,https://guides.library.oregonstate.edu/marketing
38,Business,Advantage Accelerator OSU Intern Guide,https://guides.library.oregonstate.edu/advantage
39,Business,American FactFinder (AFF),https://guides.library.oregonstate.edu/AmericanFactFinder
40,Business,BA 260: Introduction to Entrepreneurship,https://guides.library.oregonstate.edu/course-guide/3391-BA260
41,Business,BA 353: Professional Development,https://guides.library.oregonstate.edu/BA353/Corvallis
42,Business,BA 353: Professional Development (Ecampus),https://guides.library.oregonstate.edu/BA353
43,Business,BA 363: Technology and Innovation Management,https://guides.library.oregonstate.edu/BA363
44,Business,BA 396: Fundamentals of Marketing,https://guides.library.oregonstate.edu/course-guide/3606-BA396
45,Business,BA 407H /507H Managing Technical Innovation,https://guides.library.oregonstate.edu/BA407H
46,Business,BA 467: New Venture Laboratory,https://guides.library.oregonstate.edu/NewVenture
47,Business,BA 468: Technology Commercialization,https://guides.library.oregonstate.edu/c.php?g=286232
48,Business,BA 551: Global Supply and Sourcing,https://guides.library.oregonstate.edu/BA551
49,Business,BA 560: Venture Management,https://guides.library.oregonstate.edu/course-guide/541-BA560
50,Business,BA 590: Marketing Management,https://guides.library.oregonstate.edu/c.php?g=286271
51,Business,DSGN 473: Retail Strategies Practicum,https://guides.library.oregonstate.edu/DSGN473
52,Business,GD 312/412: Contemporary Issues in Design,https://guides.library.oregonstate.edu/course-guide/GD412
53,Business,GRAD 571/572: Translating Research to Innovation,https://guides.library.oregonstate.edu/GRAD571
54,Business,MRKT 396 Fundamentals of Marketing Research,https://guides.library.oregonstate.edu/market
55,Business,MRKT 492 Consumer Behavior,https://guides.library.oregonstate.edu/c.php?g=720837
56,Business,MRKT 495/595 Retail Management,https://guides.library.oregonstate.edu/mrkt495/595
57,Business,MRKT 497/597 Global Marketing,https://guides.library.oregonstate.edu/course-guide/MRKT497/597
58,Business,MRKT 596 Marketing Research & Design Methods,https://guides.library.oregonstate.edu/course-guide/MRKT596
59,Business,Nexis Uni™ User Guide,https://guides.library.oregonstate.edu/NexisUni
60,Business,STAT-USA Data Sources,https://guides.library.oregonstate.edu/subject-guide/1161-STAT-USA-Data-Sources
61,Business,WRDS (Wharton Research Data Services),https://guides.library.oregonstate.edu/subject-guide/1501-WRDS
62,Chemistry,*Chemistry*,https://guides.library.oregonstate.edu/subject-guide/Chemistry
63,Chemistry,"ALS 199: Slime, Circuits, Functions & Velocity",https://guides.library.oregonstate.edu/ALS199Nafshun
64,Chemistry,CH 123: General Chemistry,https://guides.library.oregonstate.edu/CH123
65,Chemistry,SciFinder Scholar,https://guides.library.oregonstate.edu/subject-guide/1406-SciFinder-Scholar
66,Crop and Soil Science,*Crop & Soil Science,https://guides.library.oregonstate.edu/cropsoilscience
67,Defense Education,*Defense Education,https://guides.library.oregonstate.edu/subject-guide/671-Defense-Education
68,Design and Human Environment,*Design,https://guides.library.oregonstate.edu/subject-guide/1696-design-innovation-management
69,Design and Human Environment,*Marketing,https://guides.library.oregonstate.edu/marketing
70,Design and Human Environment,DHE 463: History of Contemporary Fashion (Ecampus),https://guides.library.oregonstate.edu/course-guide/3466-DHE463
71,Design and Human Environment,DHE 507: Graduate Seminar,https://guides.library.oregonstate.edu/course-guide/556-DHE507
72,Design and Human Environment,DSGN 473: Retail Strategies Practicum,https://guides.library.oregonstate.edu/DSGN473
73,Ecampus,*Ecampus Library Services,https://guides.library.oregonstate.edu/Ecampus_Library
74,Ecampus,*Ecampus Library Videos,https://guides.library.oregonstate.edu/Ecampus_Library_Videos
75,Ecampus,AEC 406: Projects (Ecampus),https://guides.library.oregonstate.edu/AEC406
76,Ecampus,AHE 612/613/614/672/673/674/675 (Ecampus),https://guides.library.oregonstate.edu/AHE
77,Ecampus,BA 353: Professional Development (Ecampus),https://guides.library.oregonstate.edu/BA353
78,Ecampus,DHE 463: History of Contemporary Fashion (Ecampus),https://guides.library.oregonstate.edu/course-guide/3466-DHE463
79,Ecampus,HDFS 201: Contemporary Families in the U.S. (Ecampus),https://guides.library.oregonstate.edu/course-guide/3226-HDFS201
80,Ecampus,HDFS 360: Critical Thinking (Ecampus),https://guides.library.oregonstate.edu/course-guide/2781-HDFS360
81,Ecampus,WR 214: Writing in Business (Ecampus),https://guides.library.oregonstate.edu/course-guide/2996-WR214
82,Economics,*Economics*,https://guides.library.oregonstate.edu/subject-guide/421-Economics
83,Education,*Counseling,https://guides.library.oregonstate.edu/subject-guide/1607-Counseling
84,Education,*Education*,https://guides.library.oregonstate.edu/subject-guide/496-Education
85,Education,AHE 612/613/614/672/673/674/675 (Ecampus),https://guides.library.oregonstate.edu/AHE
86,Education,College Student Services Administration,https://guides.library.oregonstate.edu/course-guide/2381-AHE599
87,Education,SED 580: Research and Evaluation,https://guides.library.oregonstate.edu/course-guide/3106-SED580
88,Education,SED Mathematics/Science Education Guide to Library Support Services,https://guides.library.oregonstate.edu/course-guide/3336-SED521
89,Engineering & Applied Sciences,*Biological & Ecological Engineering,https://guides.library.oregonstate.edu/biological_ecological_engineering
90,Engineering & Applied Sciences,*Chemical Engineering,https://guides.library.oregonstate.edu/subject-guide/741-Chemical-Engineering-
91,Engineering & Applied Sciences,*Civil Engineering,https://guides.library.oregonstate.edu/subject-guide/1216-Civil-Engineering
92,Engineering & Applied Sciences,*Computer Science,https://guides.library.oregonstate.edu/subject-guide/566-Computer-Science
93,Engineering & Applied Sciences,*Electrical Engineering,https://guides.library.oregonstate.edu/subject-guide/916-Electrical-Engineering-
94,Engineering & Applied Sciences,*Engineering*,https://guides.library.oregonstate.edu/subject-guide/631-Engineering-
95,Engineering & Applied Sciences,*Environmental Engineering,https://guides.library.oregonstate.edu/subject-guide/936-Environmental-Engineering-
96,Engineering & Applied Sciences,*Mechanical Engineering,https://guides.library.oregonstate.edu/c.php?g=286220
97,Engineering & Applied Sciences,*Nuclear Engineering,https://guides.library.oregonstate.edu/nuclear-engineering
98,Engineering & Applied Sciences,BEE 102: Ecological Engineering,https://guides.library.oregonstate.edu/BEE102
99,Engineering & Applied Sciences,GRAD 571/572: Translating Research to Innovation,https://guides.library.oregonstate.edu/GRAD571
100,Engineering & Applied Sciences,IE/ME/ESE 497: Capstone Design,https://guides.library.oregonstate.edu/course-guide/371-IE-ME497-498
101,Engineering & Applied Sciences,Standards,https://guides.library.oregonstate.edu/subject-guide/406-Standards
102,English,*Literature*,https://guides.library.oregonstate.edu/subject-guide/English-Literature
103,English,ENG 200: Reference Sources,https://guides.library.oregonstate.edu/english200
104,English,ENG 206 The Victorian Era to the 20th C,https://guides.library.oregonstate.edu/eng206
105,English,ENG 313: Studies in British Poetry,https://guides.library.oregonstate.edu/course-guide/3531-ENG313
106,English,ENG 488/588: Literature and Pedagogy,https://guides.library.oregonstate.edu/course-guide/2846-ENG488-588
107,Entomology,*Entomology,https://guides.library.oregonstate.edu/entomology
108,Entomology,ENT 420/520: Insect Ecology,https://guides.library.oregonstate.edu/ENT420
109,Environmental Sciences,*Environmental Sciences*,https://guides.library.oregonstate.edu/subject-guide/EnvironmentalSciences
110,Ethnic Studies,*Ethnic Studies,https://guides.library.oregonstate.edu/subject-guide/ethnic-studies
111,Film Studies,*Film Studies*,https://guides.library.oregonstate.edu/subject-guide/241-Film-Studies
112,Film Studies,Book & Film Reviews,https://guides.library.oregonstate.edu/bookfilmreviews
113,Film Studies,Kanopy - Streaming Videos,https://guides.library.oregonstate.edu/kanopy
114,First Year Composition,Nexis Uni™ User Guide,https://guides.library.oregonstate.edu/NexisUni
115,Fisheries and Wildlife,*Fisheries & Wildlife,https://guides.library.oregonstate.edu/fw
116,Fisheries and Wildlife,*Ornithology*,https://guides.library.oregonstate.edu/ornithology
117,Fisheries and Wildlife,BI/FW 421/521: Aquatic Biological Invasions,https://guides.library.oregonstate.edu/course-guide/3416-BI-FW421-521
118,Fisheries and Wildlife,FW 107: Orientation to Fisheries and Wildlife,https://guides.library.oregonstate.edu/FW107
119,Fisheries and Wildlife,FW 255: Field Sampling,https://guides.library.oregonstate.edu/FW255
120,Fisheries and Wildlife,FW 302: Conservation of Marine Mammals,https://guides.library.oregonstate.edu/c.php?g=286198
121,Fisheries and Wildlife,FW 307: Specialization Development,https://guides.library.oregonstate.edu/FW307
122,Fisheries and Wildlife,FW 317: Mammalogy,https://guides.library.oregonstate.edu/course-guide/1811-FW317
123,Fisheries and Wildlife,FW 325: Global Crises in Resource Ecology,https://guides.library.oregonstate.edu/fw325
124,Fisheries and Wildlife,FW 467: Antarctic Science and Conservation,https://guides.library.oregonstate.edu/fw467
125,Fisheries and Wildlife,FW 488/489: Capstone Project in Fisheries & Wildlife,https://guides.library.oregonstate.edu/fw488
126,Fisheries and Wildlife,FW 506: Graduate Certificate Capstone,https://guides.library.oregonstate.edu/fw506
127,Food Science and Technology,*Food Science & Technology,https://guides.library.oregonstate.edu/foodsciencetechnology
128,Food Science and Technology,FST 385: Communicating Food and Fermentation Science,https://guides.library.oregonstate.edu/fst385
129,Forestry,*Forestry*,https://guides.library.oregonstate.edu/subject-guide/Forestry
130,Forestry,"FE 499: Biomass Characterization, Harvesting and Transportation",https://guides.library.oregonstate.edu/course-guide/2766-FE499
131,Forestry,FES 422: Research Methods in Social Science,https://guides.library.oregonstate.edu/fes422tynon
132,Forestry,FES 445/545: Ecological Restoration (Reed),https://guides.library.oregonstate.edu/FES445-545
133,Forestry,FES 520: Posing Research Questions,https://guides.library.oregonstate.edu/course-guide/FES520-Ganio
134,Forestry,FES 522: Research Methods in Social Science (Tynon),https://guides.library.oregonstate.edu/fes522tynon
135,Forestry,"FES 548: Invasive Plants: Biology, Ecology and Management",https://guides.library.oregonstate.edu/course-guide/3481-FS548
136,Forestry,FES/MNR 522: Research Methods in Social Science (Olsen),https://guides.library.oregonstate.edu/FES522Olsen
137,Forestry,U.S. Forest Service Publications,https://guides.library.oregonstate.edu/subject-guide/221-U-S-Forest-Service-Publications
138,Geography,*Geography*,https://guides.library.oregonstate.edu/subject-guide/Geography
139,Geography,"GEOG 240: Climate Change, Water and Society: Additional Resources for River Basin Assessment",https://guides.library.oregonstate.edu/course-guide/GEOG240
140,Geography,GEOG 300: Sustainability for the Common Good,https://guides.library.oregonstate.edu/course-guide/GEO300
141,Geography,GEOG 323: Climatology,https://guides.library.oregonstate.edu/course-guide/GEO323
142,Geography,Maps,https://guides.library.oregonstate.edu/subject-guide/551-Maps
143,Geology & Geophysics,*Geology & Geophysics*,https://guides.library.oregonstate.edu/subject-guide/GeologyGeophysics
144,Geology & Geophysics,GEOG 323: Climatology,https://guides.library.oregonstate.edu/course-guide/GEO323
145,Government Information & Law,*Government Information: Federal,https://guides.library.oregonstate.edu/subject-guide/286-Government-Information
146,Government Information & Law,*Government Information: International,https://guides.library.oregonstate.edu/InternationalGovernment
147,Government Information & Law,*Government Information: Oregon,https://guides.library.oregonstate.edu/OregonGovernment
