,Category,Subject,Link
0,Anthropology,Archaeology,https://guides.library.pdx.edu/archaeology
1,Anthropology,Cultural and Linguistic Anthropology,https://guides.library.pdx.edu/culturalanthropology
2,Anthropology,Physical Anthropology,https://guides.library.pdx.edu/physicalanthropology
3,Anthropology,Political Anthropology,https://guides.library.pdx.edu/anth428
4,Applied Linguistics,Applied Linguistics,https://guides.library.pdx.edu/appling
5,Architecture,Architecture,https://guides.library.pdx.edu/architecture
6,Art & Art History,Art & Design,https://guides.library.pdx.edu/artanddesign
7,Art & Art History,Art History,https://guides.library.pdx.edu/arthistory
8,Biology,Biology,https://guides.library.pdx.edu/biology
9,Black Studies,Black Studies,https://guides.library.pdx.edu/blackstudies
10,Business,Accounting & Finance,https://guides.library.pdx.edu/acctfin
11,Business,Business,https://guides.library.pdx.edu/business
12,Business,Census Information,https://guides.library.pdx.edu/census
13,Business,Citing Business Sources in APA Style,https://guides.library.pdx.edu/bizapa
14,Business,Company Research,https://guides.library.pdx.edu/company
15,Business,Consumer Research,https://guides.library.pdx.edu/consumer
16,Business,Engineering and Technology Management,https://guides.library.pdx.edu/etm
17,Business,Entrepreneurship,https://guides.library.pdx.edu/entrepreneurship
18,Business,Guide for Business Faculty,https://guides.library.pdx.edu/sbafaculty
19,Business,Guide for GSCM Students,https://guides.library.pdx.edu/GSCM
20,Business,Guide for MBA Students,https://guides.library.pdx.edu/MBA
21,Business,Human Resource Management and Management & Leadership,https://guides.library.pdx.edu/HRMML
22,Business,Industry & Market Research,https://guides.library.pdx.edu/industry
23,Business,International Business,https://guides.library.pdx.edu/internationalbiz
24,Business,Real Estate Development,https://guides.library.pdx.edu/realestate
25,Business,Sustainable Business,https://guides.library.pdx.edu/sustainablebusiness
26,Business,Taxation,https://guides.library.pdx.edu/taxation
27,Chemistry,Chemistry,https://guides.library.pdx.edu/chemistry
28,Chicano/Latino Studies,Chicano/Latino Studies,https://guides.library.pdx.edu/chla
29,Chicano/Latino Studies,Immigration: A Guide,https://guides.library.pdx.edu/immigration
30,"Child, Youth, & Family Studies","Child, Youth, & Family Studies",https://guides.library.pdx.edu/cyfs
31,Communication,Communication,https://guides.library.pdx.edu/communication
32,Communication,Public Speaking & Rhetoric,https://guides.library.pdx.edu/pubspeaking
33,Computer Science,Computer Science,https://guides.library.pdx.edu/cs
34,Conflict Resolution,Conflict Resolution,https://guides.library.pdx.edu/cr
35,Criminology & Criminal Justice,Crime,https://guides.library.pdx.edu/crime
36,Criminology & Criminal Justice,Criminology & Criminal Justice,https://guides.library.pdx.edu/ccj
37,Criminology & Criminal Justice,Justice,https://guides.library.pdx.edu/justice
38,Criminology & Criminal Justice,Legal Resources,https://guides.library.pdx.edu/legalresources
39,Criminology & Criminal Justice,Policing & Corrections,https://guides.library.pdx.edu/policing
40,Economics,Economics Research,https://guides.library.pdx.edu/econ
41,Education,Childrens Literature,https://guides.library.pdx.edu/childlit
42,Education,Counseling & Counselor Education,https://guides.library.pdx.edu/counselored
43,Education,Curriculum & Lesson Plans,https://guides.library.pdx.edu/curriculum
44,Education,Early Childhood/Early Intervention,https://guides.library.pdx.edu/ECEI
45,Education,Education,https://guides.library.pdx.edu/ed
46,Education,Education Distance Students,https://guides.library.pdx.edu/EdDistance
47,Education,Education Topics & Research Overview,https://guides.library.pdx.edu/edtopics
48,Education,Educational Administration,https://guides.library.pdx.edu/edadmin
49,Education,Media / Librarianship,https://guides.library.pdx.edu/libr
50,Education,"Newspapers, Magazines, & Journals in Education",https://guides.library.pdx.edu/ednews
51,Education,Publish Your Article,https://guides.library.pdx.edu/publish
52,Education,Special Education,https://guides.library.pdx.edu/sped
53,Education,Videos - For Education Faculty and Students,https://guides.library.pdx.edu/edvideos
54,Engineering,Civil and Environmental Engineering,https://guides.library.pdx.edu/cee
55,Engineering,Electrical and Computer Engineering,https://guides.library.pdx.edu/ece
56,Engineering,Engineering and Technology Management,https://guides.library.pdx.edu/etm
57,Engineering,Legal Resources,https://guides.library.pdx.edu/legalresources
58,Engineering,Mechanical and Materials Engineering,https://guides.library.pdx.edu/mme
59,English Studies,Literature in English,https://guides.library.pdx.edu/literature
60,English Studies,Technical Communication,https://guides.library.pdx.edu/technicalcommunication
61,Environmental Science & Management,Environmental Science and Management,https://guides.library.pdx.edu/esm
62,Environmental Science & Management,Land Use,https://guides.library.pdx.edu/landuse
63,Environmental Science & Management,Sustainability,https://guides.library.pdx.edu/sustainability
64,Film,Film Studies,https://guides.library.pdx.edu/filmstudies
65,Geography,Geography,https://guides.library.pdx.edu/geography
66,Geography,Land Use,https://guides.library.pdx.edu/landuse
67,Geography,Maps & Other Cartographic Information,https://guides.library.pdx.edu/maps
68,Geology,Geology,https://guides.library.pdx.edu/geology
69,Geology,Land Use,https://guides.library.pdx.edu/landuse
70,Government & Law,Census Information,https://guides.library.pdx.edu/census
71,Government & Law,Elections & Politics Guide,https://guides.library.pdx.edu/elections
72,Government & Law,Government Information,https://guides.library.pdx.edu/govinfo
73,Government & Law,Legal Resources,https://guides.library.pdx.edu/legalresources
74,Government & Law,Maps & Other Cartographic Information,https://guides.library.pdx.edu/maps
75,Government & Law,Policy Research,https://guides.library.pdx.edu/policyresearch
76,Government & Law,Public Administration,https://guides.library.pdx.edu/publicadministration
77,Government & Law,United States Government Information,https://guides.library.pdx.edu/govinfofederal
78,History,Ancient History,https://guides.library.pdx.edu/c.php?g=434562
79,History,European History,https://guides.library.pdx.edu/eurohistory
80,History,History & Historiography,https://guides.library.pdx.edu/history
81,History,Medieval History,https://guides.library.pdx.edu/medievalhistory
82,History,Pacific Northwest History,https://guides.library.pdx.edu/pnwhistory
83,History,United States History,https://guides.library.pdx.edu/ushistory
84,Indigenous Nations Studies,Indigenous Nations Studies,https://guides.library.pdx.edu/indigenousnations
85,International Studies,Immigration: A Guide,https://guides.library.pdx.edu/immigration
86,International Studies,International Studies,https://guides.library.pdx.edu/international
87,International Studies,Latin American Studies,https://guides.library.pdx.edu/latinamericanstudies
88,International Studies,Middle East Studies,https://guides.library.pdx.edu/c.php?g=271227
89,Judaic Studies,Judaic Studies,https://guides.library.pdx.edu/judaicstudies
90,Mathematics & Statistics,Mathematics and Statistics,https://guides.library.pdx.edu/math
91,Middle East Studies,Immigration: A Guide,https://guides.library.pdx.edu/immigration
92,Middle East Studies,Middle East Studies,https://guides.library.pdx.edu/c.php?g=271227
93,Music,Music,https://guides.library.pdx.edu/music
94,Philosophy,Philosophy,https://guides.library.pdx.edu/philosophy
95,Physics,Physics,https://guides.library.pdx.edu/physics
96,Political Science,Comparative Politics,https://guides.library.pdx.edu/comparativepolitics
97,Political Science,Elections & Politics Guide,https://guides.library.pdx.edu/elections
98,Political Science,Environmental Politics & Law,https://guides.library.pdx.edu/environmentallaw
99,Political Science,Legal Resources,https://guides.library.pdx.edu/legalresources
100,Political Science,Policy Research,https://guides.library.pdx.edu/policyresearch
101,Political Science,Political Science,https://guides.library.pdx.edu/politicalscience
102,Psychology,Counseling & Counselor Education,https://guides.library.pdx.edu/counselored
103,Psychology,Psychology,https://guides.library.pdx.edu/psychology
104,Public Administration,Collaborative Governance,https://guides.library.pdx.edu/governance
105,Public Administration,Health Administration,https://guides.library.pdx.edu/healthadmin
106,Public Administration,Nonprofit Sector,https://guides.library.pdx.edu/nonprofit
107,Public Administration,PA 516 Current Issues in Public MgMt,https://guides.library.pdx.edu/pa516
108,Public Administration,Policy Research,https://guides.library.pdx.edu/policyresearch
109,Public Administration,Public Administration,https://guides.library.pdx.edu/publicadministration
110,Public Health,Aging & Gerontology,https://guides.library.pdx.edu/aging
111,Public Health,Community Health,https://guides.library.pdx.edu/communityhealth
112,Public Health,Environmental Health,https://guides.library.pdx.edu/environmentalhealth
113,Public Health,Health Education & Promotion,https://guides.library.pdx.edu/healthed
114,Public Health,Lactation,https://guides.library.pdx.edu/lactation
115,Public Health,OHSU-PSU Joint School of Public Health,https://guides.library.pdx.edu/omph
116,Public Health,Open Access Public Health,https://guides.library.pdx.edu/openpublichealth
117,Public Health,Physical Activity & Nutrition,https://guides.library.pdx.edu/activityandnutrition
118,Religion,Religion,https://guides.library.pdx.edu/religion
119,Social Work,Clinical Social Work,https://guides.library.pdx.edu/clinicalsocialwork
120,Social Work,Open Access Social Work,https://guides.library.pdx.edu/opensocialwork
121,Social Work,Social Work,https://guides.library.pdx.edu/socialwork
122,Sociology,Sociology,https://guides.library.pdx.edu/sociology
123,Speech & Hearing Science,Speech and Hearing,https://guides.library.pdx.edu/sphr
124,Theater & Drama,Theater & Drama,https://guides.library.pdx.edu/theater
125,University Studies,University Studies Library Guide for Student Research,https://guides.library.pdx.edu/unst
126,Urban Studies & Planning,Aging & Gerontology,https://guides.library.pdx.edu/aging
127,Urban Studies & Planning,Demography,https://guides.library.pdx.edu/demography
128,Urban Studies & Planning,Land Use,https://guides.library.pdx.edu/landuse
129,Urban Studies & Planning,Real Estate Development,https://guides.library.pdx.edu/realestate
130,Urban Studies & Planning,Transportation,https://guides.library.pdx.edu/transportation
131,Urban Studies & Planning,Urban & Regional Planning,https://guides.library.pdx.edu/planning
132,Urban Studies & Planning,Urban Studies,https://guides.library.pdx.edu/urbanstudies
133,"Women, Gender & Sexuality Studies","Women, Gender & Sexuality Studies",https://guides.library.pdx.edu/wgss
134,World Languages & Literatures,Childrens Literature,https://guides.library.pdx.edu/childlit
135,World Languages & Literatures,French Language & Literature,https://guides.library.pdx.edu/frenchlit
136,World Languages & Literatures,Japanese Language and Literature,https://guides.library.pdx.edu/japanese
137,World Languages & Literatures,Literature in English,https://guides.library.pdx.edu/literature
138,World Languages & Literatures,World Languages & Literature,https://guides.library.pdx.edu/wll
