,Category,Subject,Link
0,Accounting & Finance,ACCT 501 (Harris): M&A Project,https://guides.library.sc.edu/acct501
1,Accounting & Finance,ACCT 736: Project Resources,https://guides.library.sc.edu/acct736
2,Advertising,"JOUR 220: Account Planning, Mining Insights",https://guides.library.sc.edu/c.php?g=462100
3,Advertising,JOUR 458: Creative Strategy in Advertising,https://guides.library.sc.edu/jour458
4,Advertising,Journalism & Mass Communications,https://guides.library.sc.edu/journalism
5,African American Studies,African American Studies,https://guides.library.sc.edu/afam
6,African American Studies,SCHC 425: Local History,https://guides.library.sc.edu/localhistory
7,Anthropology,Anthropology & Archaeology Resources,https://guides.library.sc.edu/anthropology
8,Anthropology,LASP 398/ANTH 314,https://guides.library.sc.edu/c.php?g=410431
9,Art & Design,Art & Visual Design,https://guides.library.sc.edu/artresources
10,Art & Design,Film & Media Studies,https://guides.library.sc.edu/c.php?g=410172
11,Biology,Biological Sciences,https://guides.library.sc.edu/biological_sciences
12,Business,ACCT 501 (Harris): M&A Project,https://guides.library.sc.edu/acct501
13,Business,ACCT 736: Project Resources,https://guides.library.sc.edu/acct736
14,Business,Ayn Rand and Capitalism Resources Guide,https://guides.library.sc.edu/aynrand
15,Business,Bloomberg Guide,https://guides.library.sc.edu/bloomberg
16,Business,Business Plans,https://guides.library.sc.edu/bplans
17,Business,Company and Industry Research,https://guides.library.sc.edu/companyind
18,Business,Company Financial Statements,https://guides.library.sc.edu/financialstatements
19,Business,Country Research Guide for International Business,https://guides.library.sc.edu/country
20,Business,EXSC 454 (Partin),https://guides.library.sc.edu/EXSC454
21,Business,"Hospitality, Restaurant, and Tourism Management",https://guides.library.sc.edu/HRTM
22,Business,IBUS 301 (Hudgens): Intro to International Business,https://guides.library.sc.edu/c.php?g=410436
23,Business,IBUS 310 (Nartey): Globalization & Business Project,https://guides.library.sc.edu/IBUS310
24,Business,IBUS 402 (Buchan): The Country Notebook Project,https://guides.library.sc.edu/ibus402
25,Business,IBUS 402 (Erickson),https://guides.library.sc.edu/c.php?g=410382
26,Business,IBUS 426/731 (Rydzewski): Global Competitive Analysis Project,https://guides.library.sc.edu/ibus426
27,Business,IBUS 427/710 (Nartey): Global Stakeholder Management,https://guides.library.sc.edu/IBUS427/710
28,Business,IBUS 441 (Rydzewski): Business in Latin America,https://guides.library.sc.edu/IBUS441
29,Business,IBUS 706 (McDermott): Class Project,https://guides.library.sc.edu/IBUS706
30,Business,IBUS 735 (Rydzewski): International M&A Project,https://guides.library.sc.edu/ibus735
31,Business,IBUS 750 (Rydzewski): Exploring Global Business--Latin America,https://guides.library.sc.edu/IBUS750
32,Business,ITEC 242 (Barr): Business Plan Project,https://guides.library.sc.edu/ITEC242
33,Business,LEAD Career Resouces,https://guides.library.sc.edu/LEADcareerresources
34,Business,MAcc at Moore,https://guides.library.sc.edu/MAcc
35,Business,Marketing Resources Guide,https://guides.library.sc.edu/mktg
36,Business,Marketing Statistics,https://guides.library.sc.edu/marketstats
37,Business,Mergers & Acquisitions,https://guides.library.sc.edu/mna
38,Business,MGMT 250 (Bailey): Project Resources,https://guides.library.sc.edu/bailey250
39,Business,MGMT 250 (Lambdin): Project Guide,https://guides.library.sc.edu/mgmt250lambdin
40,Business,MGMT 250 (Tisdale): Class Guide,https://guides.library.sc.edu/Tisdale250
41,Business,MGMT 371 (Chaves): Principles of Management,https://guides.library.sc.edu/MGMT371/Chaves
42,Business,MGMT 406 (Chaves): International Human Resource Management,https://guides.library.sc.edu/MGMT406/Chaves
43,Business,MGMT 478 (Savage): Team Project,https://guides.library.sc.edu/MGMT478
44,Business,MGMT 479 (Sandberg),https://guides.library.sc.edu/business/MGMT479
45,Business,MGSC 487 (Gaffney): Sourcing Project,https://guides.library.sc.edu/sourcing
46,Business,MGSC 487/871 (Jayaram),https://guides.library.sc.edu/mgsc487
47,Business,MKTG 465: Marketing Plan Resources,https://guides.library.sc.edu/mktg465
48,Business,PhD Candidates--Guide to Business Library Resources,https://guides.library.sc.edu/MoorePhD
49,Business,SCHC 274 (Hughes/Hudgens): Entrepreneurial Assignment,https://guides.library.sc.edu/SCHC274
50,Business,SEC Filings,https://guides.library.sc.edu/SECfilings
51,Business,Small Business/Entrepreneurship Guide,https://guides.library.sc.edu/smallbiz
52,Business,Sustainability,https://guides.library.sc.edu/sustainability
53,Chemistry & Biochemistry,Chemistry and Biochemistry,https://guides.library.sc.edu/chemistry_biochemistry
54,Computer Science,Computer Science,https://guides.library.sc.edu/computer_science
55,Criminal Justice,Criminal Justice,https://guides.library.sc.edu/crju
56,"Earth, Ocean & Environment",Earth and Ocean Sciences,https://guides.library.sc.edu/Earth_Ocean
57,"Earth, Ocean & Environment",Environmental Action in South Carolina,https://guides.library.sc.edu/c.php?g=714459
58,"Earth, Ocean & Environment",Environmental Studies,https://guides.library.sc.edu/environmental_studies
59,"Earth, Ocean & Environment",Marine Science,https://guides.library.sc.edu/marine_science
60,Education,Desegregation in South Carolina Schools,https://guides.library.sc.edu/c.php?g=710654
61,Education,EDRD 800 Literacy Education,https://guides.library.sc.edu/edrd800LiteracyEducation
62,Education,Education Resources,https://guides.library.sc.edu/education
63,Education,Educational Psychology,https://guides.library.sc.edu/EdPsych
64,Education,Higher Education,https://guides.library.sc.edu/highereducation
65,Education,International and Comparative Education,https://guides.library.sc.edu/IntCompEd
66,Education,Library Know How for Education,https://guides.library.sc.edu/EducationHow
67,Education,Physical Education / Athletic Training,https://guides.library.sc.edu/PhysEd
68,Education,State Education in South Carolina,https://guides.library.sc.edu/c.php?g=715340
69,Education,UofSC Topics,https://guides.library.sc.edu/usctopics
70,Engineering,Biomedical Engineering,https://guides.library.sc.edu/biomedical_engineering
71,Engineering,Chemical Engineering,https://guides.library.sc.edu/chemical_engineering
72,Engineering,Civil and Environmental Engineering,https://guides.library.sc.edu/civil_environmental_engineering
73,Engineering,Electrical Engineering,https://guides.library.sc.edu/electrical_engineering
74,Engineering,Mechanical Engineering,https://guides.library.sc.edu/mechanical_engineering
75,Engineering,Nuclear Engineering,https://guides.library.sc.edu/nuclear_engineering
76,Engineering,Nuclear Power in South Carolina,https://guides.library.sc.edu/nuclearcarolina
77,Exercise Science,Exercise Science,https://guides.library.sc.edu/exsc
78,Exercise Science,EXSC 454 (Partin),https://guides.library.sc.edu/EXSC454
79,Film & Media Studies,Film & Media Studies,https://guides.library.sc.edu/c.php?g=410172
80,Film & Media Studies,Film Reviews,https://guides.library.sc.edu/filmreviews
81,Geography,GEOG 313: Economic Geography,https://guides.library.sc.edu/geog313
82,Geography,Geography Resources,https://guides.library.sc.edu/geography
83,History,Civil Rights in South Carolina,https://guides.library.sc.edu/c.php?g=711496
84,History,Desegregation in South Carolina Schools,https://guides.library.sc.edu/c.php?g=710654
85,History,Environmental Action in South Carolina,https://guides.library.sc.edu/c.php?g=714459
86,History,Equal Rights Amendment,https://guides.library.sc.edu/c.php?g=714489
87,History,HIST 300 (Weyeneth),https://guides.library.sc.edu/c.php?g=732445
88,History,HIST 300: Historian's Craft,https://guides.library.sc.edu/hist300
89,History,HIST 497: Gender and Sexuality in Modern America,https://guides.library.sc.edu/gender
90,History,Historical South Carolina Newspapers,https://guides.library.sc.edu/digitalnewspapers
91,History,History Research Guide,https://guides.library.sc.edu/history
92,History,Immigration in South Carolina,https://guides.library.sc.edu/c.php?g=710225
93,History,Nuclear Power in South Carolina,https://guides.library.sc.edu/nuclearcarolina
94,History,SCHC 425: Local History,https://guides.library.sc.edu/localhistory
95,History,State Education in South Carolina,https://guides.library.sc.edu/c.php?g=715340
96,History,The Banking Industry in South Carolina,https://guides.library.sc.edu/c.php?g=722806
97,History,The Cold War,https://guides.library.sc.edu/c.php?g=712429
98,History,The Middle East,https://guides.library.sc.edu/c.php?g=715317
99,History,Women in Politics and Government in South Carolina,https://guides.library.sc.edu/c.php?g=715881
100,"Hospitality, Retail & Sport Management","Hospitality, Restaurant, and Tourism Management",https://guides.library.sc.edu/HRTM
101,"Hospitality, Retail & Sport Management",Retail Management & Fashion Merchandising,https://guides.library.sc.edu/retail-fashion
102,"Hospitality, Retail & Sport Management",Sport and Entertainment Management,https://guides.library.sc.edu/c.php?g=410250
103,International Business,IBUS 301 (Hudgens): Intro to International Business,https://guides.library.sc.edu/c.php?g=410436
104,International Business,IBUS 310 (Nartey): Globalization & Business Project,https://guides.library.sc.edu/IBUS310
105,International Business,IBUS 402 (Buchan): The Country Notebook Project,https://guides.library.sc.edu/ibus402
106,International Business,IBUS 402 (Erickson),https://guides.library.sc.edu/c.php?g=410382
107,International Business,IBUS 426/731 (Rydzewski): Global Competitive Analysis Project,https://guides.library.sc.edu/ibus426
108,International Business,IBUS 427/710 (Nartey): Global Stakeholder Management,https://guides.library.sc.edu/IBUS427/710
109,International Business,IBUS 441 (Rydzewski): Business in Latin America,https://guides.library.sc.edu/IBUS441
110,International Business,IBUS 706 (McDermott): Class Project,https://guides.library.sc.edu/IBUS706
111,International Business,IBUS 735 (Rydzewski): International M&A Project,https://guides.library.sc.edu/ibus735
112,International Business,IBUS 750 (Rydzewski): Exploring Global Business--Latin America,https://guides.library.sc.edu/IBUS750
113,International Business,MGMT 371 (Chaves): Principles of Management,https://guides.library.sc.edu/MGMT371/Chaves
114,International Business,MGMT 406 (Chaves): International Human Resource Management,https://guides.library.sc.edu/MGMT406/Chaves
115,Journalism & Mass Communications,"JOUR 220: Account Planning, Mining Insights",https://guides.library.sc.edu/c.php?g=462100
116,Journalism & Mass Communications,JOUR 458: Creative Strategy in Advertising,https://guides.library.sc.edu/jour458
117,Journalism & Mass Communications,Journalism & Mass Communications,https://guides.library.sc.edu/journalism
118,Law,Immigration in South Carolina,https://guides.library.sc.edu/c.php?g=710225
119,Library & Information Science,Library & Information Science,https://guides.library.sc.edu/libraryscience
120,Linguistics,EDRD 796/LING 796,https://guides.library.sc.edu/edrd796
121,Linguistics,Linguistics,https://guides.library.sc.edu/linguistics
122,Literatures & Languages,ENGL 101,https://guides.library.sc.edu/engl101
