,Category,Subject,Link
0,- Citations & Plagiarism,Citations & Plagiarism,https://guides.library.stonybrook.edu/citations
1,- Citations & Plagiarism,Endnote,https://guides.library.stonybrook.edu/endnote
2,- Citations & Plagiarism,Fake News,https://guides.library.stonybrook.edu/fakenews
3,- Citations & Plagiarism,"Impact Factors, Cited References, H-Index and Journal Abbreviations",https://guides.library.stonybrook.edu/impactfactors
4,- Citations & Plagiarism,Zotero,https://guides.library.stonybrook.edu/zotero
5,- Faculty Resources,Faculty Guide for WGSS,https://guides.library.stonybrook.edu/WGSSfaculty
6,- Faculty Resources,Online & Blended Learning,https://guides.library.stonybrook.edu/onlinelearning
7,- Faculty Resources,Research Tutorials and Handouts,https://guides.library.stonybrook.edu/tutorials
8,- Faculty Resources,TA Library Resources,https://guides.library.stonybrook.edu/TA
9,- Graduate School,First-Year Chemistry Graduate Students,https://guides.library.stonybrook.edu/c.php?g=711582
10,- Graduate School,"Graduate Student Tool Kit: Science, Technology, and Engineering",https://guides.library.stonybrook.edu/toolkitscience
11,- Graduate School,"Graduate Student Toolkit: Arts, Humanities & Social Sciences",https://guides.library.stonybrook.edu/ahsgradtoolkit
12,- Graduate School,History - Research Resources for Graduate Students,https://guides.library.stonybrook.edu/historygrads
13,- Graduate School,Human Resource Management,https://guides.library.stonybrook.edu/hrm
14,- Graduate School,MBA Students,https://guides.library.stonybrook.edu/mba
15,- Graduate School,MFA Creative Writing/Literature,https://guides.library.stonybrook.edu/mfa-writing
16,- Graduate School,MFA Film,https://guides.library.stonybrook.edu/mfafilm
17,- Graduate School,MFA Podcasting,https://guides.library.stonybrook.edu/mfapodcasting
18,- Graduate School,MFA Theatre,https://guides.library.stonybrook.edu/MFAtheatre
19,- Health Sciences,Athletic Training,https://guides.library.stonybrook.edu/athletic-training
20,- Health Sciences,"Bioinformatics, Genetics and Computational Biology",https://guides.library.stonybrook.edu/bioinformatics
21,- Health Sciences,Biomedical Informatics,https://guides.library.stonybrook.edu/biomedicalinformatics
22,- Health Sciences,Biomedical Research,https://guides.library.stonybrook.edu/biomedicalresearch
23,- Health Sciences,Clinical Laboratory Sciences,https://guides.library.stonybrook.edu/clinical-laboratory-sciences
24,- Health Sciences,Creating and Using Your ORCID Profile,https://guides.library.stonybrook.edu/ORCID
25,- Health Sciences,Dental Medicine,https://guides.library.stonybrook.edu/dental-medicine
26,- Health Sciences,Endnote,https://guides.library.stonybrook.edu/endnote
27,- Health Sciences,Evidence-Based Medicine,https://guides.library.stonybrook.edu/evidence-based-medicine
28,- Health Sciences,Health Administration,https://guides.library.stonybrook.edu/health-care-policy-and-management
