,Category,Subject,Link
0,Art,Art Research Guide,https://guides.library.tamucc.edu/ARTS
1,Biography,Biography Research Guide,https://guides.library.tamucc.edu/biography
2,Biology,BIOL 2200 - Professional Skills,https://guides.library.tamucc.edu/BIOL2200
3,Biology,Biology Research Guide,https://guides.library.tamucc.edu/BIOL
4,Business,ACCT 3315: Multinational Entities,https://guides.library.tamucc.edu/ACCT3315
5,Business,Business Research Guide,https://guides.library.tamucc.edu/BUSI
6,Business,International Business / Marketing,https://guides.library.tamucc.edu/intl_business
7,Business,MGMT 3312: Behavior in Organizations (Dr. Johnson),https://guides.library.tamucc.edu/mgmt3312
8,Business,MGMT 4315: Multi-National Management,https://guides.library.tamucc.edu/MGMT4315
9,Business,"MGMT 5370: Management Seminar: Business, Government and Society",https://guides.library.tamucc.edu/mgmt5370
10,Careers and Job Hunting,Career Exploration and Job Search Resources,https://guides.library.tamucc.edu/career
11,Chemistry,Chemistry Research Guide,https://guides.library.tamucc.edu/CHEM
12,Communication/Media Studies,COMM 1315 Public Speaking,https://guides.library.tamucc.edu/COMM1315
13,Communication/Media Studies,Communication Studies Research Guide,https://guides.library.tamucc.edu/COMM
14,Communication/Media Studies,Media and Film Studies,https://guides.library.tamucc.edu/MediaFilmStudies
15,Computer Science,Computer Science Research Guide,https://guides.library.tamucc.edu/COSC
16,Counseling,Counseling Research Guide,https://guides.library.tamucc.edu/CNEP
17,Country Information,Country Information,https://guides.library.tamucc.edu/CountryInfo
18,Criminal Justice,Criminal Justice Research Guide,https://guides.library.tamucc.edu/CRIJ
19,Dance,Dance Research Guide,https://guides.library.tamucc.edu/DANC
20,Economics,ECON 4310: Econometrics (Avsar),https://guides.library.tamucc.edu/econ4310
21,Economics,Economics Research Guide,https://guides.library.tamucc.edu/ECON
22,Economics,Learning Community A: Economics,https://guides.library.tamucc.edu/lca
23,Education,EDUC 5351 Course Guide,https://guides.library.tamucc.edu/EDUC5351
24,Education,Education Research Guide,https://guides.library.tamucc.edu/COED
25,Engineering,Engineering Research Guide,https://guides.library.tamucc.edu/ENGR
