,Category,Subject,Link
0,Accounting,Accounting,https://guides.library.ttu.edu/c.php?g=543227
1,Advertising,Advertising,https://guides.library.ttu.edu/c.php?g=543204
2,Aerospace Studies (Air Force ROTC),Aerospace Studies (Air Force ROTC),https://guides.library.ttu.edu/c.php?g=543219
3,Agricultural & Applied Economics,Agricultural and Applied Economics,https://guides.library.ttu.edu/c.php?g=543245
4,Agricultural Education and Communications,Agricultural Education and Communications,https://guides.library.ttu.edu/c.php?g=543230
5,Altmetrics,Altmetrics,https://guides.library.ttu.edu/c.php?g=543360
6,Animal & Food Science,Animal & Food Science,https://guides.library.ttu.edu/c.php?g=543232
7,Anthropology,Anthropology,https://guides.library.ttu.edu/c.php?g=543194
8,Architecture,Architecture,https://guides.library.ttu.edu/archlib
9,Art,Art,https://guides.library.ttu.edu/c.php?g=543170
10,Art,Rare Books,https://guides.library.ttu.edu/rarebooks
11,Asian Studies,Asian Studies,https://guides.library.ttu.edu/c.php?g=543220
12,Bilingual Education & Diversity Studies,"Education, Curriculum & Instruction",https://guides.library.ttu.edu/eci
13,Biological Sciences,Biological Sciences,https://guides.library.ttu.edu/c.php?g=543228
14,Business,Accounting,https://guides.library.ttu.edu/c.php?g=543227
15,Business,Business / General Business,https://guides.library.ttu.edu/c.php?g=676727
16,Business,Economics,https://guides.library.ttu.edu/c.php?g=543250
17,Business,Finance,https://guides.library.ttu.edu/c.php?g=543252
18,Business,Management,https://guides.library.ttu.edu/c.php?g=543256
19,Business,Marketing,https://guides.library.ttu.edu/c.php?g=543258
20,Business,MIS/ISQS,https://guides.library.ttu.edu/c.php?g=543254
21,Chemical Engineering,Chemical Engineering,https://guides.library.ttu.edu/c.php?g=543188
22,Chemical Engineering,Engineering College,https://guides.library.ttu.edu/c.php?g=543175
23,Chemistry & Biochemistry,Chemistry and Biochemistry,https://guides.library.ttu.edu/c.php?g=543264
24,Civil & Environmental Engineering,"Civil, Environmental, and Construction Engineering",https://guides.library.ttu.edu/c.php?g=543192
25,Civil & Environmental Engineering,Engineering College,https://guides.library.ttu.edu/c.php?g=543175
26,Classical & Modern Languages & Literature,Classical & Modern Languages & Literatures,https://guides.library.ttu.edu/c.php?g=543162
27,Classical & Modern Languages & Literature,HathiTrust,https://guides.library.ttu.edu/hathitrust
28,Classical & Modern Languages & Literature,Rare Books,https://guides.library.ttu.edu/rarebooks
29,College of Human Sciences,College of Human Sciences,https://guides.library.ttu.edu/hs
30,College of Human Sciences,"Community, Family and Addiction Services",https://guides.library.ttu.edu/cfas
31,College of Human Sciences,Department of Design,https://guides.library.ttu.edu/dod
32,College of Human Sciences,Family and Consumer Sciences Education,https://guides.library.ttu.edu/fcse
33,College of Human Sciences,Hospitality and Retail Management,https://guides.library.ttu.edu/RHIM
34,College of Human Sciences,Human Development and Family Studies,https://guides.library.ttu.edu/hdfshome
35,College of Human Sciences,Nutritional Sciences,https://guides.library.ttu.edu/ns
36,College of Human Sciences,Personal Financial Planning,https://guides.library.ttu.edu/pfp
37,College of Media & Communications,Advertising,https://guides.library.ttu.edu/c.php?g=543204
38,College of Media & Communications,Communication Studies,https://guides.library.ttu.edu/c.php?g=543172
39,College of Media & Communications,Electronic Media and Communications,https://guides.library.ttu.edu/emc
40,College of Media & Communications,Journalism,https://guides.library.ttu.edu/c.php?g=543206
41,College of Media & Communications,Public Relations,https://guides.library.ttu.edu/c.php?g=543207
42,Communication Studies,Communication Studies,https://guides.library.ttu.edu/c.php?g=543172
43,"Community, Family & Addiction Services",College of Human Sciences,https://guides.library.ttu.edu/hs
44,"Community, Family & Addiction Services","Community, Family and Addiction Services",https://guides.library.ttu.edu/cfas
45,Computer Science,Computer Science,https://guides.library.ttu.edu/ttucomputerscience
46,Construction Engineering & Engineering Technology,Engineering College,https://guides.library.ttu.edu/c.php?g=543175
47,"Copyright, Publishing, Data Management",Altmetrics,https://guides.library.ttu.edu/c.php?g=543360
48,"Copyright, Publishing, Data Management",Copyright,https://guides.library.ttu.edu/copyright
49,"Copyright, Publishing, Data Management",Data Management,https://guides.library.ttu.edu/datamanagement
50,"Copyright, Publishing, Data Management",Open Access,https://guides.library.ttu.edu/openaccess
51,"Copyright, Publishing, Data Management",Open Educational Resources,https://guides.library.ttu.edu/OER
52,"Copyright, Publishing, Data Management",Research Impact and Visibility,https://guides.library.ttu.edu/impact
53,Costa Rica Campus,Computer Science,https://guides.library.ttu.edu/ttucomputerscience
54,Costa Rica Campus,Electrical and Computer Engineering,https://guides.library.ttu.edu/c.php?g=543195
55,Costa Rica Campus,Hospitality and Retail Management,https://guides.library.ttu.edu/RHIM
56,Costa Rica Campus,Industrial Engineering,https://guides.library.ttu.edu/c.php?g=543197
57,Costa Rica Campus,Mathematics and Statistics,https://guides.library.ttu.edu/ttumathstats
58,Costa Rica Campus,TTU-CR Citation Central,https://guides.library.ttu.edu/c.php?g=867055
59,Costa Rica Campus,TTU-CR Computer Science,https://guides.library.ttu.edu/c.php?g=849003
60,Costa Rica Campus,TTU-CR Electrical Engineering,https://guides.library.ttu.edu/c.php?g=866261
61,Costa Rica Campus,TTU-CR Industrial Engineering,https://guides.library.ttu.edu/c.php?g=863965
62,Costa Rica Campus,TTU-CR Mathematics,https://guides.library.ttu.edu/c.php?g=865117
63,Costa Rica Campus,"TTU-CR Restaurant, Hotel & Institutional Management",https://guides.library.ttu.edu/c.php?g=866302
64,Counselor Education,Educational Psychology & Leadership,https://guides.library.ttu.edu/epl
65,Curriculum & Instruction,"Education, Curriculum & Instruction",https://guides.library.ttu.edu/eci
66,Design,College of Human Sciences,https://guides.library.ttu.edu/hs
67,Design,Department of Design,https://guides.library.ttu.edu/dod
68,Economics,Economics,https://guides.library.ttu.edu/c.php?g=543250
69,Education,Education - Burkhardt Center Cohort,https://guides.library.ttu.edu/c.php?g=798431
70,Education,"Education, TechTeach, Teacher Certification",https://guides.library.ttu.edu/techteach
71,Education,"Education, Curriculum & Instruction",https://guides.library.ttu.edu/eci
72,Education,Educational Psychology & Leadership,https://guides.library.ttu.edu/epl
73,Educational Leadership,Educational Psychology & Leadership,https://guides.library.ttu.edu/epl
74,Educational Psychology,Educational Psychology & Leadership,https://guides.library.ttu.edu/epl
75,Electrical and Computer Engineering,Electrical and Computer Engineering,https://guides.library.ttu.edu/c.php?g=543195
76,Electrical and Computer Engineering,Engineering College,https://guides.library.ttu.edu/c.php?g=543175
77,Electronic Media and Communications,Electronic Media and Communications,https://guides.library.ttu.edu/emc
78,Elementary Education,"Education, Curriculum & Instruction",https://guides.library.ttu.edu/eci
79,English,19th Century Studies,https://guides.library.ttu.edu/19thcentury
80,English,Book History,https://guides.library.ttu.edu/bookhistory
81,English,Digital Humanities,https://guides.library.ttu.edu/digitalhumanities
82,English,English,https://guides.library.ttu.edu/generalenglishguide
83,English,English 1301/1302,https://guides.library.ttu.edu/freshcomp
