,Category,Subject,Link
0,African American Studies,AAS 335 Psychology of Hip Hop,https://guides.library.uab.edu/psychologyofhiphop
1,African American Studies,African American Studies,https://guides.library.uab.edu/africanamericanstudies
2,African American Studies,Chicago/Turabian,https://guides.library.uab.edu/chicago
3,Art (History & Studio),Art and Art History,https://guides.library.uab.edu/arthistory
4,Art (History & Studio),"Find Media (Images, Video, Audio)",https://guides.library.uab.edu/findmedia
5,Biomedical Engineering,Biomedical Engineering,https://guides.library.uab.edu/bme
6,Business,Business Research Toolkit,https://guides.library.uab.edu/businesscertificate
7,Business,Company and Industry Research,https://guides.library.uab.edu/company
8,Business,Innovation & Entrepreneurship,https://guides.library.uab.edu/innovation
9,Business,Taxation Research,https://guides.library.uab.edu/taxationresearch
10,CCTS,CCTS,https://guides.library.uab.edu/ccts
11,CCTS,Making the Most of My NCBI,https://guides.library.uab.edu/myncbi
12,CCTS,NIH Public Access Policy,https://guides.library.uab.edu/NIH
13,Center for Nursing Excellence (CNE),Center for Nursing Excellence,https://guides.library.uab.edu/cne
14,Center for Nursing Excellence (CNE),Center for Nursing Excellence Staff Bios,https://guides.library.uab.edu/cnestaff
15,Chemistry,CH 790: Introduction to Graduate Research,https://guides.library.uab.edu/ch790
16,Chemistry,Chemical Literature,https://guides.library.uab.edu/chemical
17,Citing Sources,APA,https://guides.library.uab.edu/APA
18,Citing Sources,Chicago/Turabian,https://guides.library.uab.edu/chicago
19,Citing Sources,Citation Styles,https://guides.library.uab.edu/citation
20,Citing Sources,EndNote,https://guides.library.uab.edu/endnote
21,Citing Sources,EndNote Online (formerly EndNote Web),https://guides.library.uab.edu/endnoteonline
22,Citing Sources,Mendeley,https://guides.library.uab.edu/Mendeley
23,Citing Sources,"MLA (Modern Language Association) Style, 8th Edition",https://guides.library.uab.edu/MLAStyle
24,Citing Sources,Zotero,https://guides.library.uab.edu/zotero
25,"Civil, Construction, and Environmental Engineering",Case Studies for Engineering,https://guides.library.uab.edu/case_studies
26,"Civil, Construction, and Environmental Engineering",CE 236: Introduction to Environmental Engineering,https://guides.library.uab.edu/ce236
27,"Civil, Construction, and Environmental Engineering",CECM 676: Construction Project Risk Management,https://guides.library.uab.edu/CECM-676
28,"Civil, Construction, and Environmental Engineering","Civil, Construction, and Environmental Engineering",https://guides.library.uab.edu/ccee
29,"Civil, Construction, and Environmental Engineering",Environmental Impact Statements,https://guides.library.uab.edu/environmental_impact_statements
30,"Civil, Construction, and Environmental Engineering",Safety Data Sheets,https://guides.library.uab.edu/safety_data_sheets
31,Clinical Support,CCTS,https://guides.library.uab.edu/ccts
32,Clinical Support,Center for Nursing Excellence,https://guides.library.uab.edu/cne
33,Clinical Support,DRAGN Patient Education System,https://guides.library.uab.edu/dragn
34,Clinical Support,LHL@UH Courses,https://guides.library.uab.edu/lhluhcourses
35,Clinical Support,Orthopaedic Surgery,https://guides.library.uab.edu/ortho
36,Clinical Support,School of Medicine Faculty,https://guides.library.uab.edu/UABSOM
37,Communication Studies,Alabama Newspapers in UAB Libraries Databases,https://guides.library.uab.edu/alabama_newspapers
38,Communication Studies,Chicago/Turabian,https://guides.library.uab.edu/chicago
39,Communication Studies,CM615: Intercultural Communication,https://guides.library.uab.edu/CM615
40,Communication Studies,CMST 101: Public Speaking,https://guides.library.uab.edu/cmst101
41,Communication Studies,Communication Studies,https://guides.library.uab.edu/communicationstudies
42,Communication Studies,"Find Media (Images, Video, Audio)",https://guides.library.uab.edu/findmedia
43,Communication Studies,Newswriting and Reporting,https://guides.library.uab.edu/newswritingreporting
44,Dentistry,Dentistry Resources at LHL,https://guides.library.uab.edu/dental
45,Dentistry,Evidence-Based Dentistry,https://guides.library.uab.edu/ebd
46,Dentistry,National Board Dental Examinations,https://guides.library.uab.edu/nbde
47,Education,EDU 100: Touch the future,https://guides.library.uab.edu/EDU100
48,Education,ICPSR,https://guides.library.uab.edu/ICPSR
49,Education,Kinesiology 300/500: Organization and Administration,https://guides.library.uab.edu/KIN300
50,Education,QEP: Learning in a Team Environment.,https://guides.library.uab.edu/QEP
51,Electrical and Computer Engineering,Electrical and Computer Engineering,https://guides.library.uab.edu/ece
52,Engineering,Biomedical Engineering,https://guides.library.uab.edu/bme
53,Engineering,Case Studies for Engineering,https://guides.library.uab.edu/case_studies
54,Engineering,CE 236: Introduction to Environmental Engineering,https://guides.library.uab.edu/ce236
55,Engineering,"Civil, Construction, and Environmental Engineering",https://guides.library.uab.edu/ccee
56,Engineering,Electrical and Computer Engineering,https://guides.library.uab.edu/ece
57,Engineering,Engineering,https://guides.library.uab.edu/eng
58,Engineering,Environmental Impact Statements,https://guides.library.uab.edu/environmental_impact_statements
59,Engineering,Materials Science and Engineering,https://guides.library.uab.edu/mse
60,Engineering,Mechanical Engineering,https://guides.library.uab.edu/me
61,Engineering,Safety Data Sheets,https://guides.library.uab.edu/safety_data_sheets
62,English Composition,Academic (Scholarly) and Popular Articles,https://guides.library.uab.edu/acadpop
63,English Composition,EH 101: English Composition I,https://guides.library.uab.edu/English101
64,English Composition,EH 102: English Composition II,https://guides.library.uab.edu/English102
65,English Composition,EH 102: Tools for the Multimodal Argument,https://guides.library.uab.edu/102multimodal
66,English Composition,EH 107: Introduction to Freshman Writing II,https://guides.library.uab.edu/EH107
67,English Composition,EH 109: English Composition Second Language Writing,https://guides.library.uab.edu/EH109
68,English Composition,Evaluating Internet Sources,https://guides.library.uab.edu/EIS
69,English Composition,UAB and Birmingham Research,https://guides.library.uab.edu/uab-bham
70,English Language & Literature,Book Reviews,https://guides.library.uab.edu/bookreviews
71,English Language & Literature,EH 216: Introduction to Literature,https://guides.library.uab.edu/eh216
72,English Language & Literature,EH 221: British and Irish Literature before 1800,https://guides.library.uab.edu/EH221
73,English Language & Literature,"EH 301: Reading, Writing, and Research for Literature",https://guides.library.uab.edu/eh301
74,English Language & Literature,EH 605: Introduction to Graduate Studies in English,https://guides.library.uab.edu/EH605
75,English Language & Literature,"Find Plays, Monologues, and Scenes",https://guides.library.uab.edu/plays
76,English Language & Literature,HC 118: Honors College Seminar - Alice in Wonderland,https://guides.library.uab.edu/HC118
77,English Language & Literature,Literary Research: Online Sources,https://guides.library.uab.edu/literaryresearch
78,Foreign Languages & Literatures,"Find Plays, Monologues, and Scenes",https://guides.library.uab.edu/plays
79,Foreign Languages & Literatures,FLL 120: Foreign Cultures,https://guides.library.uab.edu/fll120
80,Foreign Languages & Literatures,FLL 485: The Devil Knows Literature,https://guides.library.uab.edu/FLL485
81,Foreign Languages & Literatures,Hispanics/LatinX in Alabama,https://guides.library.uab.edu/hispaniclatino
82,Foreign Languages & Literatures,Literary Research: Online Sources,https://guides.library.uab.edu/literaryresearch
83,Foreign Languages & Literatures,SPA 101: Introductory Spanish I,https://guides.library.uab.edu/spa101
84,Foreign Languages & Literatures,SPA 460: Globalization in the Hispanic World,https://guides.library.uab.edu/SPA460
85,Graduate Biomedical Sciences & JHS Departments,Graduate Biomedical Sciences and JHS Departments,https://guides.library.uab.edu/JHS
86,Graduate Biomedical Sciences & JHS Departments,Making the Most of My NCBI,https://guides.library.uab.edu/myncbi
87,Graduate Biomedical Sciences & JHS Departments,NIH Public Access Policy,https://guides.library.uab.edu/NIH
88,Health Professions,BMD 202: Survey of Biomedical Sciences Literature,https://guides.library.uab.edu/bmd202
89,Health Professions,Genetic Counseling,https://guides.library.uab.edu/gc
90,Health Professions,HC112: Global Health,https://guides.library.uab.edu/hc112
91,Health Professions,Health Services Administration,https://guides.library.uab.edu/HSA
92,Health Professions,OT 653: Using the Literature for Evidence-Based Practice,https://guides.library.uab.edu/ot653
93,Health Professions,OT 667: Research Methods,https://guides.library.uab.edu/ot667
94,Health Professions,Physical Therapy,https://guides.library.uab.edu/c.php?g=63733
95,Health Professions,Physician Assistant Studies,https://guides.library.uab.edu/PA
96,Health Professions,School of Health Professions Guide,https://guides.library.uab.edu/shp
97,History,Chicago/Turabian,https://guides.library.uab.edu/chicago
98,History,HY 300: Historian's Craft,https://guides.library.uab.edu/historianscraft
99,History,HY448: Disasters in American History,https://guides.library.uab.edu/hy448
100,History,ICPSR,https://guides.library.uab.edu/ICPSR
101,How to Find or Use...,Book Reviews,https://guides.library.uab.edu/bookreviews
102,How to Find or Use...,Chicago/Turabian,https://guides.library.uab.edu/chicago
103,How to Find or Use...,CINAHL: Cumulative Index to Nursing and Allied Health Literature,https://guides.library.uab.edu/CINAHL
104,How to Find or Use...,Cochrane Library,https://guides.library.uab.edu/cochrane
105,How to Find or Use...,E-Books,https://guides.library.uab.edu/ebooks
106,How to Find or Use...,Embase at Sparks Library,https://guides.library.uab.edu/c.php?g=324378
107,How to Find or Use...,Embase at UAB Libraries,https://guides.library.uab.edu/Embase
108,How to Find or Use...,EndNote,https://guides.library.uab.edu/endnote
109,How to Find or Use...,EndNote Online (formerly EndNote Web),https://guides.library.uab.edu/endnoteonline
110,How to Find or Use...,Evaluating Internet Sources,https://guides.library.uab.edu/EIS
111,How to Find or Use...,Find It @ LHL,https://guides.library.uab.edu/findit
112,How to Find or Use...,"Find Media (Images, Video, Audio)",https://guides.library.uab.edu/findmedia
113,How to Find or Use...,Finding Full Text,https://guides.library.uab.edu/fulltext
114,How to Find or Use...,Finding Test Instruments,https://guides.library.uab.edu/testinstruments
115,How to Find or Use...,Getting Started: Finding Scholarly Articles,https://guides.library.uab.edu/gettingstarted
116,How to Find or Use...,Google Scholar,https://guides.library.uab.edu/googlescholar
117,How to Find or Use...,Grey Literature in the Health Sciences,https://guides.library.uab.edu/GreyLit
118,How to Find or Use...,Health Statistics,https://guides.library.uab.edu/Healthstats
119,How to Find or Use...,Making the Most of My NCBI,https://guides.library.uab.edu/myncbi
120,How to Find or Use...,Medical Images,https://guides.library.uab.edu/medicalimages
121,How to Find or Use...,Mendeley,https://guides.library.uab.edu/Mendeley
122,How to Find or Use...,NIH Public Access Policy,https://guides.library.uab.edu/NIH
123,How to Find or Use...,Online Education,https://guides.library.uab.edu/onlineeducation
124,How to Find or Use...,PubMed via LHL,https://guides.library.uab.edu/pubmed
125,How to Find or Use...,Scopus,https://guides.library.uab.edu/scopus
126,How to Find or Use...,Systematic Reviews,https://guides.library.uab.edu/systematicreviews
127,How to Find or Use...,Women's Health Resources,https://guides.library.uab.edu/WomensHealthResources
128,How to Write & Publish,Citation Styles,https://guides.library.uab.edu/citation
129,How to Write & Publish,Journal Metrics,https://guides.library.uab.edu/JournalMetrics
130,How to Write & Publish,NIH Public Access Policy,https://guides.library.uab.edu/NIH
131,How to Write & Publish,Poster Presentations,https://guides.library.uab.edu/posters
132,How to Write & Publish,Predatory Publishing,https://guides.library.uab.edu/predatorypublishing
133,How to Write & Publish,Reviews: From Systematic to Narrative,https://guides.library.uab.edu/sysrev
134,How to Write & Publish,Systematic Reviews,https://guides.library.uab.edu/systematicreviews
135,How to Write & Publish,The Scientific Paper,https://guides.library.uab.edu/c.php?g=63757
136,How to Write & Publish,Who's Citing Me Now?,https://guides.library.uab.edu/citations
137,Justice Sciences,ICPSR,https://guides.library.uab.edu/ICPSR
138,Materials and Science Engineering,Materials Science and Engineering,https://guides.library.uab.edu/mse
139,Mechanical Engineering,Mechanical Engineering,https://guides.library.uab.edu/me
140,Medicine,Family Medicine Clerkship,https://guides.library.uab.edu/familymedicine
141,Medicine,LHL Guide to PDS,https://guides.library.uab.edu/PDS
142,Medicine,LHL Support for the Basic Science Case Presentations,https://guides.library.uab.edu/bscp
143,Medicine,Orthopaedic Surgery,https://guides.library.uab.edu/ortho
144,Medicine,School of Medicine Faculty,https://guides.library.uab.edu/UABSOM
145,Medicine,School of Medicine Students,https://guides.library.uab.edu/som
146,Music,"Find Media (Images, Video, Audio)",https://guides.library.uab.edu/findmedia
147,Music,"Music: Scores, Recordings, & Research",https://guides.library.uab.edu/uabmusic
148,Neurosciences,Neurology & Neurosciences Resources,https://guides.library.uab.edu/neuroscience
149,Nursing,A Guide for Nurses and Nursing Students,https://guides.library.uab.edu/nursingguide
150,Nursing,APA,https://guides.library.uab.edu/APA
151,Nursing,Center for Nursing Excellence,https://guides.library.uab.edu/cne
152,Nursing,CINAHL: Cumulative Index to Nursing and Allied Health Literature,https://guides.library.uab.edu/CINAHL
153,Nursing,Cultural Competencies in Health Care,https://guides.library.uab.edu/culture
154,Nursing,School of Nursing Liaison Guide,https://guides.library.uab.edu/son
155,Optometry,School of Optometry Liaison,https://guides.library.uab.edu/optometry
156,Optometry,School of Optometry Students,https://guides.library.uab.edu/OptometryStudents
157,Philosophy & Religion,Philosophy,https://guides.library.uab.edu/phil
158,Political Studies,ICPSR,https://guides.library.uab.edu/ICPSR
159,Political Studies,MPA606: Foundations of PA Research,https://guides.library.uab.edu/mpa606
160,Psychology,ICPSR,https://guides.library.uab.edu/ICPSR
161,Psychology,PY 101: Introduction to Psychology,https://guides.library.uab.edu/py101
162,Psychology,PY 326: Industrial/Organizational Psychology,https://guides.library.uab.edu/py326
163,Public Administration,HC112: Global Health,https://guides.library.uab.edu/hc112
164,Public Administration,ICPSR,https://guides.library.uab.edu/ICPSR
165,Public Administration,MPA606: Foundations of PA Research,https://guides.library.uab.edu/mpa606
166,Public Health,Evidence-Based Public Health,https://guides.library.uab.edu/ebph
167,Public Health,HC112: Global Health,https://guides.library.uab.edu/hc112
168,Public Health,ICPSR,https://guides.library.uab.edu/ICPSR
169,Public Health,School of Public Health Liaison Guide,https://guides.library.uab.edu/publichealth
170,Social Work,ICPSR,https://guides.library.uab.edu/ICPSR
171,Social Work,SW640: Human Behavior and The Social Environment,https://guides.library.uab.edu/SW640
172,Sociology,ICPSR,https://guides.library.uab.edu/ICPSR
173,Sociology,SOC489: The Research Experience,https://guides.library.uab.edu/SOC489
174,Sociology,SW640: Human Behavior and The Social Environment,https://guides.library.uab.edu/SW640
175,Theatre & Film,Dramaturgy,https://guides.library.uab.edu/dramaturgy
