,Category,Subject,Link
0,"Agricultural, Life & Environmental Sciences",ALES 204 - Communication Fundamentals for Professionals,https://guides.library.ualberta.ca/ales204
1,"Agricultural, Life & Environmental Sciences",Animal Science,https://guides.library.ualberta.ca/animal-science
2,"Agricultural, Life & Environmental Sciences","Clothing, Textiles & Material Culture",https://guides.library.ualberta.ca/clothing-textiles-material-culture
3,"Agricultural, Life & Environmental Sciences",Family Ecology,https://guides.library.ualberta.ca/family-ecology
4,"Agricultural, Life & Environmental Sciences",Food Science & Bioresource Technology,https://guides.library.ualberta.ca/food-science-and-bioresource-technology
5,"Agricultural, Life & Environmental Sciences",Forestry,https://guides.library.ualberta.ca/forestry
6,"Agricultural, Life & Environmental Sciences",Human Nutrition,https://guides.library.ualberta.ca/human-nutrition
7,"Agricultural, Life & Environmental Sciences",Plant Biosystems,https://guides.library.ualberta.ca/plant-biosystems
8,"Agricultural, Life & Environmental Sciences",Renewable Resources,https://guides.library.ualberta.ca/renewable-resources
9,"Agricultural, Life & Environmental Sciences",Resource Economics & Environmental Sociology,https://guides.library.ualberta.ca/resource-economics-and-environmental-sociology
10,"Agricultural, Life & Environmental Sciences",Soil Science,https://guides.library.ualberta.ca/soil-science
11,Arts,Anthropology,https://guides.library.ualberta.ca/anthropology
12,Arts,Art and Design,https://guides.library.ualberta.ca/art-design
13,Arts,Classics,https://guides.library.ualberta.ca/classics
14,Arts,Digital Humanities,https://guides.library.ualberta.ca/c.php?g=378624
15,Arts,Drama,https://guides.library.ualberta.ca/drama
16,Arts,East Asian Studies,https://guides.library.ualberta.ca/east-asian-studies
17,Arts,Economics,https://guides.library.ualberta.ca/economics
18,Arts,English,https://guides.library.ualberta.ca/english
19,Arts,Film Studies,https://guides.library.ualberta.ca/film-studies
20,Arts,HIST 339: Modern British Empire,https://guides.library.ualberta.ca/hist339
21,Arts,"HIST 373: Peasants, Slaves, Workers",https://guides.library.ualberta.ca/hist373
22,Arts,HIST 395: Early British Empire,https://guides.library.ualberta.ca/hist395
