,Category,Subject,Link
0,Adult and Higher Education,RHSC 501,https://guides.library.ubc.ca/RHSC501
1,African Studies,African Studies,https://guides.library.ubc.ca/african
2,Agriculture,Agriculture,https://guides.library.ubc.ca/agriculture
3,Agriculture,Wine Research,https://guides.library.ubc.ca/wine
4,Anatomy,Anatomy,https://guides.library.ubc.ca/anatomy
5,Animal Science,Animal Science / Applied Animal Biology,https://guides.library.ubc.ca/animalscience
6,Anthropology,Anthropology,https://guides.library.ubc.ca/anthropology
7,Anthropology,Archival material,https://guides.library.ubc.ca/archival_material
8,Anthropology,First Nations Languages of British Columbia,https://guides.library.ubc.ca/Languages_of_BC
9,Anthropology,Himalayan Studies,https://guides.library.ubc.ca/himalayanstudies
10,Anthropology,New World Archaeology,https://guides.library.ubc.ca/new_world_archaeology
11,Anthropology,Reconstructing Nepal: The 2015 Earthquakes and their aftermath,https://guides.library.ubc.ca/reconstructingnepal
12,Architecture & Landscape Architecture,Architecture,https://guides.library.ubc.ca/architecture
13,Architecture & Landscape Architecture,Environmental Design,https://guides.library.ubc.ca/ends
14,Architecture & Landscape Architecture,Landscape Architecture,https://guides.library.ubc.ca/larc
15,Architecture & Landscape Architecture,UBC Campus & Endowment Lands,https://guides.library.ubc.ca/ubc_campus
16,Architecture & Landscape Architecture,Urban Design,https://guides.library.ubc.ca/urban
17,Art History & Visual Art,18th- and 19th-Century Art,https://guides.library.ubc.ca/art_19th
18,Art History & Visual Art,Art History & Visual Art,https://guides.library.ubc.ca/art
19,Art History & Visual Art,Art Websites,https://guides.library.ubc.ca/art_websites
20,Art History & Visual Art,British Columbian Art and Artists,https://guides.library.ubc.ca/bc_art_artists
21,Art History & Visual Art,Canadian Art,https://guides.library.ubc.ca/canart
22,Art History & Visual Art,First Nations Art - Northwest Coast,https://guides.library.ubc.ca/fna
23,Art History & Visual Art,Greek and Roman Art,https://guides.library.ubc.ca/gra
24,Art History & Visual Art,Historical Photographs,https://guides.library.ubc.ca/historical_photographs
25,Art History & Visual Art,Images - Finding & Using,https://guides.library.ubc.ca/images
