,Category,Subject,Link
0,Anthropology,Anthropology Research Guide,https://guides.library.ucsc.edu/anthropology
1,Applied Mathematics & Statistics,Applied Mathematics and Statistics Research Guide,https://guides.library.ucsc.edu/ams
2,Art,Art Research Guide,https://guides.library.ucsc.edu/art
3,Art,ARTSTOR,https://guides.library.ucsc.edu/artstor
4,Art,Computational Media Research Guide,https://guides.library.ucsc.edu/cm
5,Astronomy,Astronomy Research Guide,https://guides.library.ucsc.edu/astronomy
6,Biology: EEB,Biology: Ecology & Evolutionary Research Guide,https://guides.library.ucsc.edu/biologyeeb
7,Biology: MCD,"Biology: Molecular, Cell & Developmental Research Guide",https://guides.library.ucsc.edu/biologymcd
8,Biomolecular Engineering,Biomolecular Engineering Research Guide,https://guides.library.ucsc.edu/biomolecular
9,Business,Business & Business Management Economics Research Guide,https://guides.library.ucsc.edu/business
10,Chemistry,Chemistry Research Guide,https://guides.library.ucsc.edu/chemistry
11,Computational Media,Computational Media Research Guide,https://guides.library.ucsc.edu/cm
12,Computer Engineering,Computer Engineering Research Guide,https://guides.library.ucsc.edu/ce
13,Computer Science,Computer Science Research Guide,https://guides.library.ucsc.edu/cs
14,Critical Race and Ethnic Studies,CRES 101: Research Methods and Writing in Critical Race and Ethnic Studies,https://guides.library.ucsc.edu/cres101
15,Digital Arts & New Media,ARTSTOR,https://guides.library.ucsc.edu/artstor
16,Digital Arts & New Media,Digital Arts & New Media Research Guide,https://guides.library.ucsc.edu/danm
17,Earth & Planetary Sciences,Earth & Planetary Sciences Research Guide,https://guides.library.ucsc.edu/earth
18,Earth & Planetary Sciences,Maps & Aerial Photos,https://guides.library.ucsc.edu/maps
19,Economics,Economics Research Guide,https://guides.library.ucsc.edu/economics
20,Education,EDUC 235: Introduction to Educational Inquiry,https://guides.library.ucsc.edu/educ235
21,Education,Education Research Guide,https://guides.library.ucsc.edu/education
22,Electrical Engineering,Electrical Engineering Research Guide,https://guides.library.ucsc.edu/ee
23,Environmental Studies,Environmental Impact Statements & Reports,https://guides.library.ucsc.edu/EIS
24,Environmental Studies,Environmental Studies Research Guide,https://guides.library.ucsc.edu/envs
25,Environmental Studies,ENVS100: Ecology & Society,https://guides.library.ucsc.edu/envs100
26,Feminist Studies,Feminist Studies Research Guide,https://guides.library.ucsc.edu/feminist
27,Film and Digital Media,Film & Digital Media Research Guide,https://guides.library.ucsc.edu/film
28,Film and Digital Media,FILM 130: Silent Cinema,https://guides.library.ucsc.edu/film130
29,Film and Digital Media,"FILM 134A: American Film, 1930-1960",https://guides.library.ucsc.edu/film134
30,Film and Digital Media,Social Documentation Research Guide,https://guides.library.ucsc.edu/c.php?g=119731
31,Government Information,Court Cases,https://guides.library.ucsc.edu/findacourtcase
32,Government Information,Foreign & United Nations Resources,https://guides.library.ucsc.edu/foreign-and-un-resources
33,Government Information,"Government Info: California, State, and Local Resources",https://guides.library.ucsc.edu/california-state-local
34,Government Information,Government Info: Federal Resources,https://guides.library.ucsc.edu/federal-government-resources
35,Government Information,Government Information by Topic,https://guides.library.ucsc.edu/gov-topics
36,Government Information,Laws & Regulations,https://guides.library.ucsc.edu/find-laws-and-regulations
37,Government Information,Statistics,https://guides.library.ucsc.edu/find-statistics
38,Government Information,US Census Data,https://guides.library.ucsc.edu/us-census-data
39,Grateful Dead,Grateful Dead Research Guide,https://guides.library.ucsc.edu/grateful-dead
40,History,Chinese Studies,https://guides.library.ucsc.edu/chinese
41,History,HIS 100: Skills and Methods,https://guides.library.ucsc.edu/his100
42,History,History General Course Guide,https://guides.library.ucsc.edu/historygeneral
43,History,History Research Guide,https://guides.library.ucsc.edu/history
44,History,Oral History Research and Resources,https://guides.library.ucsc.edu/oralhist
45,History of Art & Visual Culture,ARTSTOR,https://guides.library.ucsc.edu/artstor
46,History of Art & Visual Culture,HAVC 100A: Approaches to Visual Studies,https://guides.library.ucsc.edu/havc100a
47,History of Art & Visual Culture,History of Art & Visual Culture Research Guide,https://guides.library.ucsc.edu/havc
48,Jewish Studies,Jewish Studies Research Guide,https://guides.library.ucsc.edu/jewishstudies
49,Languages and Applied Linguistics,CHIN 104: Advanced Chinese: Readings in Literature,https://guides.library.ucsc.edu/chin104
50,Languages and Applied Linguistics,Chinese Studies,https://guides.library.ucsc.edu/chinese
51,Languages and Applied Linguistics,FREN 125B French Civilization: 20th Century,https://guides.library.ucsc.edu/French125B
52,Languages and Applied Linguistics,"SPHS 115: El ensayo lectura, analisis y redaccion",https://guides.library.ucsc.edu/sphs115
53,Latin American & Latino Studies,LALS 172: Digital Story Project,https://guides.library.ucsc.edu/lals172
54,Latin American & Latino Studies,LALS 75 Art and Social Change in Latin America: Diego Rivera,https://guides.library.ucsc.edu/lals75
55,Latin American & Latino Studies,Latin American & Latino Studies Research Guide,https://guides.library.ucsc.edu/lals
56,Legal Studies,Court Cases,https://guides.library.ucsc.edu/findacourtcase
57,Legal Studies,Laws & Regulations,https://guides.library.ucsc.edu/find-laws-and-regulations
58,Legal Studies,Legal Studies Research Guide,https://guides.library.ucsc.edu/legal
59,Linguistics,Linguistics Research Guide,https://guides.library.ucsc.edu/linguistics
60,Literature,Literature Research Guide,https://guides.library.ucsc.edu/literature
61,Mathematics,Mathematics Research Guide,https://guides.library.ucsc.edu/math
62,Microbiology & Environmental Tox.,Microbiology & Environmental Toxicology Research Guide,https://guides.library.ucsc.edu/metx
63,Music,Music Research Guide,https://guides.library.ucsc.edu/music
64,Ocean Sciences,Ocean Sciences Research Guide,https://guides.library.ucsc.edu/ocean
65,Oral History,Oral History Research and Resources,https://guides.library.ucsc.edu/oralhist
66,Philosophy,Philosophy Research Guide,https://guides.library.ucsc.edu/philosophy
67,Physics,Physics Research Guide,https://guides.library.ucsc.edu/physics
68,Politics,POLI 120B,https://guides.library.ucsc.edu/poli120b
69,Politics,Politics Research Guide,https://guides.library.ucsc.edu/politics
70,Politics,Politics Research Tutorial,https://guides.library.ucsc.edu/politicstutorial
71,Psychology,Psyc 159I: Psychology of Immigration,https://guides.library.ucsc.edu/psyc159i
72,Psychology,Psychology Research Guide,https://guides.library.ucsc.edu/psychology
73,Science Communication,Science Communication,https://guides.library.ucsc.edu/scicom
74,Sociology,Social Explorer,https://guides.library.ucsc.edu/socialexplorer
75,Sociology,Sociology Research Guide,https://guides.library.ucsc.edu/sociology
76,Sociology,SOCY 3A: Evaluation of Evidence,https://guides.library.ucsc.edu/socy3a
77,Technology Management,Technology Management Research Guide,https://guides.library.ucsc.edu/tim
78,Theater Arts,THEA 80C: Monsters,https://guides.library.ucsc.edu/thea80
79,Theater Arts,Theater Arts Research Guide,https://guides.library.ucsc.edu/theaterarts
80,Writing,Start Your Research,https://guides.library.ucsc.edu/writing
81,Writing,Writing Tutors: Library Resources,https://guides.library.ucsc.edu/tutors
